strategy,delta_threshold,total_bets,wins,losses,win_rate,starting_bank,final_bankroll,profit_loss,roi
10_pct5_4heroes_all,5,23884,12348,11536,51.69988276670574,1000,2.4250577121670033e-37,-1000.0,-100.0
10_pct5_4heroes_all,10,20882,10843,10039,51.92510295948664,1000,6.186149588332324e-31,-1000.0,-100.0
10_pct5_4heroes_all,15,18079,9432,8647,52.171027158581786,1000,6.216335626328569e-25,-1000.0,-100.0
10_pct5_4heroes_all,20,15458,8134,7324,52.62000258765688,1000,4.070574434930683e-18,-1000.0,-100.0
10_pct5_4heroes_all,25,13029,6901,6128,52.96645943664133,1000,1.990398968195825e-13,-999.9999999999998,-99.99999999999997
10_pct5_4heroes_all,30,10853,5764,5089,53.109739242605734,1000,8.77453254111491e-11,-999.9999999999122,-99.99999999999122
10_pct5_4heroes_all,35,8909,4754,4155,53.361768997642834,1000,6.348755682372616e-08,-999.9999999365125,-99.99999999365124
10_pct5_4heroes_all,40,7251,3882,3369,53.53744311129499,1000,1.984629318399126e-05,-999.9999801537068,-99.99999801537068
10_pct5_4heroes_all,45,5832,3117,2715,53.446502057613166,1000,0.0005479282973783751,-999.9994520717026,-99.99994520717026
10_pct5_4heroes_all,50,4682,2521,2161,53.84451089278086,1000,0.0327175323492373,-999.9672824676508,-99.99672824676507
10_pct5_4heroes_all,75,1290,711,579,55.11627906976744,1000,252.6066284764207,-747.3933715235793,-74.73933715235793
10_pct5_4heroes_all,100,330,187,143,56.666666666666664,1000,1164.581704334771,164.58170433477108,16.458170433477108
10_pct5_4heroes_all,150,25,12,13,48.0,1000,937.9628658117434,-62.03713418825657,-6.203713418825657
10_pct5_4heroes_all,200,0,0,0,0.0,1000,1000.0,0.0,0.0
10_pct5_4heroes_all,300,0,0,0,0.0,1000,1000.0,0.0,0.0
10_pct5_4heroes_all,400,0,0,0,0.0,1000,1000.0,0.0,0.0
