strategy,delta_threshold,total_bets,wins,losses,win_rate,starting_bank,final_bankroll,profit_loss,roi
19_fib1_all,5,9150,4662,4488,50.95081967213114,1000,0.0,-1000.0,-100.0
19_fib1_all,10,9833,5017,4816,51.02206854469643,1000,0.0,-1000.0,-100.0
19_fib1_all,15,10938,5642,5296,51.58164198208082,1000,0.0,-1000.0,-100.0
19_fib1_all,20,18172,9570,8602,52.66343825665859,1000,417.4199999999995,-582.5800000000005,-58.25800000000005
19_fib1_all,25,16145,8540,7605,52.895633323010216,1000,380.0899999999966,-619.9100000000034,-61.99100000000034
19_fib1_all,30,14277,7601,6676,53.239476080409055,1000,494.22999999999786,-505.77000000000214,-50.57700000000022
19_fib1_all,35,12515,6721,5794,53.703555733120254,1000,664.6899999999989,-335.3100000000011,-33.53100000000011
19_fib1_all,40,10902,5866,5036,53.80664098330582,1000,251.331000000003,-748.668999999997,-74.8668999999997
19_fib1_all,45,5326,2830,2496,53.135561396920764,1000,0.0,-1000.0,-100.0
19_fib1_all,50,8115,4399,3716,54.208256315465185,1000,485.3100000000024,-514.6899999999976,-51.46899999999975
19_fib1_all,75,3465,1855,1610,53.535353535353536,1000,840.3199999999991,-159.68000000000086,-15.968000000000085
19_fib1_all,100,1292,711,581,55.030959752321984,1000,1036.6499999999996,36.649999999999636,3.6649999999999636
19_fib1_all,150,135,78,57,57.77777777777777,1000,1020.4000000000003,20.40000000000032,2.0400000000000316
19_fib1_all,200,11,4,7,36.36363636363637,1000,992.39,-7.610000000000014,-0.7610000000000013
19_fib1_all,300,0,0,0,0.0,1000,1000.0,0.0,0.0
19_fib1_all,400,0,0,0,0.0,1000,1000.0,0.0,0.0
