strategy,delta_threshold,total_bets,wins,losses,win_rate,starting_bank,final_bankroll,profit_loss,roi
1_flat100_all,5,140,67,73,47.85714285714286,1000,0.0,-1000.0,-100.0
1_flat100_all,10,172,85,87,49.41860465116279,1000,0.0,-1000.0,-100.0
1_flat100_all,15,135,67,68,49.629629629629626,1000,0.0,-1000.0,-100.0
1_flat100_all,20,184,91,93,49.45652173913043,1000,0.0,-1000.0,-100.0
1_flat100_all,25,105,51,54,48.57142857142857,1000,0.0,-1000.0,-100.0
1_flat100_all,30,94,45,49,47.87234042553192,1000,0.0,-1000.0,-100.0
1_flat100_all,35,105,50,55,47.61904761904761,1000,0.0,-1000.0,-100.0
1_flat100_all,40,149,74,75,49.664429530201346,1000,0.0,-1000.0,-100.0
1_flat100_all,45,262,138,124,52.67175572519084,1000,0.0,-1000.0,-100.0
1_flat100_all,50,287,152,135,52.961672473867594,1000,0.0,-1000.0,-100.0
1_flat100_all,75,205,106,99,51.707317073170735,1000,0.0,-1000.0,-100.0
1_flat100_all,100,756,407,349,53.835978835978835,1000,0.0,-1000.0,-100.0
1_flat100_all,150,135,78,57,57.77777777777777,1000,1690.0,690.0,69.0
1_flat100_all,200,11,4,7,36.36363636363637,1000,447.0,-553.0,-55.300000000000004
1_flat100_all,300,0,0,0,0.0,1000,1000.0,0.0,0.0
1_flat100_all,400,0,0,0,0.0,1000,1000.0,0.0,0.0
