strategy,delta_threshold,total_bets,wins,losses,win_rate,starting_bank,final_bankroll,profit_loss,roi
34_fib5_5heroes_all,5,2384,1203,1181,50.461409395973156,1000,0.0,-1000.0,-100.0
34_fib5_5heroes_all,10,1284,660,624,51.4018691588785,1000,0.0,-1000.0,-100.0
34_fib5_5heroes_all,15,2260,1177,1083,52.07964601769911,1000,0.0,-1000.0,-100.0
34_fib5_5heroes_all,20,8060,4187,3873,51.94789081885855,1000,0.0,-1000.0,-100.0
34_fib5_5heroes_all,25,8959,4676,4283,52.193325147895976,1000,0.0,-1000.0,-100.0
34_fib5_5heroes_all,30,7013,3700,3313,52.75916155710823,1000,0.0,-1000.0,-100.0
34_fib5_5heroes_all,35,10051,5411,4640,53.83543925977514,1000,0.0,-1000.0,-100.0
34_fib5_5heroes_all,40,1045,553,492,52.918660287081345,1000,0.0,-1000.0,-100.0
34_fib5_5heroes_all,45,901,477,424,52.94117647058824,1000,0.0,-1000.0,-100.0
34_fib5_5heroes_all,50,3624,1952,1672,53.86313465783664,1000,0.0,-1000.0,-100.0
34_fib5_5heroes_all,75,1121,597,524,53.25602140945585,1000,0.0,-1000.0,-100.0
34_fib5_5heroes_all,100,1292,711,581,55.030959752321984,1000,1183.2499999999973,183.24999999999727,18.32499999999973
34_fib5_5heroes_all,150,135,78,57,57.77777777777777,1000,1102.0,102.0,10.2
34_fib5_5heroes_all,200,11,4,7,36.36363636363637,1000,961.95,-38.049999999999955,-3.8049999999999953
34_fib5_5heroes_all,300,0,0,0,0.0,1000,1000.0,0.0,0.0
34_fib5_5heroes_all,400,0,0,0,0.0,1000,1000.0,0.0,0.0
