strategy,delta_threshold,total_bets,wins,losses,win_rate,starting_bank,final_bankroll,profit_loss,roi
7_flat100_4heroes_all,5,405,204,201,50.37037037037037,1000,0.0,-1000.0,-100.0
7_flat100_4heroes_all,10,579,307,272,53.02245250431778,1000,0.0,-1000.0,-100.0
7_flat100_4heroes_all,15,312,156,156,50.0,1000,0.0,-1000.0,-100.0
7_flat100_4heroes_all,20,465,246,219,52.903225806451616,1000,0.0,-1000.0,-100.0
7_flat100_4heroes_all,25,123,58,65,47.15447154471545,1000,0.0,-1000.0,-100.0
7_flat100_4heroes_all,30,101,47,54,46.53465346534654,1000,0.0,-1000.0,-100.0
7_flat100_4heroes_all,35,91,42,49,46.15384615384615,1000,0.0,-1000.0,-100.0
7_flat100_4heroes_all,40,72,32,40,44.44444444444444,1000,0.0,-1000.0,-100.0
7_flat100_4heroes_all,45,352,189,163,53.69318181818182,1000,0.0,-1000.0,-100.0
7_flat100_4heroes_all,50,872,478,394,54.81651376146789,1000,0.0,-1000.0,-100.0
7_flat100_4heroes_all,75,792,434,358,54.7979797979798,1000,0.0,-1000.0,-100.0
7_flat100_4heroes_all,100,330,187,143,56.666666666666664,1000,2118.0,1118.0,111.80000000000001
7_flat100_4heroes_all,150,25,12,13,48.0,1000,946.0,-54.0,-5.4
7_flat100_4heroes_all,200,0,0,0,0.0,1000,1000.0,0.0,0.0
7_flat100_4heroes_all,300,0,0,0,0.0,1000,1000.0,0.0,0.0
7_flat100_4heroes_all,400,0,0,0,0.0,1000,1000.0,0.0,0.0
