strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,132,61,46,0,1742,100,0
Flat100,none,any,10,102,48,47,0,1282,100,0
Flat100,none,any,15,103,47,46,0,1382,100,0
Flat100,none,any,20,24,8,33,0,1160,100,0
Flat100,none,any,25,24,8,33,0,1213,100,0
Flat100,none,any,30,26,9,35,0,1313,100,0
Flat100,none,any,35,19,6,32,0,1073,100,0
Flat100,none,any,40,17,5,29,0,1073,100,0
Flat100,none,any,45,17,5,29,0,1073,100,0
Flat100,none,any,50,52,22,42,0,1073,100,0
Flat100,none,any,75,24,8,33,0,1047,100,0
Flat100,none,any,100,40,16,40,0,1141,100,0
Flat100,none,any,150,73,33,45,0,1337,100,0
Flat100,none,any,200,15,6,40,523,781,100,0
Flat100,none,any,300,0,0,0,1000,0,0,0
Flat100,none,any,400,0,0,0,1000,0,0,0
Flat100,none,underdog,5,173,68,39,0,2319,100,0
Flat100,none,underdog,10,74,26,35,0,1807,100,0
Flat100,none,underdog,15,168,65,39,0,1959,100,0
Flat100,none,underdog,20,59,20,34,0,1584,100,0
Flat100,none,underdog,25,54,18,33,0,1581,100,0
Flat100,none,underdog,30,125,48,38,0,1737,100,0
Flat100,none,underdog,35,101,39,39,0,1221,100,0
Flat100,none,underdog,40,90,33,37,0,1336,100,0
Flat100,none,underdog,45,78,28,36,0,1094,100,0
Flat100,none,underdog,50,71,25,35,0,1328,100,0
Flat100,none,underdog,75,49,15,31,0,1000,100,0
Flat100,none,underdog,100,28,7,25,0,1000,100,0
Flat100,none,underdog,150,44,14,32,0,1367,100,0
Flat100,none,underdog,200,7,1,14,580,600,100,0
Flat100,none,underdog,300,0,0,0,1000,0,0,0
Flat100,none,underdog,400,0,0,0,1000,0,0,0
Flat100,none,favorite,5,29,13,45,0,1025,100,0
Flat100,none,favorite,10,28,12,43,0,1025,100,0
Flat100,none,favorite,15,23,9,39,0,1025,100,0
Flat100,none,favorite,20,34,16,47,0,1026,100,0
Flat100,none,favorite,25,32,15,47,0,1025,100,0
Flat100,none,favorite,30,27,12,44,0,1025,100,0
Flat100,none,favorite,35,29,13,45,0,1025,100,0
Flat100,none,favorite,40,29,13,45,0,1025,100,0
Flat100,none,favorite,45,28,12,43,0,1025,100,0
Flat100,none,favorite,50,28,12,43,0,1025,100,0
Flat100,none,favorite,75,95,55,58,0,1060,100,0
Flat100,none,favorite,100,43,23,53,0,1173,100,0
Flat100,none,favorite,150,53,27,51,0,1082,100,0
Flat100,none,favorite,200,8,5,62,943,251,100,0
Flat100,none,favorite,300,0,0,0,1000,0,0,0
Flat100,none,favorite,400,0,0,0,1000,0,0,0
Flat100,4heroes,any,5,139,62,45,0,1853,100,0
Flat100,4heroes,any,10,115,51,44,0,1723,100,0
Flat100,4heroes,any,15,108,47,44,0,1956,100,0
Flat100,4heroes,any,20,102,45,44,0,2278,100,0
Flat100,4heroes,any,25,78,34,44,0,1652,100,0
Flat100,4heroes,any,30,63,27,43,0,1236,100,0
Flat100,4heroes,any,35,53,23,43,0,1066,100,0
Flat100,4heroes,any,40,35,15,43,0,1098,100,0
Flat100,4heroes,any,45,33,13,39,0,1073,100,0
Flat100,4heroes,any,50,39,17,44,0,1259,100,0
Flat100,4heroes,any,75,73,35,48,0,1242,100,0
Flat100,4heroes,any,100,197,99,50,0,1568,100,0
Flat100,4heroes,any,150,13,6,46,748,513,100,0
