date,match_id,championship,team1,team2,delta,favored,odds,stake,outcome,payout,bank_before,bank_after
2022-01-01,39597,Asia New Star Cup,Yangon Galacticos,Neptune Gaming,-84.5406,Neptune Gaming,2.04,84,loss,0,1000,916
2022-01-01,39598,Asia New Star Cup,Yangon Galacticos,Neptune Gaming,-85.4870,Neptune Gaming,1.98,78,loss,0,916,838
2022-01-01,39599,Asia New Star Cup,Yangon Galacticos,Phoenix Gaming,116.1750,Yangon Galacticos,1.65,97,win,160,838,901
2022-01-01,39600,Asia New Star Cup,Yangon Galacticos,Phoenix Gaming,18.9334,Yangon Galacticos,1.65,17,win,28,901,912
2022-01-01,39601,Asia New Star Cup,Crocodile,KOBOLDS,14.9216,Crocodile,1.97,13,win,25,912,924
2022-01-01,39604,Asia New Star Cup,Crocodile,KOBOLDS,-41.6796,KOBOLDS,2.63,38,win,99,924,985
2022-01-02,39630,Asia New Star Cup,Neptune Gaming,Rush B,-79.7382,Rush B,2.12,78,loss,0,985,907
2022-01-02,39632,Asia New Star Cup,Neptune Gaming,Rush B,-83.7178,Rush B,2.16,75,loss,0,907,832
2022-01-02,39634,Asia New Star Cup,KOBOLDS,Neptune Gaming,35.1164,KOBOLDS,1.88,29,win,54,832,857
2022-01-02,39635,Asia New Star Cup,KOBOLDS,Neptune Gaming,12.7000,KOBOLDS,1.98,10,loss,0,857,847
2022-01-02,39636,Asia New Star Cup,Army Geniuses,Crocodile,54.8106,Army Geniuses,1.5,46,win,69,847,870
2022-01-02,39640,Asia New Star Cup,Army Geniuses,Crocodile,-49.2254,Crocodile,2.14,42,win,89,870,917
2022-01-02,39643,Asia New Star Cup,Yangon Galacticos,Rush B,47.3656,Yangon Galacticos,1.34,43,loss,0,917,874
2022-01-02,39646,Asia New Star Cup,Yangon Galacticos,Rush B,-111.9306,Rush B,2.23,97,win,216,874,993
2022-01-03,39671,QH Sports Dota Series 3,496 Gaming,Execration,-155.1754,Execration,1.36,154,win,209,993,1048
2022-01-03,39676,QH Sports Dota Series 3,496 Gaming,Execration,8.6318,496 Gaming,2.81,9,win,25,1048,1064
2022-01-03,39673,DPC CN 2021/22 Tour 1: Division I by Perfect World,EHOME,Phoenix Gaming,23.8632,EHOME,1.5,25,win,37,1064,1076
2022-01-03,39678,DPC CN 2021/22 Tour 1: Division I by Perfect World,EHOME,Phoenix Gaming,-93.0046,Phoenix Gaming,2.63,100,loss,0,1076,976
