month,date,match_id,championship,team1,team2,delta,favored,odds,stake,outcome,payout,bank_before,bank_after
2023-01,2023-01-10,71680,European Pro League Season 6,MonaspA,Creep Gaming,-92.6720,Creep Gaming,2.81,92,loss,0,1000,908
2023-01,2023-01-10,71685,European Pro League Season 6,MonaspA,Creep Gaming,-105.5236,Creep Gaming,3.32,95,win,315,908,1128
2023-01,2023-01-10,71691,European Pro League Season 6,MonaspA,Creep Gaming,-154.9286,Creep Gaming,2.63,174,win,457,1128,1411
2023-01,2023-01-10,71693,European Pro League Season 6,Ooredoo Thunders,Water rune enjoyers,-160.5420,Water rune enjoyers,2.81,226,loss,0,1411,1185
2023-01,2023-01-10,71699,European Pro League Season 6,Ooredoo Thunders,Water rune enjoyers,244.1072,Ooredoo Thunders,1.5,289,loss,0,1185,896
2023-01,2023-01-10,71705,European Pro League Season 6,Ooredoo Thunders,Water rune enjoyers,-40.6994,Water rune enjoyers,2.4,36,loss,0,896,860
2023-01,2023-01-11,71790,European Pro League Season 6,Ooredoo Thunders,D2 HUSTLERS,-146.8928,D2 HUSTLERS,2.73,126,win,343,860,1077
2023-01,2023-01-11,71795,European Pro League Season 6,Ooredoo Thunders,D2 HUSTLERS,-126.1210,D2 HUSTLERS,2.25,135,loss,0,1077,942
2023-01,2023-01-11,71799,European Pro League Season 6,Ooredoo Thunders,D2 HUSTLERS,-201.6852,D2 HUSTLERS,2.81,189,win,531,942,1284
2023-01,2023-01-11,71779,European Pro League Season 6,Monte,Creep Gaming,130.6920,Monte,2.85,167,loss,0,1284,1117
2023-01,2023-01-11,71783,European Pro League Season 6,Monte,Creep Gaming,-56.2318,Creep Gaming,1.25,62,loss,0,1117,1055
2023-01,2023-01-11,71787,European Pro League Season 6,Monte,Creep Gaming,-37.5438,Creep Gaming,1.56,39,loss,0,1055,1016
2023-01,2023-01-12,71878,European Pro League Season 6,Creep Gaming,Sigma.YNT,54.9970,Creep Gaming,2.35,55,win,129,1016,1090
2023-01,2023-01-12,71883,European Pro League Season 6,Creep Gaming,Sigma.YNT,-164.6728,Sigma.YNT,1.76,179,win,315,1090,1226
2023-01,2023-01-12,71887,European Pro League Season 6,Creep Gaming,Sigma.YNT,-73.9668,Sigma.YNT,1.7,90,win,153,1226,1289
2023-01,2023-01-12,71859,European Pro League Season 6,Sigma.YNT,Monte,41.7994,Sigma.YNT,1.73,53,win,91,1289,1327
2023-01,2023-01-12,71864,European Pro League Season 6,Sigma.YNT,Monte,88.4624,Sigma.YNT,1.65,117,loss,0,1327,1210
2023-01,2023-01-12,71875,European Pro League Season 6,Sigma.YNT,Monte,-128.9272,Monte,1.92,156,win,299,1210,1353
2023-01,2023-01-12,71892,European Pro League Season 6,MonaspA,No Bounty Hunter,32.0246,MonaspA,1.22,43,win,52,1353,1362
2023-01,2023-01-12,71897,European Pro League Season 6,MonaspA,No Bounty Hunter,101.6996,MonaspA,1.22,138,win,168,1362,1392
2023-01,2023-01-13,71928,European Pro League Season 6,No Bounty Hunter,Sigma.YNT,123.6282,No Bounty Hunter,3.2,172,loss,0,1392,1220
2023-01,2023-01-13,71961,European Pro League Season 6,No Bounty Hunter,Sigma.YNT,-17.9856,Sigma.YNT,1.17,21,win,24,1220,1223
2023-01,2023-01-13,71975,European Pro League Season 6,IVY,BENZ190E,27.8354,IVY,1.69,34,loss,0,1223,1189
2023-01,2023-01-13,71979,European Pro League Season 6,IVY,BENZ190E,54.9896,IVY,1.68,65,win,109,1189,1233
2023-01,2023-01-13,71985,European Pro League Season 6,IVY,BENZ190E,3.5004,IVY,1.69,4,loss,0,1233,1229
2023-01,2023-01-13,71987,European Pro League Season 6,D2 HUSTLERS,EZ KATKA,180.6876,D2 HUSTLERS,1.52,222,win,337,1229,1344
2023-01,2023-01-13,71993,European Pro League Season 6,D2 HUSTLERS,EZ KATKA,-16.7676,EZ KATKA,3.46,22,loss,0,1344,1322
2023-01,2023-01-14,72029,European Pro League Season 6,Water rune enjoyers,BENZ190E,12.0500,Water rune enjoyers,1.92,15,win,28,1322,1335
2023-01,2023-01-14,72058,European Pro League Season 6,Water rune enjoyers,BENZ190E,92.1250,Water rune enjoyers,1.85,122,win,225,1335,1438
2023-01,2023-01-15,72125,European Pro League Season 6,Team Sexy,Monte,137.4006,Team Sexy,1.34,197,win,263,1438,1504
2023-01,2023-01-15,72155,European Pro League Season 6,Team Sexy,Monte,87.3222,Team Sexy,1.4,131,win,183,1504,1556
2023-01,2023-01-15,72186,European Pro League Season 6,D2 HUSTLERS,Water rune enjoyers,-13.5746,Water rune enjoyers,2.25,21,loss,0,1556,1535
2023-01,2023-01-15,72192,European Pro League Season 6,D2 HUSTLERS,Water rune enjoyers,-117.3074,Water rune enjoyers,2.63,180,win,473,1535,1828
2023-01,2023-01-15,72197,European Pro League Season 6,D2 HUSTLERS,Water rune enjoyers,78.1842,D2 HUSTLERS,1.7,142,win,241,1828,1927
2023-01,2023-01-16,72233,European Pro League Season 6,IVY,Water rune enjoyers,14.9868,IVY,1.99,28,loss,0,1927,1899
2023-01,2023-01-16,72286,European Pro League Season 6,IVY,Water rune enjoyers,3.3126,IVY,2,6,loss,0,1899,1893
2023-01,2023-01-16,72297,European Pro League Season 6,BENZ190E,D2 HUSTLERS,-146.9492,D2 HUSTLERS,1.3,278,win,361,1893,1976
2023-01,2023-01-16,72301,European Pro League Season 6,BENZ190E,D2 HUSTLERS,-136.1182,D2 HUSTLERS,1.3,268,loss,0,1976,1708
2023-01,2023-01-16,72305,European Pro League Season 6,BENZ190E,D2 HUSTLERS,-172.3372,D2 HUSTLERS,1.4,294,win,411,1708,1825
2023-01,2023-01-17,72401,European Pro League Season 6,V-Gaming,IVY,-46.1346,IVY,1.39,84,win,116,1825,1857
2023-01,2023-01-17,72410,European Pro League Season 6,V-Gaming,IVY,-52.3896,IVY,1.22,97,win,118,1857,1878
2023-01,2023-01-17,72421,European Pro League Season 6,Creep Gaming,Team Sexy,-254.3294,Team Sexy,1.4,477,win,667,1878,2068
