match_id,date,championship,team1,team2,delta,favored,opponent,odds_favored,odds_opponent,stake,payout,outcome,bank_before,bank_after
71008,2023-01-02,TodayPay Invitational S3,Paradox Esports,CDUB Esports,7.7892,Paradox Esports,CDUB Esports,1.55,2.35,13,0,loss,1790,1777
71011,2023-01-02,TodayPay Invitational S3,Paradox Esports,CDUB Esports,165.4194,Paradox Esports,CDUB Esports,1.6,2.25,293,468,win,1777,1952
71013,2023-01-02,TodayPay Invitational S3,5RATFORCESTAFF,Balrogs e-Sport,-67.4158,Balrogs e-Sport,5RATFORCESTAFF,1.72,2,131,225,win,1952,2046
70945,2023-01-02,TOP EGAMING,Team Virgo,BELIEVE GAMING,45.7418,Team Virgo,BELIEVE GAMING,1.4,2.7,90,0,loss,1984,1894
70957,2023-01-02,TOP EGAMING,BELIEVE GAMING,TEAM M11,80.0474,BELIEVE GAMING,TEAM M11,1.38,2.8,148,204,win,1855,1911
70987,2023-01-02,EPL Winter Holidays,Level Up,Creep Gaming,5.4250,Level Up,Creep Gaming,1.47,2.57,14,20,win,2676,2682
70995,2023-01-02,EPL Winter Holidays,Water rune enjoyers,IVY,-16.7760,IVY,Water rune enjoyers,1.52,2.43,44,66,win,2647,2669
70998,2023-01-02,EPL Winter Holidays,Water rune enjoyers,Hydra,-20.5538,Hydra,Water rune enjoyers,1.32,3.2,54,71,win,2669,2686
71005,2023-01-02,EPL Winter Holidays,Water rune enjoyers,Hydra,-8.6422,Hydra,Water rune enjoyers,1.26,3.62,23,0,loss,2686,2663
71006,2023-01-02,EPL Winter Holidays,Water rune enjoyers,Hydra,-22.7302,Hydra,Water rune enjoyers,1.58,2.2,60,94,win,2663,2697
70969,2023-01-02,Star Series,Team Mystique,Purple Paradox,7.0802,Team Mystique,Purple Paradox,1.8,1.94,19,0,loss,2743,2724
70972,2023-01-02,Star Series,Team Mystique,Purple Paradox,60.1036,Team Mystique,Purple Paradox,1.55,2.35,163,0,loss,2724,2561
71016,2023-01-03,TOP EGAMING,KOBOLDS,Team Virgo,-113.7654,Team Virgo,KOBOLDS,1.39,2.8,291,0,loss,2561,2270
71040,2023-01-03,TOP EGAMING,White Cat,BELIEVE GAMING,-82.5782,BELIEVE GAMING,White Cat,1.21,4.11,181,219,win,2203,2241
71046,2023-01-03,TOP EGAMING,White Cat,BELIEVE GAMING,-4.6878,BELIEVE GAMING,White Cat,1.17,4.64,10,11,win,2241,2242
71041,2023-01-03,TOP EGAMING,White Cat,Team Virgo,-311.1882,Team Virgo,White Cat,1.22,3.99,697,850,win,2242,2395
71058,2023-01-03,TOP EGAMING,White Cat,Team Virgo,-9.8876,Team Virgo,White Cat,1.22,3.8,23,28,win,2395,2400
