date,championship,series_id,map_number,hawk_match_id,team1,team2,team1_heroes,team2_heroes,winner,delta,delta_favored_team,team1_odds,team2_odds
2022-01-01,Asia New Star Cup,20674,1,39601,Crocodile,KOBOLDS,Clockwerk|Morphling|Spirit Breaker|Mars|Death Prophet,Void Spirit|Wraith King|Lion|Ogre Magi|Razor,Crocodile,-16.15,KOBOLDS,1.97,1.69
2022-01-01,Asia New Star Cup,20674,2,39604,Crocodile,KOBOLDS,Ursa|Timbersaw|Mars|Dark Willow|Queen of Pain,Tinker|Grimstroke|Legion Commander|Spirit Breaker|Kunkka,KOBOLDS,-3.41,KOBOLDS,1.45,2.63
2022-01-01,Asia New Star Cup,20673,1,39599,Yangon Galacticos,Phoenix Gaming,Nature's Prophet|Kunkka|Oracle|Morphling|Monkey King,Queen of Pain|Mirana|Phantom Assassin|Doom|Bane,Yangon Galacticos,-18.93,Phoenix Gaming,1.65,2.16
2022-01-01,Asia New Star Cup,20673,2,39600,Yangon Galacticos,Phoenix Gaming,Snapfire|Night Stalker|Oracle|Tinker|Templar Assassin,Mars|Weaver|Wraith King|Viper|Dark Willow,Yangon Galacticos,-5.99,Phoenix Gaming,1.65,2.16
2022-01-01,Asia New Star Cup,20672,1,39597,Yangon Galacticos,Neptune Gaming,Nyx Assassin|Death Prophet|Ember Spirit|Phantom Assassin|Grimstroke,Doom|Clockwerk|Bane|Puck|Razor,Yangon Galacticos,-27.01,Neptune Gaming,1.64,2.04
2022-01-01,Asia New Star Cup,20672,2,39598,Yangon Galacticos,Neptune Gaming,Mars|Clockwerk|Io|Leshrac|Drow Ranger,Beastmaster|Storm Spirit|Luna|Bane|Undying,Yangon Galacticos,-15.33,Neptune Gaming,1.77,1.98
2022-01-02,Asia New Star Cup,20700,1,39643,Yangon Galacticos,Rush B,Oracle|Outworld Destroyer|Timbersaw|Nyx Assassin|Phantom Assassin,Lina|Wraith King|Undying|Rubick|Spirit Breaker,Rush B,-2.07,Rush B,1.34,2.83
2022-01-02,Asia New Star Cup,20700,2,39646,Yangon Galacticos,Rush B,Snapfire|Night Stalker|Ember Spirit|Undying|Phantom Assassin,Kunkka|Wraith King|Disruptor|Nyx Assassin|Death Prophet,Rush B,8.69,Yangon Galacticos,1.61,2.23
2022-01-02,Asia New Star Cup,20699,1,39636,Army Geniuses,Crocodile,Pangolier|Pugna|Void Spirit|Monkey King|Disruptor,Io|Razor|Bloodseeker|Weaver|Legion Commander,Army Geniuses,-21.47,Crocodile,1.50,2.48
2022-01-02,Asia New Star Cup,20699,2,39640,Army Geniuses,Crocodile,Outworld Destroyer|Broodmother|Grimstroke|Clockwerk|Morphling,Mirana|Mars|Ogre Magi|Lina|Monkey King,Crocodile,-9.88,Crocodile,1.66,2.14
2022-01-02,Asia New Star Cup,20676,1,39634,KOBOLDS,Neptune Gaming,Weaver|Gyrocopter|Beastmaster|Kunkka|Batrider,Ogre Magi|Razor|Rubick|Storm Spirit|Spirit Breaker,KOBOLDS,-14.61,Neptune Gaming,1.88,1.76
2022-01-02,Asia New Star Cup,20676,2,39635,KOBOLDS,Neptune Gaming,Outworld Destroyer|Treant Protector|Gyrocopter|Mars|Tinker,Bane|Queen of Pain|Batrider|Snapfire|Luna,Neptune Gaming,-8.50,Neptune Gaming,1.98,1.77
2022-01-02,Asia New Star Cup,20675,1,39630,Neptune Gaming,Rush B,Lion|Chaos Knight|Zeus|Drow Ranger|Pangolier,Mirana|Mars|Luna|Ember Spirit|Timbersaw,Neptune Gaming,-23.88,Rush B,1.59,2.12
2022-01-02,Asia New Star Cup,20675,2,39632,Neptune Gaming,Rush B,Mirana|Vengeful Spirit|Tiny|Ogre Magi|Tusk,Lion|Puck|Bounty Hunter|Centaur Warrunner|Troll Warlord,Neptune Gaming,-3.14,Rush B,1.65,2.16
2022-01-03,Asia New Star Cup,20740,1,39697,Army Geniuses,KOBOLDS,Monkey King|Clockwerk|Kunkka|Morphling|Pugna,Bounty Hunter|Gyrocopter|Razor|Wraith King|Tinker,Army Geniuses,-1.43,KOBOLDS,1.67,2.12
2022-01-03,Asia New Star Cup,20740,2,39701,Army Geniuses,KOBOLDS,Dark Willow|Templar Assassin|Queen of Pain|Clockwerk|Nature's Prophet,Outworld Destroyer|Gyrocopter|Mirana|Medusa|Mars,KOBOLDS,-0.50,KOBOLDS,1.59,2.27
2022-01-03,QH Sports Dota Series 3,20741,1,39694,Ragdoll,Execration,Drow Ranger|Dragon Knight|Dark Willow|Mars|Death Prophet,Shadow Demon|Queen of Pain|Ogre Magi|Razor|Spirit Breaker,Ragdoll,-15.98,Execration,1.91,1.83
2022-01-03,QH Sports Dota Series 3,20741,2,39699,Ragdoll,Execration,Mars|Wraith King|Templar Assassin|Lion|Weaver,Nyx Assassin|Phantom Lancer|Queen of Pain|Beastmaster|Rubick,Execration,-37.33,Execration,1.83,1.91
2022-01-03,DPC CN 2021/22 Tour 1: Division I by Perfect World,20739,1,39687,LGD Gaming,Team Aster,Drow Ranger|Weaver|Tidehunter|Void Spirit|Ogre Magi,Mars|Monkey King|Grimstroke|Ember Spirit|Lion,Team Aster,4.20,LGD Gaming,1.22,3.99
2022-01-03,DPC CN 2021/22 Tour 1: Division I by Perfect World,20739,2,39690,LGD Gaming,Team Aster,Night Stalker|Kunkka|Bane|Luna|Grimstroke,Enchantress|Mars|Lion|Templar Assassin|Queen of Pain,LGD Gaming,-1.67,Team Aster,1.35,3.04
2022-01-03,DPC CN 2021/22 Tour 1: Division I by Perfect World,20739,3,39698,LGD Gaming,Team Aster,Death Prophet|Tinker|Tidehunter|Wraith King|Tiny,Monkey King|Lina|Grimstroke|Dawnbreaker|Doom,LGD Gaming,-6.77,Team Aster,1.35,3.04
2022-01-03,Asia New Star Cup,20737,1,39684,Yangon Galacticos,Crocodile,Nyx Assassin|Disruptor|Outworld Destroyer|Wraith King|Death Prophet,Lion|Lich|Mars|Anti-Mage|Queen of Pain,Crocodile,2.44,Yangon Galacticos,1.61,2.23
2022-01-03,Asia New Star Cup,20737,2,39689,Yangon Galacticos,Crocodile,Kunkka|Vengeful Spirit|Templar Assassin|Death Prophet|Juggernaut,Medusa|Lion|Venomancer|Mars|Storm Spirit,Crocodile,-12.34,Crocodile,1.88,1.86
