month,date,match_id,championship,team1,team2,delta,favored,odds,stake,outcome,payout,bank_before,bank_after
2025-08,2025-08-01,172132,Clavision Masters 2025: Snow-Ruyi,Nigma Galaxy,Tundra Esports,-7.3730,Tundra Esports,1.72,7,loss,0,1000,993
2025-08,2025-08-01,172224,Clavision Masters 2025: Snow-Ruyi,Nigma Galaxy,Tundra Esports,5.2859,Nigma Galaxy,2,5,loss,0,993,988
2025-08,2025-08-01,172232,Clavision Masters 2025: Snow-Ruyi,Nigma Galaxy,Tundra Esports,14.4822,Nigma Galaxy,2.13,14,loss,0,988,974
2025-08,2025-08-01,172136,Clavision Masters 2025: Snow-Ruyi,Team Tidebound,Gaimin Gladiators,5.7271,Team Tidebound,1.88,5,win,9,974,978
2025-08,2025-08-01,172250,Clavision Masters 2025: Snow-Ruyi,Team Tidebound,Gaimin Gladiators,11.2341,Team Tidebound,1.78,10,win,17,978,985
2025-08,2025-08-01,172134,Clavision Masters 2025: Snow-Ruyi,PARIVISION,Xtreme Gaming,-2.7009,Xtreme Gaming,2.65,2,win,5,985,988
2025-08,2025-08-01,172179,Clavision Masters 2025: Snow-Ruyi,PARIVISION,Xtreme Gaming,12.7860,PARIVISION,1.44,12,loss,0,988,976
2025-08,2025-08-01,172133,Clavision Masters 2025: Snow-Ruyi,BetBoom Team,BOOM Esports,-1.8308,BOOM Esports,3.78,1,loss,0,976,975
2025-08,2025-08-01,172195,Clavision Masters 2025: Snow-Ruyi,BetBoom Team,BOOM Esports,19.4179,BetBoom Team,1.23,18,loss,0,975,957
2025-08,2025-08-01,172206,Clavision Masters 2025: Snow-Ruyi,BetBoom Team,BOOM Esports,21.7935,BetBoom Team,1.33,20,win,26,957,963
2025-08,2025-08-01,172220,CCT Season 2 Series 3,Passion UA,1win Team,3.9634,Passion UA,2.53,3,win,7,963,967
2025-08,2025-08-01,172223,CCT Season 2 Series 3,Passion UA,1win Team,3.9288,Passion UA,2.28,3,loss,0,967,964
2025-08,2025-08-01,172233,CCT Season 2 Series 3,Passion UA,1win Team,-16.0122,1win Team,1.43,15,win,21,964,970
2025-08,2025-08-01,172239,CCT Season 2 Series 3,Passion UA,1win Team,5.3706,Passion UA,2.42,5,win,12,970,977
2025-08,2025-08-01,172249,CCT Season 2 Series 3,Passion UA,1win Team,19.9601,Passion UA,2.38,19,loss,0,977,958
2025-08,2025-08-01,172246,European Pro League 28,Zero Tenacity,Yellow Submarine,-51.4395,Yellow Submarine,1.82,49,loss,0,958,909
2025-08,2025-08-01,172253,European Pro League 28,Zero Tenacity,Yellow Submarine,-6.1498,Yellow Submarine,1.84,5,loss,0,909,904
2025-08,2025-08-01,172259,European Pro League 28,Zero Tenacity,Yellow Submarine,-22.4325,Yellow Submarine,1.89,20,loss,0,904,884
2025-08,2025-08-02,172341,CIS Battle 2,Zero Tenacity,Yellow Submarine,16.9793,Zero Tenacity,1.72,15,loss,0,884,869
2025-08,2025-08-02,172344,CIS Battle 2,Zero Tenacity,Yellow Submarine,-2.0499,Yellow Submarine,2.05,1,win,2,869,870
2025-08,2025-08-02,172351,CIS Battle 2,Yellow Submarine,Level Up,-5.2602,Level Up,2.15,4,loss,0,870,866
2025-08,2025-08-02,172356,CIS Battle 2,Yellow Submarine,Level Up,6.7685,Yellow Submarine,1.48,5,loss,0,866,861
2025-08,2025-08-02,172359,CIS Battle 2,Yellow Submarine,Level Up,-26.7592,Level Up,2.35,23,loss,0,861,838
2025-08,2025-08-02,172248,Clavision Masters 2025: Snow-Ruyi,Nigma Galaxy,Xtreme Gaming,-25.6100,Xtreme Gaming,1.88,21,win,39,838,856
2025-08,2025-08-02,172311,Clavision Masters 2025: Snow-Ruyi,BetBoom Team,Gaimin Gladiators,-8.9722,Gaimin Gladiators,2.15,7,loss,0,856,849
2025-08,2025-08-02,172324,Clavision Masters 2025: Snow-Ruyi,Tundra Esports,Team Tidebound,12.5461,Tundra Esports,1.88,10,win,18,849,857
2025-08,2025-08-02,172320,Clavision Masters 2025: Snow-Ruyi,Xtreme Gaming,BetBoom Team,6.7158,Xtreme Gaming,2.05,5,loss,0,857,852
2025-08,2025-08-02,172333,Clavision Masters 2025: Snow-Ruyi,Xtreme Gaming,BetBoom Team,-1.3245,BetBoom Team,1.55,1,loss,0,852,851
2025-08,2025-08-02,172338,Clavision Masters 2025: Snow-Ruyi,Xtreme Gaming,BetBoom Team,-14.5963,BetBoom Team,1.6,12,loss,0,851,839
2025-08,2025-08-03,172422,CIS Battle 2,Nemiga Gaming,Zero Tenacity,4.0643,Nemiga Gaming,2.2,3,win,6,839,842
2025-08,2025-08-03,172427,CIS Battle 2,Nemiga Gaming,Zero Tenacity,-4.5345,Zero Tenacity,1.62,3,win,4,842,843
2025-08,2025-08-03,172430,CIS Battle 2,Nemiga Gaming,Zero Tenacity,-14.5644,Zero Tenacity,1.65,12,loss,0,843,831
2025-08,2025-08-03,172431,CIS Battle 2,Zero Tenacity,Level Up,-24.3688,Level Up,2,20,loss,0,831,811
2025-08,2025-08-03,172437,CIS Battle 2,Zero Tenacity,Level Up,-17.1749,Level Up,2.15,13,loss,0,811,798
2025-08,2025-08-03,172397,Clavision Masters 2025: Snow-Ruyi,Team Tidebound,Xtreme Gaming,-5.9770,Xtreme Gaming,1.93,4,loss,0,798,794
2025-08,2025-08-03,172401,Clavision Masters 2025: Snow-Ruyi,Team Tidebound,Tundra Esports,16.3084,Team Tidebound,2.35,12,loss,0,794,782
2025-08,2025-08-03,172408,Clavision Masters 2025: Snow-Ruyi,Team Tidebound,Tundra Esports,-3.8235,Tundra Esports,1.65,2,loss,0,782,780
2025-08,2025-08-03,172416,Clavision Masters 2025: Snow-Ruyi,Team Tidebound,Tundra Esports,-4.3860,Tundra Esports,1.7,3,loss,0,780,777
2025-08,2025-08-03,172417,Clavision Masters 2025: Snow-Ruyi,Team Tidebound,Tundra Esports,-33.5955,Tundra Esports,1.7,26,win,44,777,795
2025-08,2025-08-03,172426,Clavision Masters 2025: Snow-Ruyi,Team Tidebound,Tundra Esports,-8.1700,Tundra Esports,1.71,6,loss,0,795,789
2025-08,2025-08-04,172439,EPL World Series: Southeast Asia S7,Yangon Galacticos,Kopite,-22.5664,Kopite,2.2,17,loss,0,789,772
2025-08,2025-08-04,172490,EPL World Series: Southeast Asia S7,REKONIX,Ivory,-5.4625,Ivory,2.6,4,loss,0,772,768
2025-08,2025-08-04,172498,EPL World Series: Southeast Asia S7,REKONIX,Ivory,-24.3768,Ivory,2.86,18,loss,0,768,750
2025-08,2025-08-04,172504,CIS Battle 2,Zero Tenacity,eSpoiled,41.2652,Zero Tenacity,1.58,30,loss,0,750,720
2025-08,2025-08-04,172512,CIS Battle 2,Zero Tenacity,eSpoiled,-2.3759,eSpoiled,2.2,1,loss,0,720,719
2025-08,2025-08-04,172517,CIS Battle 2,Zero Tenacity,eSpoiled,5.5964,Zero Tenacity,1.52,4,win,6,719,721
2025-08,2025-08-04,172511,CIS Battle 2,Runa Team,Yellow Submarine,9.1643,Runa Team,1.79,6,loss,0,721,715
2025-08,2025-08-04,172529,CIS Battle 2,Runa Team,Yellow Submarine,11.6015,Runa Team,1.94,8,loss,0,715,707
2025-08,2025-08-04,172535,CIS Battle 2,4Pirates,Kalmychata,4.1112,4Pirates,1.42,2,win,2,707,707
2025-08,2025-08-04,172543,CIS Battle 2,4Pirates,Kalmychata,-2.9468,Kalmychata,2.58,2,loss,0,707,705
2025-08,2025-08-05,172549,EPL World Series: Southeast Asia S7,Ivory,Carstensz Esports,-10.8687,Carstensz Esports,3,7,win,21,705,719
2025-08,2025-08-05,172585,EPL World Series: Southeast Asia S7,Ivory,Carstensz Esports,-28.6668,Carstensz Esports,2.52,20,loss,0,719,699
2025-08,2025-08-05,172591,EPL World Series: Southeast Asia S7,Ivory,Carstensz Esports,-10.6319,Carstensz Esports,2.68,7,loss,0,699,692
2025-08,2025-08-05,172550,EPL World Series: Southeast Asia S7,Kopite,InterActive Philippines,12.9491,Kopite,1.3,8,loss,0,692,684
2025-08,2025-08-05,172607,EPL World Series: Southeast Asia S7,Kopite,InterActive Philippines,-6.2530,InterActive Philippines,3.05,4,loss,0,684,680
2025-08,2025-08-05,172615,EPL World Series: Southeast Asia S7,Kopite,InterActive Philippines,-5.0644,InterActive Philippines,2.48,3,loss,0,680,677
2025-08,2025-08-05,172556,CIS Battle 2,Nemiga Gaming,4Pirates,21.6715,Nemiga Gaming,2.5,14,loss,0,677,663
2025-08,2025-08-05,172617,CIS Battle 2,Nemiga Gaming,4Pirates,-14.7641,4Pirates,1.41,9,win,12,663,666
2025-08,2025-08-05,172623,CIS Battle 2,Kalmychata,eSpoiled,10.5759,Kalmychata,1.92,7,win,13,666,672
2025-08,2025-08-05,172634,CIS Battle 2,Kalmychata,eSpoiled,15.2912,Kalmychata,1.89,10,win,18,672,680
2025-08,2025-08-05,172644,CIS Battle 2,Runa Team,Level Up,4.2319,Runa Team,1.62,2,loss,0,680,678
2025-08,2025-08-05,172649,CIS Battle 2,Runa Team,Level Up,-2.3362,Level Up,2.12,1,loss,0,678,677
2025-08,2025-08-06,172653,CIS Battle 2,Zero Tenacity,4Pirates,4.9494,Zero Tenacity,2.25,3,win,6,677,680
2025-08,2025-08-06,172723,CIS Battle 2,Zero Tenacity,4Pirates,8.5704,Zero Tenacity,2.2,5,win,11,680,686
2025-08,2025-08-06,172661,CIS Battle 2,Yellow Submarine,Kalmychata,-6.0401,Kalmychata,2.65,4,loss,0,686,682
2025-08,2025-08-06,172737,CIS Battle 2,Yellow Submarine,Kalmychata,-6.7068,Kalmychata,3,4,win,12,682,690
2025-08,2025-08-06,172744,CIS Battle 2,Yellow Submarine,Kalmychata,10.8179,Yellow Submarine,1.32,7,win,9,690,692
2025-08,2025-08-06,172754,CIS Battle 2,Runa Team,eSpoiled,15.3284,Runa Team,1.37,10,win,13,692,695
2025-08,2025-08-06,172757,CIS Battle 2,Runa Team,eSpoiled,5.6297,Runa Team,1.32,3,win,3,695,695
2025-08,2025-08-06,172670,EPL World Series: Southeast Asia S7,Ivory,Kopite,12.7220,Ivory,1.5,8,win,12,695,699
2025-08,2025-08-06,172689,EPL World Series: Southeast Asia S7,Ivory,Kopite,-50.2522,Kopite,2.5,35,win,87,699,751
2025-08,2025-08-06,172696,EPL World Series: Southeast Asia S7,Ivory,Kopite,-15.3757,Kopite,2.46,11,loss,0,751,740
2025-08,2025-08-06,172702,EPL World Series: Southeast Asia S7,REKONIX,Yangon Galacticos,2.6666,REKONIX,1.45,1,win,1,740,740
2025-08,2025-08-06,172714,EPL World Series: Southeast Asia S7,REKONIX,Yangon Galacticos,-12.6809,Yangon Galacticos,2.75,9,win,24,740,755
2025-08,2025-08-06,172720,EPL World Series: Southeast Asia S7,REKONIX,Yangon Galacticos,-19.9856,Yangon Galacticos,2.81,15,loss,0,755,740
2025-08,2025-08-07,172792,CIS Battle 2,Zero Tenacity,Kalmychata,7.4572,Zero Tenacity,1.52,5,win,7,740,742
2025-08,2025-08-07,172837,CIS Battle 2,Zero Tenacity,Kalmychata,3.4179,Zero Tenacity,1.41,2,loss,0,742,740
2025-08,2025-08-07,172748,CIS Battle 2,Runa Team,Nemiga Gaming,-12.8191,Nemiga Gaming,2.61,9,loss,0,740,731
2025-08,2025-08-07,172848,CIS Battle 2,Runa Team,Nemiga Gaming,4.5119,Runa Team,1.41,3,win,4,731,732
2025-08,2025-08-07,172793,CIS Battle 2,Level Up,eSpoiled,-6.8493,eSpoiled,1.91,5,win,9,732,736
2025-08,2025-08-07,172860,CIS Battle 2,Level Up,eSpoiled,-10.7171,eSpoiled,1.87,7,win,13,736,742
