month,date,match_id,championship,team1,team2,delta,favored,odds,stake,outcome,payout,bank_before,bank_after
2023-01,2023-01-02,71001,TodayPay Invitational S3,CDUB Esports,KEEPER GAMING,28.6319,CDUB Esports,1.23,28,win,34,1000,1006
2023-01,2023-01-02,71003,TodayPay Invitational S3,CDUB Esports,KEEPER GAMING,29.2439,CDUB Esports,1.13,29,loss,0,1006,977
2023-01,2023-01-02,71011,TodayPay Invitational S3,Paradox Esports,CDUB Esports,-82.9735,CDUB Esports,2.25,81,loss,0,977,896
2023-01,2023-01-02,71013,TodayPay Invitational S3,5RATFORCESTAFF,Balrogs e-Sport,7.4063,5RATFORCESTAFF,2,6,loss,0,896,890
2023-01,2023-01-02,71019,TodayPay Invitational S3,5RATFORCESTAFF,Balrogs e-Sport,23.0860,5RATFORCESTAFF,1.87,20,loss,0,890,870
2023-01,2023-01-02,70945,TOP EGAMING,Team Virgo,BELIEVE GAMING,13.1263,Team Virgo,1.4,11,loss,0,870,859
2023-01,2023-01-02,70953,TOP EGAMING,Team Virgo,BELIEVE GAMING,5.9605,Team Virgo,3.5,5,loss,0,859,854
2023-01,2023-01-02,70957,TOP EGAMING,BELIEVE GAMING,TEAM M11,7.5920,BELIEVE GAMING,1.38,6,win,8,854,856
2023-01,2023-01-02,70964,TOP EGAMING,BELIEVE GAMING,TEAM M11,5.4635,BELIEVE GAMING,2.7,4,win,10,856,862
2023-01,2023-01-02,70949,EPL Winter Holidays,Level Up,Creep Gaming,-4.3635,Creep Gaming,2.47,3,win,7,862,866
2023-01,2023-01-02,70979,EPL Winter Holidays,Level Up,Creep Gaming,-25.5402,Creep Gaming,2.15,22,loss,0,866,844
2023-01,2023-01-02,70992,EPL Winter Holidays,Water rune enjoyers,IVY,-2.7509,IVY,1.5,2,win,3,844,845
2023-01,2023-01-02,70995,EPL Winter Holidays,Water rune enjoyers,IVY,-16.5003,IVY,1.52,13,win,19,845,851
2023-01,2023-01-02,70998,EPL Winter Holidays,Water rune enjoyers,Hydra,-9.4082,Hydra,1.32,8,win,10,851,853
2023-01,2023-01-02,71005,EPL Winter Holidays,Water rune enjoyers,Hydra,-8.2056,Hydra,1.26,6,loss,0,853,847
2023-01,2023-01-02,71006,EPL Winter Holidays,Water rune enjoyers,Hydra,-2.6433,Hydra,1.58,2,win,3,847,848
2023-01,2023-01-02,70961,Star Series,Team Mystique,Purple Paradox,3.9000,Team Mystique,1.78,3,loss,0,848,845
2023-01,2023-01-02,70966,Star Series,Team Mystique,Purple Paradox,8.3776,Team Mystique,1.82,7,win,12,845,850
2023-01,2023-01-02,70969,Star Series,Team Mystique,Purple Paradox,-2.6933,Purple Paradox,1.94,2,win,3,850,851
2023-01,2023-01-02,70972,Star Series,Team Mystique,Purple Paradox,-7.7610,Purple Paradox,2.35,6,win,14,851,859
2023-01,2023-01-03,71016,TOP EGAMING,KOBOLDS,Team Virgo,1.5141,KOBOLDS,2.8,1,win,2,859,860
2023-01,2023-01-03,71030,TOP EGAMING,KOBOLDS,Team Virgo,9.9175,KOBOLDS,1.87,8,win,14,860,866
2023-01,2023-01-03,71040,TOP EGAMING,White Cat,BELIEVE GAMING,18.6430,White Cat,4.11,16,loss,0,866,850
2023-01,2023-01-03,71046,TOP EGAMING,White Cat,BELIEVE GAMING,-18.1443,BELIEVE GAMING,1.17,15,win,17,850,852
2023-01,2023-01-03,71041,TOP EGAMING,White Cat,Team Virgo,-3.2799,Team Virgo,1.22,2,win,2,852,852
2023-01,2023-01-03,71058,TOP EGAMING,White Cat,Team Virgo,5.0898,White Cat,3.8,4,loss,0,852,848
2023-01,2023-01-03,71082,TodayPay Invitational S3,5RATFORCESTAFF,KEEPER GAMING,36.2402,5RATFORCESTAFF,1.17,30,loss,0,848,818
2023-01,2023-01-03,71085,TodayPay Invitational S3,5RATFORCESTAFF,KEEPER GAMING,9.6818,5RATFORCESTAFF,1.22,7,win,8,818,819
2023-01,2023-01-03,71089,TodayPay Invitational S3,CDUB Esports,ANOTHER NA TEAM,-12.9610,ANOTHER NA TEAM,1.52,10,win,15,819,824
2023-01,2023-01-03,71093,TodayPay Invitational S3,CDUB Esports,ANOTHER NA TEAM,15.5498,CDUB Esports,2.48,12,win,29,824,841
2023-01,2023-01-03,71096,TodayPay Invitational S3,Qhali,CDUB Esports,-38.5464,CDUB Esports,2.05,32,loss,0,841,809
2023-01,2023-01-03,71097,TodayPay Invitational S3,Qhali,CDUB Esports,-32.5443,CDUB Esports,2.25,26,loss,0,809,783
2023-01,2023-01-03,71032,Moon Studio Campfire,Atlantis,Poke Gaming,13.5020,Atlantis,2.26,10,win,22,783,795
2023-01,2023-01-03,71045,Moon Studio Campfire,Atlantis,Poke Gaming,6.8070,Atlantis,1.87,5,win,9,795,799
2023-01,2023-01-03,71051,Moon Studio Campfire,iG.Vitality,Meteor Gaming,13.2880,iG.Vitality,1.87,10,loss,0,799,789
2023-01,2023-01-03,71057,Moon Studio Campfire,iG.Vitality,Meteor Gaming,29.6902,iG.Vitality,1.87,23,win,43,789,809
2023-01,2023-01-03,71034,EPL Winter Holidays,IVY,Hydra,-30.2325,Hydra,1.69,24,loss,0,809,785
2023-01,2023-01-03,71065,EPL Winter Holidays,IVY,Hydra,-12.6680,Hydra,1.87,9,win,16,785,792
2023-01,2023-01-03,71069,EPL Winter Holidays,IVY,Hydra,-8.2799,Hydra,1.69,6,loss,0,792,786
2023-01,2023-01-03,71072,EPL Winter Holidays,Level Up,YNT,-21.4412,YNT,1.65,16,win,26,786,796
2023-01,2023-01-03,71075,EPL Winter Holidays,Level Up,YNT,-38.1203,YNT,1.5,30,loss,0,796,766
2023-01,2023-01-03,71076,EPL Winter Holidays,Level Up,YNT,-11.6945,YNT,1.65,8,loss,0,766,758
2023-01,2023-01-03,71080,EPL Winter Holidays,YNT,Creep Gaming,7.0403,YNT,1.42,5,loss,0,758,753
2023-01,2023-01-03,71083,EPL Winter Holidays,YNT,Creep Gaming,-7.8751,Creep Gaming,1.99,5,loss,0,753,748
2023-01,2023-01-03,71086,EPL Winter Holidays,YNT,Creep Gaming,-33.0477,Creep Gaming,2.6,24,loss,0,748,724
2023-01,2023-01-03,71017,ESEA LEAGUE,Refraction Gaming,Team Balut,2.3733,Refraction Gaming,1.47,1,loss,0,724,723
2023-01,2023-01-03,71037,ESEA LEAGUE,Refraction Gaming,Team Balut,9.0403,Refraction Gaming,1.82,6,loss,0,723,717
2023-01,2023-01-04,71119,Moon Studio Campfire,iG.Vitality,Lilgun,-27.3174,Lilgun,1.71,19,loss,0,717,698
2023-01,2023-01-04,71113,Moon Studio Campfire,iG.Vitality,Dawn Gaming,-16.5691,Dawn Gaming,1.85,11,win,20,698,707
2023-01,2023-01-04,71127,Moon Studio Campfire,iG.Vitality,Dawn Gaming,-14.4892,Dawn Gaming,1.87,10,win,18,707,715
2023-01,2023-01-04,71106,TOP EGAMING,496 Gaming,White Cat,-15.7127,White Cat,2.25,11,win,24,715,728
2023-01,2023-01-04,71110,TOP EGAMING,496 Gaming,White Cat,-10.1264,White Cat,1.89,7,loss,0,728,721
2023-01,2023-01-04,71121,TOP EGAMING,White Cat,TEAM M11,20.1400,White Cat,1.67,14,loss,0,721,707
2023-01,2023-01-04,71115,TOP EGAMING,Team Tsunami,BELIEVE GAMING,3.9130,Team Tsunami,2.4,2,win,4,707,709
2023-01,2023-01-04,71129,TOP EGAMING,Team Tsunami,BELIEVE GAMING,-5.3937,BELIEVE GAMING,3.32,3,loss,0,709,706
2023-01,2023-01-04,71152,TodayPay Invitational S3,Dreamers Esports,CDUB Esports,-7.3184,CDUB Esports,3.2,5,loss,0,706,701
2023-01,2023-01-04,71156,TodayPay Invitational S3,Dreamers Esports,CDUB Esports,10.5347,Dreamers Esports,1.2,7,win,8,701,702
2023-01,2023-01-04,71159,TodayPay Invitational S3,ETERNITY,ANOTHER NA TEAM,9.7378,ETERNITY,3.2,6,win,19,702,715
2023-01,2023-01-04,71161,TodayPay Invitational S3,ETERNITY,ANOTHER NA TEAM,11.3804,ETERNITY,2.08,8,loss,0,715,707
2023-01,2023-01-04,71165,TodayPay Invitational S3,5RATFORCESTAFF,ANOTHER NA TEAM,3.2554,5RATFORCESTAFF,1.65,2,win,3,707,708
2023-01,2023-01-04,71146,EPL Winter Holidays,Level Up,Hydra,27.5470,Level Up,2.2,19,loss,0,708,689
2023-01,2023-01-04,71150,EPL Winter Holidays,IVY,YNT,24.4778,IVY,1.61,16,win,25,689,698
2023-01,2023-01-04,71158,EPL Winter Holidays,IVY,YNT,-20.7174,YNT,2.01,14,win,28,698,712
2023-01,2023-01-05,71182,TOP EGAMING,Team Tsunami,Team Virgo,-13.1628,Team Virgo,1.45,9,win,13,712,716
2023-01,2023-01-05,71189,TOP EGAMING,Team Tsunami,Team Virgo,2.6481,Team Tsunami,2.7,1,loss,0,716,715
2023-01,2023-01-05,71169,SPARTA CUP,EV GaminG,Team Saiyan,12.8423,EV GaminG,2.4,9,win,21,715,727
2023-01,2023-01-05,71170,SPARTA CUP,EV GaminG,Team Saiyan,-8.5771,Team Saiyan,1.87,6,win,11,727,732
2023-01,2023-01-05,71172,TOP EGAMING,KOBOLDS,BELIEVE GAMING,4.8013,KOBOLDS,2.1,3,loss,0,732,729
2023-01,2023-01-05,71180,TOP EGAMING,KOBOLDS,BELIEVE GAMING,16.9771,KOBOLDS,2.63,12,win,31,729,748
2023-01,2023-01-05,71175,Moon Studio Campfire,Xerxia,Atlantis,-13.9518,Atlantis,2.14,10,loss,0,748,738
2023-01,2023-01-05,71190,Moon Studio Campfire,Xerxia,Atlantis,-18.1036,Atlantis,2,13,loss,0,738,725
2023-01,2023-01-05,71176,Moon Studio Campfire,Xerxia,Lilgun,27.5341,Xerxia,1.55,19,loss,0,725,706
2023-01,2023-01-05,71197,Moon Studio Campfire,Xerxia,Lilgun,12.8790,Xerxia,1.98,9,loss,0,706,697
