strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,12,1,8,0,1000,100,0
Flat100,none,any,10,47,22,47,0,1000,100,0
Flat100,none,any,15,41,17,41,0,1000,100,0
Flat100,none,any,20,20,6,30,0,1000,100,0
Flat100,none,any,25,23,8,35,0,1000,100,0
Flat100,none,any,30,12,7,58,988,200,100,0
Flat100,none,any,35,6,2,33,800,300,100,0
Flat100,none,any,40,4,0,0,600,400,100,0
Flat100,none,any,45,0,0,0,1000,0,0,0
Flat100,none,any,50,0,0,0,1000,0,0,0
Flat100,none,any,75,0,0,0,1000,0,0,0
Flat100,none,any,100,0,0,0,1000,0,0,0
Flat100,none,any,125,0,0,0,1000,0,0,0
Flat100,none,any,150,0,0,0,1000,0,0,0
Flat100,none,any,200,0,0,0,1000,0,0,0
Flat100,none,any,250,0,0,0,1000,0,0,0
Flat100,none,any,300,0,0,0,1000,0,0,0
Flat100,none,any,350,0,0,0,1000,0,0,0
Flat100,none,any,400,0,0,0,1000,0,0,0
Flat100,none,underdog,5,32,10,31,0,1000,100,0
Flat100,none,underdog,10,25,7,28,0,1000,100,0
Flat100,none,underdog,15,30,8,27,0,1055,100,0
Flat100,none,underdog,20,18,3,17,0,1000,100,0
Flat100,none,underdog,25,11,1,9,138,862,100,0
Flat100,none,underdog,30,4,1,25,838,200,100,0
Flat100,none,underdog,35,3,1,33,938,100,100,0
Flat100,none,underdog,40,2,0,0,800,200,100,0
Flat100,none,underdog,45,0,0,0,1000,0,0,0
Flat100,none,underdog,50,0,0,0,1000,0,0,0
Flat100,none,underdog,75,0,0,0,1000,0,0,0
Flat100,none,underdog,100,0,0,0,1000,0,0,0
Flat100,none,underdog,125,0,0,0,1000,0,0,0
Flat100,none,underdog,150,0,0,0,1000,0,0,0
Flat100,none,underdog,200,0,0,0,1000,0,0,0
Flat100,none,underdog,250,0,0,0,1000,0,0,0
Flat100,none,underdog,300,0,0,0,1000,0,0,0
Flat100,none,underdog,350,0,0,0,1000,0,0,0
Flat100,none,underdog,400,0,0,0,1000,0,0,0
Flat100,none,favorite,5,55,31,56,0,1015,100,0
Flat100,none,favorite,10,39,23,59,493,678,100,0
Flat100,none,favorite,15,24,12,50,393,672,100,0
Flat100,none,favorite,20,18,9,50,528,580,100,0
Flat100,none,favorite,25,13,7,54,783,350,100,0
Flat100,none,favorite,30,8,6,75,1150,100,100,0
Flat100,none,favorite,35,3,1,33,862,200,100,0
Flat100,none,favorite,40,2,0,0,800,200,100,0
Flat100,none,favorite,45,0,0,0,1000,0,0,0
Flat100,none,favorite,50,0,0,0,1000,0,0,0
Flat100,none,favorite,75,0,0,0,1000,0,0,0
Flat100,none,favorite,100,0,0,0,1000,0,0,0
Flat100,none,favorite,125,0,0,0,1000,0,0,0
Flat100,none,favorite,150,0,0,0,1000,0,0,0
Flat100,none,favorite,200,0,0,0,1000,0,0,0
Flat100,none,favorite,250,0,0,0,1000,0,0,0
Flat100,none,favorite,300,0,0,0,1000,0,0,0
Flat100,none,favorite,350,0,0,0,1000,0,0,0
Flat100,none,favorite,400,0,0,0,1000,0,0,0
Bankroll5pct,none,any,5,136,60,44,286,726,50,0
Bankroll5pct,none,any,10,90,38,42,358,642,50,0
Bankroll5pct,none,any,15,58,21,36,380,620,50,0
Bankroll5pct,none,any,20,36,12,33,453,547,50,0
Bankroll5pct,none,any,25,24,8,33,568,432,50,0
Bankroll5pct,none,any,30,12,7,58,984,101,53,0
Bankroll5pct,none,any,35,6,2,33,898,143,50,0
Bankroll5pct,none,any,40,4,0,0,814,186,50,0
Bankroll5pct,none,any,45,0,0,0,1000,0,0,0
Bankroll5pct,none,any,50,0,0,0,1000,0,0,0
