strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,22,7,32,0,1000,100,0
Flat100,none,any,10,30,12,40,0,1000,100,0
Flat100,none,any,15,26,10,38,0,1000,100,0
Flat100,none,any,20,31,14,45,61,939,100,0
Flat100,none,any,25,21,10,48,527,504,100,0
Flat100,none,any,30,12,5,42,555,496,100,0
Flat100,none,any,35,11,4,36,504,496,100,0
Flat100,none,any,40,9,3,33,527,570,100,0
Flat100,none,any,45,3,1,33,897,200,100,0
Flat100,none,any,50,2,0,0,800,200,100,0
Flat100,none,any,75,2,0,0,800,200,100,0
Flat100,none,any,100,0,0,0,1000,0,0,0
Flat100,none,any,125,0,0,0,1000,0,0,0
Flat100,none,any,150,0,0,0,1000,0,0,0
Flat100,none,any,200,0,0,0,1000,0,0,0
Flat100,none,any,250,0,0,0,1000,0,0,0
Flat100,none,any,300,0,0,0,1000,0,0,0
Flat100,none,any,350,0,0,0,1000,0,0,0
Flat100,none,any,400,0,0,0,1000,0,0,0
Flat100,none,underdog,5,12,1,8,0,1000,100,0
Flat100,none,underdog,10,12,1,8,0,1000,100,0
Flat100,none,underdog,15,12,1,8,0,1000,100,0
Flat100,none,underdog,20,17,3,18,0,1000,100,0
Flat100,none,underdog,25,12,3,25,470,538,100,0
Flat100,none,underdog,30,7,1,14,497,503,100,0
Flat100,none,underdog,35,7,1,14,497,503,100,0
Flat100,none,underdog,40,6,1,17,597,500,100,0
Flat100,none,underdog,45,3,1,33,897,200,100,0
Flat100,none,underdog,50,2,0,0,800,200,100,0
Flat100,none,underdog,75,2,0,0,800,200,100,0
Flat100,none,underdog,100,0,0,0,1000,0,0,0
Flat100,none,underdog,125,0,0,0,1000,0,0,0
Flat100,none,underdog,150,0,0,0,1000,0,0,0
Flat100,none,underdog,200,0,0,0,1000,0,0,0
Flat100,none,underdog,250,0,0,0,1000,0,0,0
Flat100,none,underdog,300,0,0,0,1000,0,0,0
Flat100,none,underdog,350,0,0,0,1000,0,0,0
Flat100,none,underdog,400,0,0,0,1000,0,0,0
Flat100,none,favorite,5,58,43,74,1429,351,100,0
Flat100,none,favorite,10,43,31,72,1156,387,100,0
Flat100,none,favorite,15,31,23,74,1211,255,100,0
Flat100,none,favorite,20,14,11,79,1091,178,100,0
Flat100,none,favorite,25,9,7,78,1057,104,100,0
Flat100,none,favorite,30,5,4,80,1058,100,100,0
Flat100,none,favorite,35,4,3,75,1007,100,100,0
Flat100,none,favorite,40,3,2,67,930,100,100,0
Flat100,none,favorite,45,0,0,0,1000,0,0,0
Flat100,none,favorite,50,0,0,0,1000,0,0,0
Flat100,none,favorite,75,0,0,0,1000,0,0,0
Flat100,none,favorite,100,0,0,0,1000,0,0,0
Flat100,none,favorite,125,0,0,0,1000,0,0,0
Flat100,none,favorite,150,0,0,0,1000,0,0,0
Flat100,none,favorite,200,0,0,0,1000,0,0,0
Flat100,none,favorite,250,0,0,0,1000,0,0,0
Flat100,none,favorite,300,0,0,0,1000,0,0,0
Flat100,none,favorite,350,0,0,0,1000,0,0,0
Flat100,none,favorite,400,0,0,0,1000,0,0,0
Bankroll5pct,none,any,5,128,60,47,232,768,50,0
Bankroll5pct,none,any,10,96,44,46,320,680,50,0
Bankroll5pct,none,any,15,62,28,45,387,613,50,0
Bankroll5pct,none,any,20,31,14,45,608,392,50,0
Bankroll5pct,none,any,25,21,10,48,774,233,50,0
Bankroll5pct,none,any,30,12,5,42,792,228,50,0
Bankroll5pct,none,any,35,11,4,36,772,228,50,0
Bankroll5pct,none,any,40,9,3,33,783,266,52,0
Bankroll5pct,none,any,45,3,1,33,947,102,52,0
Bankroll5pct,none,any,50,2,0,0,902,98,50,0
Bankroll5pct,none,any,75,2,0,0,902,98,50,0
Bankroll5pct,none,any,100,0,0,0,1000,0,0,0
Bankroll5pct,none,any,125,0,0,0,1000,0,0,0
Bankroll5pct,none,any,150,0,0,0,1000,0,0,0
Bankroll5pct,none,any,200,0,0,0,1000,0,0,0
Bankroll5pct,none,any,250,0,0,0,1000,0,0,0
Bankroll5pct,none,any,300,0,0,0,1000,0,0,0
Bankroll5pct,none,any,350,0,0,0,1000,0,0,0
Bankroll5pct,none,any,400,0,0,0,1000,0,0,0
Bankroll5pct,none,underdog,5,68,17,25,213,787,50,0
Bankroll5pct,none,underdog,10,51,13,25,335,665,50,0
Bankroll5pct,none,underdog,15,31,5,16,351,649,50,0
Bankroll5pct,none,underdog,20,17,3,18,583,417,50,0
Bankroll5pct,none,underdog,25,12,3,25,755,246,50,0
Bankroll5pct,none,underdog,30,7,1,14,771,229,50,0
Bankroll5pct,none,underdog,35,7,1,14,771,229,50,0
Bankroll5pct,none,underdog,40,6,1,17,812,237,52,0
Bankroll5pct,none,underdog,45,3,1,33,947,102,52,0
Bankroll5pct,none,underdog,50,2,0,0,902,98,50,0
Bankroll5pct,none,underdog,75,2,0,0,902,98,50,0
Bankroll5pct,none,underdog,100,0,0,0,1000,0,0,0
Bankroll5pct,none,underdog,125,0,0,0,1000,0,0,0
Bankroll5pct,none,underdog,150,0,0,0,1000,0,0,0
Bankroll5pct,none,underdog,200,0,0,0,1000,0,0,0
Bankroll5pct,none,underdog,250,0,0,0,1000,0,0,0
Bankroll5pct,none,underdog,300,0,0,0,1000,0,0,0
Bankroll5pct,none,underdog,350,0,0,0,1000,0,0,0
Bankroll5pct,none,underdog,400,0,0,0,1000,0,0,0
Bankroll5pct,none,favorite,5,58,43,74,1198,219,64,0
Bankroll5pct,none,favorite,10,43,31,72,1059,226,61,0
Bankroll5pct,none,favorite,15,31,23,74,1093,157,59,0
Bankroll5pct,none,favorite,20,14,11,79,1042,97,56,0
Bankroll5pct,none,favorite,25,9,7,78,1025,57,53,0
Bankroll5pct,none,favorite,30,5,4,80,1027,53,53,0
Bankroll5pct,none,favorite,35,4,3,75,1001,53,53,0
Bankroll5pct,none,favorite,40,3,2,67,964,51,51,0
Bankroll5pct,none,favorite,45,0,0,0,1000,0,0,0
Bankroll5pct,none,favorite,50,0,0,0,1000,0,0,0
Bankroll5pct,none,favorite,75,0,0,0,1000,0,0,0
Bankroll5pct,none,favorite,100,0,0,0,1000,0,0,0
Bankroll5pct,none,favorite,125,0,0,0,1000,0,0,0
Bankroll5pct,none,favorite,150,0,0,0,1000,0,0,0
Bankroll5pct,none,favorite,200,0,0,0,1000,0,0,0
Bankroll5pct,none,favorite,250,0,0,0,1000,0,0,0
Bankroll5pct,none,favorite,300,0,0,0,1000,0,0,0
Bankroll5pct,none,favorite,350,0,0,0,1000,0,0,0
Bankroll5pct,none,favorite,400,0,0,0,1000,0,0,0
Flat100,4+4-,any,5,26,9,35,0,1072,100,0
Flat100,4+4-,any,10,26,9,35,0,1072,100,0
Flat100,4+4-,any,15,24,8,33,0,1072,100,0
Flat100,4+4-,any,20,15,6,40,551,449,100,0
Flat100,4+4-,any,25,13,5,38,569,431,100,0
Flat100,4+4-,any,30,10,3,30,498,502,100,0
Flat100,4+4-,any,35,10,3,30,498,502,100,0
Flat100,4+4-,any,40,8,2,25,521,576,100,0
Flat100,4+4-,any,45,3,1,33,897,200,100,0
Flat100,4+4-,any,50,2,0,0,800,200,100,0
Flat100,4+4-,any,75,2,0,0,800,200,100,0
Flat100,4+4-,any,100,0,0,0,1000,0,0,0
Flat100,4+4-,any,125,0,0,0,1000,0,0,0
Flat100,4+4-,any,150,0,0,0,1000,0,0,0
Flat100,4+4-,any,200,0,0,0,1000,0,0,0
Flat100,4+4-,any,250,0,0,0,1000,0,0,0
Flat100,4+4-,any,300,0,0,0,1000,0,0,0
Flat100,4+4-,any,350,0,0,0,1000,0,0,0
Flat100,4+4-,any,400,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,5,15,2,13,0,1000,100,0
Flat100,4+4-,underdog,10,15,2,13,0,1000,100,0
Flat100,4+4-,underdog,15,15,2,13,0,1000,100,0
Flat100,4+4-,underdog,20,10,2,20,462,538,100,0
Flat100,4+4-,underdog,25,9,2,22,562,438,100,0
Flat100,4+4-,underdog,30,7,1,14,497,503,100,0
Flat100,4+4-,underdog,35,7,1,14,497,503,100,0
Flat100,4+4-,underdog,40,6,1,17,597,500,100,0
Flat100,4+4-,underdog,45,3,1,33,897,200,100,0
Flat100,4+4-,underdog,50,2,0,0,800,200,100,0
Flat100,4+4-,underdog,75,2,0,0,800,200,100,0
Flat100,4+4-,underdog,100,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,125,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,150,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,200,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,250,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,300,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,350,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,400,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,5,9,7,78,1154,200,100,0
Flat100,4+4-,favorite,10,9,7,78,1154,200,100,0
Flat100,4+4-,favorite,15,8,6,75,1072,200,100,0
Flat100,4+4-,favorite,20,5,4,80,1089,100,100,0
Flat100,4+4-,favorite,25,4,3,75,1007,100,100,0
Flat100,4+4-,favorite,30,3,2,67,1001,100,100,0
Flat100,4+4-,favorite,35,3,2,67,1001,100,100,0
Flat100,4+4-,favorite,40,2,1,50,924,100,100,0
Flat100,4+4-,favorite,45,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,50,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,75,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,100,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,125,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,150,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,200,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,250,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,300,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,350,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,400,0,0,0,1000,0,0,0
Flat5pct,4+4-,any,5,28,9,32,360,677,50,0
Flat5pct,4+4-,any,10,26,9,35,460,577,50,0
Flat5pct,4+4-,any,15,24,8,33,469,568,50,0
Flat5pct,4+4-,any,20,15,6,40,777,223,50,0
Flat5pct,4+4-,any,25,13,5,38,786,214,50,0
Flat5pct,4+4-,any,30,10,3,30,750,250,50,0
Flat5pct,4+4-,any,35,10,3,30,750,250,50,0
Flat5pct,4+4-,any,40,8,2,25,761,288,50,0
Flat5pct,4+4-,any,45,3,1,33,949,100,50,0
Flat5pct,4+4-,any,50,2,0,0,900,100,50,0
Flat5pct,4+4-,any,75,2,0,0,900,100,50,0
Flat5pct,4+4-,any,100,0,0,0,1000,0,0,0
Flat5pct,4+4-,any,125,0,0,0,1000,0,0,0
Flat5pct,4+4-,any,150,0,0,0,1000,0,0,0
Flat5pct,4+4-,any,200,0,0,0,1000,0,0,0
Flat5pct,4+4-,any,250,0,0,0,1000,0,0,0
Flat5pct,4+4-,any,300,0,0,0,1000,0,0,0
Flat5pct,4+4-,any,350,0,0,0,1000,0,0,0
Flat5pct,4+4-,any,400,0,0,0,1000,0,0,0
Flat5pct,4+4-,underdog,5,19,2,11,282,718,50,0
Flat5pct,4+4-,underdog,10,17,2,12,382,618,50,0
Flat5pct,4+4-,underdog,15,16,2,13,432,568,50,0
Flat5pct,4+4-,underdog,20,10,2,20,732,268,50,0
Flat5pct,4+4-,underdog,25,9,2,22,782,218,50,0
Flat5pct,4+4-,underdog,30,7,1,14,749,251,50,0
Flat5pct,4+4-,underdog,35,7,1,14,749,251,50,0
Flat5pct,4+4-,underdog,40,6,1,17,799,250,50,0
Flat5pct,4+4-,underdog,45,3,1,33,949,100,50,0
Flat5pct,4+4-,underdog,50,2,0,0,900,100,50,0
Flat5pct,4+4-,underdog,75,2,0,0,900,100,50,0
Flat5pct,4+4-,underdog,100,0,0,0,1000,0,0,0
Flat5pct,4+4-,underdog,125,0,0,0,1000,0,0,0
Flat5pct,4+4-,underdog,150,0,0,0,1000,0,0,0
Flat5pct,4+4-,underdog,200,0,0,0,1000,0,0,0
Flat5pct,4+4-,underdog,250,0,0,0,1000,0,0,0
Flat5pct,4+4-,underdog,300,0,0,0,1000,0,0,0
Flat5pct,4+4-,underdog,350,0,0,0,1000,0,0,0
Flat5pct,4+4-,underdog,400,0,0,0,1000,0,0,0
Flat5pct,4+4-,favorite,5,9,7,78,1078,100,50,0
Flat5pct,4+4-,favorite,10,9,7,78,1078,100,50,0
