strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,38,16,42,0,1033,100,0
Flat100,none,any,10,44,21,48,469,635,100,0
Flat100,none,any,15,29,14,48,469,689,100,0
Flat100,none,any,20,20,9,45,485,515,100,0
Flat100,none,any,25,16,9,56,885,400,100,0
Flat100,none,any,30,8,7,88,1401,100,100,0
Flat100,none,any,35,4,4,100,1308,0,100,0
Flat100,none,any,40,1,1,100,1120,0,100,0
Flat100,none,any,45,0,0,0,1000,0,0,0
Flat100,none,any,50,0,0,0,1000,0,0,0
Flat100,none,any,75,0,0,0,1000,0,0,0
Flat100,none,any,100,0,0,0,1000,0,0,0
Flat100,none,any,125,0,0,0,1000,0,0,0
Flat100,none,any,150,0,0,0,1000,0,0,0
Flat100,none,any,200,0,0,0,1000,0,0,0
Flat100,none,any,250,0,0,0,1000,0,0,0
Flat100,none,any,300,0,0,0,1000,0,0,0
Flat100,none,any,350,0,0,0,1000,0,0,0
Flat100,none,any,400,0,0,0,1000,0,0,0
Flat100,none,underdog,5,35,11,31,32,968,100,0
Flat100,none,underdog,10,21,7,33,540,592,100,0
Flat100,none,underdog,15,12,3,25,415,585,100,0
Flat100,none,underdog,20,9,2,22,510,490,100,0
Flat100,none,underdog,25,6,2,33,810,310,100,0
Flat100,none,underdog,30,3,2,67,1110,100,100,0
Flat100,none,underdog,35,2,2,100,1210,0,100,0
Flat100,none,underdog,40,1,1,100,1120,0,100,0
Flat100,none,underdog,45,0,0,0,1000,0,0,0
Flat100,none,underdog,50,0,0,0,1000,0,0,0
Flat100,none,underdog,75,0,0,0,1000,0,0,0
Flat100,none,underdog,100,0,0,0,1000,0,0,0
Flat100,none,underdog,125,0,0,0,1000,0,0,0
Flat100,none,underdog,150,0,0,0,1000,0,0,0
Flat100,none,underdog,200,0,0,0,1000,0,0,0
Flat100,none,underdog,250,0,0,0,1000,0,0,0
Flat100,none,underdog,300,0,0,0,1000,0,0,0
Flat100,none,underdog,350,0,0,0,1000,0,0,0
Flat100,none,underdog,400,0,0,0,1000,0,0,0
Flat100,none,favorite,5,33,19,58,578,512,100,0
Flat100,none,favorite,10,23,14,61,929,383,100,0
Flat100,none,favorite,15,17,11,65,1054,225,100,0
Flat100,none,favorite,20,11,7,64,975,100,100,0
Flat100,none,favorite,25,10,7,70,1075,100,100,0
Flat100,none,favorite,30,5,5,100,1291,0,100,0
Flat100,none,favorite,35,2,2,100,1098,0,100,0
Flat100,none,favorite,40,0,0,0,1000,0,0,0
Flat100,none,favorite,45,0,0,0,1000,0,0,0
Flat100,none,favorite,50,0,0,0,1000,0,0,0
Flat100,none,favorite,75,0,0,0,1000,0,0,0
Flat100,none,favorite,100,0,0,0,1000,0,0,0
