strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,38,16,42,0,1326,100,0
Flat100,none,any,10,51,21,41,0,1303,100,0
Flat100,none,any,15,28,9,32,0,1276,100,0
Flat100,none,any,20,23,6,26,0,1000,100,0
Flat100,none,any,25,16,4,25,120,880,100,0
Flat100,none,any,30,11,3,27,456,630,100,0
Flat100,none,any,35,4,1,25,770,230,100,0
Flat100,none,any,40,0,0,0,1000,0,0,0
Flat100,none,any,45,0,0,0,1000,0,0,0
Flat100,none,any,50,0,0,0,1000,0,0,0
Flat100,none,any,75,0,0,0,1000,0,0,0
Flat100,none,any,100,0,0,0,1000,0,0,0
Flat100,none,any,125,0,0,0,1000,0,0,0
Flat100,none,any,150,0,0,0,1000,0,0,0
Flat100,none,any,200,0,0,0,1000,0,0,0
Flat100,none,any,250,0,0,0,1000,0,0,0
Flat100,none,any,300,0,0,0,1000,0,0,0
Flat100,none,any,350,0,0,0,1000,0,0,0
Flat100,none,any,400,0,0,0,1000,0,0,0
Flat100,none,underdog,5,38,11,29,0,1276,100,0
Flat100,none,underdog,10,30,8,27,115,1161,100,0
Flat100,none,underdog,15,24,5,21,0,1276,100,0
Flat100,none,underdog,20,10,3,30,722,400,100,0
Flat100,none,underdog,25,5,1,20,715,300,100,0
Flat100,none,underdog,30,3,1,33,915,200,100,0
Flat100,none,underdog,35,0,0,0,1000,0,0,0
Flat100,none,underdog,40,0,0,0,1000,0,0,0
Flat100,none,underdog,45,0,0,0,1000,0,0,0
Flat100,none,underdog,50,0,0,0,1000,0,0,0
Flat100,none,underdog,75,0,0,0,1000,0,0,0
Flat100,none,underdog,100,0,0,0,1000,0,0,0
Flat100,none,underdog,125,0,0,0,1000,0,0,0
Flat100,none,underdog,150,0,0,0,1000,0,0,0
Flat100,none,underdog,200,0,0,0,1000,0,0,0
Flat100,none,underdog,250,0,0,0,1000,0,0,0
Flat100,none,underdog,300,0,0,0,1000,0,0,0
Flat100,none,underdog,350,0,0,0,1000,0,0,0
Flat100,none,underdog,400,0,0,0,1000,0,0,0
Flat100,none,favorite,5,48,28,58,413,900,100,0
Flat100,none,favorite,10,33,15,45,0,1137,100,0
Flat100,none,favorite,15,20,6,30,0,1000,100,0
Flat100,none,favorite,20,14,3,21,105,895,100,0
Flat100,none,favorite,25,11,3,27,405,595,100,0
Flat100,none,favorite,30,8,2,25,541,459,100,0
Flat100,none,favorite,35,4,1,25,770,230,100,0
Flat100,none,favorite,40,0,0,0,1000,0,0,0
Flat100,none,favorite,45,0,0,0,1000,0,0,0
Flat100,none,favorite,50,0,0,0,1000,0,0,0
Flat100,none,favorite,75,0,0,0,1000,0,0,0
Flat100,none,favorite,100,0,0,0,1000,0,0,0
Flat100,none,favorite,125,0,0,0,1000,0,0,0
Flat100,none,favorite,150,0,0,0,1000,0,0,0
Flat100,none,favorite,200,0,0,0,1000,0,0,0
Flat100,none,favorite,250,0,0,0,1000,0,0,0
Flat100,none,favorite,300,0,0,0,1000,0,0,0
Flat100,none,favorite,350,0,0,0,1000,0,0,0
Flat100,none,favorite,400,0,0,0,1000,0,0,0
Bankroll5pct,none,any,5,94,40,43,301,872,58,0
Bankroll5pct,none,any,10,66,24,36,324,838,58,0
Bankroll5pct,none,any,15,46,12,26,315,830,57,0
Bankroll5pct,none,any,20,24,6,25,539,461,50,0
Bankroll5pct,none,any,25,16,4,25,633,367,50,0
Bankroll5pct,none,any,30,11,3,27,750,290,52,0
