strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,44,20,45,0,1023,100,0
Flat100,none,any,10,92,45,49,0,1023,100,0
Flat100,none,any,15,57,26,46,0,1023,100,0
Flat100,none,any,20,15,3,20,0,1023,100,0
Flat100,none,any,25,14,2,14,0,1023,100,0
Flat100,none,any,30,82,40,49,0,1066,100,0
Flat100,none,any,35,43,18,42,0,1000,100,0
Flat100,none,any,40,92,45,49,0,1237,100,0
Flat100,none,any,45,68,33,49,0,1004,100,0
Flat100,none,any,50,43,19,44,0,1000,100,0
Flat100,none,any,75,17,8,47,821,440,100,0
Flat100,none,any,100,3,2,67,1002,100,100,0
Flat100,none,any,125,0,0,0,1000,0,0,0
Flat100,none,any,150,0,0,0,1000,0,0,0
Flat100,none,any,200,0,0,0,1000,0,0,0
Flat100,none,any,250,0,0,0,1000,0,0,0
Flat100,none,any,300,0,0,0,1000,0,0,0
Flat100,none,any,350,0,0,0,1000,0,0,0
Flat100,none,any,400,0,0,0,1000,0,0,0
Flat100,none,underdog,5,158,62,39,0,1500,100,0
Flat100,none,underdog,10,53,19,36,0,1233,100,0
Flat100,none,underdog,15,54,19,35,0,1000,100,0
Flat100,none,underdog,20,17,3,18,0,1000,100,0
Flat100,none,underdog,25,27,7,26,0,1000,100,0
Flat100,none,underdog,30,35,10,29,0,1005,100,0
Flat100,none,underdog,35,30,8,27,0,1029,100,0
Flat100,none,underdog,40,45,14,31,0,1181,100,0
Flat100,none,underdog,45,28,7,25,0,1000,100,0
Flat100,none,underdog,50,30,9,30,0,1000,100,0
Flat100,none,underdog,75,11,3,27,578,600,100,0
Flat100,none,underdog,100,1,0,0,900,100,100,0
Flat100,none,underdog,125,0,0,0,1000,0,0,0
Flat100,none,underdog,150,0,0,0,1000,0,0,0
Flat100,none,underdog,200,0,0,0,1000,0,0,0
Flat100,none,underdog,250,0,0,0,1000,0,0,0
Flat100,none,underdog,300,0,0,0,1000,0,0,0
Flat100,none,underdog,350,0,0,0,1000,0,0,0
Flat100,none,underdog,400,0,0,0,1000,0,0,0
Flat100,none,favorite,5,62,35,56,0,1023,100,0
Flat100,none,favorite,10,46,24,52,0,1023,100,0
Flat100,none,favorite,15,50,27,54,0,1023,100,0
Flat100,none,favorite,20,68,41,60,0,1023,100,0
Flat100,none,favorite,25,60,33,55,0,1023,100,0
Flat100,none,favorite,30,107,66,62,0,1177,100,0
Flat100,none,favorite,35,72,41,57,0,1031,100,0
Flat100,none,favorite,40,133,79,59,0,1231,100,0
Flat100,none,favorite,45,118,71,60,0,1196,100,0
Flat100,none,favorite,50,88,51,58,0,1038,100,0
Flat100,none,favorite,75,5,4,80,1156,100,100,0
Flat100,none,favorite,100,2,2,100,1102,0,100,0
Flat100,none,favorite,125,0,0,0,1000,0,0,0
Flat100,none,favorite,150,0,0,0,1000,0,0,0
Flat100,none,favorite,200,0,0,0,1000,0,0,0
Flat100,none,favorite,250,0,0,0,1000,0,0,0
Flat100,none,favorite,300,0,0,0,1000,0,0,0
Flat100,none,favorite,350,0,0,0,1000,0,0,0
Flat100,none,favorite,400,0,0,0,1000,0,0,0
Bankroll5pct,none,any,5,550,259,47,9,1003,51,0
Bankroll5pct,none,any,10,563,263,47,9,1003,51,0
Bankroll5pct,none,any,15,447,199,45,9,1003,51,0
Bankroll5pct,none,any,20,389,170,44,9,1003,51,0
Bankroll5pct,none,any,25,403,179,44,9,1003,51,0
Bankroll5pct,none,any,30,367,159,43,9,991,50,0
Bankroll5pct,none,any,35,403,171,42,9,991,50,0
Bankroll5pct,none,any,40,528,234,44,9,1100,55,0
Bankroll5pct,none,any,45,495,224,45,16,990,50,0
Bankroll5pct,none,any,50,296,139,47,136,913,50,0
Bankroll5pct,none,any,75,17,8,47,898,203,50,0
