strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,113,55,49,575,1482,100,0
Flat100,none,any,10,84,40,48,491,955,100,0
Flat100,none,any,15,58,27,47,293,1078,100,0
Flat100,none,any,20,39,17,44,391,887,100,0
Flat100,none,any,25,25,12,48,835,487,100,0
Flat100,none,any,30,13,8,62,1301,400,100,0
Flat100,none,any,35,7,4,57,1152,200,100,0
Flat100,none,any,40,4,1,25,825,200,100,0
Flat100,none,any,45,1,0,0,900,100,100,0
Flat100,none,any,50,0,0,0,1000,0,0,0
Flat100,none,any,75,0,0,0,1000,0,0,0
Flat100,none,any,100,0,0,0,1000,0,0,0
Flat100,none,any,125,0,0,0,1000,0,0,0
Flat100,none,any,150,0,0,0,1000,0,0,0
Flat100,none,any,200,0,0,0,1000,0,0,0
Flat100,none,any,250,0,0,0,1000,0,0,0
Flat100,none,any,300,0,0,0,1000,0,0,0
Flat100,none,any,350,0,0,0,1000,0,0,0
Flat100,none,any,400,0,0,0,1000,0,0,0
Flat100,none,underdog,5,55,24,44,1503,760,100,0
Flat100,none,underdog,10,42,19,45,1369,560,100,0
Flat100,none,underdog,15,30,13,43,1028,502,100,0
Flat100,none,underdog,20,19,7,37,777,600,100,0
Flat100,none,underdog,25,12,6,50,1197,200,100,0
Flat100,none,underdog,30,7,5,71,1434,100,100,0
Flat100,none,underdog,35,5,3,60,1192,100,100,0
Flat100,none,underdog,40,3,1,33,925,100,100,0
Flat100,none,underdog,45,1,0,0,900,100,100,0
Flat100,none,underdog,50,0,0,0,1000,0,0,0
Flat100,none,underdog,75,0,0,0,1000,0,0,0
Flat100,none,underdog,100,0,0,0,1000,0,0,0
Flat100,none,underdog,125,0,0,0,1000,0,0,0
Flat100,none,underdog,150,0,0,0,1000,0,0,0
Flat100,none,underdog,200,0,0,0,1000,0,0,0
Flat100,none,underdog,250,0,0,0,1000,0,0,0
Flat100,none,underdog,300,0,0,0,1000,0,0,0
Flat100,none,underdog,350,0,0,0,1000,0,0,0
Flat100,none,underdog,400,0,0,0,1000,0,0,0
Flat100,none,favorite,5,53,30,57,384,803,100,0
Flat100,none,favorite,10,38,20,53,334,832,100,0
Flat100,none,favorite,15,25,13,52,512,578,100,0
Flat100,none,favorite,20,17,9,53,726,347,100,0
Flat100,none,favorite,25,12,6,50,738,400,100,0
Flat100,none,favorite,30,5,3,60,967,200,100,0
Flat100,none,favorite,35,1,1,100,1060,0,100,0
Flat100,none,favorite,40,0,0,0,1000,0,0,0
Flat100,none,favorite,45,0,0,0,1000,0,0,0
Flat100,none,favorite,50,0,0,0,1000,0,0,0
Flat100,none,favorite,75,0,0,0,1000,0,0,0
Flat100,none,favorite,100,0,0,0,1000,0,0,0
Flat100,none,favorite,125,0,0,0,1000,0,0,0
Flat100,none,favorite,150,0,0,0,1000,0,0,0
Flat100,none,favorite,200,0,0,0,1000,0,0,0
Flat100,none,favorite,250,0,0,0,1000,0,0,0
Flat100,none,favorite,300,0,0,0,1000,0,0,0
Flat100,none,favorite,350,0,0,0,1000,0,0,0
Flat100,none,favorite,400,0,0,0,1000,0,0,0
Bankroll5pct,none,any,5,113,55,49,691,772,71,0
Bankroll5pct,none,any,10,84,40,48,690,448,56,0
Bankroll5pct,none,any,15,58,27,47,695,473,53,0
Bankroll5pct,none,any,20,39,17,44,701,386,53,0
Bankroll5pct,none,any,25,25,12,48,890,243,54,0
Bankroll5pct,none,any,30,13,8,62,1143,242,65,0
Bankroll5pct,none,any,35,7,4,57,1068,113,58,0
Bankroll5pct,none,any,40,4,1,25,911,99,51,0
Bankroll5pct,none,any,45,1,0,0,950,50,50,0
Bankroll5pct,none,any,50,0,0,0,1000,0,0,0
Bankroll5pct,none,any,75,0,0,0,1000,0,0,0
Bankroll5pct,none,any,100,0,0,0,1000,0,0,0
Bankroll5pct,none,any,125,0,0,0,1000,0,0,0
Bankroll5pct,none,any,150,0,0,0,1000,0,0,0
Bankroll5pct,none,any,200,0,0,0,1000,0,0,0
Bankroll5pct,none,any,250,0,0,0,1000,0,0,0
Bankroll5pct,none,any,300,0,0,0,1000,0,0,0
Bankroll5pct,none,any,350,0,0,0,1000,0,0,0
Bankroll5pct,none,any,400,0,0,0,1000,0,0,0
Bankroll5pct,none,underdog,5,55,24,44,1157,515,78,0
Bankroll5pct,none,underdog,10,42,19,45,1112,342,68,0
Bankroll5pct,none,underdog,15,30,13,43,967,262,53,0
Bankroll5pct,none,underdog,20,19,7,37,864,288,54,0
Bankroll5pct,none,underdog,25,12,6,50,1081,108,57,0
Bankroll5pct,none,underdog,30,7,5,71,1227,62,62,0
Bankroll5pct,none,underdog,35,5,3,60,1092,58,58,0
Bankroll5pct,none,underdog,40,3,1,33,959,51,51,0
Bankroll5pct,none,underdog,45,1,0,0,950,50,50,0
Bankroll5pct,none,underdog,50,0,0,0,1000,0,0,0
Bankroll5pct,none,underdog,75,0,0,0,1000,0,0,0
Bankroll5pct,none,underdog,100,0,0,0,1000,0,0,0
Bankroll5pct,none,underdog,125,0,0,0,1000,0,0,0
Bankroll5pct,none,underdog,150,0,0,0,1000,0,0,0
Bankroll5pct,none,underdog,200,0,0,0,1000,0,0,0
Bankroll5pct,none,underdog,250,0,0,0,1000,0,0,0
Bankroll5pct,none,underdog,300,0,0,0,1000,0,0,0
Bankroll5pct,none,underdog,350,0,0,0,1000,0,0,0
Bankroll5pct,none,underdog,400,0,0,0,1000,0,0,0
Bankroll5pct,none,favorite,5,53,30,57,706,351,51,0
Bankroll5pct,none,favorite,10,38,20,53,697,364,51,0
Bankroll5pct,none,favorite,15,25,13,52,770,267,51,0
Bankroll5pct,none,favorite,20,17,9,53,860,169,50,0
Bankroll5pct,none,favorite,25,12,6,50,868,194,52,0
Bankroll5pct,none,favorite,30,5,3,60,981,103,53,0
Bankroll5pct,none,favorite,35,1,1,100,1030,0,50,0
Bankroll5pct,none,favorite,40,0,0,0,1000,0,0,0
Bankroll5pct,none,favorite,45,0,0,0,1000,0,0,0
Bankroll5pct,none,favorite,50,0,0,0,1000,0,0,0
Bankroll5pct,none,favorite,75,0,0,0,1000,0,0,0
Bankroll5pct,none,favorite,100,0,0,0,1000,0,0,0
Bankroll5pct,none,favorite,125,0,0,0,1000,0,0,0
Bankroll5pct,none,favorite,150,0,0,0,1000,0,0,0
Bankroll5pct,none,favorite,200,0,0,0,1000,0,0,0
Bankroll5pct,none,favorite,250,0,0,0,1000,0,0,0
Bankroll5pct,none,favorite,300,0,0,0,1000,0,0,0
Bankroll5pct,none,favorite,350,0,0,0,1000,0,0,0
Bankroll5pct,none,favorite,400,0,0,0,1000,0,0,0
Flat100,4+4-,any,5,22,9,41,527,632,100,0
Flat100,4+4-,any,10,20,9,45,727,532,100,0
Flat100,4+4-,any,15,18,9,50,927,532,100,0
Flat100,4+4-,any,20,14,7,50,952,432,100,0
Flat100,4+4-,any,25,11,6,55,1097,332,100,0
Flat100,4+4-,any,30,5,3,60,1108,200,100,0
Flat100,4+4-,any,35,2,1,50,1025,100,100,0
Flat100,4+4-,any,40,2,1,50,1025,100,100,0
Flat100,4+4-,any,45,1,0,0,900,100,100,0
Flat100,4+4-,any,50,0,0,0,1000,0,0,0
Flat100,4+4-,any,75,0,0,0,1000,0,0,0
Flat100,4+4-,any,100,0,0,0,1000,0,0,0
Flat100,4+4-,any,125,0,0,0,1000,0,0,0
Flat100,4+4-,any,150,0,0,0,1000,0,0,0
Flat100,4+4-,any,200,0,0,0,1000,0,0,0
Flat100,4+4-,any,250,0,0,0,1000,0,0,0
Flat100,4+4-,any,300,0,0,0,1000,0,0,0
Flat100,4+4-,any,350,0,0,0,1000,0,0,0
