month,date,match_id,championship,team1,team2,delta,favored,odds,stake,outcome,payout,bank_before,bank_after
2025-08,2025-08-01,172132,Clavision Masters 2025: Snow-Ruyi,Nigma Galaxy,Tundra Esports,-32.7340,Tundra Esports,1.72,32,loss,0,1000,968
2025-08,2025-08-01,172224,Clavision Masters 2025: Snow-Ruyi,Nigma Galaxy,Tundra Esports,-77.3828,Tundra Esports,1.72,74,win,127,968,1021
2025-08,2025-08-01,172232,Clavision Masters 2025: Snow-Ruyi,Nigma Galaxy,Tundra Esports,-65.3970,Tundra Esports,1.66,66,win,109,1021,1064
2025-08,2025-08-01,172136,Clavision Masters 2025: Snow-Ruyi,Team Tidebound,Gaimin Gladiators,-157.2252,Gaimin Gladiators,1.82,167,loss,0,1064,897
2025-08,2025-08-01,172250,Clavision Masters 2025: Snow-Ruyi,Team Tidebound,Gaimin Gladiators,-162.4020,Gaimin Gladiators,1.97,145,loss,0,897,752
2025-08,2025-08-01,172134,Clavision Masters 2025: Snow-Ruyi,PARIVISION,Xtreme Gaming,164.5966,PARIVISION,1.44,123,loss,0,752,629
2025-08,2025-08-01,172179,Clavision Masters 2025: Snow-Ruyi,PARIVISION,Xtreme Gaming,2.7664,PARIVISION,1.44,1,loss,0,629,628
2025-08,2025-08-01,172133,Clavision Masters 2025: Snow-Ruyi,BetBoom Team,BOOM Esports,-64.3700,BOOM Esports,3.78,40,loss,0,628,588
2025-08,2025-08-01,172195,Clavision Masters 2025: Snow-Ruyi,BetBoom Team,BOOM Esports,-101.1924,BOOM Esports,3.89,59,win,229,588,758
2025-08,2025-08-01,172206,Clavision Masters 2025: Snow-Ruyi,BetBoom Team,BOOM Esports,-217.3390,BOOM Esports,3.17,164,loss,0,758,594
2025-08,2025-08-01,172220,CCT Season 2 Series 3,Passion UA,1win Team,21.8912,Passion UA,2.53,13,win,32,594,613
2025-08,2025-08-01,172223,CCT Season 2 Series 3,Passion UA,1win Team,-24.8200,1win Team,1.58,15,win,23,613,621
2025-08,2025-08-01,172233,CCT Season 2 Series 3,Passion UA,1win Team,-48.4720,1win Team,1.43,30,win,42,621,633
2025-08,2025-08-01,172239,CCT Season 2 Series 3,Passion UA,1win Team,13.3926,Passion UA,2.42,8,win,19,633,644
2025-08,2025-08-01,172249,CCT Season 2 Series 3,Passion UA,1win Team,-108.4586,1win Team,1.51,69,win,104,644,679
2025-08,2025-08-01,172246,European Pro League 28,Zero Tenacity,Yellow Submarine,95.5720,Zero Tenacity,1.92,64,win,122,679,737
2025-08,2025-08-01,172253,European Pro League 28,Zero Tenacity,Yellow Submarine,-4.9756,Yellow Submarine,1.84,3,loss,0,737,734
2025-08,2025-08-01,172259,European Pro League 28,Zero Tenacity,Yellow Submarine,190.8108,Zero Tenacity,1.85,140,win,259,734,853
2025-08,2025-08-02,172341,CIS Battle 2,Zero Tenacity,Yellow Submarine,5.7302,Zero Tenacity,1.72,4,loss,0,853,849
2025-08,2025-08-02,172344,CIS Battle 2,Zero Tenacity,Yellow Submarine,26.3364,Zero Tenacity,1.7,22,loss,0,849,827
2025-08,2025-08-02,172351,CIS Battle 2,Yellow Submarine,Level Up,-15.1956,Level Up,2.15,12,loss,0,827,815
2025-08,2025-08-02,172356,CIS Battle 2,Yellow Submarine,Level Up,-41.9512,Level Up,2.5,34,win,85,815,866
2025-08,2025-08-02,172359,CIS Battle 2,Yellow Submarine,Level Up,67.8688,Yellow Submarine,1.53,58,win,88,866,896
2025-08,2025-08-02,172248,Clavision Masters 2025: Snow-Ruyi,Nigma Galaxy,Xtreme Gaming,-44.6786,Xtreme Gaming,1.88,40,win,75,896,931
2025-08,2025-08-02,172304,Clavision Masters 2025: Snow-Ruyi,Nigma Galaxy,Xtreme Gaming,-123.9694,Xtreme Gaming,1.78,115,win,204,931,1020
2025-08,2025-08-02,172256,Clavision Masters 2025: Snow-Ruyi,BetBoom Team,Gaimin Gladiators,117.3646,BetBoom Team,1.55,119,win,184,1020,1085
2025-08,2025-08-02,172311,Clavision Masters 2025: Snow-Ruyi,BetBoom Team,Gaimin Gladiators,-41.3452,Gaimin Gladiators,2.15,44,loss,0,1085,1041
2025-08,2025-08-02,172257,Clavision Masters 2025: Snow-Ruyi,Tundra Esports,Team Tidebound,-130.3900,Team Tidebound,1.8,135,loss,0,1041,906
2025-08,2025-08-02,172324,Clavision Masters 2025: Snow-Ruyi,Tundra Esports,Team Tidebound,-35.9690,Team Tidebound,1.88,32,loss,0,906,874
2025-08,2025-08-02,172320,Clavision Masters 2025: Snow-Ruyi,Xtreme Gaming,BetBoom Team,143.2100,Xtreme Gaming,2.05,125,loss,0,874,749
2025-08,2025-08-02,172333,Clavision Masters 2025: Snow-Ruyi,Xtreme Gaming,BetBoom Team,-129.8756,BetBoom Team,1.55,97,loss,0,749,652
2025-08,2025-08-02,172338,Clavision Masters 2025: Snow-Ruyi,Xtreme Gaming,BetBoom Team,34.3150,Xtreme Gaming,2.2,22,win,48,652,678
2025-08,2025-08-03,172422,CIS Battle 2,Nemiga Gaming,Zero Tenacity,68.7186,Nemiga Gaming,2.2,46,win,101,678,733
2025-08,2025-08-03,172427,CIS Battle 2,Nemiga Gaming,Zero Tenacity,97.2796,Nemiga Gaming,2.15,71,loss,0,733,662
2025-08,2025-08-03,172430,CIS Battle 2,Nemiga Gaming,Zero Tenacity,17.4912,Nemiga Gaming,2.15,11,win,23,662,674
2025-08,2025-08-03,172431,CIS Battle 2,Zero Tenacity,Level Up,34.0816,Zero Tenacity,1.72,22,win,37,674,689
2025-08,2025-08-03,172437,CIS Battle 2,Zero Tenacity,Level Up,148.0838,Zero Tenacity,1.62,102,win,165,689,752
2025-08,2025-08-03,172391,Clavision Masters 2025: Snow-Ruyi,Team Tidebound,Xtreme Gaming,132.6978,Team Tidebound,1.88,99,win,186,752,839
2025-08,2025-08-03,172397,Clavision Masters 2025: Snow-Ruyi,Team Tidebound,Xtreme Gaming,130.4732,Team Tidebound,1.81,109,win,197,839,927
2025-08,2025-08-03,172401,Clavision Masters 2025: Snow-Ruyi,Team Tidebound,Tundra Esports,-121.5620,Tundra Esports,1.6,112,win,179,927,994
2025-08,2025-08-03,172408,Clavision Masters 2025: Snow-Ruyi,Team Tidebound,Tundra Esports,-30.3524,Tundra Esports,1.65,30,loss,0,994,964
2025-08,2025-08-03,172416,Clavision Masters 2025: Snow-Ruyi,Team Tidebound,Tundra Esports,-85.7374,Tundra Esports,1.7,82,loss,0,964,882
2025-08,2025-08-03,172417,Clavision Masters 2025: Snow-Ruyi,Team Tidebound,Tundra Esports,42.9994,Team Tidebound,2.08,37,loss,0,882,845
2025-08,2025-08-03,172426,Clavision Masters 2025: Snow-Ruyi,Team Tidebound,Tundra Esports,-8.2618,Tundra Esports,1.71,6,loss,0,845,839
2025-08,2025-08-04,172439,EPL World Series: Southeast Asia S7,Yangon Galacticos,Kopite,66.4496,Yangon Galacticos,1.55,55,win,85,839,869
2025-08,2025-08-04,172478,EPL World Series: Southeast Asia S7,Yangon Galacticos,Kopite,40.1100,Yangon Galacticos,1.55,34,win,52,869,887
2025-08,2025-08-04,172490,EPL World Series: Southeast Asia S7,REKONIX,Ivory,85.9544,REKONIX,1.38,76,win,104,887,915
2025-08,2025-08-04,172498,EPL World Series: Southeast Asia S7,REKONIX,Ivory,-40.8222,Ivory,2.86,37,loss,0,915,878
2025-08,2025-08-04,172504,CIS Battle 2,Zero Tenacity,eSpoiled,56.8776,Zero Tenacity,1.58,49,loss,0,878,829
2025-08,2025-08-04,172512,CIS Battle 2,Zero Tenacity,eSpoiled,35.0468,Zero Tenacity,1.6,29,win,46,829,846
