month,date,match_id,championship,team1,team2,delta,favored,odds,stake,outcome,payout,bank_before,bank_after
2023-01,2023-01-02,71001,TodayPay Invitational S3,CDUB Esports,KEEPER GAMING,-26.2208,KEEPER GAMING,3.89,26,loss,0,1000,974
2023-01,2023-01-02,71003,TodayPay Invitational S3,CDUB Esports,KEEPER GAMING,-209.6752,KEEPER GAMING,5,204,win,1020,974,1790
2023-01,2023-01-02,71008,TodayPay Invitational S3,Paradox Esports,CDUB Esports,7.7892,Paradox Esports,1.55,13,loss,0,1790,1777
2023-01,2023-01-02,71011,TodayPay Invitational S3,Paradox Esports,CDUB Esports,165.4194,Paradox Esports,1.6,293,win,468,1777,1952
2023-01,2023-01-02,71013,TodayPay Invitational S3,5RATFORCESTAFF,Balrogs e-Sport,-67.4158,Balrogs e-Sport,1.72,131,win,225,1952,2046
2023-01,2023-01-02,71019,TodayPay Invitational S3,5RATFORCESTAFF,Balrogs e-Sport,30.6394,5RATFORCESTAFF,1.87,62,loss,0,2046,1984
2023-01,2023-01-02,70945,TOP EGAMING,Team Virgo,BELIEVE GAMING,45.7418,Team Virgo,1.4,90,loss,0,1984,1894
2023-01,2023-01-02,70953,TOP EGAMING,Team Virgo,BELIEVE GAMING,20.9170,Team Virgo,3.5,39,loss,0,1894,1855
2023-01,2023-01-02,70957,TOP EGAMING,BELIEVE GAMING,TEAM M11,80.0474,BELIEVE GAMING,1.38,148,win,204,1855,1911
2023-01,2023-01-02,70964,TOP EGAMING,BELIEVE GAMING,TEAM M11,174.0782,BELIEVE GAMING,2.7,332,win,896,1911,2475
2023-01,2023-01-02,70949,EPL Winter Holidays,Level Up,Creep Gaming,-82.1594,Creep Gaming,2.47,203,win,501,2475,2773
2023-01,2023-01-02,70979,EPL Winter Holidays,Level Up,Creep Gaming,-35.3344,Creep Gaming,2.15,97,loss,0,2773,2676
2023-01,2023-01-02,70987,EPL Winter Holidays,Level Up,Creep Gaming,5.4250,Level Up,1.47,14,win,20,2676,2682
2023-01,2023-01-02,70992,EPL Winter Holidays,Water rune enjoyers,IVY,13.0788,Water rune enjoyers,2.48,35,loss,0,2682,2647
2023-01,2023-01-02,70995,EPL Winter Holidays,Water rune enjoyers,IVY,-16.7760,IVY,1.52,44,win,66,2647,2669
2023-01,2023-01-02,70998,EPL Winter Holidays,Water rune enjoyers,Hydra,-20.5538,Hydra,1.32,54,win,71,2669,2686
