strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,111,64,58,0,1463,100,0
Flat100,none,any,10,105,60,57,0,1463,100,0
Flat100,none,any,15,94,54,57,0,1272,100,0
Flat100,none,any,20,92,52,57,0,1249,100,0
Flat100,none,any,25,108,61,56,0,1409,100,0
Flat100,none,any,30,107,60,56,0,1509,100,0
Flat100,none,any,35,97,54,56,0,1460,100,0
Flat100,none,any,40,94,52,55,0,1583,100,0
Flat100,none,any,45,94,52,55,0,1683,100,0
Flat100,none,any,50,63,37,59,0,1326,100,0
Flat100,none,any,75,66,37,56,0,1311,100,0
Flat100,none,any,100,50,27,54,0,1316,100,0
Flat100,none,any,125,40,27,68,1052,578,100,0
Flat100,none,any,150,31,21,68,1091,378,100,0
Flat100,none,any,200,11,9,82,1325,100,100,0
Flat100,none,any,250,6,4,67,1045,122,100,0
Flat100,none,any,300,1,1,100,1124,0,100,0
Flat100,none,any,350,0,0,0,1000,0,0,0
Flat100,none,any,400,0,0,0,1000,0,0,0
Flat100,none,underdog,5,29,7,24,0,1097,100,0
Flat100,none,underdog,10,26,6,23,0,1097,100,0
Flat100,none,underdog,15,24,5,21,0,1097,100,0
Flat100,none,underdog,20,25,5,20,0,1097,100,0
Flat100,none,underdog,25,25,5,20,0,1097,100,0
Flat100,none,underdog,30,26,6,23,0,1097,100,0
Flat100,none,underdog,35,25,5,20,0,1097,100,0
Flat100,none,underdog,40,24,5,21,0,1097,100,0
Flat100,none,underdog,45,29,7,24,0,1145,100,0
Flat100,none,underdog,50,16,3,19,0,1097,100,0
Flat100,none,underdog,75,23,6,26,0,1097,100,0
Flat100,none,underdog,100,23,8,35,221,1043,100,0
Flat100,none,underdog,125,12,5,42,808,316,100,0
Flat100,none,underdog,150,10,4,40,820,304,100,0
Flat100,none,underdog,200,2,2,100,1216,0,100,0
Flat100,none,underdog,250,1,1,100,1124,0,100,0
Flat100,none,underdog,300,1,1,100,1124,0,100,0
Flat100,none,underdog,350,0,0,0,1000,0,0,0
Flat100,none,underdog,400,0,0,0,1000,0,0,0
Flat100,none,favorite,5,95,72,76,1878,630,100,0
Flat100,none,favorite,10,91,68,75,1684,716,100,0
Flat100,none,favorite,15,87,65,75,1560,716,100,0
Flat100,none,favorite,20,82,61,74,1487,666,100,0
Flat100,none,favorite,25,78,61,78,1887,466,100,0
Flat100,none,favorite,30,76,60,79,1930,423,100,0
Flat100,none,favorite,35,68,54,79,1855,377,100,0
Flat100,none,favorite,40,66,52,79,1726,377,100,0
Flat100,none,favorite,45,65,52,80,1826,277,100,0
Flat100,none,favorite,50,60,48,80,1714,356,100,0
Flat100,none,favorite,75,49,38,78,1354,405,100,0
Flat100,none,favorite,100,36,27,75,1097,423,100,0
Flat100,none,favorite,125,28,22,79,1244,276,100,0
Flat100,none,favorite,150,21,17,81,1271,106,100,0
Flat100,none,favorite,200,9,7,78,1109,100,100,0
Flat100,none,favorite,250,5,3,60,921,122,100,0
Flat100,none,favorite,300,0,0,0,1000,0,0,0
