strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,85,48,56,0,1483,100,0
Flat100,none,any,10,83,48,58,186,1361,100,0
Flat100,none,any,15,78,44,56,0,1412,100,0
Flat100,none,any,20,78,44,56,0,1412,100,0
Flat100,none,any,25,75,45,60,430,1150,100,0
Flat100,none,any,30,69,43,62,737,935,100,0
Flat100,none,any,35,66,41,62,786,886,100,0
Flat100,none,any,40,65,40,62,765,907,100,0
Flat100,none,any,45,63,39,62,848,924,100,0
Flat100,none,any,50,56,37,66,1296,516,100,0
Flat100,none,any,75,41,24,59,826,739,100,0
Flat100,none,any,100,32,17,53,503,851,100,0
Flat100,none,any,125,20,11,55,815,431,100,0
Flat100,none,any,150,13,8,62,1072,270,100,0
Flat100,none,any,200,6,5,83,1171,100,100,0
Flat100,none,any,250,3,2,67,957,100,100,0
Flat100,none,any,300,0,0,0,1000,0,0,0
Flat100,none,any,350,0,0,0,1000,0,0,0
Flat100,none,any,400,0,0,0,1000,0,0,0
Flat100,none,underdog,5,24,9,38,683,666,100,0
Flat100,none,underdog,10,23,9,39,783,566,100,0
Flat100,none,underdog,15,22,8,36,598,751,100,0
Flat100,none,underdog,20,22,8,36,598,751,100,0
Flat100,none,underdog,25,20,8,40,798,595,100,0
Flat100,none,underdog,30,18,7,39,813,680,100,0
Flat100,none,underdog,35,17,7,41,913,680,100,0
Flat100,none,underdog,40,17,7,41,913,680,100,0
Flat100,none,underdog,45,17,7,41,913,680,100,0
Flat100,none,underdog,50,15,7,47,1113,580,100,0
Flat100,none,underdog,75,12,5,42,973,600,100,0
Flat100,none,underdog,100,10,4,40,852,500,100,0
Flat100,none,underdog,125,7,3,43,952,400,100,0
Flat100,none,underdog,150,5,3,60,1152,200,100,0
Flat100,none,underdog,200,2,1,50,1023,100,100,0
Flat100,none,underdog,250,1,0,0,900,100,100,0
Flat100,none,underdog,300,0,0,0,1000,0,0,0
Flat100,none,underdog,350,0,0,0,1000,0,0,0
Flat100,none,underdog,400,0,0,0,1000,0,0,0
Flat100,none,favorite,5,61,40,66,469,1049,100,0
Flat100,none,favorite,10,59,39,66,503,949,100,0
Flat100,none,favorite,15,56,37,66,532,849,100,0
Flat100,none,favorite,20,56,37,66,532,849,100,0
Flat100,none,favorite,25,54,37,69,732,749,100,0
Flat100,none,favorite,30,50,36,72,1024,518,100,0
Flat100,none,favorite,35,48,34,71,973,551,100,0
