strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,117,67,57,2029,667,100,0
Flat100,none,any,10,113,65,58,1817,603,100,0
Flat100,none,any,15,108,62,57,1759,603,100,0
Flat100,none,any,20,105,61,58,1854,524,100,0
Flat100,none,any,25,100,59,59,2017,497,100,0
Flat100,none,any,30,96,56,58,1960,528,100,0
Flat100,none,any,35,90,53,59,2066,405,100,0
Flat100,none,any,40,83,49,59,2072,500,100,0
Flat100,none,any,45,74,44,59,1941,472,100,0
Flat100,none,any,50,72,42,58,1816,547,100,0
Flat100,none,any,75,59,33,56,1133,847,100,0
Flat100,none,any,100,46,26,57,1152,647,100,0
Flat100,none,any,125,27,14,52,1041,339,100,0
Flat100,none,any,150,21,12,57,998,272,100,0
Flat100,none,any,200,10,6,60,1068,200,100,0
Flat100,none,any,250,5,2,40,855,200,100,0
Flat100,none,any,300,1,1,100,1090,0,100,0
Flat100,none,any,350,0,0,0,1000,0,0,0
Flat100,none,any,400,0,0,0,1000,0,0,0
Flat100,none,underdog,5,55,23,42,1592,559,100,0
Flat100,none,underdog,10,52,21,40,1280,568,100,0
Flat100,none,underdog,15,49,20,41,1345,503,100,0
Flat100,none,underdog,20,46,19,41,1440,508,100,0
Flat100,none,underdog,25,45,19,42,1540,500,100,0
Flat100,none,underdog,30,44,19,43,1640,500,100,0
Flat100,none,underdog,35,40,18,45,1848,500,100,0
Flat100,none,underdog,40,36,16,44,1813,500,100,0
Flat100,none,underdog,45,31,13,42,1596,500,100,0
Flat100,none,underdog,50,31,13,42,1596,500,100,0
Flat100,none,underdog,75,23,9,39,1212,490,100,0
Flat100,none,underdog,100,18,7,39,1150,300,100,0
Flat100,none,underdog,125,14,5,36,1013,300,100,0
Flat100,none,underdog,150,9,3,33,870,300,100,0
Flat100,none,underdog,200,5,2,40,950,200,100,0
Flat100,none,underdog,250,2,0,0,800,200,100,0
Flat100,none,underdog,300,0,0,0,1000,0,0,0
Flat100,none,underdog,350,0,0,0,1000,0,0,0
Flat100,none,underdog,400,0,0,0,1000,0,0,0
Flat100,none,favorite,5,58,41,71,1270,442,100,0
Flat100,none,favorite,10,57,41,72,1370,442,100,0
Flat100,none,favorite,15,56,40,71,1334,478,100,0
Flat100,none,favorite,20,56,40,71,1334,478,100,0
Flat100,none,favorite,25,52,38,73,1397,478,100,0
Flat100,none,favorite,30,50,36,72,1330,478,100,0
Flat100,none,favorite,35,48,34,71,1228,489,100,0
Flat100,none,favorite,40,45,32,71,1269,400,100,0
Flat100,none,favorite,45,41,30,73,1355,300,100,0
Flat100,none,favorite,50,39,28,72,1230,414,100,0
Flat100,none,favorite,75,34,23,68,931,547,100,0
