strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,25707,15899,62,319849,9753,100,0
Flat100,none,any,10,24648,15354,62,327358,9082,100,0
Flat100,none,any,15,23586,14772,63,327103,8878,100,0
Flat100,none,any,20,22503,14216,63,333630,8825,100,0
Flat100,none,any,25,21420,13674,64,343108,6772,100,0
Flat100,none,any,30,20334,13105,64,344377,6218,100,0
Flat100,none,any,35,19303,12518,65,342098,6358,100,0
Flat100,none,any,40,18345,11958,65,335562,6081,100,0
Flat100,none,any,45,17379,11388,66,327448,5407,100,0
Flat100,none,any,50,16414,10831,66,320743,5320,100,0
Flat100,none,any,75,12161,8314,68,283535,4701,100,0
Flat100,none,any,100,8581,6093,71,236076,4870,100,0
Flat100,none,any,125,5758,4187,73,172488,4632,100,0
Flat100,none,any,150,3724,2772,74,121455,3512,100,0
Flat100,none,any,200,1349,1071,79,54395,616,100,0
Flat100,none,any,250,406,334,82,18212,570,100,0
Flat100,none,any,300,102,90,88,6810,200,100,0
Flat100,none,any,350,20,17,85,2186,137,100,0
Flat100,none,any,400,4,2,50,846,200,100,0
Flat100,none,underdog,5,11095,5331,48,207282,8314,100,0
Flat100,none,underdog,10,10604,5145,49,211170,7353,100,0
Flat100,none,underdog,15,10126,4948,49,210850,6836,100,0
Flat100,none,underdog,20,9608,4753,49,214831,6627,100,0
Flat100,none,underdog,25,9107,4574,50,221025,5230,100,0
Flat100,none,underdog,30,8586,4360,51,219142,4716,100,0
Flat100,none,underdog,35,8150,4181,51,218012,4230,100,0
Flat100,none,underdog,40,7711,3988,52,214039,3829,100,0
Flat100,none,underdog,45,7289,3799,52,208532,3225,100,0
Flat100,none,underdog,50,6875,3617,53,202448,3600,100,0
Flat100,none,underdog,75,4948,2739,55,177173,3251,100,0
Flat100,none,underdog,100,3404,1980,58,144124,3506,100,0
Flat100,none,underdog,125,2213,1319,60,103390,2990,100,0
Flat100,none,underdog,150,1411,869,62,72734,1707,100,0
Flat100,none,underdog,200,477,317,66,31090,600,100,0
Flat100,none,underdog,250,135,93,69,10459,300,100,0
Flat100,none,underdog,300,36,25,69,3747,400,100,0
Flat100,none,underdog,350,11,8,73,1852,200,100,0
Flat100,none,underdog,400,2,0,0,800,200,100,0
Flat100,none,favorite,5,141,87,62,0,1101,100,0
Flat100,none,favorite,10,13115,9679,74,111223,3220,100,0
Flat100,none,favorite,15,12581,9319,74,110962,3344,100,0
Flat100,none,favorite,20,12049,8976,74,113579,3317,100,0
Flat100,none,favorite,25,11504,8634,75,117081,2907,100,0
Flat100,none,favorite,30,10985,8306,76,120686,2924,100,0
Flat100,none,favorite,35,10428,7917,76,119280,2694,100,0
Flat100,none,favorite,40,9943,7568,76,116676,2997,100,0
Flat100,none,favorite,45,9429,7206,76,114603,2760,100,0
Flat100,none,favorite,50,8920,6849,77,113136,2325,100,0
Flat100,none,favorite,75,6740,5288,78,101160,1674,100,0
Flat100,none,favorite,100,4855,3906,80,86569,1477,100,0
Flat100,none,favorite,125,3340,2736,82,65982,1457,100,0
Flat100,none,favorite,150,2174,1816,84,47404,1857,100,0
Flat100,none,favorite,200,826,723,88,23126,555,100,0
Flat100,none,favorite,250,257,233,91,8656,285,100,0
Flat100,none,favorite,300,62,61,98,3712,100,100,0
Flat100,none,favorite,350,9,9,100,1334,0,100,0
Flat100,none,favorite,400,2,2,100,1046,0,100,0
Bankroll5pct,none,any,5,25707,15899,62,30761685,975300,10000,0
Bankroll5pct,none,any,10,24648,15354,62,31527564,908200,10000,0
Bankroll5pct,none,any,15,23586,14772,63,31510204,887800,10000,0
Bankroll5pct,none,any,20,22503,14216,63,32180365,882500,10000,0
Bankroll5pct,none,any,25,21420,13674,64,33143990,677200,10000,0
Bankroll5pct,none,any,30,20334,13105,64,33284897,621800,10000,0
Bankroll5pct,none,any,35,19303,12518,65,33072254,635800,10000,0
Bankroll5pct,none,any,40,18345,11958,65,32429835,608100,10000,0
Bankroll5pct,none,any,45,17379,11388,66,31627229,540700,10000,0
Bankroll5pct,none,any,50,16414,10831,66,30965049,532000,10000,0
Bankroll5pct,none,any,75,12161,8314,68,27280371,470100,10000,0
Bankroll5pct,none,any,100,8581,6093,71,22561466,487000,10000,0
Bankroll5pct,none,any,125,5758,4187,73,16209894,463200,10000,0
Bankroll5pct,none,any,150,3724,2772,74,11120244,351200,10000,0
Bankroll5pct,none,any,200,1349,1071,79,4416526,61600,10000,0
Bankroll5pct,none,any,250,406,334,82,807013,57000,10000,0
Bankroll5pct,none,any,300,102,90,88,16152,1500,773,0
Bankroll5pct,none,any,350,20,17,85,1760,88,88,0
Bankroll5pct,none,any,400,4,2,50,923,99,51,0
Bankroll5pct,none,underdog,5,11095,5331,48,19446811,831400,10000,0
Bankroll5pct,none,underdog,10,10604,5145,49,19850478,735300,10000,0
Bankroll5pct,none,underdog,15,10126,4948,49,19824376,683600,10000,0
Bankroll5pct,none,underdog,20,9608,4753,49,20249267,662700,10000,0
Bankroll5pct,none,underdog,25,9107,4574,50,20924855,523000,10000,0
Bankroll5pct,none,underdog,30,8586,4360,51,20706560,471600,10000,0
Bankroll5pct,none,underdog,35,8150,4181,51,20625161,423000,10000,0
Bankroll5pct,none,underdog,40,7711,3988,52,20257008,382900,10000,0
Bankroll5pct,none,underdog,45,7289,3799,52,19693702,322500,10000,0
Bankroll5pct,none,underdog,50,6875,3617,53,19092440,360000,10000,0
Bankroll5pct,none,underdog,75,4948,2739,55,16591633,325100,10000,0
Bankroll5pct,none,underdog,100,3404,1980,58,13338461,350600,10000,0
Bankroll5pct,none,underdog,125,2213,1319,60,9240822,299000,10000,0
Bankroll5pct,none,underdog,150,1411,869,62,6209443,170700,10000,0
Bankroll5pct,none,underdog,200,477,317,66,2055231,30000,10000,0
Bankroll5pct,none,underdog,250,135,93,69,81261,13518,4739,0
Bankroll5pct,none,underdog,300,36,25,69,3577,347,178,0
Bankroll5pct,none,underdog,350,11,8,73,1490,102,75,0
Bankroll5pct,none,underdog,400,2,0,0,902,98,50,0
Bankroll5pct,none,favorite,5,13651,10020,73,9617268,283500,10000,0
Bankroll5pct,none,favorite,10,13115,9679,74,10009121,322000,10000,0
Bankroll5pct,none,favorite,15,12581,9319,74,9983235,334400,10000,0
Bankroll5pct,none,favorite,20,12049,8976,74,10287768,331700,10000,0
Bankroll5pct,none,favorite,25,11504,8634,75,10647278,290700,10000,0
Bankroll5pct,none,favorite,30,10985,8306,76,11016341,292400,10000,0
Bankroll5pct,none,favorite,35,10428,7917,76,10885239,269400,10000,0
Bankroll5pct,none,favorite,40,9943,7568,76,10630225,299700,10000,0
Bankroll5pct,none,favorite,45,9429,7206,76,10432555,276000,10000,0
Bankroll5pct,none,favorite,50,8920,6849,77,10290879,232500,10000,0
Bankroll5pct,none,favorite,75,6740,5288,78,9108830,167400,10000,0
Bankroll5pct,none,favorite,100,4855,3906,80,7652144,147700,10000,0
Bankroll5pct,none,favorite,125,3340,2736,82,5596161,145700,10000,0
Bankroll5pct,none,favorite,150,2174,1816,84,3748149,185700,10000,0
Bankroll5pct,none,favorite,200,826,723,88,1321559,55500,10000,0
Bankroll5pct,none,favorite,250,257,233,91,41742,6714,2404,0
Bankroll5pct,none,favorite,300,62,61,98,3808,73,188,0
Bankroll5pct,none,favorite,350,9,9,100,1180,0,58,0
Bankroll5pct,none,favorite,400,2,2,100,1023,0,51,0
Flat100,4+4-,any,5,8096,5589,69,201309,3723,100,0
Flat100,4+4-,any,10,8092,5588,69,201503,3723,100,0
Flat100,4+4-,any,15,8072,5577,69,200936,3723,100,0
Flat100,4+4-,any,20,8060,5570,69,200931,3723,100,0
Flat100,4+4-,any,25,8046,5563,69,201220,3723,100,0
Flat100,4+4-,any,30,8013,5549,69,201828,3723,100,0
Flat100,4+4-,any,35,7973,5528,69,202174,3673,100,0
Flat100,4+4-,any,40,7920,5489,69,200124,3673,100,0
Flat100,4+4-,any,45,7851,5455,69,201163,3673,100,0
Flat100,4+4-,any,50,7762,5401,70,199299,4443,100,0
Flat100,4+4-,any,75,7058,4966,70,188840,4240,100,0
Flat100,4+4-,any,100,5905,4250,72,173237,3367,100,0
Flat100,4+4-,any,125,4501,3291,73,139727,2962,100,0
Flat100,4+4-,any,150,3163,2359,75,104573,2831,100,0
Flat100,4+4-,any,200,1253,990,79,50222,616,100,0
Flat100,4+4-,any,250,396,327,83,18009,470,100,0
Flat100,4+4-,any,300,101,89,88,6742,200,100,0
Flat100,4+4-,any,350,20,17,85,2186,137,100,0
Flat100,4+4-,any,400,4,2,50,846,200,100,0
Flat100,4+4-,underdog,5,3293,1827,55,124481,1652,100,0
Flat100,4+4-,underdog,10,3291,1826,55,124475,1652,100,0
Flat100,4+4-,underdog,15,3280,1821,56,123960,1652,100,0
Flat100,4+4-,underdog,20,3274,1818,56,123934,1652,100,0
Flat100,4+4-,underdog,25,3270,1818,56,124334,1652,100,0
Flat100,4+4-,underdog,30,3250,1811,56,124596,1652,100,0
Flat100,4+4-,underdog,35,3238,1807,56,124643,1652,100,0
Flat100,4+4-,underdog,40,3215,1792,56,123058,1652,100,0
Flat100,4+4-,underdog,45,3190,1787,56,124146,1652,100,0
Flat100,4+4-,underdog,50,3154,1769,56,122326,2228,100,0
Flat100,4+4-,underdog,75,2832,1613,57,114543,2261,100,0
Flat100,4+4-,underdog,100,2334,1372,59,104618,1997,100,0
Flat100,4+4-,underdog,125,1730,1035,60,83437,1877,100,0
Flat100,4+4-,underdog,150,1198,736,61,62189,1415,100,0
Flat100,4+4-,underdog,200,447,296,66,29251,600,100,0
Flat100,4+4-,underdog,250,133,91,68,10200,300,100,0
Flat100,4+4-,underdog,300,36,25,69,3747,400,100,0
Flat100,4+4-,underdog,350,11,8,73,1852,200,100,0
Flat100,4+4-,underdog,400,2,0,0,800,200,100,0
Flat100,4+4-,favorite,5,4512,3578,79,72607,2829,100,0
Flat100,4+4-,favorite,10,4510,3578,79,72807,2829,100,0
Flat100,4+4-,favorite,15,4501,3572,79,72755,2829,100,0
Flat100,4+4-,favorite,20,4495,3568,79,72776,2829,100,0
Flat100,4+4-,favorite,25,4487,3562,79,72652,2829,100,0
Flat100,4+4-,favorite,30,4476,3556,79,72985,2829,100,0
Flat100,4+4-,favorite,35,4448,3539,80,73284,2774,100,0
Flat100,4+4-,favorite,40,4418,3515,80,72819,2824,100,0
Flat100,4+4-,favorite,45,4378,3489,80,72927,2724,100,0
Flat100,4+4-,favorite,50,4330,3455,80,72760,2807,100,0
Flat100,4+4-,favorite,75,3962,3184,80,70177,2434,100,0
Flat100,4+4-,favorite,100,3355,2740,82,65484,1645,100,0
Flat100,4+4-,favorite,125,2606,2150,83,54012,1237,100,0
Flat100,4+4-,favorite,150,1840,1543,84,40968,1759,100,0
Flat100,4+4-,favorite,200,764,666,87,20951,516,100,0
Flat100,4+4-,favorite,250,250,228,91,8612,270,100,0
Flat100,4+4-,favorite,300,61,60,98,3644,100,100,0
Flat100,4+4-,favorite,350,9,9,100,1334,0,100,0
Flat100,4+4-,favorite,400,2,2,100,1046,0,100,0
Flat5pct,4+4-,any,5,8096,5589,69,102183,1834,50,0
Flat5pct,4+4-,any,10,8092,5588,69,102280,1834,50,0
Flat5pct,4+4-,any,15,8072,5577,69,101994,1834,50,0
Flat5pct,4+4-,any,20,8060,5570,69,101990,1834,50,0
Flat5pct,4+4-,any,25,8046,5563,69,102134,1834,50,0
Flat5pct,4+4-,any,30,8013,5549,69,102436,1834,50,0
Flat5pct,4+4-,any,35,7973,5528,69,102606,1810,50,0
Flat5pct,4+4-,any,40,7920,5489,69,101574,1810,50,0
Flat5pct,4+4-,any,45,7851,5455,69,102085,1810,50,0
Flat5pct,4+4-,any,50,7762,5401,70,101144,2195,50,0
Flat5pct,4+4-,any,75,7058,4966,70,95833,2096,50,0
Flat5pct,4+4-,any,100,5905,4250,72,87892,1663,50,0
Flat5pct,4+4-,any,125,4501,3291,73,70963,1464,50,0
Flat5pct,4+4-,any,150,3163,2359,75,53221,1409,50,0
Flat5pct,4+4-,any,200,1253,990,79,25798,307,50,0
Flat5pct,4+4-,any,250,396,327,83,9567,234,50,0
Flat5pct,4+4-,any,300,101,89,88,3889,100,50,0
Flat5pct,4+4-,any,350,20,17,85,1597,68,50,0
Flat5pct,4+4-,any,400,4,2,50,923,100,50,0
Flat5pct,4+4-,underdog,5,3293,1827,55,63000,823,50,0
Flat5pct,4+4-,underdog,10,3291,1826,55,62997,823,50,0
Flat5pct,4+4-,underdog,15,3280,1821,56,62739,823,50,0
Flat5pct,4+4-,underdog,20,3274,1818,56,62726,823,50,0
Flat5pct,4+4-,underdog,25,3270,1818,56,62926,823,50,0
Flat5pct,4+4-,underdog,30,3250,1811,56,63056,823,50,0
Flat5pct,4+4-,underdog,35,3238,1807,56,63079,823,50,0
Flat5pct,4+4-,underdog,40,3215,1792,56,62285,823,50,0
Flat5pct,4+4-,underdog,45,3190,1787,56,62828,823,50,0
Flat5pct,4+4-,underdog,50,3154,1769,56,61917,1110,50,0
Flat5pct,4+4-,underdog,75,2832,1613,57,58001,1129,50,0
Flat5pct,4+4-,underdog,100,2334,1372,59,53001,997,50,0
Flat5pct,4+4-,underdog,125,1730,1035,60,42363,938,50,0
Flat5pct,4+4-,underdog,150,1198,736,61,31702,708,50,0
Flat5pct,4+4-,underdog,200,447,296,66,15173,300,50,0
Flat5pct,4+4-,underdog,250,133,91,68,5616,150,50,0
Flat5pct,4+4-,underdog,300,36,25,69,2379,200,50,0
Flat5pct,4+4-,underdog,350,11,8,73,1428,100,50,0
Flat5pct,4+4-,underdog,400,2,0,0,900,100,50,0
Flat5pct,4+4-,favorite,5,4512,3578,79,37489,1384,50,0
