month,date,match_id,championship,team1,team2,delta,favored,odds,stake,outcome,payout,bank_before,bank_after
2025-08,2025-08-01,172132,Clavision Masters 2025: Snow-Ruyi,Nigma Galaxy,Tundra Esports,-9.1186,Tundra Esports,1.72,9,loss,0,1000,991
2025-08,2025-08-01,172224,Clavision Masters 2025: Snow-Ruyi,Nigma Galaxy,Tundra Esports,88.8946,Nigma Galaxy,2,88,loss,0,991,903
2025-08,2025-08-01,172232,Clavision Masters 2025: Snow-Ruyi,Nigma Galaxy,Tundra Esports,9.5022,Nigma Galaxy,2.13,8,loss,0,903,895
2025-08,2025-08-01,172136,Clavision Masters 2025: Snow-Ruyi,Team Tidebound,Gaimin Gladiators,-158.8410,Gaimin Gladiators,1.82,142,loss,0,895,753
2025-08,2025-08-01,172250,Clavision Masters 2025: Snow-Ruyi,Team Tidebound,Gaimin Gladiators,102.4866,Team Tidebound,1.78,77,win,137,753,813
2025-08,2025-08-01,172134,Clavision Masters 2025: Snow-Ruyi,PARIVISION,Xtreme Gaming,215.1384,PARIVISION,1.44,174,loss,0,813,639
2025-08,2025-08-01,172179,Clavision Masters 2025: Snow-Ruyi,PARIVISION,Xtreme Gaming,88.8504,PARIVISION,1.44,56,loss,0,639,583
2025-08,2025-08-01,172133,Clavision Masters 2025: Snow-Ruyi,BetBoom Team,BOOM Esports,246.1540,BetBoom Team,1.24,143,win,177,583,617
2025-08,2025-08-01,172195,Clavision Masters 2025: Snow-Ruyi,BetBoom Team,BOOM Esports,-192.4408,BOOM Esports,3.89,118,win,459,617,958
2025-08,2025-08-01,172206,Clavision Masters 2025: Snow-Ruyi,BetBoom Team,BOOM Esports,-115.1276,BOOM Esports,3.17,110,loss,0,958,848
2025-08,2025-08-01,172220,CCT Season 2 Series 3,Passion UA,1win Team,-250.7396,1win Team,1.48,212,loss,0,848,636
2025-08,2025-08-01,172223,CCT Season 2 Series 3,Passion UA,1win Team,46.9456,Passion UA,2.28,29,loss,0,636,607
2025-08,2025-08-01,172233,CCT Season 2 Series 3,Passion UA,1win Team,51.3720,Passion UA,2.63,31,loss,0,607,576
2025-08,2025-08-01,172239,CCT Season 2 Series 3,Passion UA,1win Team,-33.3026,1win Team,1.52,19,loss,0,576,557
2025-08,2025-08-01,172249,CCT Season 2 Series 3,Passion UA,1win Team,-198.0326,1win Team,1.51,110,win,166,557,613
2025-08,2025-08-01,172246,European Pro League 28,Zero Tenacity,Yellow Submarine,-102.7216,Yellow Submarine,1.82,62,loss,0,613,551
2025-08,2025-08-01,172253,European Pro League 28,Zero Tenacity,Yellow Submarine,-5.5206,Yellow Submarine,1.84,3,loss,0,551,548
2025-08,2025-08-01,172259,European Pro League 28,Zero Tenacity,Yellow Submarine,190.2548,Zero Tenacity,1.85,104,win,192,548,636
2025-08,2025-08-02,172341,CIS Battle 2,Zero Tenacity,Yellow Submarine,-161.3184,Yellow Submarine,2,102,win,204,636,738
2025-08,2025-08-02,172344,CIS Battle 2,Zero Tenacity,Yellow Submarine,105.3310,Zero Tenacity,1.7,77,loss,0,738,661
2025-08,2025-08-02,172351,CIS Battle 2,Yellow Submarine,Level Up,-58.2596,Level Up,2.15,38,loss,0,661,623
2025-08,2025-08-02,172356,CIS Battle 2,Yellow Submarine,Level Up,-103.6238,Level Up,2.5,64,win,160,623,719
2025-08,2025-08-02,172359,CIS Battle 2,Yellow Submarine,Level Up,149.0238,Yellow Submarine,1.53,107,win,163,719,775
2025-08,2025-08-02,172248,Clavision Masters 2025: Snow-Ruyi,Nigma Galaxy,Xtreme Gaming,104.6628,Nigma Galaxy,1.92,81,loss,0,775,694
2025-08,2025-08-02,172304,Clavision Masters 2025: Snow-Ruyi,Nigma Galaxy,Xtreme Gaming,-21.6082,Xtreme Gaming,1.78,14,win,24,694,704
2025-08,2025-08-02,172256,Clavision Masters 2025: Snow-Ruyi,BetBoom Team,Gaimin Gladiators,24.9274,BetBoom Team,1.55,17,win,26,704,713
2025-08,2025-08-02,172311,Clavision Masters 2025: Snow-Ruyi,BetBoom Team,Gaimin Gladiators,-265.4616,Gaimin Gladiators,2.15,189,loss,0,713,524
2025-08,2025-08-02,172257,Clavision Masters 2025: Snow-Ruyi,Tundra Esports,Team Tidebound,121.7656,Tundra Esports,1.94,63,win,122,524,583
2025-08,2025-08-02,172324,Clavision Masters 2025: Snow-Ruyi,Tundra Esports,Team Tidebound,172.5664,Tundra Esports,1.88,100,win,188,583,671
2025-08,2025-08-02,172320,Clavision Masters 2025: Snow-Ruyi,Xtreme Gaming,BetBoom Team,116.9414,Xtreme Gaming,2.05,78,loss,0,671,593
2025-08,2025-08-02,172333,Clavision Masters 2025: Snow-Ruyi,Xtreme Gaming,BetBoom Team,-50.4468,BetBoom Team,1.55,29,loss,0,593,564
2025-08,2025-08-02,172338,Clavision Masters 2025: Snow-Ruyi,Xtreme Gaming,BetBoom Team,130.9376,Xtreme Gaming,2.2,73,win,160,564,651
2025-08,2025-08-03,172422,CIS Battle 2,Nemiga Gaming,Zero Tenacity,135.2298,Nemiga Gaming,2.2,88,win,193,651,756
2025-08,2025-08-03,172427,CIS Battle 2,Nemiga Gaming,Zero Tenacity,65.0370,Nemiga Gaming,2.15,49,loss,0,756,707
2025-08,2025-08-03,172430,CIS Battle 2,Nemiga Gaming,Zero Tenacity,-274.3584,Zero Tenacity,1.65,193,loss,0,707,514
2025-08,2025-08-03,172431,CIS Battle 2,Zero Tenacity,Level Up,-134.3776,Level Up,2,69,loss,0,514,445
2025-08,2025-08-03,172437,CIS Battle 2,Zero Tenacity,Level Up,329.1442,Zero Tenacity,1.62,146,win,236,445,535
2025-08,2025-08-03,172391,Clavision Masters 2025: Snow-Ruyi,Team Tidebound,Xtreme Gaming,100.7264,Team Tidebound,1.88,53,win,99,535,581
2025-08,2025-08-03,172397,Clavision Masters 2025: Snow-Ruyi,Team Tidebound,Xtreme Gaming,119.2330,Team Tidebound,1.81,69,win,124,581,636
2025-08,2025-08-03,172401,Clavision Masters 2025: Snow-Ruyi,Team Tidebound,Tundra Esports,-183.0478,Tundra Esports,1.6,116,win,185,636,705
2025-08,2025-08-03,172408,Clavision Masters 2025: Snow-Ruyi,Team Tidebound,Tundra Esports,-202.0144,Tundra Esports,1.65,142,loss,0,705,563
2025-08,2025-08-03,172416,Clavision Masters 2025: Snow-Ruyi,Team Tidebound,Tundra Esports,-162.3118,Tundra Esports,1.7,91,loss,0,563,472
2025-08,2025-08-03,172417,Clavision Masters 2025: Snow-Ruyi,Team Tidebound,Tundra Esports,-32.4648,Tundra Esports,1.7,15,win,25,472,482
2025-08,2025-08-03,172426,Clavision Masters 2025: Snow-Ruyi,Team Tidebound,Tundra Esports,2.4834,Team Tidebound,2.14,1,win,2,482,483
2025-08,2025-08-04,172439,EPL World Series: Southeast Asia S7,Yangon Galacticos,Kopite,-10.1164,Kopite,2.2,4,loss,0,483,479
2025-08,2025-08-04,172490,EPL World Series: Southeast Asia S7,REKONIX,Ivory,-13.0762,Ivory,2.6,6,loss,0,479,473
2025-08,2025-08-04,172498,EPL World Series: Southeast Asia S7,REKONIX,Ivory,257.0670,REKONIX,1.39,121,win,168,473,520
2025-08,2025-08-04,172504,CIS Battle 2,Zero Tenacity,eSpoiled,-20.0052,eSpoiled,2.29,10,win,22,520,532
2025-08,2025-08-04,172512,CIS Battle 2,Zero Tenacity,eSpoiled,106.7910,Zero Tenacity,1.6,56,win,89,532,565
2025-08,2025-08-04,172517,CIS Battle 2,Zero Tenacity,eSpoiled,-146.1814,eSpoiled,2.4,82,loss,0,565,483
2025-08,2025-08-04,172511,CIS Battle 2,Runa Team,Yellow Submarine,69.4444,Runa Team,1.79,33,loss,0,483,450
2025-08,2025-08-04,172529,CIS Battle 2,Runa Team,Yellow Submarine,-82.4432,Yellow Submarine,1.8,37,win,66,450,479
2025-08,2025-08-04,172535,CIS Battle 2,4Pirates,Kalmychata,-63.1478,Kalmychata,2.8,30,loss,0,479,449
2025-08,2025-08-04,172543,CIS Battle 2,4Pirates,Kalmychata,27.0418,4Pirates,1.44,12,win,17,449,454
2025-08,2025-08-05,172585,EPL World Series: Southeast Asia S7,Ivory,Carstensz Esports,-12.9522,Carstensz Esports,2.52,5,loss,0,454,449
2025-08,2025-08-05,172591,EPL World Series: Southeast Asia S7,Ivory,Carstensz Esports,-46.4762,Carstensz Esports,2.68,20,loss,0,449,429
2025-08,2025-08-05,172550,EPL World Series: Southeast Asia S7,Kopite,InterActive Philippines,-37.1880,InterActive Philippines,3,15,win,45,429,459
2025-08,2025-08-05,172607,EPL World Series: Southeast Asia S7,Kopite,InterActive Philippines,146.8634,Kopite,1.35,67,win,90,459,482
2025-08,2025-08-05,172615,EPL World Series: Southeast Asia S7,Kopite,InterActive Philippines,-55.3218,InterActive Philippines,2.48,26,loss,0,482,456
2025-08,2025-08-05,172556,CIS Battle 2,Nemiga Gaming,4Pirates,-414.4228,4Pirates,1.52,188,win,285,456,553
2025-08,2025-08-05,172617,CIS Battle 2,Nemiga Gaming,4Pirates,-92.9230,4Pirates,1.41,51,win,71,553,573
2025-08,2025-08-05,172623,CIS Battle 2,Kalmychata,eSpoiled,177.8814,Kalmychata,1.92,101,win,193,573,665
2025-08,2025-08-05,172634,CIS Battle 2,Kalmychata,eSpoiled,-227.8268,eSpoiled,1.82,151,loss,0,665,514
2025-08,2025-08-05,172649,CIS Battle 2,Runa Team,Level Up,116.8936,Runa Team,1.67,60,win,100,514,554
2025-08,2025-08-05,172655,CIS Battle 2,Runa Team,Level Up,298.7684,Runa Team,1.54,165,win,254,554,643
2025-08,2025-08-06,172653,CIS Battle 2,Zero Tenacity,4Pirates,13.3476,Zero Tenacity,2.25,8,win,18,643,653
2025-08,2025-08-06,172723,CIS Battle 2,Zero Tenacity,4Pirates,155.2460,Zero Tenacity,2.2,101,win,222,653,774
2025-08,2025-08-06,172661,CIS Battle 2,Yellow Submarine,Kalmychata,187.7818,Yellow Submarine,1.42,145,win,205,774,834
2025-08,2025-08-06,172737,CIS Battle 2,Yellow Submarine,Kalmychata,-125.1472,Kalmychata,3,104,win,312,834,1042
