month,date,match_id,championship,team1,team2,delta,favored,odds,stake,outcome,payout,bank_before,bank_after
2023-01,2023-01-02,71001,TodayPay Invitational S3,CDUB Esports,KEEPER GAMING,167.2826,CDUB Esports,1.23,167,win,205,1000,1038
2023-01,2023-01-02,71003,TodayPay Invitational S3,CDUB Esports,KEEPER GAMING,221.8838,CDUB Esports,1.13,230,loss,0,1038,808
2023-01,2023-01-02,71008,TodayPay Invitational S3,Paradox Esports,CDUB Esports,-229.5304,CDUB Esports,2.35,185,win,434,808,1057
2023-01,2023-01-02,71011,TodayPay Invitational S3,Paradox Esports,CDUB Esports,304.9802,Paradox Esports,1.6,322,win,515,1057,1250
2023-01,2023-01-02,71013,TodayPay Invitational S3,5RATFORCESTAFF,Balrogs e-Sport,-94.6008,Balrogs e-Sport,1.72,118,win,202,1250,1334
2023-01,2023-01-02,71019,TodayPay Invitational S3,5RATFORCESTAFF,Balrogs e-Sport,182.3150,5RATFORCESTAFF,1.87,243,loss,0,1334,1091
2023-01,2023-01-02,70945,TOP EGAMING,Team Virgo,BELIEVE GAMING,308.0984,Team Virgo,1.4,336,loss,0,1091,755
2023-01,2023-01-02,70953,TOP EGAMING,Team Virgo,BELIEVE GAMING,152.8796,Team Virgo,3.5,115,loss,0,755,640
2023-01,2023-01-02,70957,TOP EGAMING,BELIEVE GAMING,TEAM M11,98.8242,BELIEVE GAMING,1.38,63,win,86,640,663
2023-01,2023-01-02,70964,TOP EGAMING,BELIEVE GAMING,TEAM M11,-85.5934,TEAM M11,1.4,56,loss,0,663,607
2023-01,2023-01-02,70949,EPL Winter Holidays,Level Up,Creep Gaming,139.2140,Level Up,1.49,84,loss,0,607,523
2023-01,2023-01-02,70979,EPL Winter Holidays,Level Up,Creep Gaming,-81.7680,Creep Gaming,2.15,42,loss,0,523,481
2023-01,2023-01-02,70987,EPL Winter Holidays,Level Up,Creep Gaming,-54.6856,Creep Gaming,2.57,26,loss,0,481,455
2023-01,2023-01-02,70992,EPL Winter Holidays,Water rune enjoyers,IVY,-182.8896,IVY,1.5,83,win,124,455,496
2023-01,2023-01-02,70995,EPL Winter Holidays,Water rune enjoyers,IVY,133.7906,Water rune enjoyers,2.43,66,loss,0,496,430
2023-01,2023-01-02,70998,EPL Winter Holidays,Water rune enjoyers,Hydra,9.0024,Water rune enjoyers,3.2,3,loss,0,430,427
2023-01,2023-01-02,71005,EPL Winter Holidays,Water rune enjoyers,Hydra,102.5608,Water rune enjoyers,3.62,43,win,155,427,539
2023-01,2023-01-02,71006,EPL Winter Holidays,Water rune enjoyers,Hydra,73.1830,Water rune enjoyers,2.2,39,loss,0,539,500
2023-01,2023-01-02,70961,Star Series,Team Mystique,Purple Paradox,91.7652,Team Mystique,1.78,45,loss,0,500,455
2023-01,2023-01-02,70966,Star Series,Team Mystique,Purple Paradox,-175.9720,Purple Paradox,1.88,80,loss,0,455,375
2023-01,2023-01-02,70969,Star Series,Team Mystique,Purple Paradox,-128.0144,Purple Paradox,1.94,48,win,93,375,420
2023-01,2023-01-02,70972,Star Series,Team Mystique,Purple Paradox,-47.2900,Purple Paradox,2.35,19,win,44,420,445
2023-01,2023-01-03,71016,TOP EGAMING,KOBOLDS,Team Virgo,-47.9428,Team Virgo,1.39,21,loss,0,445,424
2023-01,2023-01-03,71030,TOP EGAMING,KOBOLDS,Team Virgo,94.7760,KOBOLDS,1.87,40,win,74,424,458
2023-01,2023-01-03,71040,TOP EGAMING,White Cat,BELIEVE GAMING,-232.0584,BELIEVE GAMING,1.21,106,win,128,458,480
2023-01,2023-01-03,71046,TOP EGAMING,White Cat,BELIEVE GAMING,437.1242,White Cat,4.64,209,loss,0,480,271
2023-01,2023-01-03,71041,TOP EGAMING,White Cat,Team Virgo,-656.9002,Team Virgo,1.22,178,win,217,271,310
2023-01,2023-01-03,71058,TOP EGAMING,White Cat,Team Virgo,-246.6586,Team Virgo,1.22,76,win,92,310,326
2023-01,2023-01-03,71082,TodayPay Invitational S3,5RATFORCESTAFF,KEEPER GAMING,95.8892,5RATFORCESTAFF,1.17,31,loss,0,326,295
2023-01,2023-01-03,71085,TodayPay Invitational S3,5RATFORCESTAFF,KEEPER GAMING,94.2272,5RATFORCESTAFF,1.22,27,win,32,295,300
2023-01,2023-01-03,71089,TodayPay Invitational S3,CDUB Esports,ANOTHER NA TEAM,-419.5794,ANOTHER NA TEAM,1.52,125,win,190,300,365
2023-01,2023-01-03,71093,TodayPay Invitational S3,CDUB Esports,ANOTHER NA TEAM,-115.1630,ANOTHER NA TEAM,1.5,42,loss,0,365,323
2023-01,2023-01-03,71097,TodayPay Invitational S3,Qhali,CDUB Esports,-49.0220,CDUB Esports,2.25,15,loss,0,323,308
2023-01,2023-01-03,71032,Moon Studio Campfire,Atlantis,Poke Gaming,114.8108,Atlantis,2.26,35,win,79,308,352
2023-01,2023-01-03,71045,Moon Studio Campfire,Atlantis,Poke Gaming,-102.9448,Poke Gaming,1.87,36,loss,0,352,316
2023-01,2023-01-03,71051,Moon Studio Campfire,iG.Vitality,Meteor Gaming,-17.9926,Meteor Gaming,1.87,5,win,9,316,320
2023-01,2023-01-03,71057,Moon Studio Campfire,iG.Vitality,Meteor Gaming,-84.4832,Meteor Gaming,1.87,27,loss,0,320,293
2023-01,2023-01-03,71034,EPL Winter Holidays,IVY,Hydra,99.6536,IVY,2.06,29,win,59,293,323
2023-01,2023-01-03,71065,EPL Winter Holidays,IVY,Hydra,-54.4068,Hydra,1.87,17,win,31,323,337
2023-01,2023-01-03,71069,EPL Winter Holidays,IVY,Hydra,-170.4350,Hydra,1.69,57,loss,0,337,280
2023-01,2023-01-03,71072,EPL Winter Holidays,Level Up,YNT,-83.5800,YNT,1.65,23,win,37,280,294
2023-01,2023-01-03,71075,EPL Winter Holidays,Level Up,YNT,-96.1760,YNT,1.5,28,loss,0,294,266
2023-01,2023-01-03,71076,EPL Winter Holidays,Level Up,YNT,410.2328,Level Up,2.16,109,win,235,266,392
2023-01,2023-01-03,71080,EPL Winter Holidays,YNT,Creep Gaming,156.7706,YNT,1.42,61,loss,0,392,331
2023-01,2023-01-03,71083,EPL Winter Holidays,YNT,Creep Gaming,-113.6250,Creep Gaming,1.99,37,loss,0,331,294
2023-01,2023-01-03,71086,EPL Winter Holidays,YNT,Creep Gaming,-228.2788,Creep Gaming,2.6,67,loss,0,294,227
2023-01,2023-01-03,71017,ESEA LEAGUE,Refraction Gaming,Team Balut,11.1566,Refraction Gaming,1.47,2,loss,0,227,225
2023-01,2023-01-03,71037,ESEA LEAGUE,Refraction Gaming,Team Balut,72.3800,Refraction Gaming,1.82,16,loss,0,225,209
2023-01,2023-01-03,71042,ESEA LEAGUE,Refraction Gaming,Team Balut,-148.9866,Team Balut,1.68,31,win,52,209,230
2023-01,2023-01-04,71112,Moon Studio Campfire,iG.Vitality,Lilgun,117.2782,iG.Vitality,1.84,26,loss,0,230,204
2023-01,2023-01-04,71119,Moon Studio Campfire,iG.Vitality,Lilgun,-151.3768,Lilgun,1.71,30,loss,0,204,174
2023-01,2023-01-04,71113,Moon Studio Campfire,iG.Vitality,Dawn Gaming,163.0854,iG.Vitality,1.87,28,loss,0,174,146
2023-01,2023-01-04,71127,Moon Studio Campfire,iG.Vitality,Dawn Gaming,86.5034,iG.Vitality,1.87,12,loss,0,146,134
2023-01,2023-01-04,71106,TOP EGAMING,496 Gaming,White Cat,-60.6162,White Cat,2.25,8,win,18,134,144
2023-01,2023-01-04,71110,TOP EGAMING,496 Gaming,White Cat,-38.8090,White Cat,1.89,5,loss,0,144,139
2023-01,2023-01-04,71114,TOP EGAMING,White Cat,TEAM M11,27.9536,White Cat,1.88,3,win,5,139,141
2023-01,2023-01-04,71121,TOP EGAMING,White Cat,TEAM M11,170.4598,White Cat,1.67,24,loss,0,141,117
2023-01,2023-01-04,71115,TOP EGAMING,Team Tsunami,BELIEVE GAMING,10.9620,Team Tsunami,2.4,1,win,2,117,118
2023-01,2023-01-04,71129,TOP EGAMING,Team Tsunami,BELIEVE GAMING,77.9114,Team Tsunami,1.3,9,win,11,118,120
