strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,167,118,71,5833,528,100,0
Flat100,none,any,10,164,116,71,5701,528,100,0
Flat100,none,any,15,157,111,71,5527,528,100,0
Flat100,none,any,20,149,107,72,5573,528,100,0
Flat100,none,any,25,143,105,73,5812,398,100,0
Flat100,none,any,30,137,100,73,5591,398,100,0
Flat100,none,any,35,135,99,73,5636,398,100,0
Flat100,none,any,40,134,98,73,5610,398,100,0
Flat100,none,any,45,130,94,72,5324,410,100,0
Flat100,none,any,50,126,91,72,5081,410,100,0
Flat100,none,any,75,108,82,76,5309,312,100,0
Flat100,none,any,100,93,72,77,4745,310,100,0
Flat100,none,any,125,66,54,82,4425,238,100,0
Flat100,none,any,150,49,41,84,3705,110,100,0
Flat100,none,any,200,24,20,83,2216,118,100,0
Flat100,none,any,250,15,13,87,1999,100,100,0
Flat100,none,any,300,7,7,100,1611,0,100,0
Flat100,none,any,350,4,4,100,1377,0,100,0
Flat100,none,any,400,1,1,100,1052,0,100,0
Flat100,none,underdog,5,72,42,58,3800,307,100,0
Flat100,none,underdog,10,70,41,59,3730,307,100,0
Flat100,none,underdog,15,67,40,60,3805,307,100,0
Flat100,none,underdog,20,65,39,60,3735,411,100,0
Flat100,none,underdog,25,61,38,62,3906,411,100,0
Flat100,none,underdog,30,60,37,62,3773,411,100,0
Flat100,none,underdog,35,60,37,62,3773,411,100,0
Flat100,none,underdog,40,60,37,62,3773,411,100,0
Flat100,none,underdog,45,59,36,61,3651,411,100,0
Flat100,none,underdog,50,56,34,61,3438,400,100,0
Flat100,none,underdog,75,46,30,65,3595,440,100,0
Flat100,none,underdog,100,41,27,66,3209,295,100,0
Flat100,none,underdog,125,32,24,75,3465,200,100,0
Flat100,none,underdog,150,23,19,83,3110,100,100,0
Flat100,none,underdog,200,10,9,90,2007,100,100,0
Flat100,none,underdog,250,8,7,88,1805,100,100,0
Flat100,none,underdog,300,3,3,100,1416,0,100,0
Flat100,none,underdog,350,2,2,100,1296,0,100,0
Flat100,none,underdog,400,0,0,0,1000,0,0,0
Flat100,none,favorite,5,93,74,80,2861,360,100,0
Flat100,none,favorite,10,92,73,79,2799,360,100,0
Flat100,none,favorite,15,89,70,79,2637,374,100,0
Flat100,none,favorite,20,83,67,81,2753,374,100,0
Flat100,none,favorite,25,81,66,81,2821,274,100,0
Flat100,none,favorite,30,76,62,82,2733,274,100,0
Flat100,none,favorite,35,74,61,82,2778,214,100,0
Flat100,none,favorite,40,73,60,82,2752,214,100,0
Flat100,none,favorite,45,70,57,81,2588,224,100,0
Flat100,none,favorite,50,69,56,81,2558,224,100,0
Flat100,none,favorite,75,61,51,84,2629,166,100,0
Flat100,none,favorite,100,52,45,87,2536,147,100,0
Flat100,none,favorite,125,34,30,88,1960,100,100,0
Flat100,none,favorite,150,26,22,85,1595,100,100,0
Flat100,none,favorite,200,14,11,79,1209,100,100,0
Flat100,none,favorite,250,7,6,86,1194,100,100,0
Flat100,none,favorite,300,4,4,100,1195,0,100,0
Flat100,none,favorite,350,2,2,100,1081,0,100,0
Flat100,none,favorite,400,1,1,100,1052,0,100,0
Bankroll5pct,none,any,5,167,118,71,9213,561,452,0
Bankroll5pct,none,any,10,164,116,71,8687,529,426,0
Bankroll5pct,none,any,15,157,111,71,7998,447,392,0
Bankroll5pct,none,any,20,149,107,72,8299,454,407,0
Bankroll5pct,none,any,25,143,105,73,9424,490,462,0
Bankroll5pct,none,any,30,137,100,73,8452,288,414,0
Bankroll5pct,none,any,35,135,99,73,8682,296,426,0
Bankroll5pct,none,any,40,134,98,73,8546,291,419,0
Bankroll5pct,none,any,45,130,94,72,7438,285,365,0
Bankroll5pct,none,any,50,126,91,72,6593,294,323,0
Bankroll5pct,none,any,75,108,82,76,7565,303,371,0
Bankroll5pct,none,any,100,93,72,77,5863,262,287,0
Bankroll5pct,none,any,125,66,54,82,5114,168,251,0
Bankroll5pct,none,any,150,49,41,84,3639,127,178,0
Bankroll5pct,none,any,200,24,20,83,1790,60,82,0
Bankroll5pct,none,any,250,15,13,87,1615,52,74,0
Bankroll5pct,none,any,300,7,7,100,1345,0,66,0
Bankroll5pct,none,any,350,4,4,100,1200,0,59,0
Bankroll5pct,none,any,400,1,1,100,1026,0,50,0
Bankroll5pct,none,underdog,5,72,42,58,3520,449,183,0
Bankroll5pct,none,underdog,10,70,41,59,3410,438,178,0
Bankroll5pct,none,underdog,15,67,40,60,3566,353,181,0
Bankroll5pct,none,underdog,20,65,39,60,3444,240,166,0
Bankroll5pct,none,underdog,25,61,38,62,3779,233,173,0
Bankroll5pct,none,underdog,30,60,37,62,3544,233,162,0
Bankroll5pct,none,underdog,35,60,37,62,3544,233,162,0
Bankroll5pct,none,underdog,40,60,37,62,3544,233,162,0
Bankroll5pct,none,underdog,45,59,36,61,3325,233,152,0
Bankroll5pct,none,underdog,50,56,34,61,3022,211,146,0
Bankroll5pct,none,underdog,75,46,30,65,3309,271,160,0
Bankroll5pct,none,underdog,100,41,27,66,2783,208,135,0
Bankroll5pct,none,underdog,125,32,24,75,3208,129,147,0
Bankroll5pct,none,underdog,150,23,19,83,2730,101,125,0
Bankroll5pct,none,underdog,200,10,9,90,1622,50,74,0
Bankroll5pct,none,underdog,250,8,7,88,1471,50,67,0
Bankroll5pct,none,underdog,300,3,3,100,1221,0,55,0
Bankroll5pct,none,underdog,350,2,2,100,1152,0,52,0
Bankroll5pct,none,underdog,400,0,0,0,1000,0,0,0
Bankroll5pct,none,favorite,5,93,74,80,2421,246,119,0
Bankroll5pct,none,favorite,10,92,73,79,2346,238,115,0
Bankroll5pct,none,favorite,15,89,70,79,2167,240,106,0
Bankroll5pct,none,favorite,20,83,67,81,2312,238,113,0
Bankroll5pct,none,favorite,25,81,66,81,2397,180,118,0
Bankroll5pct,none,favorite,30,76,62,82,2301,172,113,0
Bankroll5pct,none,favorite,35,74,61,82,2349,136,115,0
Bankroll5pct,none,favorite,40,73,60,82,2324,136,114,0
Bankroll5pct,none,favorite,45,70,57,81,2143,143,105,0
Bankroll5pct,none,favorite,50,69,56,81,2105,144,103,0
Bankroll5pct,none,favorite,75,61,51,84,2194,116,108,0
Bankroll5pct,none,favorite,100,52,45,87,2107,82,103,0
Bankroll5pct,none,favorite,125,34,30,88,1594,71,78,0
Bankroll5pct,none,favorite,150,26,22,85,1333,63,65,0
Bankroll5pct,none,favorite,200,14,11,79,1104,51,53,0
Bankroll5pct,none,favorite,250,7,6,86,1099,50,54,0
Bankroll5pct,none,favorite,300,4,4,100,1102,0,54,0
Bankroll5pct,none,favorite,350,2,2,100,1041,0,51,0
Bankroll5pct,none,favorite,400,1,1,100,1026,0,50,0
Flat100,4+4-,any,5,55,42,76,3533,412,100,0
Flat100,4+4-,any,10,55,42,76,3533,412,100,0
Flat100,4+4-,any,15,55,42,76,3533,412,100,0
Flat100,4+4-,any,20,55,42,76,3533,412,100,0
Flat100,4+4-,any,25,55,42,76,3533,412,100,0
Flat100,4+4-,any,30,55,42,76,3533,412,100,0
Flat100,4+4-,any,35,55,42,76,3533,412,100,0
Flat100,4+4-,any,40,55,42,76,3533,412,100,0
Flat100,4+4-,any,45,55,42,76,3533,412,100,0
Flat100,4+4-,any,50,55,42,76,3533,412,100,0
Flat100,4+4-,any,75,53,42,79,3733,312,100,0
Flat100,4+4-,any,100,51,41,80,3533,300,100,0
