strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,161,112,70,3863,425,100,0
Flat100,none,any,10,152,106,70,3782,425,100,0
Flat100,none,any,15,147,103,70,3850,425,100,0
Flat100,none,any,20,141,100,71,4023,347,100,0
Flat100,none,any,25,138,98,71,4096,347,100,0
Flat100,none,any,30,134,96,72,4263,347,100,0
Flat100,none,any,35,128,93,73,4294,304,100,0
Flat100,none,any,40,124,90,73,4187,300,100,0
Flat100,none,any,45,120,90,75,4587,300,100,0
Flat100,none,any,50,116,88,76,4709,300,100,0
Flat100,none,any,75,93,74,80,4831,247,100,0
Flat100,none,any,100,71,58,82,3946,200,100,0
Flat100,none,any,125,53,46,87,3679,165,100,0
Flat100,none,any,150,45,39,87,3499,202,100,0
Flat100,none,any,200,25,22,88,2356,200,100,0
Flat100,none,any,250,13,12,92,1741,100,100,0
Flat100,none,any,300,7,6,86,1326,100,100,0
Flat100,none,any,350,2,2,100,1196,0,100,0
Flat100,none,any,400,2,2,100,1196,0,100,0
Flat100,none,underdog,5,58,25,43,1822,847,100,0
Flat100,none,underdog,10,55,24,44,1902,847,100,0
Flat100,none,underdog,15,54,24,44,2002,847,100,0
Flat100,none,underdog,20,52,24,46,2202,647,100,0
Flat100,none,underdog,25,51,24,47,2302,600,100,0
Flat100,none,underdog,30,50,24,48,2402,600,100,0
Flat100,none,underdog,35,47,22,47,2262,687,100,0
Flat100,none,underdog,40,45,21,47,2259,690,100,0
Flat100,none,underdog,45,43,21,49,2459,690,100,0
Flat100,none,underdog,50,42,21,50,2559,690,100,0
Flat100,none,underdog,75,32,19,59,3151,400,100,0
Flat100,none,underdog,100,24,16,67,2655,300,100,0
Flat100,none,underdog,125,17,12,71,2488,300,100,0
Flat100,none,underdog,150,16,11,69,2392,300,100,0
Flat100,none,underdog,200,10,7,70,1684,200,100,0
Flat100,none,underdog,250,5,4,80,1384,100,100,0
Flat100,none,underdog,300,4,3,75,1276,100,100,0
Flat100,none,underdog,350,1,1,100,1190,0,100,0
Flat100,none,underdog,400,1,1,100,1190,0,100,0
Flat100,none,favorite,5,101,86,85,3056,252,100,0
Flat100,none,favorite,10,95,81,85,2895,206,100,0
Flat100,none,favorite,15,91,78,86,2863,200,100,0
Flat100,none,favorite,20,87,75,86,2836,252,100,0
Flat100,none,favorite,25,85,73,86,2809,252,100,0
Flat100,none,favorite,30,82,71,87,2876,200,100,0
Flat100,none,favorite,35,79,70,89,3047,169,100,0
Flat100,none,favorite,40,77,68,88,2943,169,100,0
Flat100,none,favorite,45,75,68,91,3143,152,100,0
Flat100,none,favorite,50,72,66,92,3165,100,100,0
Flat100,none,favorite,75,59,54,92,2695,100,100,0
Flat100,none,favorite,100,46,41,89,2206,100,100,0
Flat100,none,favorite,125,35,33,94,2106,100,100,0
Flat100,none,favorite,150,28,27,96,2022,100,100,0
Flat100,none,favorite,200,14,14,100,1587,0,100,0
Flat100,none,favorite,250,7,7,100,1272,0,100,0
Flat100,none,favorite,300,3,3,100,1050,0,100,0
Flat100,none,favorite,350,1,1,100,1006,0,100,0
Flat100,none,favorite,400,1,1,100,1006,0,100,0
Bankroll5pct,none,any,5,161,112,70,3407,404,171,0
Bankroll5pct,none,any,10,152,106,70,3296,312,166,0
Bankroll5pct,none,any,15,147,103,70,3435,303,169,0
Bankroll5pct,none,any,20,141,100,71,3763,351,186,0
Bankroll5pct,none,any,25,138,98,71,3899,365,192,0
Bankroll5pct,none,any,30,134,96,72,4240,337,209,0
Bankroll5pct,none,any,35,128,93,73,4339,345,214,0
Bankroll5pct,none,any,40,124,90,73,4119,339,203,0
Bankroll5pct,none,any,45,120,90,75,5121,400,253,0
Bankroll5pct,none,any,50,116,88,76,5432,262,268,0
Bankroll5pct,none,any,75,93,74,80,5856,318,289,0
Bankroll5pct,none,any,100,71,58,82,3988,228,199,0
Bankroll5pct,none,any,125,53,46,87,3556,115,175,0
Bankroll5pct,none,any,150,45,39,87,3256,135,159,0
Bankroll5pct,none,any,200,25,22,88,1916,121,93,0
Bankroll5pct,none,any,250,13,12,92,1431,53,70,0
Bankroll5pct,none,any,300,7,6,86,1167,51,53,0
Bankroll5pct,none,any,350,2,2,100,1098,0,50,0
Bankroll5pct,none,any,400,2,2,100,1098,0,50,0
Bankroll5pct,none,underdog,5,58,25,43,1287,404,71,0
Bankroll5pct,none,underdog,10,55,24,44,1354,424,75,0
Bankroll5pct,none,underdog,15,54,24,44,1425,424,75,0
Bankroll5pct,none,underdog,20,52,24,46,1556,346,82,0
Bankroll5pct,none,underdog,25,51,24,47,1654,306,87,0
Bankroll5pct,none,underdog,30,50,24,48,1738,306,92,0
Bankroll5pct,none,underdog,35,47,22,47,1620,343,85,0
Bankroll5pct,none,underdog,40,45,21,47,1630,339,86,0
Bankroll5pct,none,underdog,45,43,21,49,1802,339,86,0
Bankroll5pct,none,underdog,50,42,21,50,1899,339,90,0
Bankroll5pct,none,underdog,75,32,19,59,2594,203,124,0
Bankroll5pct,none,underdog,100,24,16,67,2134,165,102,0
Bankroll5pct,none,underdog,125,17,12,71,1979,162,90,0
Bankroll5pct,none,underdog,150,16,11,69,1890,162,86,0
Bankroll5pct,none,underdog,200,10,7,70,1375,111,63,0
Bankroll5pct,none,underdog,250,5,4,80,1202,50,55,0
Bankroll5pct,none,underdog,300,4,3,75,1140,50,52,0
Bankroll5pct,none,underdog,350,1,1,100,1095,0,50,0
Bankroll5pct,none,underdog,400,1,1,100,1095,0,50,0
Bankroll5pct,none,favorite,5,101,86,85,2682,208,132,0
Bankroll5pct,none,favorite,10,95,81,85,2487,168,123,0
Bankroll5pct,none,favorite,15,91,78,86,2443,164,121,0
Bankroll5pct,none,favorite,20,87,75,86,2418,200,119,0
Bankroll5pct,none,favorite,25,85,73,86,2384,198,118,0
Bankroll5pct,none,favorite,30,82,71,87,2468,152,122,0
Bankroll5pct,none,favorite,35,79,70,89,2706,135,134,0
Bankroll5pct,none,favorite,40,77,68,88,2572,135,127,0
Bankroll5pct,none,favorite,45,75,68,91,2842,145,140,0
Bankroll5pct,none,favorite,50,72,66,92,2871,129,142,0
Bankroll5pct,none,favorite,75,59,54,92,2292,110,113,0
Bankroll5pct,none,favorite,100,46,41,89,1796,90,90,0
Bankroll5pct,none,favorite,125,35,33,94,1722,73,85,0
Bankroll5pct,none,favorite,150,28,27,96,1653,68,81,0
Bankroll5pct,none,favorite,200,14,14,100,1338,0,65,0
Bankroll5pct,none,favorite,250,7,7,100,1145,0,56,0
Bankroll5pct,none,favorite,300,3,3,100,1025,0,51,0
Bankroll5pct,none,favorite,350,1,1,100,1003,0,50,0
Bankroll5pct,none,favorite,400,1,1,100,1003,0,50,0
Flat100,4+4-,any,5,44,36,82,2616,283,100,0
Flat100,4+4-,any,10,44,36,82,2616,283,100,0
Flat100,4+4-,any,15,44,36,82,2616,283,100,0
Flat100,4+4-,any,20,44,36,82,2616,283,100,0
Flat100,4+4-,any,25,44,36,82,2616,283,100,0
Flat100,4+4-,any,30,44,36,82,2616,283,100,0
Flat100,4+4-,any,35,44,36,82,2616,283,100,0
Flat100,4+4-,any,40,44,36,82,2616,283,100,0
Flat100,4+4-,any,45,44,36,82,2616,283,100,0
Flat100,4+4-,any,50,43,35,81,2588,283,100,0
Flat100,4+4-,any,75,42,35,83,2688,282,100,0
Flat100,4+4-,any,100,38,32,84,2633,200,100,0
Flat100,4+4-,any,125,31,27,87,2484,200,100,0
Flat100,4+4-,any,150,27,24,89,2532,200,100,0
Flat100,4+4-,any,200,16,13,81,1535,200,100,0
Flat100,4+4-,any,250,10,9,90,1504,100,100,0
Flat100,4+4-,any,300,5,4,80,1140,100,100,0
Flat100,4+4-,any,350,2,2,100,1196,0,100,0
Flat100,4+4-,any,400,2,2,100,1196,0,100,0
Flat100,4+4-,underdog,5,14,8,57,1742,360,100,0
Flat100,4+4-,underdog,10,14,8,57,1742,360,100,0
Flat100,4+4-,underdog,15,14,8,57,1742,360,100,0
Flat100,4+4-,underdog,20,14,8,57,1742,360,100,0
Flat100,4+4-,underdog,25,14,8,57,1742,360,100,0
Flat100,4+4-,underdog,30,14,8,57,1742,360,100,0
Flat100,4+4-,underdog,35,14,8,57,1742,360,100,0
Flat100,4+4-,underdog,40,14,8,57,1742,360,100,0
Flat100,4+4-,underdog,45,14,8,57,1742,360,100,0
Flat100,4+4-,underdog,50,14,8,57,1742,360,100,0
Flat100,4+4-,underdog,75,13,8,62,1842,300,100,0
Flat100,4+4-,underdog,100,12,8,67,1942,200,100,0
Flat100,4+4-,underdog,125,9,6,67,1785,200,100,0
Flat100,4+4-,underdog,150,9,6,67,1785,200,100,0
Flat100,4+4-,underdog,200,6,3,50,1104,200,100,0
Flat100,4+4-,underdog,250,3,2,67,1198,100,100,0
Flat100,4+4-,underdog,300,2,1,50,1090,100,100,0
Flat100,4+4-,underdog,350,1,1,100,1190,0,100,0
Flat100,4+4-,underdog,400,1,1,100,1190,0,100,0
Flat100,4+4-,favorite,5,29,27,93,1789,100,100,0
Flat100,4+4-,favorite,10,29,27,93,1789,100,100,0
Flat100,4+4-,favorite,15,29,27,93,1789,100,100,0
Flat100,4+4-,favorite,20,29,27,93,1789,100,100,0
Flat100,4+4-,favorite,25,29,27,93,1789,100,100,0
Flat100,4+4-,favorite,30,29,27,93,1789,100,100,0
Flat100,4+4-,favorite,35,29,27,93,1789,100,100,0
Flat100,4+4-,favorite,40,29,27,93,1789,100,100,0
Flat100,4+4-,favorite,45,29,27,93,1789,100,100,0
Flat100,4+4-,favorite,50,28,26,93,1761,100,100,0
Flat100,4+4-,favorite,75,28,26,93,1761,100,100,0
Flat100,4+4-,favorite,100,25,23,92,1606,101,100,0
Flat100,4+4-,favorite,125,21,20,95,1614,100,100,0
Flat100,4+4-,favorite,150,17,17,100,1662,0,100,0
Flat100,4+4-,favorite,200,9,9,100,1346,0,100,0
Flat100,4+4-,favorite,250,6,6,100,1221,0,100,0
Flat100,4+4-,favorite,300,3,3,100,1050,0,100,0
Flat100,4+4-,favorite,350,1,1,100,1006,0,100,0
Flat100,4+4-,favorite,400,1,1,100,1006,0,100,0
Flat5pct,4+4-,any,5,44,36,82,1812,141,50,0
Flat5pct,4+4-,any,10,44,36,82,1812,141,50,0
Flat5pct,4+4-,any,15,44,36,82,1812,141,50,0
Flat5pct,4+4-,any,20,44,36,82,1812,141,50,0
Flat5pct,4+4-,any,25,44,36,82,1812,141,50,0
