strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,86,67,78,3996,279,100,0
Flat100,none,any,10,81,63,78,3655,279,100,0
Flat100,none,any,15,79,62,78,3699,222,100,0
Flat100,none,any,20,77,60,78,3590,222,100,0
Flat100,none,any,25,76,60,79,3690,222,100,0
Flat100,none,any,30,72,59,82,3957,222,100,0
Flat100,none,any,35,70,58,83,4039,222,100,0
Flat100,none,any,40,69,57,83,3923,222,100,0
Flat100,none,any,45,68,56,82,3881,222,100,0
Flat100,none,any,50,68,56,82,3881,222,100,0
Flat100,none,any,75,63,53,84,3816,252,100,0
Flat100,none,any,100,57,49,86,3680,200,100,0
Flat100,none,any,125,43,38,88,3006,168,100,0
Flat100,none,any,150,32,28,88,2387,168,100,0
Flat100,none,any,200,19,18,95,2183,100,100,0
Flat100,none,any,250,12,11,92,1777,100,100,0
Flat100,none,any,300,8,7,88,1597,100,100,0
Flat100,none,any,350,5,5,100,1346,0,100,0
Flat100,none,any,400,5,5,100,1346,0,100,0
Flat100,none,underdog,5,38,24,63,2777,300,100,0
Flat100,none,underdog,10,34,21,62,2493,300,100,0
Flat100,none,underdog,15,33,21,64,2593,200,100,0
Flat100,none,underdog,20,33,21,64,2593,200,100,0
Flat100,none,underdog,25,32,21,66,2693,200,100,0
Flat100,none,underdog,30,30,21,70,2893,200,100,0
Flat100,none,underdog,35,30,21,70,2893,200,100,0
Flat100,none,underdog,40,29,20,69,2777,200,100,0
Flat100,none,underdog,45,29,20,69,2777,200,100,0
Flat100,none,underdog,50,29,20,69,2777,200,100,0
Flat100,none,underdog,75,26,18,69,2664,200,100,0
Flat100,none,underdog,100,23,16,70,2519,200,100,0
Flat100,none,underdog,125,15,11,73,2039,100,100,0
Flat100,none,underdog,150,10,7,70,1709,100,100,0
Flat100,none,underdog,200,6,5,83,1624,100,100,0
Flat100,none,underdog,250,4,3,75,1359,100,100,0
Flat100,none,underdog,300,4,3,75,1359,100,100,0
Flat100,none,underdog,350,1,1,100,1108,0,100,0
Flat100,none,underdog,400,1,1,100,1108,0,100,0
Flat100,none,favorite,5,47,42,89,2134,200,100,0
Flat100,none,favorite,10,46,41,89,2077,200,100,0
Flat100,none,favorite,15,45,40,89,2021,200,100,0
Flat100,none,favorite,20,43,38,88,1912,200,100,0
Flat100,none,favorite,25,43,38,88,1912,200,100,0
Flat100,none,favorite,30,41,37,90,1979,100,100,0
Flat100,none,favorite,35,39,36,92,2061,100,100,0
Flat100,none,favorite,40,39,36,92,2061,100,100,0
