strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,119,92,77,7039,300,100,0
Flat100,none,any,10,115,89,77,6868,300,100,0
Flat100,none,any,15,114,88,77,6806,300,100,0
Flat100,none,any,20,111,86,77,6535,300,100,0
Flat100,none,any,25,107,84,79,6486,292,100,0
Flat100,none,any,30,105,84,80,6686,292,100,0
Flat100,none,any,35,101,81,80,6493,292,100,0
Flat100,none,any,40,94,78,83,6676,292,100,0
Flat100,none,any,45,91,75,82,6525,292,100,0
Flat100,none,any,50,90,74,82,6425,292,100,0
Flat100,none,any,75,82,69,84,6219,200,100,0
Flat100,none,any,100,73,63,86,6066,200,100,0
Flat100,none,any,125,59,55,93,6003,100,100,0
Flat100,none,any,150,47,44,94,5320,100,100,0
Flat100,none,any,200,36,36,100,4902,0,100,0
Flat100,none,any,250,24,24,100,3431,0,100,0
Flat100,none,any,300,13,13,100,2146,0,100,0
Flat100,none,any,350,3,3,100,1165,0,100,0
Flat100,none,any,400,2,2,100,1115,0,100,0
Flat100,none,underdog,5,55,35,64,4961,300,100,0
Flat100,none,underdog,10,53,34,64,4889,400,100,0
Flat100,none,underdog,15,53,34,64,4889,400,100,0
Flat100,none,underdog,20,50,32,64,4618,400,100,0
Flat100,none,underdog,25,47,31,66,4640,300,100,0
Flat100,none,underdog,30,46,31,67,4740,300,100,0
Flat100,none,underdog,35,45,30,67,4560,300,100,0
Flat100,none,underdog,40,41,29,71,4759,300,100,0
Flat100,none,underdog,45,40,28,70,4667,300,100,0
Flat100,none,underdog,50,39,27,69,4567,300,100,0
Flat100,none,underdog,75,35,25,71,4452,300,100,0
Flat100,none,underdog,100,31,24,77,4612,200,100,0
Flat100,none,underdog,125,22,20,91,4582,100,100,0
Flat100,none,underdog,150,18,17,94,4245,100,100,0
Flat100,none,underdog,200,13,13,100,3818,0,100,0
Flat100,none,underdog,250,9,9,100,2709,0,100,0
Flat100,none,underdog,300,5,5,100,1758,0,100,0
Flat100,none,underdog,350,0,0,0,1000,0,0,0
Flat100,none,underdog,400,0,0,0,1000,0,0,0
Flat100,none,favorite,5,60,54,90,2913,154,100,0
Flat100,none,favorite,10,58,52,90,2814,154,100,0
Flat100,none,favorite,15,57,51,89,2752,154,100,0
Flat100,none,favorite,20,57,51,89,2752,154,100,0
Flat100,none,favorite,25,56,50,89,2681,154,100,0
Flat100,none,favorite,30,55,50,91,2781,100,100,0
Flat100,none,favorite,35,52,48,92,2768,100,100,0
Flat100,none,favorite,40,50,47,94,2839,100,100,0
Flat100,none,favorite,45,48,45,94,2780,100,100,0
Flat100,none,favorite,50,48,45,94,2780,100,100,0
Flat100,none,favorite,75,45,42,93,2589,100,100,0
Flat100,none,favorite,100,42,39,93,2454,100,100,0
Flat100,none,favorite,125,37,35,95,2421,100,100,0
Flat100,none,favorite,150,29,27,93,2075,100,100,0
Flat100,none,favorite,200,23,23,100,2084,0,100,0
Flat100,none,favorite,250,15,15,100,1722,0,100,0
Flat100,none,favorite,300,8,8,100,1388,0,100,0
Flat100,none,favorite,350,3,3,100,1165,0,100,0
Flat100,none,favorite,400,2,2,100,1115,0,100,0
Bankroll5pct,none,any,5,119,92,77,16902,1886,870,0
Bankroll5pct,none,any,10,115,89,77,15638,1659,805,0
Bankroll5pct,none,any,15,114,88,77,15175,1610,781,0
Bankroll5pct,none,any,20,111,86,77,13332,1414,686,0
Bankroll5pct,none,any,25,107,84,79,13089,1388,674,0
Bankroll5pct,none,any,30,105,84,80,14514,1539,747,0
