strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,48,21,44,0,1190,100,0
Flat100,none,any,10,50,22,44,0,1190,100,0
Flat100,none,any,15,50,22,44,0,1190,100,0
Flat100,none,any,20,48,21,44,0,1190,100,0
Flat100,none,any,25,48,21,44,0,1190,100,0
Flat100,none,any,30,48,21,44,0,1190,100,0
Flat100,none,any,35,48,21,44,0,1190,100,0
Flat100,none,any,40,48,21,44,0,1190,100,0
Flat100,none,any,45,48,21,44,0,1190,100,0
Flat100,none,any,50,46,20,43,0,1190,100,0
Flat100,none,any,75,44,19,43,0,1190,100,0
Flat100,none,any,100,34,13,38,0,1118,100,0
Flat100,none,any,125,28,11,39,0,1118,100,0
Flat100,none,any,150,26,10,38,0,1118,100,0
Flat100,none,any,200,328,176,54,0,2841,100,0
Flat100,none,any,250,1476,777,53,0,4230,100,0
Flat100,none,any,300,2006,1078,54,0,3257,100,0
Flat100,none,any,350,1252,671,54,0,2961,100,0
Flat100,none,any,400,405,210,52,0,2311,100,0
Flat100,none,underdog,5,213,84,39,0,1587,100,0
Flat100,none,underdog,10,228,90,39,0,1687,100,0
Flat100,none,underdog,15,219,86,39,0,1547,100,0
Flat100,none,underdog,20,112,44,39,0,1424,100,0
Flat100,none,underdog,25,104,40,38,0,1399,100,0
Flat100,none,underdog,30,101,38,38,0,1311,100,0
Flat100,none,underdog,35,100,38,38,0,1511,100,0
Flat100,none,underdog,40,96,36,38,0,1617,100,0
Flat100,none,underdog,45,96,36,38,0,1617,100,0
Flat100,none,underdog,50,192,74,39,0,2011,100,0
Flat100,none,underdog,75,168,65,39,0,2063,100,0
Flat100,none,underdog,100,212,82,39,0,2351,100,0
Flat100,none,underdog,125,197,76,39,0,2952,100,0
Flat100,none,underdog,150,144,56,39,0,1963,100,0
Flat100,none,underdog,200,148,57,39,0,3117,100,0
Flat100,none,underdog,250,1168,463,40,0,5598,100,0
Flat100,none,underdog,300,940,368,39,0,3861,100,0
Flat100,none,underdog,350,687,291,42,5337,1810,100,0
Flat100,none,underdog,400,279,111,40,0,1814,100,0
Flat100,none,favorite,5,28,12,43,0,1055,100,0
Flat100,none,favorite,10,28,12,43,0,1055,100,0
Flat100,none,favorite,15,30,14,47,0,1055,100,0
Flat100,none,favorite,20,30,14,47,0,1055,100,0
Flat100,none,favorite,25,30,14,47,0,1055,100,0
Flat100,none,favorite,30,30,14,47,0,1055,100,0
Flat100,none,favorite,35,30,14,47,0,1055,100,0
Flat100,none,favorite,40,30,14,47,0,1055,100,0
Flat100,none,favorite,45,30,14,47,0,1055,100,0
Flat100,none,favorite,50,30,14,47,0,1055,100,0
Flat100,none,favorite,75,30,14,47,0,1055,100,0
Flat100,none,favorite,100,22,8,36,0,1023,100,0
Flat100,none,favorite,125,400,264,66,0,1760,100,0
Flat100,none,favorite,150,308,203,66,0,1389,100,0
Flat100,none,favorite,200,237,154,65,0,1546,100,0
Flat100,none,favorite,250,141,89,63,0,1257,100,0
Flat100,none,favorite,300,209,136,65,0,1531,100,0
Flat100,none,favorite,350,747,515,69,2412,1695,100,0
Flat100,none,favorite,400,415,295,71,3386,1541,100,0
Bankroll5pct,none,any,5,817,408,50,9,1086,55,0
Bankroll5pct,none,any,10,935,471,50,9,1086,55,0
Bankroll5pct,none,any,15,920,462,50,9,1086,55,0
Bankroll5pct,none,any,20,900,451,50,9,1086,55,0
Bankroll5pct,none,any,25,879,439,50,9,1086,55,0
Bankroll5pct,none,any,30,841,419,50,9,1086,55,0
Bankroll5pct,none,any,35,846,420,50,9,1086,55,0
Bankroll5pct,none,any,40,817,405,50,9,1086,55,0
Bankroll5pct,none,any,45,684,335,49,9,1086,55,0
Bankroll5pct,none,any,50,815,401,49,9,1086,55,0
Bankroll5pct,none,any,75,762,377,49,9,1086,55,0
Bankroll5pct,none,any,100,918,465,51,9,1048,53,0
Bankroll5pct,none,any,125,931,475,51,9,1425,72,0
Bankroll5pct,none,any,150,818,413,50,9,1080,54,0
Bankroll5pct,none,any,200,1694,886,52,9,2252,113,0
Bankroll5pct,none,any,250,1842,951,52,9,2538,127,0
Bankroll5pct,none,any,300,2325,1244,54,9,2332,117,0
Bankroll5pct,none,any,350,1491,830,56,1372,1694,90,0
Bankroll5pct,none,any,400,838,471,56,1240,1463,82,0
Bankroll5pct,none,underdog,5,514,184,36,9,1153,58,0
Bankroll5pct,none,underdog,10,590,215,36,9,1234,62,0
Bankroll5pct,none,underdog,15,575,208,36,9,1151,58,0
Bankroll5pct,none,underdog,20,545,196,36,9,1084,55,0
Bankroll5pct,none,underdog,25,534,190,36,9,1079,54,0
Bankroll5pct,none,underdog,30,509,179,35,9,1059,53,0
Bankroll5pct,none,underdog,35,515,181,35,9,1139,57,0
Bankroll5pct,none,underdog,40,482,168,35,9,1214,61,0
Bankroll5pct,none,underdog,45,484,169,35,9,1214,61,0
Bankroll5pct,none,underdog,50,497,175,35,9,1256,63,0
Bankroll5pct,none,underdog,75,551,195,35,9,1331,67,0
Bankroll5pct,none,underdog,100,503,176,35,9,1608,81,0
Bankroll5pct,none,underdog,125,658,237,36,9,2214,111,0
Bankroll5pct,none,underdog,150,1002,368,37,9,1419,71,0
Bankroll5pct,none,underdog,200,1130,438,39,9,2619,131,0
Bankroll5pct,none,underdog,250,1528,595,39,9,3825,192,0
Bankroll5pct,none,underdog,300,1151,483,42,2076,2031,105,0
Bankroll5pct,none,underdog,350,687,291,42,2092,1414,95,0
Bankroll5pct,none,underdog,400,388,161,41,737,1262,73,0
Bankroll5pct,none,favorite,5,1332,856,64,9,1017,51,0
Bankroll5pct,none,favorite,10,1376,890,65,9,1017,51,0
Bankroll5pct,none,favorite,15,1360,879,65,9,1017,51,0
Bankroll5pct,none,favorite,20,1327,856,65,9,1017,51,0
Bankroll5pct,none,favorite,25,1267,819,65,9,1017,51,0
Bankroll5pct,none,favorite,30,1258,812,65,9,1017,51,0
Bankroll5pct,none,favorite,35,1264,814,64,9,1017,51,0
Bankroll5pct,none,favorite,40,1243,801,64,9,1017,51,0
Bankroll5pct,none,favorite,45,1203,773,64,9,1017,51,0
Bankroll5pct,none,favorite,50,1172,751,64,9,1017,51,0
Bankroll5pct,none,favorite,75,1074,688,64,9,1017,51,0
Bankroll5pct,none,favorite,100,2441,1566,64,9,1189,60,0
Bankroll5pct,none,favorite,125,1985,1286,65,9,1292,65,0
Bankroll5pct,none,favorite,150,3169,2109,67,9,1085,55,0
Bankroll5pct,none,favorite,200,2526,1681,67,9,1224,62,0
Bankroll5pct,none,favorite,250,2032,1399,69,965,1076,56,0
Bankroll5pct,none,favorite,300,1231,853,69,1458,1228,75,0
Bankroll5pct,none,favorite,350,747,515,69,1285,932,71,0
Bankroll5pct,none,favorite,400,415,295,71,2565,930,126,0
Flat100,4+4-,any,5,259,139,54,0,2282,100,0
Flat100,4+4-,any,10,259,139,54,0,2282,100,0
Flat100,4+4-,any,15,259,139,54,0,2282,100,0
Flat100,4+4-,any,20,259,139,54,0,2282,100,0
Flat100,4+4-,any,25,259,139,54,0,2282,100,0
Flat100,4+4-,any,30,259,139,54,0,2282,100,0
Flat100,4+4-,any,35,256,137,54,0,2172,100,0
Flat100,4+4-,any,40,256,137,54,0,2172,100,0
Flat100,4+4-,any,45,247,133,54,0,2087,100,0
Flat100,4+4-,any,50,240,128,53,0,2087,100,0
Flat100,4+4-,any,75,247,133,54,0,2187,100,0
Flat100,4+4-,any,100,244,132,54,0,2124,100,0
Flat100,4+4-,any,125,242,130,54,0,2198,100,0
Flat100,4+4-,any,150,211,112,53,0,1953,100,0
Flat100,4+4-,any,200,244,128,52,0,2125,100,0
Flat100,4+4-,any,250,231,119,52,0,2181,100,0
Flat100,4+4-,any,300,1804,1032,57,10769,4073,100,0
Flat100,4+4-,any,350,1147,657,57,8100,2154,100,0
Flat100,4+4-,any,400,345,178,52,0,2447,100,0
Flat100,4+4-,underdog,5,113,44,39,0,2899,100,0
Flat100,4+4-,underdog,10,113,44,39,0,2899,100,0
Flat100,4+4-,underdog,15,113,44,39,0,2899,100,0
Flat100,4+4-,underdog,20,113,44,39,0,2899,100,0
Flat100,4+4-,underdog,25,113,44,39,0,2899,100,0
Flat100,4+4-,underdog,30,113,44,39,0,2899,100,0
Flat100,4+4-,underdog,35,111,43,39,0,2789,100,0
Flat100,4+4-,underdog,40,111,43,39,0,2789,100,0
Flat100,4+4-,underdog,45,111,43,39,0,2789,100,0
Flat100,4+4-,underdog,50,109,42,39,0,2789,100,0
Flat100,4+4-,underdog,75,109,42,39,0,2889,100,0
Flat100,4+4-,underdog,100,107,41,38,0,2798,100,0
Flat100,4+4-,underdog,125,103,39,38,0,2672,100,0
Flat100,4+4-,underdog,150,91,34,37,0,2427,100,0
Flat100,4+4-,underdog,200,81,30,37,0,2444,100,0
Flat100,4+4-,underdog,250,67,24,36,0,2120,100,0
Flat100,4+4-,underdog,300,809,347,43,8172,2127,100,0
Flat100,4+4-,underdog,350,516,230,45,7503,1330,100,0
Flat100,4+4-,underdog,400,312,136,44,3453,2033,100,0
Flat100,4+4-,favorite,5,271,179,66,0,2028,100,0
Flat100,4+4-,favorite,10,271,179,66,0,2028,100,0
Flat100,4+4-,favorite,15,271,179,66,0,2028,100,0
Flat100,4+4-,favorite,20,271,179,66,0,2028,100,0
Flat100,4+4-,favorite,25,271,179,66,0,2028,100,0
Flat100,4+4-,favorite,30,271,179,66,0,2028,100,0
Flat100,4+4-,favorite,35,271,179,66,0,2028,100,0
Flat100,4+4-,favorite,40,267,176,66,0,2028,100,0
Flat100,4+4-,favorite,45,267,176,66,0,2028,100,0
Flat100,4+4-,favorite,50,267,176,66,0,2028,100,0
Flat100,4+4-,favorite,75,258,170,66,0,1969,100,0
Flat100,4+4-,favorite,100,253,166,66,0,1969,100,0
Flat100,4+4-,favorite,125,258,170,66,0,2010,100,0
Flat100,4+4-,favorite,150,244,160,66,0,1801,100,0
Flat100,4+4-,favorite,200,208,134,64,0,1618,100,0
Flat100,4+4-,favorite,250,253,166,66,0,1269,100,0
Flat100,4+4-,favorite,300,923,648,70,3893,2450,100,0
Flat100,4+4-,favorite,350,590,410,69,2513,1514,100,0
Flat100,4+4-,favorite,400,347,248,71,2928,1405,100,0
Flat5pct,4+4-,any,5,437,228,52,0,1652,50,0
Flat5pct,4+4-,any,10,437,228,52,0,1652,50,0
Flat5pct,4+4-,any,15,437,228,52,0,1652,50,0
Flat5pct,4+4-,any,20,437,228,52,0,1652,50,0
Flat5pct,4+4-,any,25,437,228,52,0,1652,50,0
Flat5pct,4+4-,any,30,437,228,52,0,1652,50,0
Flat5pct,4+4-,any,35,424,219,52,0,1597,50,0
Flat5pct,4+4-,any,40,422,218,52,0,1597,50,0
Flat5pct,4+4-,any,45,420,217,52,0,1554,50,0
Flat5pct,4+4-,any,50,416,215,52,0,1554,50,0
Flat5pct,4+4-,any,75,414,214,52,0,1604,50,0
Flat5pct,4+4-,any,100,400,206,52,0,1570,50,0
Flat5pct,4+4-,any,125,385,199,52,0,1607,50,0
Flat5pct,4+4-,any,150,302,157,52,0,1485,50,0
Flat5pct,4+4-,any,200,405,208,51,0,1571,50,0
Flat5pct,4+4-,any,250,1118,582,52,0,2066,50,0
Flat5pct,4+4-,any,300,1804,1032,57,6076,1993,50,0
Flat5pct,4+4-,any,350,1147,657,57,4669,1068,50,0
Flat5pct,4+4-,any,400,686,394,57,2849,1173,50,0
Flat5pct,4+4-,underdog,5,204,73,36,0,1953,50,0
Flat5pct,4+4-,underdog,10,204,73,36,0,1953,50,0
Flat5pct,4+4-,underdog,15,204,73,36,0,1953,50,0
Flat5pct,4+4-,underdog,20,204,73,36,0,1953,50,0
Flat5pct,4+4-,underdog,25,204,73,36,0,1953,50,0
Flat5pct,4+4-,underdog,30,204,73,36,0,1953,50,0
Flat5pct,4+4-,underdog,35,202,72,36,0,1898,50,0
Flat5pct,4+4-,underdog,40,202,72,36,0,1898,50,0
Flat5pct,4+4-,underdog,45,202,72,36,0,1898,50,0
Flat5pct,4+4-,underdog,50,196,70,36,0,1898,50,0
Flat5pct,4+4-,underdog,75,197,70,36,0,1948,50,0
Flat5pct,4+4-,underdog,100,190,67,35,0,1902,50,0
Flat5pct,4+4-,underdog,125,173,61,35,0,1839,50,0
Flat5pct,4+4-,underdog,150,129,45,35,0,1717,50,0
Flat5pct,4+4-,underdog,200,661,256,39,0,1725,50,0
Flat5pct,4+4-,underdog,250,633,248,39,0,2183,50,0
Flat5pct,4+4-,underdog,300,809,347,43,4631,1044,50,0
