strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,142,110,77,7426,300,100,0
Flat100,none,any,10,139,109,78,7568,300,100,0
Flat100,none,any,15,134,106,79,7414,300,100,0
Flat100,none,any,20,129,104,81,7554,300,100,0
Flat100,none,any,25,127,103,81,7589,300,100,0
Flat100,none,any,30,126,103,82,7689,300,100,0
Flat100,none,any,35,123,102,83,7816,300,100,0
Flat100,none,any,40,120,100,83,7709,300,100,0
Flat100,none,any,45,117,97,83,7408,300,100,0
Flat100,none,any,50,112,94,84,7534,300,100,0
Flat100,none,any,75,92,84,91,7895,200,100,0
Flat100,none,any,100,77,72,94,7356,100,100,0
Flat100,none,any,125,62,57,92,6117,100,100,0
Flat100,none,any,150,51,47,92,5321,100,100,0
Flat100,none,any,200,33,33,100,4264,0,100,0
Flat100,none,any,250,19,19,100,2919,0,100,0
Flat100,none,any,300,12,12,100,2296,0,100,0
Flat100,none,any,350,8,8,100,1856,0,100,0
Flat100,none,any,400,3,3,100,1180,0,100,0
Flat100,none,underdog,5,61,43,70,5186,200,100,0
Flat100,none,underdog,10,60,43,72,5286,200,100,0
Flat100,none,underdog,15,57,41,72,5085,200,100,0
Flat100,none,underdog,20,54,40,74,5170,200,100,0
Flat100,none,underdog,25,53,40,75,5270,200,100,0
Flat100,none,underdog,30,52,40,77,5370,200,100,0
Flat100,none,underdog,35,50,40,80,5570,200,100,0
Flat100,none,underdog,40,49,39,80,5438,200,100,0
Flat100,none,underdog,45,47,37,79,5208,200,100,0
Flat100,none,underdog,50,45,37,82,5408,200,100,0
Flat100,none,underdog,75,35,35,100,5909,0,100,0
Flat100,none,underdog,100,31,31,100,5468,0,100,0
Flat100,none,underdog,125,28,28,100,4896,0,100,0
Flat100,none,underdog,150,24,24,100,4388,0,100,0
Flat100,none,underdog,200,16,16,100,3310,0,100,0
Flat100,none,underdog,250,8,8,100,2256,0,100,0
Flat100,none,underdog,300,6,6,100,1987,0,100,0
Flat100,none,underdog,350,3,3,100,1609,0,100,0
Flat100,none,underdog,400,0,0,0,1000,0,0,0
Flat100,none,favorite,5,75,61,81,2711,207,100,0
Flat100,none,favorite,10,73,60,82,2753,207,100,0
Flat100,none,favorite,15,71,59,83,2800,207,100,0
Flat100,none,favorite,20,69,58,84,2855,207,100,0
Flat100,none,favorite,25,68,57,84,2790,207,100,0
Flat100,none,favorite,30,68,57,84,2790,207,100,0
Flat100,none,favorite,35,67,56,84,2717,207,100,0
Flat100,none,favorite,40,65,55,85,2742,200,100,0
Flat100,none,favorite,45,64,54,84,2671,200,100,0
Flat100,none,favorite,50,61,51,84,2597,200,100,0
Flat100,none,favorite,75,51,43,84,2457,200,100,0
Flat100,none,favorite,100,41,36,88,2446,100,100,0
Flat100,none,favorite,125,31,26,84,1956,100,100,0
Flat100,none,favorite,150,25,21,84,1756,100,100,0
Flat100,none,favorite,200,16,16,100,1867,0,100,0
Flat100,none,favorite,250,10,10,100,1576,0,100,0
Flat100,none,favorite,300,6,6,100,1309,0,100,0
Flat100,none,favorite,350,5,5,100,1247,0,100,0
Flat100,none,favorite,400,3,3,100,1180,0,100,0
Bankroll5pct,none,any,5,142,110,77,20786,1683,1094,0
Bankroll5pct,none,any,10,139,109,78,22384,1812,1178,0
Bankroll5pct,none,any,15,134,106,79,20911,1608,1002,0
Bankroll5pct,none,any,20,129,104,81,22573,1736,1082,0
Bankroll5pct,none,any,25,127,103,81,23013,1770,1103,0
Bankroll5pct,none,any,30,126,103,82,24262,1866,1163,0
Bankroll5pct,none,any,35,123,102,83,25917,1993,1242,0
Bankroll5pct,none,any,40,120,100,83,24558,1889,1177,0
Bankroll5pct,none,any,45,117,97,83,21183,1630,1015,0
Bankroll5pct,none,any,50,112,94,84,22768,1751,1091,0
Bankroll5pct,none,any,75,92,84,91,27803,571,1332,0
Bankroll5pct,none,any,100,77,72,94,21442,583,1031,0
Bankroll5pct,none,any,125,62,57,92,11786,338,567,0
Bankroll5pct,none,any,150,51,47,92,8026,239,386,0
Bankroll5pct,none,any,200,33,33,100,4848,0,233,0
Bankroll5pct,none,any,250,19,19,100,2522,0,121,0
Bankroll5pct,none,any,300,12,12,100,1861,0,88,0
Bankroll5pct,none,any,350,8,8,100,1503,0,72,0
Bankroll5pct,none,any,400,3,3,100,1093,0,53,0
Bankroll5pct,none,underdog,5,61,43,70,7093,659,373,0
Bankroll5pct,none,underdog,10,60,43,72,7453,694,392,0
Bankroll5pct,none,underdog,15,57,41,72,6798,601,323,0
Bankroll5pct,none,underdog,20,54,40,74,7123,630,339,0
Bankroll5pct,none,underdog,25,53,40,75,7502,663,357,0
Bankroll5pct,none,underdog,30,52,40,77,7890,698,375,0
Bankroll5pct,none,underdog,35,50,40,80,8745,772,416,0
Bankroll5pct,none,underdog,40,49,39,80,8201,725,390,0
Bankroll5pct,none,underdog,45,47,37,79,7322,647,348,0
Bankroll5pct,none,underdog,50,45,37,82,8125,718,387,0
Bankroll5pct,none,underdog,75,35,35,100,10612,0,505,0
Bankroll5pct,none,underdog,100,31,31,100,8562,0,408,0
Bankroll5pct,none,underdog,125,28,28,100,6530,0,311,0
Bankroll5pct,none,underdog,150,24,24,100,5101,0,243,0
Bankroll5pct,none,underdog,200,16,16,100,3032,0,145,0
Bankroll5pct,none,underdog,250,8,8,100,1819,0,85,0
Bankroll5pct,none,underdog,300,6,6,100,1598,0,76,0
Bankroll5pct,none,underdog,350,3,3,100,1332,0,63,0
Bankroll5pct,none,underdog,400,0,0,0,1000,0,0,0
Bankroll5pct,none,favorite,5,75,61,81,2271,143,109,0
Bankroll5pct,none,favorite,10,73,60,82,2313,146,111,0
Bankroll5pct,none,favorite,15,71,59,83,2378,149,114,0
