strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,36,16,44,0,1237,100,0
Flat100,none,any,10,71,38,54,888,666,100,0
Flat100,none,any,15,39,22,56,1207,406,100,0
Flat100,none,any,20,14,7,50,854,306,100,0
Flat100,none,any,25,5,2,40,835,200,100,0
Flat100,none,any,30,4,2,50,935,100,100,0
Flat100,none,any,35,2,1,50,958,100,100,0
Flat100,none,any,40,1,1,100,1058,0,100,0
Flat100,none,any,45,1,1,100,1058,0,100,0
Flat100,none,any,50,0,0,0,1000,0,0,0
Flat100,none,any,75,0,0,0,1000,0,0,0
Flat100,none,underdog,5,59,24,41,1117,901,100,0
Flat100,none,underdog,10,35,13,37,696,600,100,0
Flat100,none,underdog,15,19,9,47,1200,400,100,0
Flat100,none,underdog,20,6,3,50,1043,100,100,0
Flat100,none,underdog,25,1,0,0,900,100,100,0
Flat100,none,underdog,30,0,0,0,1000,0,0,0
Flat100,none,underdog,35,0,0,0,1000,0,0,0
Flat100,none,underdog,40,0,0,0,1000,0,0,0
Flat100,none,underdog,45,0,0,0,1000,0,0,0
Flat100,none,underdog,50,0,0,0,1000,0,0,0
Flat100,none,underdog,75,0,0,0,1000,0,0,0
Flat100,none,favorite,5,58,37,64,814,650,100,0
Flat100,none,favorite,10,35,24,69,1107,320,100,0
Flat100,none,favorite,15,19,12,63,922,400,100,0
Flat100,none,favorite,20,8,4,50,811,300,100,0
Flat100,none,favorite,25,4,2,50,935,100,100,0
Flat100,none,favorite,30,4,2,50,935,100,100,0
Flat100,none,favorite,35,2,1,50,958,100,100,0
Flat100,none,favorite,40,1,1,100,1058,0,100,0
Flat100,none,favorite,45,1,1,100,1058,0,100,0
Flat100,none,favorite,50,0,0,0,1000,0,0,0
Flat100,none,favorite,75,0,0,0,1000,0,0,0
Flat100,4+4-,any,5,31,13,42,0,1062,100,0
Flat100,4+4-,any,10,20,10,50,700,471,100,0
Flat100,4+4-,any,15,10,5,50,954,335,100,0
Flat100,4+4-,any,20,3,1,33,858,200,100,0
Flat100,4+4-,any,25,2,1,50,958,100,100,0
Flat100,4+4-,any,30,1,1,100,1058,0,100,0
Flat100,4+4-,any,35,1,1,100,1058,0,100,0
