strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,168,112,67,4943,884,100,0
Flat100,none,any,10,162,109,67,4967,974,100,0
Flat100,none,any,15,157,105,67,4781,974,100,0
Flat100,none,any,20,145,98,68,4479,874,100,0
Flat100,none,any,25,137,95,69,4763,755,100,0
Flat100,none,any,30,131,92,70,4781,755,100,0
Flat100,none,any,35,120,85,71,4581,755,100,0
Flat100,none,any,40,114,81,71,4352,680,100,0
Flat100,none,any,45,107,74,69,3384,780,100,0
Flat100,none,any,50,104,73,70,3564,580,100,0
Flat100,none,any,75,81,57,70,3205,500,100,0
Flat100,none,any,100,55,41,75,2882,533,100,0
Flat100,none,any,125,42,31,74,2265,433,100,0
Flat100,none,any,150,20,14,70,1552,468,100,0
Flat100,none,any,200,8,7,88,1544,100,100,0
Flat100,none,any,225,5,5,100,1540,0,100,0
Flat100,none,any,250,2,2,100,1340,0,100,0
Flat100,none,any,275,2,2,100,1340,0,100,0
Flat100,none,any,300,1,1,100,1204,0,100,0
Flat100,none,any,325,1,1,100,1204,0,100,0
Flat100,none,any,350,0,0,0,1000,0,0,0
Flat100,none,any,375,0,0,0,1000,0,0,0
Flat100,none,any,400,0,0,0,1000,0,0,0
Flat100,none,underdog,5,79,43,54,3446,699,100,0
Flat100,none,underdog,10,77,42,55,3366,879,100,0
Flat100,none,underdog,15,76,41,54,3274,879,100,0
Flat100,none,underdog,20,66,35,53,2927,924,100,0
Flat100,none,underdog,25,61,34,56,3233,824,100,0
Flat100,none,underdog,30,57,32,56,3203,807,100,0
Flat100,none,underdog,35,52,30,58,3162,807,100,0
Flat100,none,underdog,40,49,28,57,2943,707,100,0
Flat100,none,underdog,45,45,24,53,2153,707,100,0
Flat100,none,underdog,50,44,24,55,2253,607,100,0
Flat100,none,underdog,75,35,20,57,2296,600,100,0
Flat100,none,underdog,100,24,14,58,1905,509,100,0
Flat100,none,underdog,125,17,10,59,1539,409,100,0
Flat100,none,underdog,150,10,5,50,1142,400,100,0
Flat100,none,underdog,200,3,2,67,1240,100,100,0
Flat100,none,underdog,225,2,2,100,1340,0,100,0
Flat100,none,underdog,250,2,2,100,1340,0,100,0
Flat100,none,underdog,275,2,2,100,1340,0,100,0
Flat100,none,underdog,300,1,1,100,1204,0,100,0
Flat100,none,underdog,325,1,1,100,1204,0,100,0
Flat100,none,underdog,350,0,0,0,1000,0,0,0
Flat100,none,underdog,375,0,0,0,1000,0,0,0
Flat100,none,underdog,400,0,0,0,1000,0,0,0
Flat100,none,favorite,5,87,69,79,2697,382,100,0
Flat100,none,favorite,10,83,67,81,2801,382,100,0
Flat100,none,favorite,15,80,64,80,2607,382,100,0
Flat100,none,favorite,20,78,63,81,2652,382,100,0
Flat100,none,favorite,25,75,61,81,2630,287,100,0
Flat100,none,favorite,30,73,60,82,2678,287,100,0
Flat100,none,favorite,35,67,55,82,2519,245,100,0
Flat100,none,favorite,40,64,53,83,2509,245,100,0
Flat100,none,favorite,45,61,50,82,2331,245,100,0
Flat100,none,favorite,50,59,49,83,2411,245,100,0
Flat100,none,favorite,75,45,37,82,2009,255,100,0
Flat100,none,favorite,100,31,27,87,1977,255,100,0
Flat100,none,favorite,125,25,21,84,1726,255,100,0
Flat100,none,favorite,150,10,9,90,1410,100,100,0
Flat100,none,favorite,200,5,5,100,1304,0,100,0
