strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,25307,14792,58,166824,12148,100,0
Flat100,none,any,10,23828,14074,59,179487,9479,100,0
Flat100,none,any,15,22375,13294,59,180215,9429,100,0
Flat100,none,any,20,21013,12606,60,192862,9570,100,0
Flat100,none,any,25,19666,11907,61,200892,8684,100,0
Flat100,none,any,30,18281,11138,61,198450,7180,100,0
Flat100,none,any,35,16978,10430,61,199255,6240,100,0
Flat100,none,any,40,15701,9723,62,195256,6031,100,0
Flat100,none,any,45,14495,9039,62,188859,5218,100,0
Flat100,none,any,50,13339,8372,63,180680,4967,100,0
Flat100,none,any,75,8252,5376,65,140076,4098,100,0
Flat100,none,any,100,4790,3181,66,88591,2387,100,0
Flat100,none,any,125,2608,1773,68,56545,2401,100,0
Flat100,none,any,150,1377,967,70,34923,864,100,0
Flat100,none,any,200,358,259,72,11442,484,100,0
Flat100,none,any,250,90,56,62,1471,577,100,0
Flat100,none,any,300,26,12,46,472,807,100,0
Flat100,none,any,350,9,3,33,607,453,100,0
Flat100,none,any,400,3,2,67,1029,100,100,0
Flat100,none,underdog,5,11280,4991,44,107315,9713,100,0
Flat100,none,underdog,10,10559,4729,45,113538,8160,100,0
Flat100,none,underdog,15,9852,4444,45,113229,7955,100,0
Flat100,none,underdog,20,9205,4208,46,121702,7455,100,0
Flat100,none,underdog,25,8573,3969,46,127391,6795,100,0
Flat100,none,underdog,30,7933,3704,47,124733,5328,100,0
Flat100,none,underdog,35,7316,3459,47,126262,3942,100,0
Flat100,none,underdog,40,6713,3206,48,123539,4171,100,0
Flat100,none,underdog,45,6159,2973,48,119094,3226,100,0
Flat100,none,underdog,50,5638,2742,49,112625,3301,100,0
Flat100,none,underdog,75,3402,1730,51,83779,2941,100,0
Flat100,none,underdog,100,1913,994,52,51229,1719,100,0
Flat100,none,underdog,125,1021,557,55,34190,1406,100,0
Flat100,none,underdog,150,521,293,56,20403,853,100,0
Flat100,none,underdog,200,124,77,62,8165,405,100,0
Flat100,none,underdog,250,28,15,54,1450,700,100,0
Flat100,none,underdog,300,9,3,33,862,500,100,0
Flat100,none,underdog,350,4,0,0,600,400,100,0
Flat100,none,underdog,400,1,0,0,900,100,100,0
Flat100,none,favorite,5,13068,9273,71,57981,5738,100,0
Flat100,none,favorite,10,12364,8844,72,64071,4583,100,0
Flat100,none,favorite,15,11660,8368,72,64457,4334,100,0
Flat100,none,favorite,20,10989,7935,72,67767,4921,100,0
Flat100,none,favorite,25,10326,7501,73,69755,4967,100,0
Flat100,none,favorite,30,9635,7023,73,69411,4668,100,0
Flat100,none,favorite,35,8996,6582,73,68095,4934,100,0
Flat100,none,favorite,40,8369,6153,74,66760,4452,100,0
Flat100,none,favorite,45,7755,5721,74,64545,3587,100,0
Flat100,none,favorite,50,7166,5313,74,63462,3228,100,0
Flat100,none,favorite,75,4532,3445,76,51614,3233,100,0
Flat100,none,favorite,100,2676,2049,77,32726,1910,100,0
Flat100,none,favorite,125,1468,1132,77,19597,1310,100,0
Flat100,none,favorite,150,798,632,79,13489,631,100,0
Flat100,none,favorite,200,213,168,79,3760,475,100,0
Flat100,none,favorite,250,53,34,64,610,721,100,0
Flat100,none,favorite,300,17,9,53,610,490,100,0
Flat100,none,favorite,350,5,3,60,1007,131,100,0
Flat100,none,favorite,400,2,2,100,1129,0,100,0
Bankroll5pct,none,any,5,25307,14792,58,15410635,1214800,10000,0
Bankroll5pct,none,any,10,23828,14074,59,16701918,947900,10000,0
Bankroll5pct,none,any,15,22375,13294,59,16792317,942900,10000,0
Bankroll5pct,none,any,20,21013,12606,60,18082152,957000,10000,0
Bankroll5pct,none,any,25,19666,11907,61,18897701,868400,10000,0
Bankroll5pct,none,any,30,18281,11138,61,18660077,718000,10000,0
Bankroll5pct,none,any,35,16978,10430,61,18765293,624000,10000,0
Bankroll5pct,none,any,40,15701,9723,62,18379435,603100,10000,0
Bankroll5pct,none,any,45,14495,9039,62,17753430,521800,10000,0
Bankroll5pct,none,any,50,13339,8372,63,16945971,496700,10000,0
Bankroll5pct,none,any,75,8252,5376,65,12919300,409800,10000,0
Bankroll5pct,none,any,100,4790,3181,66,7796005,238700,10000,0
Bankroll5pct,none,any,125,2608,1773,68,4556685,240100,10000,0
Bankroll5pct,none,any,150,1377,967,70,2432752,86400,10000,0
Bankroll5pct,none,any,200,358,259,72,116194,15885,6317,0
Bankroll5pct,none,any,250,90,56,62,1161,326,61,0
Bankroll5pct,none,any,300,26,12,46,747,345,50,0
Bankroll5pct,none,any,350,9,3,33,813,217,52,0
Bankroll5pct,none,any,400,3,2,67,1013,53,53,0
Bankroll5pct,none,underdog,5,11280,4991,44,9256646,971300,10000,0
Bankroll5pct,none,underdog,10,10559,4729,45,9968683,816000,10000,0
Bankroll5pct,none,underdog,15,9852,4444,45,10006720,795500,10000,0
Bankroll5pct,none,underdog,20,9205,4208,46,10906344,745500,10000,0
Bankroll5pct,none,underdog,25,8573,3969,46,11488334,679500,10000,0
Bankroll5pct,none,underdog,30,7933,3704,47,11218232,532800,10000,0
Bankroll5pct,none,underdog,35,7316,3459,47,11393937,394200,10000,0
Bankroll5pct,none,underdog,40,6713,3206,48,11139708,417100,10000,0
Bankroll5pct,none,underdog,45,6159,2973,48,10669883,322600,10000,0
Bankroll5pct,none,underdog,50,5638,2742,49,10041384,330100,10000,0
Bankroll5pct,none,underdog,75,3402,1730,51,7199351,294100,10000,0
Bankroll5pct,none,underdog,100,1913,994,52,3915506,171900,10000,0
Bankroll5pct,none,underdog,125,1021,557,55,2278841,140600,10000,0
Bankroll5pct,none,underdog,150,521,293,56,924617,85300,10000,0
Bankroll5pct,none,underdog,200,124,77,62,25692,1822,1157,0
Bankroll5pct,none,underdog,250,28,15,54,1205,394,65,0
Bankroll5pct,none,underdog,300,9,3,33,920,238,53,0
Bankroll5pct,none,underdog,350,4,0,0,814,186,50,0
Bankroll5pct,none,underdog,400,1,0,0,950,50,50,0
Bankroll5pct,none,favorite,5,13068,9273,71,4514199,573800,10000,0
Bankroll5pct,none,favorite,10,12364,8844,72,5184437,458300,10000,0
Bankroll5pct,none,favorite,15,11660,8368,72,5203737,433400,10000,0
Bankroll5pct,none,favorite,20,10989,7935,72,5547643,492100,10000,0
Bankroll5pct,none,favorite,25,10326,7501,73,5789032,496700,10000,0
Bankroll5pct,none,favorite,30,9635,7023,73,5769948,466800,10000,0
Bankroll5pct,none,favorite,35,8996,6582,73,5653570,493400,10000,0
Bankroll5pct,none,favorite,40,8369,6153,74,5540586,445200,10000,0
Bankroll5pct,none,favorite,45,7755,5721,74,5347292,358700,10000,0
Bankroll5pct,none,favorite,50,7166,5313,74,5236216,322800,10000,0
Bankroll5pct,none,favorite,75,4532,3445,76,4100515,323300,10000,0
Bankroll5pct,none,favorite,100,2676,2049,77,2237755,191000,10000,0
Bankroll5pct,none,favorite,125,1468,1132,77,923497,131000,10000,0
Bankroll5pct,none,favorite,150,798,632,79,318887,51300,10000,0
Bankroll5pct,none,favorite,200,213,168,79,3588,444,194,0
Bankroll5pct,none,favorite,250,53,34,64,797,323,52,0
Bankroll5pct,none,favorite,300,17,9,53,813,225,50,0
Bankroll5pct,none,favorite,350,5,3,60,998,69,52,0
Bankroll5pct,none,favorite,400,2,2,100,1066,0,52,0
Flat100,4+4-,any,5,8068,5183,64,128403,3369,100,0
Flat100,4+4-,any,10,8048,5169,64,127714,3369,100,0
Flat100,4+4-,any,15,8028,5160,64,128022,3369,100,0
Flat100,4+4-,any,20,7998,5137,64,127069,3452,100,0
Flat100,4+4-,any,25,7952,5118,64,128272,3465,100,0
Flat100,4+4-,any,30,7883,5083,64,128837,3065,100,0
Flat100,4+4-,any,35,7782,5031,65,129461,2669,100,0
Flat100,4+4-,any,40,7660,4959,65,128164,2601,100,0
Flat100,4+4-,any,45,7478,4849,65,126461,2536,100,0
Flat100,4+4-,any,50,7267,4730,65,124302,2671,100,0
Flat100,4+4-,any,75,5551,3701,67,109383,2874,100,0
Flat100,4+4-,any,100,3674,2498,68,78303,1731,100,0
Flat100,4+4-,any,125,2118,1473,70,52028,1830,100,0
Flat100,4+4-,any,150,1138,821,72,31915,905,100,0
Flat100,4+4-,any,200,292,228,78,11920,456,100,0
Flat100,4+4-,any,250,69,48,70,2149,443,100,0
Flat100,4+4-,any,300,21,11,52,794,497,100,0
Flat100,4+4-,any,350,7,2,29,629,431,100,0
Flat100,4+4-,any,400,3,2,67,1029,100,100,0
Flat100,4+4-,underdog,5,3393,1703,50,79491,2541,100,0
Flat100,4+4-,underdog,10,3387,1698,50,78799,2541,100,0
Flat100,4+4-,underdog,15,3377,1694,50,78808,2541,100,0
Flat100,4+4-,underdog,20,3368,1687,50,77986,2541,100,0
Flat100,4+4-,underdog,25,3342,1680,50,78957,2441,100,0
Flat100,4+4-,underdog,30,3308,1669,50,79497,2522,100,0
Flat100,4+4-,underdog,35,3258,1651,51,79996,2623,100,0
Flat100,4+4-,underdog,40,3199,1626,51,79478,2542,100,0
Flat100,4+4-,underdog,45,3119,1590,51,78428,2442,100,0
Flat100,4+4-,underdog,50,3026,1545,51,75786,2042,100,0
Flat100,4+4-,underdog,75,2292,1198,52,63964,1790,100,0
Flat100,4+4-,underdog,100,1476,793,54,44847,1419,100,0
Flat100,4+4-,underdog,125,838,467,56,30462,1163,100,0
Flat100,4+4-,underdog,150,423,243,57,17666,800,100,0
Flat100,4+4-,underdog,200,94,65,69,8079,400,100,0
Flat100,4+4-,underdog,250,23,14,61,1753,300,100,0
Flat100,4+4-,underdog,300,8,3,38,962,400,100,0
Flat100,4+4-,underdog,350,3,0,0,700,300,100,0
Flat100,4+4-,underdog,400,1,0,0,900,100,100,0
Flat100,4+4-,favorite,5,4379,3301,75,46121,1916,100,0
Flat100,4+4-,favorite,10,4365,3292,75,46124,1916,100,0
Flat100,4+4-,favorite,15,4356,3287,75,46323,1942,100,0
Flat100,4+4-,favorite,20,4336,3272,75,46277,1946,100,0
Flat100,4+4-,favorite,25,4316,3260,76,46509,1942,100,0
Flat100,4+4-,favorite,30,4282,3237,76,46619,1914,100,0
Flat100,4+4-,favorite,35,4231,3203,76,46744,1918,100,0
Flat100,4+4-,favorite,40,4171,3159,76,46225,1950,100,0
Flat100,4+4-,favorite,45,4073,3087,76,45544,2088,100,0
Flat100,4+4-,favorite,50,3968,3018,76,45660,1935,100,0
Flat100,4+4-,favorite,75,3052,2371,78,42497,2115,100,0
Flat100,4+4-,favorite,100,2048,1603,78,30427,1329,100,0
Flat100,4+4-,favorite,125,1183,940,79,19959,1045,100,0
Flat100,4+4-,favorite,150,671,546,81,13681,496,100,0
Flat100,4+4-,favorite,200,182,153,84,4569,239,100,0
Flat100,4+4-,favorite,250,41,30,73,1145,398,100,0
Flat100,4+4-,favorite,300,13,8,62,832,200,100,0
