strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,85,48,56,0,1483,100,0
Flat100,none,any,10,83,47,57,0,1483,100,0
Flat100,none,any,15,79,45,57,0,1434,100,0
Flat100,none,any,20,78,44,56,0,1434,100,0
Flat100,none,any,25,74,44,59,412,1164,100,0
Flat100,none,any,30,68,42,62,719,935,100,0
Flat100,none,any,35,66,41,62,786,886,100,0
Flat100,none,any,40,65,40,62,765,907,100,0
Flat100,none,any,45,63,39,62,848,924,100,0
Flat100,none,any,50,56,37,66,1296,516,100,0
Flat100,none,any,75,41,25,61,939,726,100,0
Flat100,none,any,100,32,18,56,616,738,100,0
Flat100,none,any,125,20,12,60,928,397,100,0
Flat100,none,any,150,13,9,69,1185,257,100,0
Flat100,none,any,200,6,5,83,1171,100,100,0
Flat100,none,any,225,5,4,80,1048,100,100,0
Flat100,none,any,250,3,2,67,957,100,100,0
Flat100,none,any,275,1,0,0,900,100,100,0
Flat100,none,any,300,0,0,0,1000,0,0,0
Flat100,none,any,325,0,0,0,1000,0,0,0
Flat100,none,any,350,0,0,0,1000,0,0,0
Flat100,none,any,375,0,0,0,1000,0,0,0
Flat100,none,any,400,0,0,0,1000,0,0,0
Flat100,none,underdog,5,24,9,38,683,666,100,0
Flat100,none,underdog,10,24,9,38,683,666,100,0
Flat100,none,underdog,15,22,8,36,598,751,100,0
Flat100,none,underdog,20,22,8,36,598,751,100,0
Flat100,none,underdog,25,20,8,40,798,595,100,0
Flat100,none,underdog,30,18,7,39,813,680,100,0
Flat100,none,underdog,35,17,7,41,913,680,100,0
Flat100,none,underdog,40,17,7,41,913,680,100,0
Flat100,none,underdog,45,17,7,41,913,680,100,0
Flat100,none,underdog,50,15,7,47,1113,580,100,0
Flat100,none,underdog,75,12,5,42,973,600,100,0
Flat100,none,underdog,100,10,4,40,852,500,100,0
Flat100,none,underdog,125,7,3,43,952,400,100,0
Flat100,none,underdog,150,5,3,60,1152,200,100,0
Flat100,none,underdog,200,2,1,50,1023,100,100,0
Flat100,none,underdog,225,1,0,0,900,100,100,0
Flat100,none,underdog,250,1,0,0,900,100,100,0
Flat100,none,underdog,275,1,0,0,900,100,100,0
Flat100,none,underdog,300,0,0,0,1000,0,0,0
Flat100,none,underdog,325,0,0,0,1000,0,0,0
Flat100,none,underdog,350,0,0,0,1000,0,0,0
Flat100,none,underdog,375,0,0,0,1000,0,0,0
Flat100,none,underdog,400,0,0,0,1000,0,0,0
Flat100,none,favorite,5,61,40,66,469,1049,100,0
Flat100,none,favorite,10,59,39,66,503,949,100,0
Flat100,none,favorite,15,57,38,67,554,849,100,0
Flat100,none,favorite,20,56,37,66,536,849,100,0
Flat100,none,favorite,25,53,36,68,714,749,100,0
Flat100,none,favorite,30,49,35,71,1006,518,100,0
Flat100,none,favorite,35,48,34,71,973,551,100,0
Flat100,none,favorite,40,47,33,70,952,572,100,0
Flat100,none,favorite,45,45,32,71,1035,489,100,0
Flat100,none,favorite,50,40,30,75,1283,289,100,0
Flat100,none,favorite,75,28,20,71,1066,253,100,0
Flat100,none,favorite,100,22,14,64,764,461,100,0
Flat100,none,favorite,125,13,9,69,976,182,100,0
Flat100,none,favorite,150,8,6,75,1033,100,100,0
Flat100,none,favorite,200,4,4,100,1148,0,100,0
Flat100,none,favorite,225,4,4,100,1148,0,100,0
Flat100,none,favorite,250,2,2,100,1057,0,100,0
Flat100,none,favorite,275,0,0,0,1000,0,0,0
Flat100,none,favorite,300,0,0,0,1000,0,0,0
Flat100,none,favorite,325,0,0,0,1000,0,0,0
Flat100,none,favorite,350,0,0,0,1000,0,0,0
Flat100,none,favorite,375,0,0,0,1000,0,0,0
Flat100,none,favorite,400,0,0,0,1000,0,0,0
Flat100,4+4-,any,5,28,21,75,1483,269,100,0
Flat100,4+4-,any,10,28,21,75,1483,269,100,0
Flat100,4+4-,any,15,28,21,75,1483,269,100,0
Flat100,4+4-,any,20,28,21,75,1483,269,100,0
Flat100,4+4-,any,25,28,21,75,1483,269,100,0
Flat100,4+4-,any,30,28,21,75,1483,269,100,0
Flat100,4+4-,any,35,28,21,75,1483,269,100,0
Flat100,4+4-,any,40,27,20,74,1462,269,100,0
Flat100,4+4-,any,45,27,20,74,1462,269,100,0
Flat100,4+4-,any,50,27,20,74,1462,269,100,0
Flat100,4+4-,any,75,24,18,75,1400,200,100,0
Flat100,4+4-,any,100,22,16,73,1284,200,100,0
Flat100,4+4-,any,125,16,11,69,1168,257,100,0
Flat100,4+4-,any,150,12,9,75,1285,227,100,0
Flat100,4+4-,any,200,6,5,83,1171,100,100,0
Flat100,4+4-,any,225,5,4,80,1048,100,100,0
Flat100,4+4-,any,250,3,2,67,957,100,100,0
Flat100,4+4-,any,275,1,0,0,900,100,100,0
Flat100,4+4-,any,300,0,0,0,1000,0,0,0
Flat100,4+4-,any,325,0,0,0,1000,0,0,0
