strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,8002,4340,54,0,10476,100,0
Flat100,none,any,10,13017,7120,55,13744,12948,100,0
Flat100,none,any,15,21,6,29,0,1107,100,0
Flat100,none,any,20,4765,2681,56,21193,6548,100,0
Flat100,none,any,25,2619,1503,57,16864,3756,100,0
Flat100,none,any,30,1445,853,59,14270,1677,100,0
Flat100,none,any,35,766,440,57,6344,1434,100,0
Flat100,none,any,40,417,238,57,3157,1378,100,0
Flat100,none,any,45,240,131,55,1260,2245,100,0
Flat100,none,any,50,141,81,57,1616,1106,100,0
Flat100,none,any,75,9,4,44,763,384,100,0
Flat100,none,underdog,5,2411,976,40,0,4850,100,0
Flat100,none,underdog,10,6090,2506,41,12594,12037,100,0
Flat100,none,underdog,15,3785,1604,42,19180,6128,100,0
Flat100,none,underdog,20,2222,956,43,16039,3846,100,0
Flat100,none,underdog,25,1206,533,44,11752,3025,100,0
Flat100,none,underdog,30,654,301,46,10118,1998,100,0
Flat100,none,underdog,35,353,157,44,4691,1672,100,0
Flat100,none,underdog,40,185,75,41,1380,1469,100,0
Flat100,none,underdog,45,106,39,37,632,1795,100,0
Flat100,none,underdog,50,55,21,38,1153,773,100,0
Flat100,none,underdog,75,3,0,0,700,300,100,0
Flat100,none,favorite,5,82,47,57,0,1073,100,0
Flat100,none,favorite,10,6049,4077,67,0,7804,100,0
Flat100,none,favorite,15,4029,2759,68,6642,5654,100,0
Flat100,none,favorite,20,2368,1629,69,5753,3707,100,0
Flat100,none,favorite,25,1325,918,69,5201,2177,100,0
Flat100,none,favorite,30,743,522,70,4356,1415,100,0
Flat100,none,favorite,35,389,266,68,1876,1036,100,0
Flat100,none,favorite,40,214,150,70,2147,869,100,0
Flat100,none,favorite,45,122,82,67,959,818,100,0
Flat100,none,favorite,50,79,55,70,1228,598,100,0
Flat100,none,favorite,75,5,3,60,976,148,100,0
Pct5,none,any,5,7346,3989,54,0,2822,141,0
Pct5,none,any,10,9252,5053,55,0,112855,5643,0
Pct5,none,any,15,8125,4530,56,1107310,698300,10000,0
Pct5,none,any,20,4765,2681,56,81541,466569,10000,0
Pct5,none,any,25,2619,1503,57,133318,292555,10000,0
Pct5,none,any,30,1445,853,59,116889,97047,7813,0
Pct5,none,any,35,766,440,57,5244,3400,321,0
Pct5,none,any,40,417,238,57,1722,1379,131,0
Pct5,none,any,45,240,131,55,823,1821,125,0
Pct5,none,any,50,141,81,57,1127,742,85,0
Pct5,none,any,75,9,4,44,881,194,54,0
Pct5,none,underdog,5,3390,1379,41,0,1668,83,0
Pct5,none,underdog,10,6090,2506,41,1,18515,926,0
Pct5,none,underdog,15,3785,1604,42,4108,43529,2194,0
Pct5,none,underdog,20,2222,956,43,18779,37225,2184,0
Pct5,none,underdog,25,1206,533,44,18905,19110,1362,0
Pct5,none,underdog,30,654,301,46,24494,5834,1119,0
Pct5,none,underdog,35,353,157,44,3023,1318,151,0
Pct5,none,underdog,40,185,75,41,826,795,74,0
Pct5,none,underdog,45,106,39,37,658,989,76,0
Pct5,none,underdog,50,55,21,38,945,448,62,0
Pct5,none,underdog,75,3,0,0,857,143,50,0
Pct5,none,favorite,5,8632,5793,67,0,4336,217,0
Pct5,none,favorite,10,6436,4342,67,12,8369,419,0
Pct5,none,favorite,15,4029,2759,68,1295,35981,1839,0
Pct5,none,favorite,20,2368,1629,69,2403,10736,610,0
Pct5,none,favorite,25,1325,918,69,3528,5468,419,0
Pct5,none,favorite,30,743,522,70,3371,3657,345,0
Pct5,none,favorite,35,389,266,68,1206,847,98,0
Pct5,none,favorite,40,214,150,70,1549,711,94,0
Pct5,none,favorite,45,122,82,67,906,513,69,0
Pct5,none,favorite,50,79,55,70,1068,373,70,0
