strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,66,34,52,0,1178,100,0
Flat100,none,any,10,37,18,49,0,1057,100,0
Flat100,none,any,15,46,22,48,0,1057,100,0
Flat100,none,any,20,20,10,50,720,331,100,0
Flat100,none,any,25,13,6,46,788,353,100,0
Flat100,none,any,30,8,4,50,863,338,100,0
Flat100,none,any,35,5,4,80,1163,100,100,0
Flat100,none,any,40,3,3,100,1201,0,100,0
Flat100,none,any,45,2,2,100,1098,0,100,0
Flat100,none,any,50,2,2,100,1098,0,100,0
Flat100,none,any,75,0,0,0,1000,0,0,0
Flat100,none,any,100,0,0,0,1000,0,0,0
Flat100,none,any,125,0,0,0,1000,0,0,0
Flat100,none,any,150,0,0,0,1000,0,0,0
Flat100,none,any,200,0,0,0,1000,0,0,0
Flat100,none,any,225,0,0,0,1000,0,0,0
Flat100,none,any,250,0,0,0,1000,0,0,0
Flat100,none,any,275,0,0,0,1000,0,0,0
Flat100,none,any,300,0,0,0,1000,0,0,0
Flat100,none,any,325,0,0,0,1000,0,0,0
Flat100,none,any,350,0,0,0,1000,0,0,0
Flat100,none,any,375,0,0,0,1000,0,0,0
Flat100,none,any,400,0,0,0,1000,0,0,0
Flat100,none,underdog,5,12,1,8,0,1000,100,0
Flat100,none,underdog,10,12,1,8,0,1000,100,0
Flat100,none,underdog,15,19,4,21,0,1000,100,0
Flat100,none,underdog,20,12,3,25,447,553,100,0
Flat100,none,underdog,25,8,2,25,647,356,100,0
Flat100,none,underdog,30,4,1,25,803,300,100,0
Flat100,none,underdog,35,2,1,50,1003,100,100,0
Flat100,none,underdog,40,1,1,100,1103,0,100,0
Flat100,none,underdog,45,0,0,0,1000,0,0,0
Flat100,none,underdog,50,0,0,0,1000,0,0,0
Flat100,none,underdog,75,0,0,0,1000,0,0,0
Flat100,none,underdog,100,0,0,0,1000,0,0,0
Flat100,none,underdog,125,0,0,0,1000,0,0,0
Flat100,none,underdog,150,0,0,0,1000,0,0,0
Flat100,none,underdog,200,0,0,0,1000,0,0,0
Flat100,none,underdog,225,0,0,0,1000,0,0,0
Flat100,none,underdog,250,0,0,0,1000,0,0,0
Flat100,none,underdog,275,0,0,0,1000,0,0,0
Flat100,none,underdog,300,0,0,0,1000,0,0,0
Flat100,none,underdog,325,0,0,0,1000,0,0,0
Flat100,none,underdog,350,0,0,0,1000,0,0,0
Flat100,none,underdog,375,0,0,0,1000,0,0,0
Flat100,none,underdog,400,0,0,0,1000,0,0,0
Flat100,none,favorite,5,59,48,81,2099,416,100,0
Flat100,none,favorite,10,39,30,77,1419,363,100,0
Flat100,none,favorite,15,25,18,72,1186,263,100,0
Flat100,none,favorite,20,8,7,88,1273,100,100,0
Flat100,none,favorite,25,5,4,80,1141,100,100,0
Flat100,none,favorite,30,4,3,75,1060,100,100,0
Flat100,none,favorite,35,3,3,100,1160,0,100,0
Flat100,none,favorite,40,2,2,100,1098,0,100,0
Flat100,none,favorite,45,2,2,100,1098,0,100,0
Flat100,none,favorite,50,2,2,100,1098,0,100,0
Flat100,none,favorite,75,0,0,0,1000,0,0,0
Flat100,none,favorite,100,0,0,0,1000,0,0,0
Flat100,none,favorite,125,0,0,0,1000,0,0,0
Flat100,none,favorite,150,0,0,0,1000,0,0,0
Flat100,none,favorite,200,0,0,0,1000,0,0,0
Flat100,none,favorite,225,0,0,0,1000,0,0,0
Flat100,none,favorite,250,0,0,0,1000,0,0,0
Flat100,none,favorite,275,0,0,0,1000,0,0,0
Flat100,none,favorite,300,0,0,0,1000,0,0,0
Flat100,none,favorite,325,0,0,0,1000,0,0,0
Flat100,none,favorite,350,0,0,0,1000,0,0,0
Flat100,none,favorite,375,0,0,0,1000,0,0,0
Flat100,none,favorite,400,0,0,0,1000,0,0,0
Flat100,4+4-,any,5,0,0,0,1000,0,0,0
Flat100,4+4-,any,10,0,0,0,1000,0,0,0
Flat100,4+4-,any,15,0,0,0,1000,0,0,0
Flat100,4+4-,any,20,0,0,0,1000,0,0,0
Flat100,4+4-,any,25,0,0,0,1000,0,0,0
Flat100,4+4-,any,30,0,0,0,1000,0,0,0
Flat100,4+4-,any,35,0,0,0,1000,0,0,0
