strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,130,74,57,0,1463,100,0
Flat100,none,any,10,114,67,59,0,1463,100,0
Flat100,none,any,15,91,52,57,0,1249,100,0
Flat100,none,any,20,95,54,57,0,1249,100,0
Flat100,none,any,25,111,62,56,0,1409,100,0
Flat100,none,any,30,109,61,56,0,1509,100,0
Flat100,none,any,35,102,56,55,0,1460,100,0
Flat100,none,any,40,98,54,55,0,1583,100,0
Flat100,none,any,45,98,55,56,0,1683,100,0
Flat100,none,any,50,63,37,59,0,1326,100,0
Flat100,none,any,75,68,38,56,0,1311,100,0
Flat100,none,any,100,50,27,54,0,1316,100,0
Flat100,none,any,125,39,27,69,1152,578,100,0
Flat100,none,any,150,30,21,70,1191,378,100,0
Flat100,none,any,200,12,10,83,1360,100,100,0
Flat100,none,any,225,9,7,78,1224,122,100,0
Flat100,none,any,250,6,4,67,1045,122,100,0
Flat100,none,any,275,3,3,100,1207,0,100,0
Flat100,none,any,300,1,1,100,1124,0,100,0
Flat100,none,any,325,1,1,100,1124,0,100,0
Flat100,none,any,350,0,0,0,1000,0,0,0
Flat100,none,any,375,0,0,0,1000,0,0,0
Flat100,none,any,400,0,0,0,1000,0,0,0
Flat100,none,underdog,5,29,7,24,0,1097,100,0
Flat100,none,underdog,10,26,6,23,0,1097,100,0
Flat100,none,underdog,15,24,5,21,0,1097,100,0
Flat100,none,underdog,20,25,5,20,0,1097,100,0
Flat100,none,underdog,25,25,5,20,0,1097,100,0
Flat100,none,underdog,30,26,6,23,0,1097,100,0
Flat100,none,underdog,35,26,6,23,0,1097,100,0
Flat100,none,underdog,40,37,10,27,0,1097,100,0
Flat100,none,underdog,45,34,9,26,0,1145,100,0
Flat100,none,underdog,50,16,3,19,0,1097,100,0
Flat100,none,underdog,75,26,7,27,0,1097,100,0
Flat100,none,underdog,100,23,8,35,221,1043,100,0
Flat100,none,underdog,125,11,5,45,908,304,100,0
Flat100,none,underdog,150,9,4,44,920,302,100,0
Flat100,none,underdog,200,2,2,100,1216,0,100,0
Flat100,none,underdog,225,2,2,100,1216,0,100,0
Flat100,none,underdog,250,1,1,100,1124,0,100,0
Flat100,none,underdog,275,1,1,100,1124,0,100,0
Flat100,none,underdog,300,1,1,100,1124,0,100,0
Flat100,none,underdog,325,1,1,100,1124,0,100,0
Flat100,none,underdog,350,0,0,0,1000,0,0,0
Flat100,none,underdog,375,0,0,0,1000,0,0,0
Flat100,none,underdog,400,0,0,0,1000,0,0,0
Flat100,none,favorite,5,94,72,77,1978,530,100,0
Flat100,none,favorite,10,90,68,76,1784,616,100,0
Flat100,none,favorite,15,85,64,75,1637,616,100,0
Flat100,none,favorite,20,82,61,74,1487,666,100,0
Flat100,none,favorite,25,78,61,78,1887,466,100,0
Flat100,none,favorite,30,76,60,79,1930,423,100,0
Flat100,none,favorite,35,68,54,79,1855,377,100,0
Flat100,none,favorite,40,66,52,79,1726,377,100,0
Flat100,none,favorite,45,65,52,80,1826,277,100,0
Flat100,none,favorite,50,60,48,80,1714,356,100,0
Flat100,none,favorite,75,49,38,78,1354,405,100,0
Flat100,none,favorite,100,36,27,75,1097,423,100,0
Flat100,none,favorite,125,28,22,79,1244,276,100,0
Flat100,none,favorite,150,21,17,81,1271,106,100,0
Flat100,none,favorite,200,10,8,80,1144,100,100,0
Flat100,none,favorite,225,7,5,71,1008,122,100,0
Flat100,none,favorite,250,5,3,60,921,122,100,0
Flat100,none,favorite,275,2,2,100,1083,0,100,0
Flat100,none,favorite,300,0,0,0,1000,0,0,0
Flat100,none,favorite,325,0,0,0,1000,0,0,0
Flat100,none,favorite,350,0,0,0,1000,0,0,0
Flat100,none,favorite,375,0,0,0,1000,0,0,0
Flat100,none,favorite,400,0,0,0,1000,0,0,0
Flat100,4+4-,any,5,18,10,56,569,623,100,0
Flat100,4+4-,any,10,18,10,56,569,623,100,0
Flat100,4+4-,any,15,18,10,56,569,623,100,0
