strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,121,66,55,416,988,100,0
Flat100,none,any,10,44,22,50,0,1106,100,0
Flat100,none,any,15,51,26,51,30,1046,100,0
Flat100,none,any,20,26,13,50,640,446,100,0
Flat100,none,any,25,14,6,43,688,438,100,0
Flat100,none,any,30,9,5,56,1007,338,100,0
Flat100,none,any,35,6,4,67,1063,200,100,0
Flat100,none,any,40,4,4,100,1263,0,100,0
Flat100,none,any,45,3,3,100,1201,0,100,0
Flat100,none,any,50,2,2,100,1098,0,100,0
Flat100,none,any,75,0,0,0,1000,0,0,0
Flat100,none,underdog,5,19,3,16,0,1100,100,0
Flat100,none,underdog,10,15,2,13,0,1100,100,0
Flat100,none,underdog,15,18,4,22,0,1100,100,0
Flat100,none,underdog,20,15,4,27,335,765,100,0
Flat100,none,underdog,25,9,2,22,547,456,100,0
Flat100,none,underdog,30,5,2,40,947,300,100,0
Flat100,none,underdog,35,3,1,33,903,200,100,0
Flat100,none,underdog,40,1,1,100,1103,0,100,0
Flat100,none,underdog,45,1,1,100,1103,0,100,0
Flat100,none,underdog,50,0,0,0,1000,0,0,0
Flat100,none,underdog,75,0,0,0,1000,0,0,0
Flat100,none,favorite,5,61,49,80,1928,304,100,0
Flat100,none,favorite,10,44,34,77,1631,300,100,0
Flat100,none,favorite,15,29,21,72,1210,300,100,0
Flat100,none,favorite,20,11,9,82,1305,100,100,0
Flat100,none,favorite,25,5,4,80,1141,100,100,0
Flat100,none,favorite,30,4,3,75,1060,100,100,0
Flat100,none,favorite,35,3,3,100,1160,0,100,0
Flat100,none,favorite,40,3,3,100,1160,0,100,0
Flat100,none,favorite,45,2,2,100,1098,0,100,0
Flat100,none,favorite,50,2,2,100,1098,0,100,0
Flat100,none,favorite,75,0,0,0,1000,0,0,0
Flat100,4+4-,any,5,40,20,50,635,458,100,0
Flat100,4+4-,any,10,28,15,54,834,461,100,0
Flat100,4+4-,any,15,18,10,56,838,416,100,0
Flat100,4+4-,any,20,11,6,55,959,278,100,0
Flat100,4+4-,any,25,6,3,50,966,200,100,0
Flat100,4+4-,any,30,4,2,50,985,200,100,0
Flat100,4+4-,any,35,2,1,50,941,100,100,0
Flat100,4+4-,any,40,1,1,100,1041,0,100,0
Flat100,4+4-,any,45,1,1,100,1041,0,100,0
Flat100,4+4-,any,50,1,1,100,1041,0,100,0
Flat100,4+4-,any,75,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,5,19,5,26,440,630,100,0
Flat100,4+4-,underdog,10,12,3,25,559,556,100,0
Flat100,4+4-,underdog,15,7,2,29,732,300,100,0
Flat100,4+4-,underdog,20,6,2,33,832,200,100,0
Flat100,4+4-,underdog,25,3,1,33,944,100,100,0
Flat100,4+4-,underdog,30,2,1,50,1044,100,100,0
Flat100,4+4-,underdog,35,1,0,0,900,100,100,0
Flat100,4+4-,underdog,40,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,45,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,50,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,75,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,5,20,14,70,1110,187,100,0
Flat100,4+4-,favorite,10,15,11,73,1190,100,100,0
Flat100,4+4-,favorite,15,11,8,73,1106,116,100,0
Flat100,4+4-,favorite,20,5,4,80,1127,100,100,0
Flat100,4+4-,favorite,25,3,2,67,1022,100,100,0
Flat100,4+4-,favorite,30,2,1,50,941,100,100,0
Flat100,4+4-,favorite,35,1,1,100,1041,0,100,0
Flat100,4+4-,favorite,40,1,1,100,1041,0,100,0
Flat100,4+4-,favorite,45,1,1,100,1041,0,100,0
Flat100,4+4-,favorite,50,1,1,100,1041,0,100,0
Flat100,4+4-,favorite,75,0,0,0,1000,0,0,0
Flat100,5+5-,any,5,7,2,29,548,452,100,0
Flat100,5+5-,any,10,3,1,33,805,195,100,0
Flat100,5+5-,any,15,3,1,33,805,195,100,0
Flat100,5+5-,any,20,2,0,0,800,200,100,0
Flat100,5+5-,any,25,1,0,0,900,100,100,0
Flat100,5+5-,any,30,1,0,0,900,100,100,0
Flat100,5+5-,any,35,1,0,0,900,100,100,0
Flat100,5+5-,any,40,0,0,0,1000,0,0,0
Flat100,5+5-,any,45,0,0,0,1000,0,0,0
Flat100,5+5-,any,50,0,0,0,1000,0,0,0
Flat100,5+5-,any,75,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,5,4,0,0,600,400,100,0
Flat100,5+5-,underdog,10,2,0,0,800,200,100,0
Flat100,5+5-,underdog,15,2,0,0,800,200,100,0
Flat100,5+5-,underdog,20,2,0,0,800,200,100,0
