strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,121,66,55,416,988,100,0
Flat100,none,any,10,44,22,50,0,1106,100,0
Flat100,none,any,15,51,26,51,30,1046,100,0
Flat100,none,any,20,26,13,50,640,446,100,0
Flat100,none,any,25,14,6,43,688,438,100,0
Flat100,none,any,30,9,5,56,1007,338,100,0
Flat100,none,any,35,6,4,67,1063,200,100,0
Flat100,none,any,40,4,4,100,1263,0,100,0
Flat100,none,any,45,3,3,100,1201,0,100,0
Flat100,none,any,50,2,2,100,1098,0,100,0
Flat100,none,any,75,0,0,0,1000,0,0,0
Flat100,none,underdog,5,19,3,16,0,1100,100,0
Flat100,none,underdog,10,15,2,13,0,1100,100,0
Flat100,none,underdog,15,18,4,22,0,1100,100,0
Flat100,none,underdog,20,15,4,27,335,765,100,0
Flat100,none,underdog,25,9,2,22,547,456,100,0
Flat100,none,underdog,30,5,2,40,947,300,100,0
Flat100,none,underdog,35,3,1,33,903,200,100,0
Flat100,none,underdog,40,1,1,100,1103,0,100,0
Flat100,none,underdog,45,1,1,100,1103,0,100,0
Flat100,none,underdog,50,0,0,0,1000,0,0,0
Flat100,none,underdog,75,0,0,0,1000,0,0,0
Flat100,none,favorite,5,61,49,80,1928,304,100,0
Flat100,none,favorite,10,44,34,77,1631,300,100,0
Flat100,none,favorite,15,29,21,72,1210,300,100,0
Flat100,none,favorite,20,11,9,82,1305,100,100,0
Flat100,none,favorite,25,5,4,80,1141,100,100,0
Flat100,none,favorite,30,4,3,75,1060,100,100,0
Flat100,none,favorite,35,3,3,100,1160,0,100,0
Flat100,none,favorite,40,3,3,100,1160,0,100,0
Flat100,none,favorite,45,2,2,100,1098,0,100,0
Flat100,none,favorite,50,2,2,100,1098,0,100,0
Flat100,none,favorite,75,0,0,0,1000,0,0,0
Pct5,none,any,5,121,66,55,636,463,53,0
Pct5,none,any,10,85,42,49,385,662,52,0
Pct5,none,any,15,51,26,51,588,448,52,0
Pct5,none,any,20,26,13,50,813,209,50,0
Pct5,none,any,25,14,6,43,842,202,50,0
Pct5,none,any,30,9,5,56,994,160,50,0
Pct5,none,any,35,6,4,67,1027,101,52,0
Pct5,none,any,40,4,4,100,1138,0,54,0
Pct5,none,any,45,3,3,100,1104,0,52,0
Pct5,none,any,50,2,2,100,1050,0,51,0
Pct5,none,any,75,0,0,0,1000,0,0,0
Pct5,none,underdog,5,58,15,26,379,671,53,0
Pct5,none,underdog,10,39,6,15,264,786,53,0
Pct5,none,underdog,15,21,4,19,517,533,53,0
Pct5,none,underdog,20,15,4,27,703,347,53,0
Pct5,none,underdog,25,9,2,22,787,213,50,0
Pct5,none,underdog,30,5,2,40,966,143,50,0
Pct5,none,underdog,35,3,1,33,949,98,50,0
Pct5,none,underdog,40,1,1,100,1052,0,50,0
Pct5,none,underdog,45,1,1,100,1052,0,50,0
Pct5,none,underdog,50,0,0,0,1000,0,0,0
Pct5,none,underdog,75,0,0,0,1000,0,0,0
Pct5,none,favorite,5,61,49,80,1544,199,75,0
Pct5,none,favorite,10,44,34,77,1338,181,70,0
Pct5,none,favorite,15,29,21,72,1092,162,59,0
Pct5,none,favorite,20,11,9,82,1157,60,60,0
Pct5,none,favorite,25,5,4,80,1070,50,51,0
Pct5,none,favorite,30,4,3,75,1028,50,50,0
Pct5,none,favorite,35,3,3,100,1082,0,53,0
Pct5,none,favorite,40,3,3,100,1082,0,53,0
Pct5,none,favorite,45,2,2,100,1050,0,51,0
Pct5,none,favorite,50,2,2,100,1050,0,51,0
Pct5,none,favorite,75,0,0,0,1000,0,0,0
Flat100,4+4-,any,5,29,19,66,844,322,100,0
Flat100,4+4-,any,10,21,14,67,1015,222,100,0
Flat100,4+4-,any,15,17,11,65,1030,200,100,0
Flat100,4+4-,any,20,11,6,55,894,200,100,0
Flat100,4+4-,any,25,8,4,50,945,200,100,0
Flat100,4+4-,any,30,5,4,80,1245,100,100,0
Flat100,4+4-,any,35,3,3,100,1201,0,100,0
Flat100,4+4-,any,40,3,3,100,1201,0,100,0
Flat100,4+4-,any,45,3,3,100,1201,0,100,0
Flat100,4+4-,any,50,2,2,100,1098,0,100,0
Flat100,4+4-,any,75,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,5,10,2,20,447,553,100,0
Flat100,4+4-,underdog,10,8,2,25,647,397,100,0
Flat100,4+4-,underdog,15,7,2,29,747,297,100,0
Flat100,4+4-,underdog,20,6,2,33,847,200,100,0
Flat100,4+4-,underdog,25,5,2,40,947,200,100,0
Flat100,4+4-,underdog,30,2,2,100,1247,0,100,0
Flat100,4+4-,underdog,35,1,1,100,1103,0,100,0
