strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,41,18,44,0,1030,100,0
Flat100,none,any,10,39,17,44,0,1030,100,0
Flat100,none,any,15,81,44,54,461,920,100,0
Flat100,none,any,20,72,39,54,623,777,100,0
Flat100,none,any,25,69,38,55,749,577,100,0
Flat100,none,any,30,68,38,56,849,577,100,0
Flat100,none,any,35,67,38,57,949,577,100,0
Flat100,none,any,40,65,38,58,1149,477,100,0
Flat100,none,any,45,60,35,58,1160,478,100,0
Flat100,none,any,50,56,34,61,1275,460,100,0
Flat100,none,any,75,48,28,58,1153,430,100,0
Flat100,none,any,100,37,22,59,1341,430,100,0
Flat100,none,any,125,27,16,59,1254,443,100,0
Flat100,none,any,150,12,6,50,867,495,100,0
Flat100,none,any,200,7,2,29,620,395,100,0
Flat100,none,any,225,3,1,33,905,100,100,0
Flat100,none,any,250,2,1,50,1005,100,100,0
Flat100,none,any,275,0,0,0,1000,0,0,0
Flat100,none,any,300,0,0,0,1000,0,0,0
Flat100,none,any,325,0,0,0,1000,0,0,0
Flat100,none,any,350,0,0,0,1000,0,0,0
Flat100,none,any,375,0,0,0,1000,0,0,0
Flat100,none,any,400,0,0,0,1000,0,0,0
Flat100,none,underdog,5,41,14,34,219,781,100,0
Flat100,none,underdog,10,38,13,34,323,677,100,0
Flat100,none,underdog,15,37,13,35,423,671,100,0
Flat100,none,underdog,20,33,12,36,602,592,100,0
Flat100,none,underdog,25,32,12,38,702,500,100,0
Flat100,none,underdog,30,32,12,38,702,500,100,0
Flat100,none,underdog,35,31,12,39,802,492,100,0
Flat100,none,underdog,40,30,12,40,902,400,100,0
Flat100,none,underdog,45,27,11,41,994,400,100,0
Flat100,none,underdog,50,25,10,40,909,487,100,0
Flat100,none,underdog,75,24,9,38,801,595,100,0
Flat100,none,underdog,100,19,8,42,1100,400,100,0
Flat100,none,underdog,125,16,6,38,985,400,100,0
Flat100,none,underdog,150,8,3,38,805,395,100,0
Flat100,none,underdog,200,5,1,20,705,295,100,0
Flat100,none,underdog,225,3,1,33,905,100,100,0
Flat100,none,underdog,250,2,1,50,1005,100,100,0
Flat100,none,underdog,275,0,0,0,1000,0,0,0
