strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,67,33,49,0,1000,100,0
Flat100,none,any,10,45,24,53,459,605,100,0
Flat100,none,any,15,30,17,57,839,542,100,0
Flat100,none,any,20,16,9,56,1189,358,100,0
Flat100,none,any,25,6,2,33,853,200,100,0
Flat100,none,any,30,3,1,33,930,100,100,0
Flat100,none,any,35,1,1,100,1130,0,100,0
Flat100,none,any,40,0,0,0,1000,0,0,0
Flat100,none,any,45,0,0,0,1000,0,0,0
Flat100,none,any,50,0,0,0,1000,0,0,0
Flat100,none,any,75,0,0,0,1000,0,0,0
Flat100,none,any,100,0,0,0,1000,0,0,0
Flat100,none,any,125,0,0,0,1000,0,0,0
Flat100,none,any,150,0,0,0,1000,0,0,0
Flat100,none,any,200,0,0,0,1000,0,0,0
Flat100,none,any,250,0,0,0,1000,0,0,0
Flat100,none,any,300,0,0,0,1000,0,0,0
Flat100,none,any,350,0,0,0,1000,0,0,0
Flat100,none,any,400,0,0,0,1000,0,0,0
Flat100,none,underdog,5,43,15,35,155,870,100,0
Flat100,none,underdog,10,26,10,38,574,600,100,0
Flat100,none,underdog,15,16,8,50,1139,308,100,0
Flat100,none,underdog,20,12,7,58,1347,300,100,0
Flat100,none,underdog,25,4,2,50,1053,100,100,0
Flat100,none,underdog,30,3,1,33,930,100,100,0
Flat100,none,underdog,35,1,1,100,1130,0,100,0
Flat100,none,underdog,40,0,0,0,1000,0,0,0
Flat100,none,underdog,45,0,0,0,1000,0,0,0
Flat100,none,underdog,50,0,0,0,1000,0,0,0
Flat100,none,underdog,75,0,0,0,1000,0,0,0
Flat100,none,underdog,100,0,0,0,1000,0,0,0
Flat100,none,underdog,125,0,0,0,1000,0,0,0
Flat100,none,underdog,150,0,0,0,1000,0,0,0
Flat100,none,underdog,200,0,0,0,1000,0,0,0
Flat100,none,underdog,250,0,0,0,1000,0,0,0
Flat100,none,underdog,300,0,0,0,1000,0,0,0
Flat100,none,underdog,350,0,0,0,1000,0,0,0
Flat100,none,underdog,400,0,0,0,1000,0,0,0
Flat100,none,favorite,5,24,18,75,949,304,100,0
Flat100,none,favorite,10,19,14,74,885,233,100,0
Flat100,none,favorite,15,14,9,64,700,351,100,0
Flat100,none,favorite,20,4,2,50,842,200,100,0
Flat100,none,favorite,25,2,0,0,800,200,100,0
Flat100,none,favorite,30,0,0,0,1000,0,0,0
Flat100,none,favorite,35,0,0,0,1000,0,0,0
