strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,30,13,43,0,1000,100,0
Flat100,none,any,10,45,24,53,459,600,100,0
Flat100,none,any,15,30,17,57,839,607,100,0
Flat100,none,any,20,16,9,56,1189,358,100,0
Flat100,none,any,25,6,2,33,853,200,100,0
Flat100,none,any,30,3,1,33,930,100,100,0
Flat100,none,any,35,1,1,100,1130,0,100,0
Flat100,none,any,40,0,0,0,1000,0,0,0
Flat100,none,any,45,0,0,0,1000,0,0,0
Flat100,none,any,50,0,0,0,1000,0,0,0
Flat100,none,any,75,0,0,0,1000,0,0,0
Flat100,none,underdog,5,43,15,35,155,888,100,0
Flat100,none,underdog,10,26,10,38,574,600,100,0
Flat100,none,underdog,15,16,8,50,1139,400,100,0
Flat100,none,underdog,20,12,7,58,1347,300,100,0
Flat100,none,underdog,25,4,2,50,1053,100,100,0
Flat100,none,underdog,30,3,1,33,930,100,100,0
Flat100,none,underdog,35,1,1,100,1130,0,100,0
Flat100,none,underdog,40,0,0,0,1000,0,0,0
Flat100,none,underdog,45,0,0,0,1000,0,0,0
Flat100,none,underdog,50,0,0,0,1000,0,0,0
Flat100,none,underdog,75,0,0,0,1000,0,0,0
Flat100,none,favorite,5,24,18,75,949,350,100,0
Flat100,none,favorite,10,19,14,74,885,279,100,0
Flat100,none,favorite,15,14,9,64,700,412,100,0
Flat100,none,favorite,20,4,2,50,842,182,100,0
Flat100,none,favorite,25,2,0,0,800,200,100,0
Flat100,none,favorite,30,0,0,0,1000,0,0,0
Flat100,none,favorite,35,0,0,0,1000,0,0,0
Flat100,none,favorite,40,0,0,0,1000,0,0,0
Flat100,none,favorite,45,0,0,0,1000,0,0,0
Flat100,none,favorite,50,0,0,0,1000,0,0,0
Flat100,none,favorite,75,0,0,0,1000,0,0,0
Pct5,none,any,5,67,33,49,588,418,50,0
Pct5,none,any,10,45,24,53,728,272,50,0
Pct5,none,any,15,30,17,57,894,269,51,0
Pct5,none,any,20,16,9,56,1075,168,60,0
Pct5,none,any,25,6,2,33,921,99,51,0
Pct5,none,any,30,3,1,33,961,51,51,0
Pct5,none,any,35,1,1,100,1065,0,50,0
Pct5,none,any,40,0,0,0,1000,0,0,0
Pct5,none,any,45,0,0,0,1000,0,0,0
Pct5,none,any,50,0,0,0,1000,0,0,0
Pct5,none,any,75,0,0,0,1000,0,0,0
Pct5,none,underdog,5,43,15,35,610,396,50,0
Pct5,none,underdog,10,26,10,38,778,280,53,0
Pct5,none,underdog,15,16,8,50,1046,185,58,0
Pct5,none,underdog,20,12,7,58,1167,143,61,0
Pct5,none,underdog,25,4,2,50,1020,54,54,0
Pct5,none,underdog,30,3,1,33,961,51,51,0
Pct5,none,underdog,35,1,1,100,1065,0,50,0
Pct5,none,underdog,40,0,0,0,1000,0,0,0
Pct5,none,underdog,45,0,0,0,1000,0,0,0
Pct5,none,underdog,50,0,0,0,1000,0,0,0
Pct5,none,underdog,75,0,0,0,1000,0,0,0
Pct5,none,favorite,5,24,18,75,964,173,52,0
Pct5,none,favorite,10,19,14,74,936,141,52,0
Pct5,none,favorite,15,14,9,64,855,197,52,0
Pct5,none,favorite,20,4,2,50,922,90,51,0
Pct5,none,favorite,25,2,0,0,903,98,50,0
Pct5,none,favorite,30,0,0,0,1000,0,0,0
Pct5,none,favorite,35,0,0,0,1000,0,0,0
Pct5,none,favorite,40,0,0,0,1000,0,0,0
Pct5,none,favorite,45,0,0,0,1000,0,0,0
Pct5,none,favorite,50,0,0,0,1000,0,0,0
Pct5,none,favorite,75,0,0,0,1000,0,0,0
Flat100,4+4-,any,5,9,4,44,791,400,100,0
Flat100,4+4-,any,10,8,3,38,666,400,100,0
Flat100,4+4-,any,15,6,2,33,627,400,100,0
Flat100,4+4-,any,20,4,1,25,718,300,100,0
Flat100,4+4-,any,25,1,0,0,900,100,100,0
Flat100,4+4-,any,30,0,0,0,1000,0,0,0
Flat100,4+4-,any,35,0,0,0,1000,0,0,0
Flat100,4+4-,any,40,0,0,0,1000,0,0,0
Flat100,4+4-,any,45,0,0,0,1000,0,0,0
Flat100,4+4-,any,50,0,0,0,1000,0,0,0
Flat100,4+4-,any,75,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,5,6,2,33,864,300,100,0
Flat100,4+4-,underdog,10,5,1,20,739,300,100,0
Flat100,4+4-,underdog,15,3,0,0,700,300,100,0
Flat100,4+4-,underdog,20,2,0,0,800,200,100,0
Flat100,4+4-,underdog,25,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,30,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,35,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,40,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,45,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,50,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,75,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,5,3,2,67,927,100,100,0
Flat100,4+4-,favorite,10,3,2,67,927,100,100,0
Flat100,4+4-,favorite,15,3,2,67,927,100,100,0
Flat100,4+4-,favorite,20,2,1,50,918,100,100,0
Flat100,4+4-,favorite,25,1,0,0,900,100,100,0
Flat100,4+4-,favorite,30,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,35,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,40,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,45,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,50,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,75,0,0,0,1000,0,0,0
Flat5pct,4+4-,any,5,9,4,44,896,200,50,0
Flat5pct,4+4-,any,10,8,3,38,833,200,50,0
Flat5pct,4+4-,any,15,6,2,33,814,200,50,0
Flat5pct,4+4-,any,20,4,1,25,859,150,50,0
Flat5pct,4+4-,any,25,1,0,0,950,50,50,0
Flat5pct,4+4-,any,30,0,0,0,1000,0,0,0
Flat5pct,4+4-,any,35,0,0,0,1000,0,0,0
Flat5pct,4+4-,any,40,0,0,0,1000,0,0,0
Flat5pct,4+4-,any,45,0,0,0,1000,0,0,0
Flat5pct,4+4-,any,50,0,0,0,1000,0,0,0
Flat5pct,4+4-,any,75,0,0,0,1000,0,0,0
Flat5pct,4+4-,underdog,5,6,2,33,932,150,50,0
Flat5pct,4+4-,underdog,10,5,1,20,870,150,50,0
Flat5pct,4+4-,underdog,15,3,0,0,850,150,50,0
Flat5pct,4+4-,underdog,20,2,0,0,900,100,50,0
Flat5pct,4+4-,underdog,25,0,0,0,1000,0,0,0
Flat5pct,4+4-,underdog,30,0,0,0,1000,0,0,0
Flat5pct,4+4-,underdog,35,0,0,0,1000,0,0,0
Flat5pct,4+4-,underdog,40,0,0,0,1000,0,0,0
Flat5pct,4+4-,underdog,45,0,0,0,1000,0,0,0
Flat5pct,4+4-,underdog,50,0,0,0,1000,0,0,0
Flat5pct,4+4-,underdog,75,0,0,0,1000,0,0,0
Flat5pct,4+4-,favorite,5,3,2,67,964,50,50,0
Flat5pct,4+4-,favorite,10,3,2,67,964,50,50,0
Flat5pct,4+4-,favorite,15,3,2,67,964,50,50,0
Flat5pct,4+4-,favorite,20,2,1,50,959,50,50,0
Flat5pct,4+4-,favorite,25,1,0,0,950,50,50,0
Flat5pct,4+4-,favorite,30,0,0,0,1000,0,0,0
Flat5pct,4+4-,favorite,35,0,0,0,1000,0,0,0
Flat5pct,4+4-,favorite,40,0,0,0,1000,0,0,0
Flat5pct,4+4-,favorite,45,0,0,0,1000,0,0,0
Flat5pct,4+4-,favorite,50,0,0,0,1000,0,0,0
Flat5pct,4+4-,favorite,75,0,0,0,1000,0,0,0
Flat100,5+5-,any,5,1,0,0,900,100,100,0
Flat100,5+5-,any,10,1,0,0,900,100,100,0
Flat100,5+5-,any,15,1,0,0,900,100,100,0
Flat100,5+5-,any,20,1,0,0,900,100,100,0
Flat100,5+5-,any,25,1,0,0,900,100,100,0
Flat100,5+5-,any,30,0,0,0,1000,0,0,0
Flat100,5+5-,any,35,0,0,0,1000,0,0,0
Flat100,5+5-,any,40,0,0,0,1000,0,0,0
Flat100,5+5-,any,45,0,0,0,1000,0,0,0
Flat100,5+5-,any,50,0,0,0,1000,0,0,0
Flat100,5+5-,any,75,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,5,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,10,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,15,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,20,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,25,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,30,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,35,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,40,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,45,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,50,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,75,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,5,1,0,0,900,100,100,0
Flat100,5+5-,favorite,10,1,0,0,900,100,100,0
Flat100,5+5-,favorite,15,1,0,0,900,100,100,0
Flat100,5+5-,favorite,20,1,0,0,900,100,100,0
Flat100,5+5-,favorite,25,1,0,0,900,100,100,0
Flat100,5+5-,favorite,30,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,35,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,40,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,45,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,50,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,75,0,0,0,1000,0,0,0
Flat5pct,5+5-,any,5,1,0,0,950,50,50,0
Flat5pct,5+5-,any,10,1,0,0,950,50,50,0
Flat5pct,5+5-,any,15,1,0,0,950,50,50,0
Flat5pct,5+5-,any,20,1,0,0,950,50,50,0
Flat5pct,5+5-,any,25,1,0,0,950,50,50,0
Flat5pct,5+5-,any,30,0,0,0,1000,0,0,0
Flat5pct,5+5-,any,35,0,0,0,1000,0,0,0
Flat5pct,5+5-,any,40,0,0,0,1000,0,0,0
Flat5pct,5+5-,any,45,0,0,0,1000,0,0,0
Flat5pct,5+5-,any,50,0,0,0,1000,0,0,0
Flat5pct,5+5-,any,75,0,0,0,1000,0,0,0
Flat5pct,5+5-,underdog,5,0,0,0,1000,0,0,0
Flat5pct,5+5-,underdog,10,0,0,0,1000,0,0,0
Flat5pct,5+5-,underdog,15,0,0,0,1000,0,0,0
Flat5pct,5+5-,underdog,20,0,0,0,1000,0,0,0
Flat5pct,5+5-,underdog,25,0,0,0,1000,0,0,0
Flat5pct,5+5-,underdog,30,0,0,0,1000,0,0,0
Flat5pct,5+5-,underdog,35,0,0,0,1000,0,0,0
Flat5pct,5+5-,underdog,40,0,0,0,1000,0,0,0
Flat5pct,5+5-,underdog,45,0,0,0,1000,0,0,0
Flat5pct,5+5-,underdog,50,0,0,0,1000,0,0,0
Flat5pct,5+5-,underdog,75,0,0,0,1000,0,0,0
Flat5pct,5+5-,favorite,5,1,0,0,950,50,50,0
Flat5pct,5+5-,favorite,10,1,0,0,950,50,50,0
Flat5pct,5+5-,favorite,15,1,0,0,950,50,50,0
Flat5pct,5+5-,favorite,20,1,0,0,950,50,50,0
Flat5pct,5+5-,favorite,25,1,0,0,950,50,50,0
Flat5pct,5+5-,favorite,30,0,0,0,1000,0,0,0
Flat5pct,5+5-,favorite,35,0,0,0,1000,0,0,0
Flat5pct,5+5-,favorite,40,0,0,0,1000,0,0,0
Flat5pct,5+5-,favorite,45,0,0,0,1000,0,0,0
Flat5pct,5+5-,favorite,50,0,0,0,1000,0,0,0
Flat5pct,5+5-,favorite,75,0,0,0,1000,0,0,0
Fibo1,none,any,5,67,33,49,1000,7,3,3
Fibo1,none,any,10,45,24,53,982,20,8,5
Fibo1,none,any,15,30,17,57,999,7,3,3
Fibo1,none,any,20,16,9,56,1003,4,2,2
Fibo1,none,any,25,6,2,33,1000,2,2,2
Fibo1,none,any,30,3,1,33,999,1,1,1
Fibo1,none,any,35,1,1,100,1001,0,1,0
Fibo1,none,any,40,0,0,0,1000,0,0,0
Fibo1,none,any,45,0,0,0,1000,0,0,0
Fibo1,none,any,50,0,0,0,1000,0,0,0
Fibo1,none,any,75,0,0,0,1000,0,0,0
Fibo1,none,underdog,5,43,15,35,1000,33,21,7
