strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,30,13,43,0,1000,100,0
Flat100,none,any,10,45,24,53,459,600,100,0
Flat100,none,any,15,30,17,57,839,607,100,0
Flat100,none,any,20,16,9,56,1189,358,100,0
Flat100,none,any,25,6,2,33,853,200,100,0
Flat100,none,any,30,3,1,33,930,100,100,0
Flat100,none,any,35,1,1,100,1130,0,100,0
Flat100,none,any,40,0,0,0,1000,0,0,0
Flat100,none,any,45,0,0,0,1000,0,0,0
Flat100,none,any,50,0,0,0,1000,0,0,0
Flat100,none,any,75,0,0,0,1000,0,0,0
Flat100,none,underdog,5,43,15,35,155,888,100,0
Flat100,none,underdog,10,26,10,38,574,600,100,0
Flat100,none,underdog,15,16,8,50,1139,400,100,0
Flat100,none,underdog,20,12,7,58,1347,300,100,0
Flat100,none,underdog,25,4,2,50,1053,100,100,0
Flat100,none,underdog,30,3,1,33,930,100,100,0
Flat100,none,underdog,35,1,1,100,1130,0,100,0
Flat100,none,underdog,40,0,0,0,1000,0,0,0
Flat100,none,underdog,45,0,0,0,1000,0,0,0
Flat100,none,underdog,50,0,0,0,1000,0,0,0
Flat100,none,underdog,75,0,0,0,1000,0,0,0
Flat100,none,favorite,5,24,18,75,949,350,100,0
Flat100,none,favorite,10,19,14,74,885,279,100,0
Flat100,none,favorite,15,14,9,64,700,412,100,0
Flat100,none,favorite,20,4,2,50,842,182,100,0
Flat100,none,favorite,25,2,0,0,800,200,100,0
Flat100,none,favorite,30,0,0,0,1000,0,0,0
Flat100,none,favorite,35,0,0,0,1000,0,0,0
Flat100,none,favorite,40,0,0,0,1000,0,0,0
Flat100,none,favorite,45,0,0,0,1000,0,0,0
Flat100,none,favorite,50,0,0,0,1000,0,0,0
Flat100,none,favorite,75,0,0,0,1000,0,0,0
Flat100,4+4-,any,5,20,9,45,482,565,100,0
Flat100,4+4-,any,10,13,5,38,471,670,100,0
Flat100,4+4-,any,15,9,4,44,675,400,100,0
Flat100,4+4-,any,20,5,1,20,723,300,100,0
Flat100,4+4-,any,25,4,1,25,823,200,100,0
Flat100,4+4-,any,30,2,0,0,800,200,100,0
Flat100,4+4-,any,35,0,0,0,1000,0,0,0
Flat100,4+4-,any,40,0,0,0,1000,0,0,0
Flat100,4+4-,any,45,0,0,0,1000,0,0,0
Flat100,4+4-,any,50,0,0,0,1000,0,0,0
Flat100,4+4-,any,75,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,5,13,4,31,544,481,100,0
Flat100,4+4-,underdog,10,9,2,22,519,600,100,0
Flat100,4+4-,underdog,15,5,1,20,723,300,100,0
Flat100,4+4-,underdog,20,4,1,25,823,200,100,0
Flat100,4+4-,underdog,25,3,1,33,923,100,100,0
Flat100,4+4-,underdog,30,2,0,0,800,200,100,0
Flat100,4+4-,underdog,35,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,40,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,45,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,50,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,75,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,5,7,5,71,938,157,100,0
Flat100,4+4-,favorite,10,4,3,75,952,100,100,0
Flat100,4+4-,favorite,15,4,3,75,952,100,100,0
Flat100,4+4-,favorite,20,1,0,0,900,100,100,0
Flat100,4+4-,favorite,25,1,0,0,900,100,100,0
Flat100,4+4-,favorite,30,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,35,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,40,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,45,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,50,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,75,0,0,0,1000,0,0,0
Flat100,5+5-,any,5,4,2,50,1048,100,100,0
Flat100,5+5-,any,10,3,1,33,923,100,100,0
Flat100,5+5-,any,15,2,1,50,1023,100,100,0
Flat100,5+5-,any,20,2,1,50,1023,100,100,0
Flat100,5+5-,any,25,2,1,50,1023,100,100,0
Flat100,5+5-,any,30,1,0,0,900,100,100,0
Flat100,5+5-,any,35,0,0,0,1000,0,0,0
Flat100,5+5-,any,40,0,0,0,1000,0,0,0
Flat100,5+5-,any,45,0,0,0,1000,0,0,0
Flat100,5+5-,any,50,0,0,0,1000,0,0,0
Flat100,5+5-,any,75,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,5,4,2,50,1048,100,100,0
Flat100,5+5-,underdog,10,3,1,33,923,100,100,0
Flat100,5+5-,underdog,15,2,1,50,1023,100,100,0
Flat100,5+5-,underdog,20,2,1,50,1023,100,100,0
Flat100,5+5-,underdog,25,2,1,50,1023,100,100,0
Flat100,5+5-,underdog,30,1,0,0,900,100,100,0
Flat100,5+5-,underdog,35,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,40,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,45,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,50,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,75,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,5,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,10,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,15,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,20,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,25,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,30,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,35,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,40,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,45,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,50,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,75,0,0,0,1000,0,0,0
Percent5,none,any,5,67,33,49,588,418,50,0
Percent5,none,any,10,45,24,53,728,272,50,0
Percent5,none,any,15,30,17,57,894,269,51,0
Percent5,none,any,20,16,9,56,1075,168,60,0
Percent5,none,any,25,6,2,33,921,99,51,0
Percent5,none,any,30,3,1,33,961,51,51,0
Percent5,none,any,35,1,1,100,1065,0,50,0
Percent5,none,any,40,0,0,0,1000,0,0,0
Percent5,none,any,45,0,0,0,1000,0,0,0
Percent5,none,any,50,0,0,0,1000,0,0,0
Percent5,none,any,75,0,0,0,1000,0,0,0
Percent5,none,underdog,5,43,15,35,610,396,50,0
Percent5,none,underdog,10,26,10,38,778,280,53,0
Percent5,none,underdog,15,16,8,50,1046,185,58,0
Percent5,none,underdog,20,12,7,58,1167,143,61,0
Percent5,none,underdog,25,4,2,50,1020,54,54,0
Percent5,none,underdog,30,3,1,33,961,51,51,0
Percent5,none,underdog,35,1,1,100,1065,0,50,0
Percent5,none,underdog,40,0,0,0,1000,0,0,0
Percent5,none,underdog,45,0,0,0,1000,0,0,0
Percent5,none,underdog,50,0,0,0,1000,0,0,0
Percent5,none,underdog,75,0,0,0,1000,0,0,0
Percent5,none,favorite,5,24,18,75,964,173,52,0
Percent5,none,favorite,10,19,14,74,936,141,52,0
Percent5,none,favorite,15,14,9,64,855,197,52,0
Percent5,none,favorite,20,4,2,50,922,90,51,0
Percent5,none,favorite,25,2,0,0,902,98,50,0
Percent5,none,favorite,30,0,0,0,1000,0,0,0
Percent5,none,favorite,35,0,0,0,1000,0,0,0
Percent5,none,favorite,40,0,0,0,1000,0,0,0
Percent5,none,favorite,45,0,0,0,1000,0,0,0
Percent5,none,favorite,50,0,0,0,1000,0,0,0
Percent5,none,favorite,75,0,0,0,1000,0,0,0
Percent5,4+4-,any,5,20,9,45,756,260,50,0
Percent5,4+4-,any,10,13,5,38,757,311,53,0
Percent5,4+4-,any,15,9,4,44,843,192,52,0
Percent5,4+4-,any,20,5,1,20,865,144,50,0
Percent5,4+4-,any,25,4,1,25,910,98,50,0
Percent5,4+4-,any,30,2,0,0,902,98,50,0
Percent5,4+4-,any,35,0,0,0,1000,0,0,0
Percent5,4+4-,any,40,0,0,0,1000,0,0,0
Percent5,4+4-,any,45,0,0,0,1000,0,0,0
Percent5,4+4-,any,50,0,0,0,1000,0,0,0
Percent5,4+4-,any,75,0,0,0,1000,0,0,0
Percent5,4+4-,underdog,5,13,4,31,782,225,50,0
Percent5,4+4-,underdog,10,9,2,22,777,280,53,0
Percent5,4+4-,underdog,15,5,1,20,865,144,50,0
Percent5,4+4-,underdog,20,4,1,25,910,98,50,0
Percent5,4+4-,underdog,25,3,1,33,958,50,50,0
Percent5,4+4-,underdog,30,2,0,0,902,98,50,0
Percent5,4+4-,underdog,35,0,0,0,1000,0,0,0
Percent5,4+4-,underdog,40,0,0,0,1000,0,0,0
Percent5,4+4-,underdog,45,0,0,0,1000,0,0,0
Percent5,4+4-,underdog,50,0,0,0,1000,0,0,0
Percent5,4+4-,underdog,75,0,0,0,1000,0,0,0
Percent5,4+4-,favorite,5,7,5,71,966,79,51,0
Percent5,4+4-,favorite,10,4,3,75,975,51,51,0
Percent5,4+4-,favorite,15,4,3,75,975,51,51,0
Percent5,4+4-,favorite,20,1,0,0,950,50,50,0
Percent5,4+4-,favorite,25,1,0,0,950,50,50,0
Percent5,4+4-,favorite,30,0,0,0,1000,0,0,0
Percent5,4+4-,favorite,35,0,0,0,1000,0,0,0
Percent5,4+4-,favorite,40,0,0,0,1000,0,0,0
Percent5,4+4-,favorite,45,0,0,0,1000,0,0,0
Percent5,4+4-,favorite,50,0,0,0,1000,0,0,0
Percent5,4+4-,favorite,75,0,0,0,1000,0,0,0
Percent5,5+5-,any,5,4,2,50,1018,50,50,0
Percent5,5+5-,any,10,3,1,33,958,50,50,0
Percent5,5+5-,any,15,2,1,50,1008,50,50,0
Percent5,5+5-,any,20,2,1,50,1008,50,50,0
Percent5,5+5-,any,25,2,1,50,1008,50,50,0
Percent5,5+5-,any,30,1,0,0,950,50,50,0
Percent5,5+5-,any,35,0,0,0,1000,0,0,0
Percent5,5+5-,any,40,0,0,0,1000,0,0,0
Percent5,5+5-,any,45,0,0,0,1000,0,0,0
Percent5,5+5-,any,50,0,0,0,1000,0,0,0
Percent5,5+5-,any,75,0,0,0,1000,0,0,0
Percent5,5+5-,underdog,5,4,2,50,1018,50,50,0
Percent5,5+5-,underdog,10,3,1,33,958,50,50,0
Percent5,5+5-,underdog,15,2,1,50,1008,50,50,0
Percent5,5+5-,underdog,20,2,1,50,1008,50,50,0
Percent5,5+5-,underdog,25,2,1,50,1008,50,50,0
Percent5,5+5-,underdog,30,1,0,0,950,50,50,0
Percent5,5+5-,underdog,35,0,0,0,1000,0,0,0
Percent5,5+5-,underdog,40,0,0,0,1000,0,0,0
Percent5,5+5-,underdog,45,0,0,0,1000,0,0,0
Percent5,5+5-,underdog,50,0,0,0,1000,0,0,0
Percent5,5+5-,underdog,75,0,0,0,1000,0,0,0
Percent5,5+5-,favorite,5,0,0,0,1000,0,0,0
Percent5,5+5-,favorite,10,0,0,0,1000,0,0,0
Percent5,5+5-,favorite,15,0,0,0,1000,0,0,0
Percent5,5+5-,favorite,20,0,0,0,1000,0,0,0
Percent5,5+5-,favorite,25,0,0,0,1000,0,0,0
Percent5,5+5-,favorite,30,0,0,0,1000,0,0,0
Percent5,5+5-,favorite,35,0,0,0,1000,0,0,0
Percent5,5+5-,favorite,40,0,0,0,1000,0,0,0
Percent5,5+5-,favorite,45,0,0,0,1000,0,0,0
Percent5,5+5-,favorite,50,0,0,0,1000,0,0,0
Percent5,5+5-,favorite,75,0,0,0,1000,0,0,0
Fibonacci1,none,any,5,67,33,49,1000,7,3,3
Fibonacci1,none,any,10,45,24,53,982,20,8,5
Fibonacci1,none,any,15,30,17,57,999,7,3,3
Fibonacci1,none,any,20,16,9,56,1003,4,2,2
Fibonacci1,none,any,25,6,2,33,1000,2,2,2
Fibonacci1,none,any,30,3,1,33,999,1,1,1
Fibonacci1,none,any,35,1,1,100,1001,0,1,0
Fibonacci1,none,any,40,0,0,0,1000,0,0,0
Fibonacci1,none,any,45,0,0,0,1000,0,0,0
Fibonacci1,none,any,50,0,0,0,1000,0,0,0
Fibonacci1,none,any,75,0,0,0,1000,0,0,0
Fibonacci1,none,underdog,5,43,15,35,1000,33,21,7
Fibonacci1,none,underdog,10,26,10,38,986,20,8,5
Fibonacci1,none,underdog,15,16,8,50,1003,7,5,4
Fibonacci1,none,underdog,20,12,7,58,1004,4,3,3
Fibonacci1,none,underdog,25,4,2,50,1001,1,1,1
