strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,38,14,37,0,1023,100,0
Flat100,none,any,10,36,13,36,0,1023,100,0
Flat100,none,any,15,36,13,36,0,1023,100,0
Flat100,none,any,20,36,13,36,0,1023,100,0
Flat100,none,any,25,31,10,32,0,1041,100,0
Flat100,none,any,30,30,9,30,0,1016,100,0
Flat100,none,any,35,27,8,30,0,1000,100,0
Flat100,none,any,40,23,6,26,0,1000,100,0
Flat100,none,any,45,20,4,20,0,1000,100,0
Flat100,none,any,50,20,4,20,0,1000,100,0
Flat100,none,any,75,18,3,17,0,1000,100,0
Flat100,none,any,100,23,6,26,0,1000,100,0
Flat100,none,any,125,20,5,25,0,1000,100,0
Flat100,none,any,150,28,8,29,0,1000,100,0
Flat100,none,any,200,23,6,26,0,1008,100,0
Flat100,none,any,250,16,3,19,0,1000,100,0
Flat100,none,any,300,15,3,20,0,1000,100,0
Flat100,none,any,350,4,1,25,750,250,100,0
Flat100,none,any,400,1,0,0,900,100,100,0
Flat100,none,underdog,5,98,37,38,0,1288,100,0
Flat100,none,underdog,10,67,25,37,0,1164,100,0
Flat100,none,underdog,15,91,34,37,0,1364,100,0
Flat100,none,underdog,20,72,26,36,0,1364,100,0
Flat100,none,underdog,25,73,26,36,0,1253,100,0
Flat100,none,underdog,30,48,16,33,0,1253,100,0
Flat100,none,underdog,35,43,14,33,0,1183,100,0
Flat100,none,underdog,40,43,14,33,0,1183,100,0
Flat100,none,underdog,45,55,19,35,0,1224,100,0
Flat100,none,underdog,50,53,18,34,0,1136,100,0
Flat100,none,underdog,75,46,15,33,0,1080,100,0
Flat100,none,underdog,100,34,10,29,0,1000,100,0
Flat100,none,underdog,125,25,6,24,0,1025,100,0
Flat100,none,underdog,150,23,5,22,0,1048,100,0
Flat100,none,underdog,200,18,3,17,0,1308,100,0
Flat100,none,underdog,250,13,1,8,0,1000,100,0
Flat100,none,underdog,300,10,0,0,0,1000,100,0
