strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,118,68,58,2074,603,100,0
Flat100,none,any,10,114,66,58,1862,603,100,0
Flat100,none,any,15,109,63,58,1804,603,100,0
Flat100,none,any,20,107,62,58,1799,603,100,0
Flat100,none,any,25,101,60,59,2062,497,100,0
Flat100,none,any,30,97,57,59,2005,497,100,0
Flat100,none,any,35,91,54,59,2111,467,100,0
Flat100,none,any,40,85,49,58,1839,500,100,0
Flat100,none,any,45,77,45,58,1786,572,100,0
Flat100,none,any,50,74,44,59,1911,547,100,0
Flat100,none,any,75,61,35,57,1228,847,100,0
Flat100,none,any,100,47,27,57,1342,647,100,0
Flat100,none,any,125,30,14,47,741,571,100,0
Flat100,none,any,150,21,12,57,998,272,100,0
Flat100,none,any,200,10,6,60,1068,200,100,0
Flat100,none,any,225,8,4,50,923,200,100,0
Flat100,none,any,250,5,2,40,855,200,100,0
Flat100,none,any,275,2,1,50,990,100,100,0
Flat100,none,any,300,1,1,100,1090,0,100,0
Flat100,none,any,325,0,0,0,1000,0,0,0
Flat100,none,any,350,0,0,0,1000,0,0,0
Flat100,none,any,375,0,0,0,1000,0,0,0
Flat100,none,any,400,0,0,0,1000,0,0,0
Flat100,none,underdog,5,55,23,42,1592,479,100,0
Flat100,none,underdog,10,52,21,40,1280,568,100,0
Flat100,none,underdog,15,49,20,41,1345,503,100,0
Flat100,none,underdog,20,47,19,40,1340,608,100,0
Flat100,none,underdog,25,44,19,43,1640,500,100,0
Flat100,none,underdog,30,43,19,44,1740,500,100,0
Flat100,none,underdog,35,39,18,46,1948,500,100,0
Flat100,none,underdog,40,36,16,44,1813,500,100,0
Flat100,none,underdog,45,31,13,42,1596,500,100,0
Flat100,none,underdog,50,31,13,42,1596,500,100,0
Flat100,none,underdog,75,23,9,39,1212,490,100,0
Flat100,none,underdog,100,19,8,42,1340,290,100,0
Flat100,none,underdog,125,14,5,36,1013,300,100,0
Flat100,none,underdog,150,9,3,33,870,300,100,0
Flat100,none,underdog,200,5,2,40,950,200,100,0
Flat100,none,underdog,225,4,1,25,840,200,100,0
Flat100,none,underdog,250,2,0,0,800,200,100,0
Flat100,none,underdog,275,0,0,0,1000,0,0,0
Flat100,none,underdog,300,0,0,0,1000,0,0,0
Flat100,none,underdog,325,0,0,0,1000,0,0,0
Flat100,none,underdog,350,0,0,0,1000,0,0,0
Flat100,none,underdog,375,0,0,0,1000,0,0,0
Flat100,none,underdog,400,0,0,0,1000,0,0,0
Flat100,none,favorite,5,59,42,71,1315,428,100,0
Flat100,none,favorite,10,58,42,72,1415,428,100,0
Flat100,none,favorite,15,57,41,72,1379,433,100,0
Flat100,none,favorite,20,57,41,72,1379,433,100,0
Flat100,none,favorite,25,54,39,72,1342,499,100,0
Flat100,none,favorite,30,52,37,71,1275,499,100,0
Flat100,none,favorite,35,50,35,70,1173,544,100,0
Flat100,none,favorite,40,47,32,68,1036,544,100,0
Flat100,none,favorite,45,44,31,70,1200,444,100,0
Flat100,none,favorite,50,41,30,73,1325,319,100,0
Flat100,none,favorite,75,36,25,69,1026,452,100,0
Flat100,none,favorite,100,26,18,69,1012,447,100,0
Flat100,none,favorite,125,14,8,57,738,459,100,0
Flat100,none,favorite,150,10,8,80,1138,117,100,0
Flat100,none,favorite,200,3,3,100,1128,0,100,0
Flat100,none,favorite,225,2,2,100,1093,0,100,0
Flat100,none,favorite,250,1,1,100,1065,0,100,0
Flat100,none,favorite,275,0,0,0,1000,0,0,0
Flat100,none,favorite,300,0,0,0,1000,0,0,0
Flat100,none,favorite,325,0,0,0,1000,0,0,0
Flat100,none,favorite,350,0,0,0,1000,0,0,0
Flat100,none,favorite,375,0,0,0,1000,0,0,0
Flat100,none,favorite,400,0,0,0,1000,0,0,0
Flat100,4+4-,any,5,15,8,53,902,452,100,0
Flat100,4+4-,any,10,15,8,53,902,452,100,0
Flat100,4+4-,any,15,15,8,53,902,452,100,0
Flat100,4+4-,any,20,15,8,53,902,452,100,0
Flat100,4+4-,any,25,15,8,53,902,452,100,0
Flat100,4+4-,any,30,15,8,53,902,452,100,0
Flat100,4+4-,any,35,15,8,53,902,452,100,0
Flat100,4+4-,any,40,15,8,53,902,452,100,0
Flat100,4+4-,any,45,15,8,53,902,452,100,0
Flat100,4+4-,any,50,15,8,53,902,452,100,0
Flat100,4+4-,any,75,15,8,53,902,452,100,0
Flat100,4+4-,any,100,14,7,50,857,452,100,0
Flat100,4+4-,any,125,13,7,54,957,352,100,0
Flat100,4+4-,any,150,12,6,50,782,352,100,0
Flat100,4+4-,any,200,6,3,50,965,200,100,0
Flat100,4+4-,any,225,5,2,40,930,200,100,0
Flat100,4+4-,any,250,4,1,25,790,210,100,0
Flat100,4+4-,any,275,2,1,50,990,100,100,0
