strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,8073,4376,54,0,10829,100,0
Flat100,none,any,10,13016,7120,55,13844,12757,100,0
Flat100,none,any,15,62,28,45,0,1206,100,0
Flat100,none,any,20,4765,2681,56,21193,6656,100,0
Flat100,none,any,25,2619,1503,57,16864,4035,100,0
Flat100,none,any,30,1445,853,59,14270,1922,100,0
Flat100,none,any,35,766,440,57,6344,1443,100,0
Flat100,none,any,40,417,238,57,3157,1576,100,0
Flat100,none,any,45,240,131,55,1260,2245,100,0
Flat100,none,any,50,141,81,57,1616,1106,100,0
Flat100,none,any,75,9,4,44,763,384,100,0
Flat100,none,underdog,5,2800,1143,41,0,4986,100,0
Flat100,none,underdog,10,6089,2506,41,12723,11962,100,0
Flat100,none,underdog,15,3785,1604,42,19180,6149,100,0
Flat100,none,underdog,20,2222,956,43,16039,3927,100,0
Flat100,none,underdog,25,1206,533,44,11752,3025,100,0
Flat100,none,underdog,30,654,301,46,10118,1898,100,0
Flat100,none,underdog,35,353,157,44,4691,1582,100,0
Flat100,none,underdog,40,185,75,41,1380,1691,100,0
Flat100,none,underdog,45,106,39,37,632,1795,100,0
Flat100,none,underdog,50,55,21,38,1153,773,100,0
Flat100,none,underdog,75,3,0,0,700,300,100,0
Flat100,none,favorite,5,4240,2833,67,0,5135,100,0
Flat100,none,favorite,10,6049,4077,67,0,7876,100,0
Flat100,none,favorite,15,4029,2759,68,6642,5691,100,0
Flat100,none,favorite,20,2368,1629,69,5753,3720,100,0
Flat100,none,favorite,25,1325,918,69,5201,2118,100,0
Flat100,none,favorite,30,743,522,70,4356,1415,100,0
Flat100,none,favorite,35,389,266,68,1876,1036,100,0
Flat100,none,favorite,40,214,150,70,2147,869,100,0
Flat100,none,favorite,45,122,82,67,959,818,100,0
Flat100,none,favorite,50,79,55,70,1228,598,100,0
Flat100,none,favorite,75,5,3,60,976,148,100,0
Pct5,none,any,5,19429,10439,54,0,2748,137,0
Pct5,none,any,10,13016,7120,55,0,109944,5497,0
Pct5,none,any,15,8125,4530,56,1106140,681300,10000,0
Pct5,none,any,20,4765,2681,56,79174,467356,10000,0
Pct5,none,any,25,2619,1503,57,132282,305517,10000,0
Pct5,none,any,30,1445,853,59,116893,106341,7990,0
Pct5,none,any,35,766,440,57,5244,3848,342,0
Pct5,none,any,40,417,238,57,1722,1561,137,0
Pct5,none,any,45,240,131,55,823,1821,125,0
Pct5,none,any,50,141,81,57,1127,742,85,0
Pct5,none,any,75,9,4,44,881,194,54,0
Pct5,none,underdog,5,9139,3631,40,0,1847,92,0
Pct5,none,underdog,10,6089,2506,41,2,19858,993,0
Pct5,none,underdog,15,3785,1604,42,4108,45251,2281,0
Pct5,none,underdog,20,2222,956,43,18779,37226,2184,0
Pct5,none,underdog,25,1206,533,44,18904,19515,1362,0
Pct5,none,underdog,30,654,301,46,24495,6880,1134,0
Pct5,none,underdog,35,353,157,44,3023,1396,151,0
Pct5,none,underdog,40,185,75,41,826,882,75,0
Pct5,none,underdog,45,106,39,37,658,989,76,0
Pct5,none,underdog,50,55,21,38,945,448,62,0
Pct5,none,underdog,75,3,0,0,857,143,50,0
Pct5,none,favorite,5,9551,6397,67,0,4184,209,0
Pct5,none,favorite,10,6436,4342,67,12,8760,438,0
Pct5,none,favorite,15,4029,2759,68,1295,36177,1848,0
Pct5,none,favorite,20,2368,1629,69,2403,10627,603,0
Pct5,none,favorite,25,1325,918,69,3528,5431,418,0
Pct5,none,favorite,30,743,522,70,3371,3657,345,0
Pct5,none,favorite,35,389,266,68,1206,847,98,0
Pct5,none,favorite,40,214,150,70,1549,711,94,0
Pct5,none,favorite,45,122,82,67,906,513,69,0
Pct5,none,favorite,50,79,55,70,1068,373,70,0
Pct5,none,favorite,75,5,3,60,984,79,53,0
Flat100,4+4-,any,5,4138,2319,56,8103,4573,100,0
Flat100,4+4-,any,10,3540,1996,56,11050,3343,100,0
Flat100,4+4-,any,15,2794,1619,58,17262,2611,100,0
Flat100,4+4-,any,20,1960,1144,58,13330,1845,100,0
Flat100,4+4-,any,25,1212,704,58,7354,2882,100,0
Flat100,4+4-,any,30,718,439,61,9276,956,100,0
Flat100,4+4-,any,35,404,236,58,3778,870,100,0
Flat100,4+4-,any,40,218,125,57,1884,893,100,0
Flat100,4+4-,any,45,118,65,55,1175,1138,100,0
Flat100,4+4-,any,50,77,45,58,1337,651,100,0
Flat100,4+4-,any,75,2,1,50,987,100,100,0
Flat100,4+4-,underdog,5,160,62,39,0,1458,100,0
Flat100,4+4-,underdog,10,1575,667,42,8229,3117,100,0
Flat100,4+4-,underdog,15,1246,549,44,11693,2749,100,0
Flat100,4+4-,underdog,20,870,389,45,9055,1911,100,0
Flat100,4+4-,underdog,25,537,236,44,4370,1500,100,0
Flat100,4+4-,underdog,30,311,151,49,6516,1146,100,0
Flat100,4+4-,underdog,35,179,82,46,2851,1255,100,0
Flat100,4+4-,underdog,40,94,40,43,1342,998,100,0
Flat100,4+4-,underdog,45,51,22,43,1363,960,100,0
Flat100,4+4-,underdog,50,27,12,44,1362,460,100,0
Flat100,4+4-,underdog,75,1,0,0,900,100,100,0
Flat100,4+4-,favorite,5,2124,1458,69,3365,2572,100,0
Flat100,4+4-,favorite,10,1826,1252,69,3350,2919,100,0
Flat100,4+4-,favorite,15,1441,1012,70,6451,1907,100,0
Flat100,4+4-,favorite,20,1014,717,71,5783,1412,100,0
Flat100,4+4-,favorite,25,631,444,70,3903,1376,100,0
Flat100,4+4-,favorite,30,382,274,72,3650,598,100,0
Flat100,4+4-,favorite,35,213,147,69,1820,568,100,0
Flat100,4+4-,favorite,40,115,80,70,1508,494,100,0
Flat100,4+4-,favorite,45,63,40,63,652,628,100,0
Flat100,4+4-,favorite,50,47,31,66,900,395,100,0
Flat100,4+4-,favorite,75,0,0,0,1000,0,0,0
Flat5pct,4+4-,any,5,4138,2319,56,4552,2287,50,0
Flat5pct,4+4-,any,10,3540,1996,56,6025,1672,50,0
Flat5pct,4+4-,any,15,2794,1619,58,9131,1306,50,0
Flat5pct,4+4-,any,20,1960,1144,58,7165,923,50,0
Flat5pct,4+4-,any,25,1212,704,58,4177,1441,50,0
Flat5pct,4+4-,any,30,718,439,61,5138,478,50,0
Flat5pct,4+4-,any,35,404,236,58,2389,435,50,0
Flat5pct,4+4-,any,40,218,125,57,1442,447,50,0
Flat5pct,4+4-,any,45,118,65,55,1088,569,50,0
Flat5pct,4+4-,any,50,77,45,58,1169,326,50,0
Flat5pct,4+4-,any,75,2,1,50,994,50,50,0
Flat5pct,4+4-,underdog,5,1855,771,42,2920,1823,50,0
Flat5pct,4+4-,underdog,10,1575,667,42,4615,1559,50,0
Flat5pct,4+4-,underdog,15,1246,549,44,6347,1375,50,0
Flat5pct,4+4-,underdog,20,870,389,45,5028,956,50,0
Flat5pct,4+4-,underdog,25,537,236,44,2685,750,50,0
Flat5pct,4+4-,underdog,30,311,151,49,3758,573,50,0
Flat5pct,4+4-,underdog,35,179,82,46,1926,628,50,0
Flat5pct,4+4-,underdog,40,94,40,43,1171,499,50,0
Flat5pct,4+4-,underdog,45,51,22,43,1182,480,50,0
Flat5pct,4+4-,underdog,50,27,12,44,1181,230,50,0
Flat5pct,4+4-,underdog,75,1,0,0,950,50,50,0
Flat5pct,4+4-,favorite,5,2124,1458,69,2183,1286,50,0
Flat5pct,4+4-,favorite,10,1826,1252,69,2175,1460,50,0
Flat5pct,4+4-,favorite,15,1441,1012,70,3726,954,50,0
Flat5pct,4+4-,favorite,20,1014,717,71,3392,706,50,0
Flat5pct,4+4-,favorite,25,631,444,70,2452,688,50,0
Flat5pct,4+4-,favorite,30,382,274,72,2325,299,50,0
Flat5pct,4+4-,favorite,35,213,147,69,1410,284,50,0
Flat5pct,4+4-,favorite,40,115,80,70,1254,247,50,0
Flat5pct,4+4-,favorite,45,63,40,63,826,314,50,0
Flat5pct,4+4-,favorite,50,47,31,66,950,198,50,0
Flat5pct,4+4-,favorite,75,0,0,0,1000,0,0,0
Flat100,5+5-,any,5,90,44,49,0,1159,100,0
Flat100,5+5-,any,10,100,49,49,0,1156,100,0
Flat100,5+5-,any,15,90,43,48,0,1004,100,0
Flat100,5+5-,any,20,83,39,47,0,1194,100,0
Flat100,5+5-,any,25,62,27,44,0,1162,100,0
