strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,99,47,47,0,1845,100,0
Flat100,none,any,10,106,51,48,0,1830,100,0
Flat100,none,any,15,104,50,48,0,1776,100,0
Flat100,none,any,20,85,40,47,0,1587,100,0
Flat100,none,any,25,107,55,51,0,1720,100,0
Flat100,none,any,30,125,65,52,0,1818,100,0
Flat100,none,any,35,125,64,51,0,1796,100,0
Flat100,none,any,40,108,54,50,0,1861,100,0
Flat100,none,any,45,99,50,51,0,1575,100,0
Flat100,none,any,50,88,44,50,0,1601,100,0
Flat100,none,any,75,34,14,41,0,1204,100,0
Flat100,none,any,100,55,25,45,0,1174,100,0
Flat100,none,any,125,58,28,48,0,1453,100,0
Flat100,none,any,150,27,10,37,0,1057,100,0
Flat100,none,underdog,5,86,32,37,0,1719,100,0
Flat100,none,underdog,10,95,34,36,0,1600,100,0
Flat100,none,underdog,15,86,31,36,0,1700,100,0
Flat100,none,underdog,20,77,27,35,0,1476,100,0
Flat100,none,underdog,25,64,22,34,0,1676,100,0
Flat100,none,underdog,30,64,22,34,0,1676,100,0
Flat100,none,underdog,35,64,22,34,0,1676,100,0
Flat100,none,underdog,40,54,18,33,0,1776,100,0
Flat100,none,underdog,45,45,14,31,0,1393,100,0
Flat100,none,underdog,50,65,22,34,0,1402,100,0
Flat100,none,underdog,75,19,4,21,0,1120,100,0
Flat100,none,underdog,100,27,7,26,0,1142,100,0
Flat100,none,underdog,125,44,13,30,0,1185,100,0
Flat100,none,underdog,150,21,4,19,0,1204,100,0
Flat100,none,favorite,5,320,214,67,0,1424,100,0
Flat100,none,favorite,10,286,190,66,0,1301,100,0
Flat100,none,favorite,15,257,171,67,0,1196,100,0
Flat100,none,favorite,20,114,74,65,0,1225,100,0
Flat100,none,favorite,25,205,134,65,0,1258,100,0
Flat100,none,favorite,30,284,188,66,0,1172,100,0
Flat100,none,favorite,35,269,177,66,0,1251,100,0
Flat100,none,favorite,40,247,161,65,0,1553,100,0
Flat100,none,favorite,45,250,165,66,0,1787,100,0
