strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,29,10,34,0,1141,100,0
Flat100,none,any,10,37,15,41,0,1183,100,0
Flat100,none,any,15,36,14,39,0,1283,100,0
Flat100,none,any,20,36,14,39,0,1383,100,0
Flat100,none,any,25,30,11,37,0,1371,100,0
Flat100,none,any,30,27,10,37,0,1188,100,0
Flat100,none,any,35,27,10,37,0,1141,100,0
Flat100,none,any,40,18,4,22,0,1000,100,0
Flat100,none,any,45,18,4,22,0,1000,100,0
Flat100,none,any,50,18,4,22,0,1023,100,0
Flat100,none,any,75,13,1,8,0,1123,100,0
Flat100,none,any,100,15,3,20,0,1123,100,0
Flat100,none,any,125,25,7,28,0,1250,100,0
Flat100,none,any,150,14,2,14,0,1030,100,0
Flat100,none,underdog,5,22,5,23,0,1218,100,0
Flat100,none,underdog,10,22,5,23,0,1318,100,0
Flat100,none,underdog,15,22,5,23,0,1318,100,0
Flat100,none,underdog,20,22,5,23,0,1318,100,0
Flat100,none,underdog,25,18,3,17,0,1206,100,0
Flat100,none,underdog,30,15,2,13,0,1023,100,0
Flat100,none,underdog,35,15,2,13,0,1023,100,0
Flat100,none,underdog,40,16,3,19,0,1023,100,0
Flat100,none,underdog,45,16,3,19,0,1023,100,0
Flat100,none,underdog,50,17,3,18,0,1023,100,0
Flat100,none,underdog,75,13,1,8,0,1123,100,0
Flat100,none,underdog,100,27,7,26,0,1123,100,0
Flat100,none,underdog,125,17,2,12,0,1086,100,0
Flat100,none,underdog,150,13,1,8,0,1051,100,0
Flat100,none,favorite,5,316,209,66,0,1249,100,0
Flat100,none,favorite,10,67,40,60,0,1165,100,0
Flat100,none,favorite,15,387,253,65,0,1689,100,0
Flat100,none,favorite,20,341,223,65,0,1916,100,0
Flat100,none,favorite,25,281,182,65,0,1641,100,0
Flat100,none,favorite,30,187,121,65,0,1525,100,0
Flat100,none,favorite,35,157,101,64,0,1439,100,0
Flat100,none,favorite,40,108,68,63,0,1052,100,0
Flat100,none,favorite,45,121,77,64,0,1155,100,0
Flat100,none,favorite,50,99,62,63,0,1174,100,0
Flat100,none,favorite,75,59,32,54,0,1056,100,0
Flat100,none,favorite,100,40,19,48,0,1269,100,0
Flat100,none,favorite,125,23,8,35,0,1194,100,0
Flat100,none,favorite,150,10,2,20,281,800,100,0
Pct5,none,any,5,9907,3834,39,0,1072,54,0
Pct5,none,any,10,9038,3425,38,0,1076,54,0
Pct5,none,any,15,8261,3061,37,0,1132,57,0
Pct5,none,any,20,7430,2663,36,0,1192,60,0
Pct5,none,any,25,6624,2321,35,0,1191,60,0
Pct5,none,any,30,5917,2005,34,0,1091,55,0
Pct5,none,any,35,5195,1711,33,0,1072,54,0
Pct5,none,any,40,4556,1456,32,0,1000,50,0
Pct5,none,any,45,3977,1242,31,0,1000,50,0
Pct5,none,any,50,3395,1024,30,0,1008,50,0
Pct5,none,any,75,1365,352,26,0,1062,53,0
Pct5,none,any,100,466,90,19,0,1061,53,0
Pct5,none,any,125,120,20,17,16,1093,55,0
Pct5,none,any,150,26,3,12,344,671,51,0
Pct5,none,underdog,5,5045,1357,27,0,1101,55,0
Pct5,none,underdog,10,4649,1219,26,0,1159,58,0
Pct5,none,underdog,15,4278,1072,25,0,1159,58,0
Pct5,none,underdog,20,3884,929,24,0,1159,58,0
Pct5,none,underdog,25,3471,809,23,0,1101,55,0
Pct5,none,underdog,30,3140,697,22,0,1008,50,0
Pct5,none,underdog,35,2786,602,22,0,1008,50,0
Pct5,none,underdog,40,2459,513,21,0,1008,50,0
Pct5,none,underdog,45,2144,436,20,0,1008,50,0
Pct5,none,underdog,50,1819,347,19,0,1008,50,0
Pct5,none,underdog,75,773,123,16,0,1061,53,0
Pct5,none,underdog,100,279,35,13,0,1061,53,0
Pct5,none,underdog,125,69,8,12,86,938,51,0
Pct5,none,underdog,150,14,1,7,552,470,51,0
Pct5,none,favorite,5,4292,2226,52,0,1072,54,0
Pct5,none,favorite,10,3869,1977,51,0,1082,54,0
Pct5,none,favorite,15,3513,1781,51,0,1268,63,0
Pct5,none,favorite,20,3136,1558,50,0,1438,72,0
Pct5,none,favorite,25,2784,1360,49,0,1264,63,0
Pct5,none,favorite,30,2444,1171,48,0,1282,64,0
Pct5,none,favorite,35,2125,994,47,0,1234,62,0
Pct5,none,favorite,40,1844,846,46,0,1020,51,0
Pct5,none,favorite,45,1605,717,45,0,1074,54,0
Pct5,none,favorite,50,1378,598,43,0,1086,54,0
Pct5,none,favorite,75,522,200,38,0,1011,51,0
Pct5,none,favorite,100,162,49,30,10,1127,57,0
Pct5,none,favorite,125,45,11,24,233,867,55,0
Pct5,none,favorite,150,10,2,20,691,342,51,0
Flat100,4+4-,any,5,17,4,24,0,1123,100,0
Flat100,4+4-,any,10,19,5,26,0,1123,100,0
Flat100,4+4-,any,15,54,21,39,0,1202,100,0
Flat100,4+4-,any,20,20,5,25,0,1141,100,0
