strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,8073,4376,54,0,10829,100,0
Flat100,none,any,10,13016,7120,55,13844,12757,100,0
Flat100,none,any,15,62,28,45,0,1206,100,0
Flat100,none,any,20,4765,2681,56,21193,6656,100,0
Flat100,none,any,25,2619,1503,57,16864,4035,100,0
Flat100,none,any,30,1445,853,59,14270,1922,100,0
Flat100,none,any,35,766,440,57,6344,1443,100,0
Flat100,none,any,40,417,238,57,3157,1576,100,0
Flat100,none,any,45,240,131,55,1260,2245,100,0
Flat100,none,any,50,141,81,57,1616,1106,100,0
Flat100,none,any,75,9,4,44,763,384,100,0
Flat100,none,underdog,5,2800,1143,41,0,4986,100,0
Flat100,none,underdog,10,6089,2506,41,12723,11962,100,0
Flat100,none,underdog,15,3785,1604,42,19180,6149,100,0
Flat100,none,underdog,20,2222,956,43,16039,3927,100,0
Flat100,none,underdog,25,1206,533,44,11752,3025,100,0
Flat100,none,underdog,30,654,301,46,10118,1898,100,0
Flat100,none,underdog,35,353,157,44,4691,1582,100,0
Flat100,none,underdog,40,185,75,41,1380,1691,100,0
Flat100,none,underdog,45,106,39,37,632,1795,100,0
Flat100,none,underdog,50,55,21,38,1153,773,100,0
Flat100,none,underdog,75,3,0,0,700,300,100,0
Flat100,none,favorite,5,4240,2833,67,0,5135,100,0
Flat100,none,favorite,10,6049,4077,67,0,7876,100,0
Flat100,none,favorite,15,4029,2759,68,6642,5691,100,0
Flat100,none,favorite,20,2368,1629,69,5753,3720,100,0
Flat100,none,favorite,25,1325,918,69,5201,2118,100,0
Flat100,none,favorite,30,743,522,70,4356,1415,100,0
Flat100,none,favorite,35,389,266,68,1876,1036,100,0
Flat100,none,favorite,40,214,150,70,2147,869,100,0
Flat100,none,favorite,45,122,82,67,959,818,100,0
Flat100,none,favorite,50,79,55,70,1228,598,100,0
Flat100,none,favorite,75,5,3,60,976,148,100,0
Flat100,4+4-,any,5,40,14,35,0,1453,100,0
Flat100,4+4-,any,10,3921,2198,56,11056,5383,100,0
Flat100,4+4-,any,15,2453,1413,58,14521,3324,100,0
Flat100,4+4-,any,20,1460,841,58,9833,3684,100,0
Flat100,4+4-,any,25,770,446,58,5123,2771,100,0
Flat100,4+4-,any,30,402,244,61,4799,1201,100,0
Flat100,4+4-,any,35,210,124,59,2663,987,100,0
Flat100,4+4-,any,40,116,68,59,1593,1170,100,0
Flat100,4+4-,any,45,72,38,53,449,1470,100,0
Flat100,4+4-,any,50,40,23,57,1036,757,100,0
Flat100,4+4-,any,75,2,1,50,987,100,100,0
Flat100,4+4-,underdog,5,106,42,40,0,1764,100,0
Flat100,4+4-,underdog,10,1808,756,42,6984,5025,100,0
Flat100,4+4-,underdog,15,1124,498,44,10792,2388,100,0
Flat100,4+4-,underdog,20,668,295,44,6843,2610,100,0
Flat100,4+4-,underdog,25,355,153,43,2177,2656,100,0
Flat100,4+4-,underdog,30,182,85,47,3098,1054,100,0
Flat100,4+4-,underdog,35,94,44,47,2227,800,100,0
Flat100,4+4-,underdog,40,49,21,43,1159,903,100,0
Flat100,4+4-,underdog,45,30,9,30,227,1025,100,0
Flat100,4+4-,underdog,50,17,6,35,786,587,100,0
Flat100,4+4-,underdog,75,1,0,0,900,100,100,0
Flat100,4+4-,favorite,5,21,7,33,0,1005,100,0
Flat100,4+4-,favorite,10,1968,1358,69,3897,3173,100,0
Flat100,4+4-,favorite,15,1234,860,70,3963,2449,100,0
Flat100,4+4-,favorite,20,732,507,69,2712,2259,100,0
Flat100,4+4-,favorite,25,387,273,71,3011,1162,100,0
Flat100,4+4-,favorite,30,203,146,72,1975,620,100,0
Flat100,4+4-,favorite,35,107,72,67,841,839,100,0
Flat100,4+4-,favorite,40,61,41,67,913,757,100,0
Flat100,4+4-,favorite,45,37,24,65,788,592,100,0
Flat100,4+4-,favorite,50,22,16,73,1163,335,100,0
Flat100,4+4-,favorite,75,0,0,0,1000,0,0,0
Flat100,5+5-,any,5,631,350,55,0,3707,100,0
Flat100,5+5-,any,10,600,340,57,755,3241,100,0
Flat100,5+5-,any,15,328,202,62,4211,1091,100,0
Flat100,5+5-,any,20,195,123,63,3183,1128,100,0
Flat100,5+5-,any,25,94,57,61,1739,1299,100,0
Flat100,5+5-,any,30,52,32,62,1429,646,100,0
Flat100,5+5-,any,35,30,18,60,1120,636,100,0
Flat100,5+5-,any,40,13,8,62,835,468,100,0
Flat100,5+5-,any,45,6,3,50,786,276,100,0
Flat100,5+5-,any,50,3,2,67,954,100,100,0
Flat100,5+5-,any,75,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,5,162,61,38,0,2037,100,0
Flat100,5+5-,underdog,10,174,69,40,0,1882,100,0
Flat100,5+5-,underdog,15,153,66,43,1521,1740,100,0
Flat100,5+5-,underdog,20,91,36,40,536,1683,100,0
Flat100,5+5-,underdog,25,50,18,36,233,1617,100,0
Flat100,5+5-,underdog,30,29,11,38,723,989,100,0
Flat100,5+5-,underdog,35,16,6,38,822,654,100,0
Flat100,5+5-,underdog,40,5,1,20,708,400,100,0
Flat100,5+5-,underdog,45,2,0,0,800,200,100,0
Flat100,5+5-,underdog,50,1,0,0,900,100,100,0
Flat100,5+5-,underdog,75,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,5,473,337,71,2668,1666,100,0
Flat100,5+5-,favorite,10,316,231,73,3091,1194,100,0
Flat100,5+5-,favorite,15,165,129,78,3382,413,100,0
Flat100,5+5-,favorite,20,98,83,85,3498,300,100,0
Flat100,5+5-,favorite,25,43,38,88,2421,200,100,0
Flat100,5+5-,favorite,30,22,20,91,1621,100,100,0
Flat100,5+5-,favorite,35,14,12,86,1298,100,100,0
Flat100,5+5-,favorite,40,8,7,88,1127,100,100,0
Flat100,5+5-,favorite,45,4,3,75,986,100,100,0
Flat100,5+5-,favorite,50,2,2,100,1054,0,100,0
Flat100,5+5-,favorite,75,0,0,0,1000,0,0,0
Percent5,none,any,5,5569,3041,55,20,2729,137,0
Percent5,none,any,10,7449,4112,55,20,109924,5497,0
Percent5,none,any,15,8125,4530,56,1106140,681300,10000,0
Percent5,none,any,20,4765,2681,56,79174,467356,10000,0
Percent5,none,any,25,2619,1503,57,132282,305517,10000,0
Percent5,none,any,30,1445,853,59,116893,106341,7990,0
Percent5,none,any,35,766,440,57,5244,3848,342,0
Percent5,none,any,40,417,238,57,1722,1561,137,0
Percent5,none,any,45,240,131,55,823,1821,125,0
Percent5,none,any,50,141,81,57,1127,742,85,0
Percent5,none,any,75,9,4,44,881,194,54,0
Percent5,none,underdog,5,2325,949,41,20,1827,92,0
Percent5,none,underdog,10,2930,1221,42,20,19838,993,0
Percent5,none,underdog,15,3785,1604,42,4108,45251,2281,0
Percent5,none,underdog,20,2222,956,43,18779,37226,2184,0
Percent5,none,underdog,25,1206,533,44,18904,19515,1362,0
Percent5,none,underdog,30,654,301,46,24495,6880,1134,0
Percent5,none,underdog,35,353,157,44,3023,1396,151,0
Percent5,none,underdog,40,185,75,41,826,882,75,0
Percent5,none,underdog,45,106,39,37,658,989,76,0
Percent5,none,underdog,50,55,21,38,945,448,62,0
Percent5,none,underdog,75,3,0,0,857,143,50,0
Percent5,none,favorite,5,5662,3811,67,20,4164,209,0
Percent5,none,favorite,10,5960,4024,68,20,8745,438,0
Percent5,none,favorite,15,4029,2759,68,1295,36177,1848,0
Percent5,none,favorite,20,2368,1629,69,2403,10627,603,0
Percent5,none,favorite,25,1325,918,69,3528,5431,418,0
Percent5,none,favorite,30,743,522,70,3371,3657,345,0
Percent5,none,favorite,35,389,266,68,1206,847,98,0
Percent5,none,favorite,40,214,150,70,1549,711,94,0
Percent5,none,favorite,45,122,82,67,906,513,69,0
Percent5,none,favorite,50,79,55,70,1068,373,70,0
Percent5,none,favorite,75,5,3,60,984,79,53,0
Percent5,4+4-,any,5,2628,1440,55,20,6414,322,0
Percent5,4+4-,any,10,3921,2198,56,1022,157113,7886,0
Percent5,4+4-,any,15,2453,1413,58,45240,235928,10000,0
Percent5,4+4-,any,20,1460,841,58,12168,70865,4010,0
Percent5,4+4-,any,25,770,446,58,3107,13510,822,0
Percent5,4+4-,any,30,402,244,61,4133,3716,378,0
Percent5,4+4-,any,35,210,124,59,1778,1367,156,0
Percent5,4+4-,any,40,116,68,59,1177,952,100,0
