strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,20,6,30,0,1000,100,0
Flat100,none,any,10,20,6,30,0,1000,100,0
Flat100,none,any,15,34,13,38,0,1000,100,0
Flat100,none,any,20,34,13,38,0,1000,100,0
Flat100,none,any,25,70,29,41,0,1289,100,0
Flat100,none,any,30,65,27,42,0,1300,100,0
Flat100,none,any,35,60,24,40,0,1525,100,0
Flat100,none,any,40,54,21,39,0,1455,100,0
Flat100,none,any,45,120,62,52,0,1630,100,0
Flat100,none,any,50,111,57,51,0,1560,100,0
Flat100,none,any,75,70,29,41,0,2006,100,0
Flat100,none,any,100,58,25,43,0,1516,100,0
Flat100,none,any,125,44,17,39,0,1317,100,0
Flat100,none,any,150,68,33,49,0,1078,100,0
Flat100,none,underdog,5,135,51,38,0,2006,100,0
Flat100,none,underdog,10,129,48,37,0,1897,100,0
Flat100,none,underdog,15,114,42,37,0,1709,100,0
Flat100,none,underdog,20,96,35,36,0,1709,100,0
Flat100,none,underdog,25,76,26,34,0,1578,100,0
Flat100,none,underdog,30,67,22,33,0,1474,100,0
Flat100,none,underdog,35,58,18,31,0,1774,100,0
Flat100,none,underdog,40,48,14,29,0,1738,100,0
Flat100,none,underdog,45,48,14,29,0,1738,100,0
Flat100,none,underdog,50,41,11,27,0,1668,100,0
Flat100,none,underdog,75,43,12,28,0,1828,100,0
Flat100,none,underdog,100,35,10,29,0,1338,100,0
Flat100,none,underdog,125,41,11,27,0,1252,100,0
Flat100,none,underdog,150,32,9,28,0,1000,100,0
Flat100,none,favorite,5,52,28,54,0,1012,100,0
Flat100,none,favorite,10,138,87,63,0,1012,100,0
Flat100,none,favorite,15,131,82,63,0,1012,100,0
Flat100,none,favorite,20,111,69,62,0,1012,100,0
Flat100,none,favorite,25,105,65,62,0,1012,100,0
Flat100,none,favorite,30,100,62,62,0,1012,100,0
Flat100,none,favorite,35,93,57,61,0,1012,100,0
Flat100,none,favorite,40,86,52,60,0,1013,100,0
Flat100,none,favorite,45,156,99,63,0,1487,100,0
Flat100,none,favorite,50,199,126,63,0,1677,100,0
Flat100,none,favorite,75,90,54,60,0,1419,100,0
Flat100,none,favorite,100,61,34,56,0,1378,100,0
Flat100,none,favorite,125,78,45,58,0,1065,100,0
Flat100,none,favorite,150,62,35,56,0,1130,100,0
Pct5,none,any,5,24679,11901,48,0,1027,51,0
Pct5,none,any,10,22507,10812,48,0,1136,57,0
Pct5,none,any,15,20455,9762,48,0,1063,53,0
Pct5,none,any,20,18473,8767,47,0,1036,52,0
Pct5,none,any,25,16549,7858,47,0,1070,53,0
Pct5,none,any,30,14652,6938,47,0,1083,54,0
Pct5,none,any,35,12924,6106,47,0,1221,61,0
Pct5,none,any,40,11392,5355,47,0,1184,59,0
Pct5,none,any,45,9921,4671,47,0,1295,65,0
