strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,25720,15915,61.88,322186.0,10176.0,100.0,0
Flat100,none,any,10,24663,15365,62.3,328468.0,9560.0,100.0,0
Flat100,none,any,15,23602,14788,62.66,329179.0,9257.0,100.0,0
Flat100,none,any,20,22513,14223,63.18,334803.0,9299.0,100.0,0
Flat100,none,any,25,21422,13680,63.86,344954.0,6913.0,100.0,0
Flat100,none,any,30,20342,13106,64.43,344698.0,6207.0,100.0,0
Flat100,none,any,35,19314,12524,64.84,342893.0,6139.0,100.0,0
Flat100,none,any,40,18336,11949,65.17,335688.0,6062.0,100.0,0
Flat100,none,any,45,17372,11382,65.52,327842.0,5430.0,100.0,0
Flat100,none,any,50,16404,10825,65.99,320379.0,5251.0,100.0,0
Flat100,none,any,75,12144,8313,68.45,284318.0,4237.0,100.0,0
Flat100,none,any,100,8555,6079,71.06,235787.0,4427.0,100.0,0
Flat100,none,any,125,5730,4178,72.91,173302.0,4338.0,100.0,0
Flat100,none,any,150,3697,2754,74.49,120658.0,3725.0,100.0,0
Flat100,none,any,200,1335,1060,79.4,53977.0,661.0,100.0,0
Flat100,none,any,225,741,608,82.05,32123.0,500.0,100.0,0
Flat100,none,any,250,393,323,82.19,17604.0,470.0,100.0,0
Flat100,none,any,275,191,159,83.25,9431.0,365.0,100.0,0
Flat100,none,any,300,94,82,87.23,6052.0,200.0,100.0,0
Flat100,none,any,325,42,36,85.71,3488.0,200.0,100.0,0
Flat100,none,any,350,19,16,84.21,2123.0,100.0,100.0,0
Flat100,none,any,375,6,5,83.33,1222.0,100.0,100.0,0
Flat100,none,any,400,3,2,66.67,946.0,100.0,100.0,0
Flat100,none,underdog,5,11100,5335,48.06,208995.0,8637.0,100.0,0
Flat100,none,underdog,10,10610,5145,48.49,211958.0,7676.0,100.0,0
Flat100,none,underdog,15,10133,4951,48.86,212211.0,7059.0,100.0,0
Flat100,none,underdog,20,9617,4755,49.44,215835.0,7050.0,100.0,0
Flat100,none,underdog,25,9108,4576,50.24,222692.0,5418.0,100.0,0
Flat100,none,underdog,30,8597,4363,50.75,219979.0,4739.0,100.0,0
