strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,8006,4344,54,0,10529,100,0
Flat100,none,any,10,13018,7121,55,13744,12757,100,0
Flat100,none,any,15,62,28,45,0,1206,100,0
Flat100,none,any,20,4766,2682,56,21193,6656,100,0
Flat100,none,any,25,2620,1504,57,16864,4035,100,0
Flat100,none,any,30,1446,854,59,14270,1922,100,0
Flat100,none,any,35,767,441,57,6344,1443,100,0
Flat100,none,any,40,418,239,57,3157,1576,100,0
Flat100,none,any,45,240,131,55,1260,2245,100,0
Flat100,none,any,50,141,81,57,1616,1106,100,0
Flat100,none,any,75,9,4,44,763,384,100,0
Flat100,none,underdog,5,2424,980,40,0,4686,100,0
Flat100,none,underdog,10,6090,2506,41,12623,11962,100,0
Flat100,none,underdog,15,3785,1604,42,19180,6149,100,0
Flat100,none,underdog,20,2222,956,43,16039,3927,100,0
Flat100,none,underdog,25,1206,533,44,11752,3025,100,0
Flat100,none,underdog,30,654,301,46,10118,1898,100,0
Flat100,none,underdog,35,353,157,44,4691,1582,100,0
Flat100,none,underdog,40,185,75,41,1380,1691,100,0
Flat100,none,underdog,45,106,39,37,632,1795,100,0
Flat100,none,underdog,50,55,21,38,1153,773,100,0
Flat100,none,underdog,75,3,0,0,700,300,100,0
Flat100,none,favorite,5,4244,2837,67,0,5135,100,0
Flat100,none,favorite,10,6050,4078,67,0,7876,100,0
Flat100,none,favorite,15,4030,2760,68,6642,5691,100,0
Flat100,none,favorite,20,2369,1630,69,5753,3720,100,0
Flat100,none,favorite,25,1326,919,69,5201,2118,100,0
Flat100,none,favorite,30,744,523,70,4356,1415,100,0
Flat100,none,favorite,35,390,267,68,1876,1036,100,0
Flat100,none,favorite,40,215,151,70,2147,869,100,0
Flat100,none,favorite,45,122,82,67,959,818,100,0
Flat100,none,favorite,50,79,55,70,1228,598,100,0
Flat100,none,favorite,75,5,3,60,976,148,100,0
Pct5,none,any,5,10469,5644,54,0,2611,131,0
Pct5,none,any,10,13018,7121,55,0,104447,5222,0
Pct5,none,any,15,8126,4531,56,1106140,681300,10000,0
Pct5,none,any,20,4766,2682,56,79174,467356,10000,0
Pct5,none,any,25,2620,1504,57,132282,305517,10000,0
Pct5,none,any,30,1446,854,59,116893,106341,7990,0
Pct5,none,any,35,767,441,57,5244,3848,342,0
Pct5,none,any,40,418,239,57,1722,1561,137,0
Pct5,none,any,45,240,131,55,823,1821,125,0
Pct5,none,any,50,141,81,57,1127,742,85,0
Pct5,none,any,75,9,4,44,881,194,54,0
Pct5,none,underdog,5,5235,2072,40,0,1847,92,0
Pct5,none,underdog,10,6090,2506,41,2,18865,943,0
Pct5,none,underdog,15,3785,1604,42,4108,45251,2281,0
Pct5,none,underdog,20,2222,956,43,18779,37226,2184,0
Pct5,none,underdog,25,1206,533,44,18904,19515,1362,0
Pct5,none,underdog,30,654,301,46,24495,6880,1134,0
Pct5,none,underdog,35,353,157,44,3023,1396,151,0
Pct5,none,underdog,40,185,75,41,826,882,75,0
Pct5,none,underdog,45,106,39,37,658,989,76,0
Pct5,none,underdog,50,55,21,38,945,448,62,0
Pct5,none,underdog,75,3,0,0,857,143,50,0
Pct5,none,favorite,5,9555,6401,67,0,4184,209,0
Pct5,none,favorite,10,6437,4343,67,12,8760,438,0
Pct5,none,favorite,15,4030,2760,68,1295,36177,1848,0
Pct5,none,favorite,20,2369,1630,69,2403,10627,603,0
Pct5,none,favorite,25,1326,919,69,3528,5431,418,0
Pct5,none,favorite,30,744,523,70,3371,3657,345,0
Pct5,none,favorite,35,390,267,68,1206,847,98,0
Pct5,none,favorite,40,215,151,70,1549,711,94,0
Pct5,none,favorite,45,122,82,67,906,513,69,0
Pct5,none,favorite,50,79,55,70,1068,373,70,0
Pct5,none,favorite,75,5,3,60,984,79,53,0
Flat100,4+4-,any,5,60,28,47,0,1000,100,0
Flat100,4+4-,any,10,41,19,46,521,653,100,0
Flat100,4+4-,any,15,31,13,42,209,791,100,0
Flat100,4+4-,any,20,21,8,38,252,895,100,0
Flat100,4+4-,any,25,12,4,33,403,597,100,0
Flat100,4+4-,any,30,8,2,25,480,520,100,0
Flat100,4+4-,any,35,7,1,14,438,562,100,0
Flat100,4+4-,any,40,3,1,33,838,162,100,0
Flat100,4+4-,any,45,2,1,50,938,100,100,0
Flat100,4+4-,any,50,1,0,0,900,100,100,0
Flat100,4+4-,any,75,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,5,32,12,38,558,907,100,0
Flat100,4+4-,underdog,10,21,9,43,1023,407,100,0
Flat100,4+4-,underdog,15,16,5,31,479,605,100,0
Flat100,4+4-,underdog,20,9,2,22,532,560,100,0
Flat100,4+4-,underdog,25,6,0,0,400,600,100,0
Flat100,4+4-,underdog,30,5,0,0,500,500,100,0
Flat100,4+4-,underdog,35,5,0,0,500,500,100,0
Flat100,4+4-,underdog,40,1,0,0,900,100,100,0
Flat100,4+4-,underdog,45,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,50,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,75,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,5,29,17,59,684,442,100,0
Flat100,4+4-,favorite,10,19,10,53,598,457,100,0
