strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,24552,15403,63,346656,9115,100,0
Flat100,none,any,10,22175,14159,64,356453,7834,100,0
Flat100,none,any,15,19905,12955,65,361259,6267,100,0
Flat100,none,any,20,17745,11709,66,350163,6106,100,0
Flat100,none,any,25,15768,10546,67,332185,4712,100,0
Flat100,none,any,30,13897,9462,68,320081,4857,100,0
Flat100,none,any,35,12138,8381,69,296794,4174,100,0
Flat100,none,any,40,10515,7375,70,275316,4553,100,0
Flat100,none,any,45,9000,6421,71,253584,4370,100,0
Flat100,none,any,50,7627,5492,72,221581,3886,100,0
Flat100,none,any,75,3052,2327,76,107436,3069,100,0
Flat100,none,any,100,966,790,82,41696,400,100,0
Flat100,none,any,125,240,204,85,12052,438,100,0
Flat100,none,any,150,50,44,88,3989,200,100,0
Flat100,none,underdog,5,10542,5162,49,222935,7823,100,0
Flat100,none,underdog,10,9424,4733,50,229473,6223,100,0
Flat100,none,underdog,15,8380,4308,51,228673,4662,100,0
Flat100,none,underdog,20,7444,3912,53,221516,4394,100,0
Flat100,none,underdog,25,6553,3505,53,208049,3562,100,0
Flat100,none,underdog,30,5700,3138,55,201872,3622,100,0
Flat100,none,underdog,35,4910,2756,56,185344,3048,100,0
Flat100,none,underdog,40,4185,2407,58,171209,3067,100,0
Flat100,none,underdog,45,3553,2074,58,152984,3115,100,0
Flat100,none,underdog,50,2989,1772,59,133966,2791,100,0
Flat100,none,underdog,75,1120,711,63,63695,1397,100,0
Flat100,none,underdog,100,327,225,69,23149,400,100,0
Flat100,none,underdog,125,81,57,70,6784,300,100,0
Flat100,none,underdog,150,21,16,76,2854,200,100,0
Flat100,none,favorite,5,13087,9714,74,118718,3260,100,0
Flat100,none,favorite,10,11915,8942,75,121314,3506,100,0
Flat100,none,favorite,15,10777,8212,76,127274,2728,100,0
Flat100,none,favorite,20,9630,7406,77,123847,2808,100,0
Flat100,none,favorite,25,8624,6687,78,118226,2351,100,0
Flat100,none,favorite,30,7674,6012,78,113347,1907,100,0
Flat100,none,favorite,35,6767,5344,79,106165,1581,100,0
Flat100,none,favorite,40,5927,4718,80,98812,1823,100,0
Flat100,none,favorite,45,5106,4130,81,95260,1330,100,0
Flat100,none,favorite,50,4349,3535,81,83024,1404,100,0
Flat100,none,favorite,75,1823,1546,85,42593,1483,100,0
Flat100,none,favorite,100,605,543,90,18847,500,100,0
Flat100,none,favorite,125,149,141,95,6145,138,100,0
Flat100,none,favorite,150,28,27,96,2048,100,100,0
Pct5,none,any,5,24552,15403,63,33467257,911500,10000,0
Pct5,none,any,10,22175,14159,64,34468977,783400,10000,0
Pct5,none,any,15,19905,12955,65,34979984,626700,10000,0
Pct5,none,any,20,17745,11709,66,33904047,610600,10000,0
Pct5,none,any,25,15768,10546,67,32118447,471200,10000,0
Pct5,none,any,30,13897,9462,68,30918393,485700,10000,0
Pct5,none,any,35,12138,8381,69,28606968,417400,10000,0
Pct5,none,any,40,10515,7375,70,26473004,455300,10000,0
Pct5,none,any,45,9000,6421,71,24308309,437000,10000,0
Pct5,none,any,50,7627,5492,72,21113926,388600,10000,0
Pct5,none,any,75,3052,2327,76,9724124,306900,10000,0
Pct5,none,any,100,966,790,82,3150266,40000,10000,0
Pct5,none,any,125,240,204,85,197932,43083,10000,0
Pct5,none,any,150,50,44,88,4176,197,197,0
Pct5,none,underdog,5,10542,5162,49,21034710,782300,10000,0
Pct5,none,underdog,10,9424,4733,50,21762555,622300,10000,0
Pct5,none,underdog,15,8380,4308,51,21671784,466200,10000,0
Pct5,none,underdog,20,7444,3912,53,20990680,439400,10000,0
Pct5,none,underdog,25,6553,3505,53,19660744,356200,10000,0
Pct5,none,underdog,30,5700,3138,55,19061244,362200,10000,0
Pct5,none,underdog,35,4910,2756,56,17420242,304800,10000,0
Pct5,none,underdog,40,4185,2407,58,16025926,306700,10000,0
Pct5,none,underdog,45,3553,2074,58,14233135,311500,10000,0
Pct5,none,underdog,50,2989,1772,59,12303021,279100,10000,0
Pct5,none,underdog,75,1120,711,63,5322292,139700,10000,0
Pct5,none,underdog,100,327,225,69,1275471,36000,10000,0
Pct5,none,underdog,125,81,57,70,14884,2299,825,0
Pct5,none,underdog,150,21,16,76,2389,113,113,0
Pct5,none,favorite,5,13087,9714,74,10793565,326000,10000,0
