strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,38,17,45,0,1022,100,0
Flat100,none,any,10,72,40,56,678,660,100,0
Flat100,none,any,15,67,37,55,792,677,100,0
Flat100,none,any,20,59,36,61,1384,460,100,0
Flat100,none,any,25,53,31,58,1130,530,100,0
Flat100,none,any,30,52,31,60,1230,430,100,0
Flat100,none,any,35,48,28,58,1192,430,100,0
Flat100,none,any,40,42,24,57,1113,430,100,0
Flat100,none,any,45,39,23,59,1228,430,100,0
Flat100,none,any,50,30,17,57,1136,500,100,0
Flat100,none,any,75,10,5,50,863,395,100,0
Flat100,none,any,100,3,1,33,905,100,100,0
Flat100,none,any,125,0,0,0,1000,0,0,0
Flat100,none,any,150,0,0,0,1000,0,0,0
Flat100,none,underdog,5,39,13,33,198,802,100,0
Flat100,none,underdog,10,32,12,38,702,500,100,0
Flat100,none,underdog,15,31,12,39,802,492,100,0
Flat100,none,underdog,20,26,11,42,1094,400,100,0
Flat100,none,underdog,25,25,10,40,909,487,100,0
Flat100,none,underdog,30,25,10,40,909,487,100,0
Flat100,none,underdog,35,25,10,40,909,487,100,0
Flat100,none,underdog,40,21,8,38,900,400,100,0
Flat100,none,underdog,45,19,8,42,1100,400,100,0
Flat100,none,underdog,50,17,6,35,885,400,100,0
Flat100,none,underdog,75,6,2,33,801,295,100,0
Flat100,none,underdog,100,3,1,33,905,100,100,0
Flat100,none,underdog,125,0,0,0,1000,0,0,0
Flat100,none,underdog,150,0,0,0,1000,0,0,0
Flat100,none,favorite,5,44,29,66,680,622,100,0
Flat100,none,favorite,10,39,27,69,891,465,100,0
Flat100,none,favorite,15,35,24,69,905,465,100,0
Flat100,none,favorite,20,32,24,75,1205,365,100,0
Flat100,none,favorite,25,27,20,74,1136,365,100,0
Flat100,none,favorite,30,26,20,77,1236,365,100,0
Flat100,none,favorite,35,22,17,77,1198,300,100,0
Flat100,none,favorite,40,20,15,75,1128,300,100,0
Flat100,none,favorite,45,20,15,75,1128,300,100,0
Flat100,none,favorite,50,13,11,85,1251,100,100,0
Flat100,none,favorite,75,4,3,75,1062,100,100,0
Flat100,none,favorite,100,0,0,0,1000,0,0,0
Flat100,none,favorite,125,0,0,0,1000,0,0,0
Flat100,none,favorite,150,0,0,0,1000,0,0,0
Pct5,none,any,5,84,43,51,540,471,51,0
