strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,14,2,14,0,1000,100,0
Flat100,none,any,10,12,1,8,0,1000,100,0
Flat100,none,any,15,12,1,8,0,1000,100,0
Flat100,none,any,20,12,1,8,0,1000,100,0
Flat100,none,any,25,12,1,8,0,1000,100,0
Flat100,none,any,30,14,2,14,0,1000,100,0
Flat100,none,any,35,28,9,32,0,1000,100,0
Flat100,none,any,40,35,14,40,411,738,100,0
Flat100,none,any,45,33,14,42,611,738,100,0
Flat100,none,any,50,30,13,43,703,596,100,0
Flat100,none,any,75,11,3,27,432,625,100,0
Flat100,none,any,100,5,1,20,657,400,100,0
Flat100,none,any,125,1,1,100,1057,0,100,0
Flat100,none,any,150,0,0,0,1000,0,0,0
Flat100,none,underdog,5,14,2,14,0,1000,100,0
Flat100,none,underdog,10,10,0,0,0,1000,100,0
Flat100,none,underdog,15,10,0,0,0,1000,100,0
Flat100,none,underdog,20,10,0,0,0,1000,100,0
Flat100,none,underdog,25,14,2,14,0,1000,100,0
Flat100,none,underdog,30,14,2,14,0,1000,100,0
Flat100,none,underdog,35,28,8,29,271,754,100,0
Flat100,none,underdog,40,25,8,32,571,496,100,0
Flat100,none,underdog,45,23,8,35,771,496,100,0
Flat100,none,underdog,50,20,7,35,863,396,100,0
Flat100,none,underdog,75,7,1,14,501,499,100,0
Flat100,none,underdog,100,4,0,0,600,400,100,0
Flat100,none,underdog,125,0,0,0,1000,0,0,0
Flat100,none,underdog,150,0,0,0,1000,0,0,0
Flat100,none,favorite,5,24,14,58,602,641,100,0
Flat100,none,favorite,10,21,13,62,790,453,100,0
Flat100,none,favorite,15,18,11,61,833,415,100,0
Flat100,none,favorite,20,17,10,59,823,425,100,0
Flat100,none,favorite,25,15,8,53,666,521,100,0
Flat100,none,favorite,30,14,8,57,766,421,100,0
Flat100,none,favorite,35,11,6,55,740,400,100,0
Flat100,none,favorite,40,10,6,60,840,300,100,0
Flat100,none,favorite,45,10,6,60,840,300,100,0
Flat100,none,favorite,50,10,6,60,840,300,100,0
Flat100,none,favorite,75,4,2,50,931,200,100,0
Flat100,none,favorite,100,1,1,100,1057,0,100,0
Flat100,none,favorite,125,1,1,100,1057,0,100,0
Flat100,none,favorite,150,0,0,0,1000,0,0,0
Pct5,none,any,5,84,35,42,496,580,50,0
Pct5,none,any,10,77,32,42,549,559,50,0
Pct5,none,any,15,70,28,40,466,583,50,0
Pct5,none,any,20,63,24,38,447,600,50,0
Pct5,none,any,25,56,19,34,383,635,50,0
Pct5,none,any,30,49,17,35,444,578,50,0
Pct5,none,any,35,40,15,38,597,412,50,0
Pct5,none,any,40,35,14,40,703,326,50,0
Pct5,none,any,45,33,14,42,779,326,50,0
Pct5,none,any,50,30,13,43,819,265,50,0
Pct5,none,any,75,11,3,27,743,277,50,0
Pct5,none,any,100,5,1,20,838,185,50,0
Pct5,none,any,125,1,1,100,1028,0,50,0
Pct5,none,any,150,0,0,0,1000,0,0,0
Pct5,none,underdog,5,59,20,34,591,512,50,0
Pct5,none,underdog,10,55,18,33,594,513,50,0
Pct5,none,underdog,15,51,16,31,492,517,50,0
Pct5,none,underdog,20,45,13,29,474,534,50,0
Pct5,none,underdog,25,40,10,25,440,565,50,0
Pct5,none,underdog,30,34,8,24,484,521,50,0
Pct5,none,underdog,35,28,8,29,658,348,50,0
Pct5,none,underdog,40,25,8,32,767,240,50,0
Pct5,none,underdog,45,23,8,35,850,227,50,0
Pct5,none,underdog,50,20,7,35,894,186,50,0
Pct5,none,underdog,75,7,1,14,772,228,50,0
Pct5,none,underdog,100,4,0,0,815,185,50,0
Pct5,none,underdog,125,0,0,0,1000,0,0,0
Pct5,none,underdog,150,0,0,0,1000,0,0,0
Pct5,none,favorite,5,24,14,58,805,284,50,0
Pct5,none,favorite,10,21,13,62,887,211,50,0
Pct5,none,favorite,15,18,11,61,908,193,50,0
Pct5,none,favorite,20,17,10,59,903,197,50,0
Pct5,none,favorite,25,15,8,53,836,237,50,0
Pct5,none,favorite,30,14,8,57,880,197,50,0
Pct5,none,favorite,35,11,6,55,871,185,50,0
Pct5,none,favorite,40,10,6,60,917,143,50,0
Pct5,none,favorite,45,10,6,60,917,143,50,0
Pct5,none,favorite,50,10,6,60,917,143,50,0
Pct5,none,favorite,75,4,2,50,963,98,50,0
Pct5,none,favorite,100,1,1,100,1028,0,50,0
Pct5,none,favorite,125,1,1,100,1028,0,50,0
Pct5,none,favorite,150,0,0,0,1000,0,0,0
Flat100,4+4-,any,5,21,7,33,250,832,100,0
Flat100,4+4-,any,10,10,4,40,757,325,100,0
Flat100,4+4-,any,15,4,1,25,757,300,100,0
Flat100,4+4-,any,20,1,1,100,1057,0,100,0
Flat100,4+4-,any,25,0,0,0,1000,0,0,0
Flat100,4+4-,any,30,0,0,0,1000,0,0,0
Flat100,4+4-,any,35,0,0,0,1000,0,0,0
Flat100,4+4-,any,40,0,0,0,1000,0,0,0
Flat100,4+4-,any,45,0,0,0,1000,0,0,0
Flat100,4+4-,any,50,0,0,0,1000,0,0,0
Flat100,4+4-,any,75,0,0,0,1000,0,0,0
Flat100,4+4-,any,100,0,0,0,1000,0,0,0
Flat100,4+4-,any,125,0,0,0,1000,0,0,0
Flat100,4+4-,any,150,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,5,16,4,25,303,722,100,0
Flat100,4+4-,underdog,10,7,2,29,726,300,100,0
Flat100,4+4-,underdog,15,2,0,0,800,200,100,0
Flat100,4+4-,underdog,20,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,25,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,30,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,35,0,0,0,1000,0,0,0
