strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,130,68,52,1272,1133,100,0
Flat100,none,any,10,116,58,50,1019,1235,100,0
Flat100,none,any,15,105,54,51,1368,875,100,0
Flat100,none,any,20,97,51,53,1608,837,100,0
Flat100,none,any,25,90,48,53,1800,737,100,0
Flat100,none,any,30,82,46,56,2130,416,100,0
Flat100,none,any,35,73,42,58,2414,307,100,0
Flat100,none,any,40,64,37,58,2426,267,100,0
Flat100,none,any,45,53,31,58,2235,400,100,0
Flat100,none,any,50,47,27,57,1929,400,100,0
Flat100,none,any,75,17,10,59,1583,200,100,0
Flat100,none,any,100,2,2,100,1220,0,100,0
Flat100,none,any,125,1,1,100,1095,0,100,0
Flat100,none,any,150,0,0,0,1000,0,0,0
Flat100,none,underdog,5,62,28,45,1872,546,100,0
Flat100,none,underdog,10,56,25,45,1836,662,100,0
Flat100,none,underdog,15,50,23,46,1955,520,100,0
Flat100,none,underdog,20,47,22,47,2045,462,100,0
Flat100,none,underdog,25,44,21,48,2130,400,100,0
Flat100,none,underdog,30,40,20,50,2200,320,100,0
Flat100,none,underdog,35,38,20,53,2400,300,100,0
Flat100,none,underdog,40,35,19,54,2440,220,100,0
Flat100,none,underdog,45,27,15,56,2259,200,100,0
Flat100,none,underdog,50,22,12,55,2018,200,100,0
Flat100,none,underdog,75,13,7,54,1482,200,100,0
Flat100,none,underdog,100,2,2,100,1220,0,100,0
Flat100,none,underdog,125,1,1,100,1095,0,100,0
Flat100,none,underdog,150,0,0,0,1000,0,0,0
Flat100,none,favorite,5,62,38,61,625,749,100,0
Flat100,none,favorite,10,54,31,57,408,742,100,0
Flat100,none,favorite,15,49,29,59,638,608,100,0
Flat100,none,favorite,20,44,27,61,788,570,100,0
Flat100,none,favorite,25,41,25,61,795,570,100,0
Flat100,none,favorite,30,37,24,65,1055,382,100,0
Flat100,none,favorite,35,31,20,65,1039,456,100,0
Flat100,none,favorite,40,26,17,65,1099,333,100,0
Flat100,none,favorite,45,23,15,65,1089,313,100,0
Flat100,none,favorite,50,22,14,64,1024,313,100,0
Flat100,none,favorite,75,4,3,75,1101,100,100,0
Flat100,none,favorite,100,0,0,0,1000,0,0,0
Flat100,none,favorite,125,0,0,0,1000,0,0,0
Flat100,none,favorite,150,0,0,0,1000,0,0,0
Pct5,none,any,5,130,68,52,952,826,89,0
Pct5,none,any,10,116,58,50,849,809,83,0
Pct5,none,any,15,105,54,51,1025,633,83,0
Pct5,none,any,20,97,51,53,1167,681,92,0
Pct5,none,any,25,90,48,53,1294,653,97,0
Pct5,none,any,30,82,46,56,1548,399,97,0
Pct5,none,any,35,73,42,58,1798,326,105,0
Pct5,none,any,40,64,37,58,1827,277,101,0
Pct5,none,any,45,53,31,58,1690,381,100,0
Pct5,none,any,50,47,27,57,1466,330,86,0
Pct5,none,any,75,17,10,59,1291,139,72,0
Pct5,none,any,100,2,2,100,1113,0,53,0
Pct5,none,any,125,1,1,100,1048,0,50,0
Pct5,none,any,150,0,0,0,1000,0,0,0
Pct5,none,underdog,5,62,28,45,1355,465,91,0
Pct5,none,underdog,10,56,25,45,1342,560,95,0
Pct5,none,underdog,15,50,23,46,1439,401,92,0
Pct5,none,underdog,20,47,22,47,1511,421,97,0
Pct5,none,underdog,25,44,21,48,1583,361,97,0
Pct5,none,underdog,30,40,20,50,1656,276,97,0
Pct5,none,underdog,35,38,20,53,1835,305,107,0
Pct5,none,underdog,40,35,19,54,1883,203,104,0
Pct5,none,underdog,45,27,15,56,1746,194,97,0
Pct5,none,underdog,50,22,12,55,1564,174,87,0
Pct5,none,underdog,75,13,7,54,1231,133,68,0
Pct5,none,underdog,100,2,2,100,1113,0,53,0
Pct5,none,underdog,125,1,1,100,1048,0,50,0
Pct5,none,underdog,150,0,0,0,1000,0,0,0
Pct5,none,favorite,5,62,38,61,792,389,59,0
Pct5,none,favorite,10,54,31,57,713,346,53,0
Pct5,none,favorite,15,49,29,59,803,283,51,0
