strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,129,82,64,3308,501,100,0
Flat100,none,any,10,114,74,65,3204,401,100,0
Flat100,none,any,15,101,65,64,2869,528,100,0
Flat100,none,any,20,89,57,64,2548,613,100,0
Flat100,none,any,25,80,54,68,2910,413,100,0
Flat100,none,any,30,67,49,73,3461,413,100,0
Flat100,none,any,35,58,42,72,3329,413,100,0
Flat100,none,any,40,51,36,71,3016,313,100,0
Flat100,none,any,45,44,32,73,2998,233,100,0
Flat100,none,any,50,36,26,72,2576,213,100,0
Flat100,none,any,75,9,9,100,1692,0,100,0
Flat100,none,any,100,1,1,100,1028,0,100,0
Flat100,none,any,125,1,1,100,1028,0,100,0
Flat100,none,any,150,0,0,0,1000,0,0,0
Flat100,none,underdog,5,57,32,56,2819,405,100,0
Flat100,none,underdog,10,48,28,58,2795,305,100,0
Flat100,none,underdog,15,43,25,58,2601,328,100,0
Flat100,none,underdog,20,36,21,58,2431,328,100,0
Flat100,none,underdog,25,31,20,65,2730,300,100,0
Flat100,none,underdog,30,27,20,74,3130,200,100,0
Flat100,none,underdog,35,26,20,77,3230,200,100,0
Flat100,none,underdog,40,25,19,76,3095,200,100,0
Flat100,none,underdog,45,23,17,74,2853,200,100,0
Flat100,none,underdog,50,18,13,72,2456,200,100,0
Flat100,none,underdog,75,3,3,100,1436,0,100,0
Flat100,none,underdog,100,0,0,0,1000,0,0,0
Flat100,none,underdog,125,0,0,0,1000,0,0,0
Flat100,none,underdog,150,0,0,0,1000,0,0,0
Flat100,none,favorite,5,66,46,70,1335,369,100,0
Flat100,none,favorite,10,61,43,70,1345,397,100,0
Flat100,none,favorite,15,53,37,70,1204,400,100,0
Flat100,none,favorite,20,49,34,69,1143,400,100,0
Flat100,none,favorite,25,45,32,71,1206,300,100,0
Flat100,none,favorite,30,36,27,75,1357,300,100,0
Flat100,none,favorite,35,28,20,71,1125,300,100,0
Flat100,none,favorite,40,22,15,68,947,260,100,0
Flat100,none,favorite,45,17,13,76,1171,160,100,0
Flat100,none,favorite,50,16,12,75,1133,160,100,0
Flat100,none,favorite,75,5,5,100,1169,0,100,0
Flat100,none,favorite,100,1,1,100,1028,0,100,0
Flat100,none,favorite,125,1,1,100,1028,0,100,0
