strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,164,82,50,0,1897,100,0
Flat100,none,any,10,167,84,50,0,1977,100,0
Flat100,none,any,15,182,92,51,0,2083,100,0
Flat100,none,any,20,143,73,51,0,1765,100,0
Flat100,none,any,25,147,75,51,0,1765,100,0
Flat100,none,any,30,161,82,51,0,1865,100,0
Flat100,none,any,35,161,83,52,0,1884,100,0
Flat100,none,any,40,155,79,51,0,1974,100,0
Flat100,none,any,45,148,75,51,0,1778,100,0
Flat100,none,any,50,150,76,51,0,2107,100,0
Flat100,none,any,75,112,56,50,0,1643,100,0
Flat100,none,any,100,73,36,49,0,1359,100,0
Flat100,none,any,125,36,16,44,0,1000,100,0
Flat100,none,any,150,127,67,53,0,1952,100,0
Flat100,none,any,200,371,196,53,0,3758,100,0
Flat100,none,any,225,297,161,54,0,2759,100,0
Flat100,none,any,250,629,349,55,2705,2439,100,0
Flat100,none,any,275,376,211,56,3162,1208,100,0
Flat100,none,any,300,63,30,48,0,1212,100,0
Flat100,none,any,325,47,20,43,0,1254,100,0
Flat100,none,any,350,80,48,60,1771,800,100,0
Flat100,none,any,375,46,24,52,1236,929,100,0
Flat100,none,any,400,21,11,52,1338,400,100,0
Flat100,none,underdog,5,92,34,37,0,1809,100,0
Flat100,none,underdog,10,91,34,37,0,1889,100,0
Flat100,none,underdog,15,86,31,36,0,1795,100,0
Flat100,none,underdog,20,75,27,36,0,1506,100,0
Flat100,none,underdog,25,75,27,36,0,1506,100,0
Flat100,none,underdog,30,74,27,36,0,1506,100,0
Flat100,none,underdog,35,78,29,37,0,1545,100,0
Flat100,none,underdog,40,70,25,36,0,1575,100,0
Flat100,none,underdog,45,68,24,35,0,1506,100,0
Flat100,none,underdog,50,71,25,35,0,1663,100,0
Flat100,none,underdog,75,53,18,34,0,1537,100,0
Flat100,none,underdog,100,31,9,29,0,1174,100,0
Flat100,none,underdog,125,13,1,8,0,1000,100,0
Flat100,none,underdog,150,42,12,29,0,1600,100,0
Flat100,none,underdog,200,185,69,37,0,2427,100,0
Flat100,none,underdog,225,118,44,37,0,1805,100,0
Flat100,none,underdog,250,126,48,38,0,2226,100,0
Flat100,none,underdog,275,107,41,38,0,1747,100,0
Flat100,none,underdog,300,44,14,32,0,1091,100,0
Flat100,none,underdog,325,27,7,26,0,1191,100,0
Flat100,none,underdog,350,37,16,43,1396,819,100,0
Flat100,none,underdog,375,27,12,44,1470,652,100,0
Flat100,none,underdog,400,13,6,46,1448,352,100,0
Flat100,none,favorite,5,71,40,56,0,1164,100,0
Flat100,none,favorite,10,71,40,56,0,1164,100,0
Flat100,none,favorite,15,79,46,58,0,1164,100,0
Flat100,none,favorite,20,82,48,59,0,1164,100,0
Flat100,none,favorite,25,81,47,58,0,1164,100,0
Flat100,none,favorite,30,354,234,66,0,1567,100,0
Flat100,none,favorite,35,349,230,66,0,1850,100,0
Flat100,none,favorite,40,900,599,67,0,3194,100,0
Flat100,none,favorite,45,820,545,66,0,3148,100,0
Flat100,none,favorite,50,851,568,67,0,3537,100,0
Flat100,none,favorite,75,859,579,67,0,4632,100,0
Flat100,none,favorite,100,756,507,67,0,4940,100,0
Flat100,none,favorite,125,2912,1961,67,0,4867,100,0
Flat100,none,favorite,150,387,259,67,0,2896,100,0
Flat100,none,favorite,200,175,113,65,0,2047,100,0
Flat100,none,favorite,225,521,360,69,1948,1480,100,0
Flat100,none,favorite,250,308,214,69,2017,993,100,0
Flat100,none,favorite,275,181,122,67,1031,1008,100,0
Flat100,none,favorite,300,101,70,69,1133,694,100,0
Flat100,none,favorite,325,59,40,68,955,512,100,0
Flat100,none,favorite,350,42,31,74,1290,300,100,0
Flat100,none,favorite,375,19,12,63,766,408,100,0
Flat100,none,favorite,400,8,5,62,890,170,100,0
Flat100,4+4-,any,5,71,34,48,0,1219,100,0
Flat100,4+4-,any,10,71,34,48,0,1219,100,0
Flat100,4+4-,any,15,71,34,48,0,1219,100,0
Flat100,4+4-,any,20,71,34,48,0,1219,100,0
Flat100,4+4-,any,25,71,34,48,0,1219,100,0
Flat100,4+4-,any,30,71,34,48,0,1219,100,0
Flat100,4+4-,any,35,71,34,48,0,1219,100,0
Flat100,4+4-,any,40,71,34,48,0,1219,100,0
Flat100,4+4-,any,45,71,34,48,0,1219,100,0
Flat100,4+4-,any,50,71,34,48,0,1219,100,0
Flat100,4+4-,any,75,61,29,48,0,1017,100,0
Flat100,4+4-,any,100,50,23,46,0,1117,100,0
Flat100,4+4-,any,125,25,10,40,0,1000,100,0
Flat100,4+4-,any,150,27,11,41,0,1000,100,0
Flat100,4+4-,any,200,1479,817,55,5034,2789,100,0
Flat100,4+4-,any,225,944,531,56,5532,2063,100,0
Flat100,4+4-,any,250,575,322,56,3397,1697,100,0
Flat100,4+4-,any,275,358,201,56,3385,853,100,0
Flat100,4+4-,any,300,173,92,53,0,1212,100,0
Flat100,4+4-,any,325,45,19,42,0,1219,100,0
Flat100,4+4-,any,350,76,45,59,1743,713,100,0
Flat100,4+4-,any,375,43,22,51,1304,842,100,0
Flat100,4+4-,any,400,21,11,52,1338,400,100,0
Flat100,4+4-,underdog,5,85,32,38,0,1323,100,0
Flat100,4+4-,underdog,10,85,32,38,0,1323,100,0
Flat100,4+4-,underdog,15,85,32,38,0,1323,100,0
Flat100,4+4-,underdog,20,85,32,38,0,1323,100,0
Flat100,4+4-,underdog,25,85,32,38,0,1323,100,0
Flat100,4+4-,underdog,30,85,32,38,0,1323,100,0
Flat100,4+4-,underdog,35,85,32,38,0,1323,100,0
Flat100,4+4-,underdog,40,83,31,37,0,1323,100,0
Flat100,4+4-,underdog,45,49,16,33,0,1207,100,0
Flat100,4+4-,underdog,50,49,16,33,0,1207,100,0
Flat100,4+4-,underdog,75,43,14,33,0,1137,100,0
Flat100,4+4-,underdog,100,24,6,25,0,1000,100,0
Flat100,4+4-,underdog,125,12,1,8,0,1000,100,0
Flat100,4+4-,underdog,150,35,10,29,0,1239,100,0
Flat100,4+4-,underdog,200,166,61,37,0,2140,100,0
Flat100,4+4-,underdog,225,180,70,39,0,2023,100,0
Flat100,4+4-,underdog,250,113,42,37,0,2094,100,0
Flat100,4+4-,underdog,275,105,40,38,0,1616,100,0
Flat100,4+4-,underdog,300,42,13,31,0,1091,100,0
Flat100,4+4-,underdog,325,25,6,24,0,1191,100,0
Flat100,4+4-,underdog,350,35,15,43,1400,719,100,0
Flat100,4+4-,underdog,375,26,12,46,1570,552,100,0
Flat100,4+4-,underdog,400,13,6,46,1448,352,100,0
Flat100,4+4-,favorite,5,453,299,66,0,2777,100,0
Flat100,4+4-,favorite,10,453,299,66,0,2777,100,0
Flat100,4+4-,favorite,15,453,299,66,0,2777,100,0
Flat100,4+4-,favorite,20,465,308,66,0,2877,100,0
Flat100,4+4-,favorite,25,465,308,66,0,2877,100,0
Flat100,4+4-,favorite,30,447,295,66,0,2758,100,0
Flat100,4+4-,favorite,35,447,295,66,0,2758,100,0
Flat100,4+4-,favorite,40,450,297,66,0,2758,100,0
Flat100,4+4-,favorite,45,439,289,66,0,2680,100,0
Flat100,4+4-,favorite,50,430,283,66,0,2538,100,0
Flat100,4+4-,favorite,75,409,270,66,0,2426,100,0
Flat100,4+4-,favorite,100,531,356,67,0,3382,100,0
Flat100,4+4-,favorite,125,2108,1438,68,3819,2308,100,0
Flat100,4+4-,favorite,150,1548,1053,68,2444,3037,100,0
Flat100,4+4-,favorite,200,701,480,68,2055,1610,100,0
Flat100,4+4-,favorite,225,456,315,69,2022,1296,100,0
Flat100,4+4-,favorite,250,282,198,70,2320,1015,100,0
