strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Bankroll5pct,none,any,5,25276,14811,59,16047362,1188300,10000,0
Bankroll5pct,none,any,10,23776,14079,59,17315939,946300,10000,0
Bankroll5pct,none,any,15,22304,13289,60,17393531,910500,10000,0
Bankroll5pct,none,any,20,20929,12593,60,18679759,910100,10000,0
Bankroll5pct,none,any,25,19568,11887,61,19487220,826000,10000,0
Bankroll5pct,none,any,30,18159,11104,61,19236839,685600,10000,0
Bankroll5pct,none,any,35,16848,10390,62,19311194,601600,10000,0
Bankroll5pct,none,any,40,15554,9674,62,18937224,576600,10000,0
Bankroll5pct,none,any,45,14332,8981,63,18317617,472000,10000,0
Bankroll5pct,none,any,50,13165,8307,63,17474615,470100,10000,0
Bankroll5pct,none,any,75,8038,5281,66,13264425,408700,10000,0
Bankroll5pct,none,any,100,4560,3063,67,7918416,231600,10000,0
Bankroll5pct,none,any,125,2391,1660,69,4692233,234800,10000,0
Bankroll5pct,none,any,150,1184,865,73,2443412,86400,10000,0
Bankroll5pct,none,any,200,242,198,82,117561,15267,6392,0
Bankroll5pct,none,any,250,29,24,83,1439,138,71,0
Bankroll5pct,none,any,300,2,2,100,1031,0,51,0
Bankroll5pct,none,any,350,0,0,0,1000,0,0,0
Bankroll5pct,none,any,400,0,0,0,1000,0,0,0
Bankroll5pct,none,favorite,5,13061,9288,71,4878755,556000,10000,0
Bankroll5pct,none,favorite,10,12344,8850,72,5514534,447900,10000,0
Bankroll5pct,none,favorite,15,11629,8368,72,5567347,423000,10000,0
Bankroll5pct,none,favorite,20,10951,7930,72,5920955,456900,10000,0
Bankroll5pct,none,favorite,25,10284,7492,73,6117155,466000,10000,0
Bankroll5pct,none,favorite,30,9580,7007,73,6134698,436100,10000,0
Bankroll5pct,none,favorite,35,8937,6562,73,5981368,462700,10000,0
Bankroll5pct,none,favorite,40,8302,6128,74,5886510,410400,10000,0
Bankroll5pct,none,favorite,45,7677,5690,74,5696116,319600,10000,0
Bankroll5pct,none,favorite,50,7087,5280,75,5584132,297900,10000,0
Bankroll5pct,none,favorite,75,4440,3401,77,4399676,297000,10000,0
Bankroll5pct,none,favorite,100,2573,1987,77,2364986,198100,10000,0
Bankroll5pct,none,favorite,125,1367,1073,78,1092500,134200,10000,0
Bankroll5pct,none,favorite,150,707,582,82,513584,51300,10000,0
Bankroll5pct,none,favorite,200,155,138,89,7165,755,387,0
Bankroll5pct,none,favorite,250,20,17,85,1162,73,58,0
Bankroll5pct,none,favorite,300,2,2,100,1031,0,51,0
Bankroll5pct,none,favorite,350,0,0,0,1000,0,0,0
Bankroll5pct,none,favorite,400,0,0,0,1000,0,0,0
Bankroll5pct,none,underdog,5,11258,4995,44,9655688,946600,10000,0
Bankroll5pct,none,underdog,10,10532,4729,45,10272893,825600,10000,0
Bankroll5pct,none,underdog,15,9817,4440,45,10278641,790800,10000,0
Bankroll5pct,none,underdog,20,9164,4201,46,11158477,730800,10000,0
Bankroll5pct,none,underdog,25,8522,3959,46,11758915,664800,10000,0
Bankroll5pct,none,underdog,30,7874,3690,47,11476122,528100,10000,0
Bankroll5pct,none,underdog,35,7253,3443,47,11641559,377900,10000,0
Bankroll5pct,none,underdog,40,6644,3188,48,11378389,407100,10000,0
Bankroll5pct,none,underdog,45,6086,2953,49,10933667,298900,10000,0
Bankroll5pct,none,underdog,50,5556,2718,49,10308101,315400,10000,0
Bankroll5pct,none,underdog,75,3295,1691,51,7344886,285600,10000,0
Bankroll5pct,none,underdog,100,1803,951,53,4004388,163400,10000,0
Bankroll5pct,none,underdog,125,922,516,56,2321039,136300,10000,0
Bankroll5pct,none,underdog,150,432,250,58,798060,79000,10000,0
Bankroll5pct,none,underdog,200,72,51,71,15330,1032,691,0
Bankroll5pct,none,underdog,250,5,4,80,1144,58,58,0
Bankroll5pct,none,underdog,300,0,0,0,1000,0,0,0
Bankroll5pct,none,underdog,350,0,0,0,1000,0,0,0
Bankroll5pct,none,underdog,400,0,0,0,1000,0,0,0
Fib1,4+4-,any,5,8028,5159,64,2840,130,55,9
Fib1,4+4-,any,10,8008,5145,64,2834,130,55,9
Fib1,4+4-,any,15,7988,5136,64,2837,130,55,9
Fib1,4+4-,any,20,7958,5113,64,2829,130,55,9
Fib1,4+4-,any,25,7912,5094,64,2834,130,55,9
Fib1,4+4-,any,30,7841,5059,65,2845,130,55,9
Fib1,4+4-,any,35,7741,5007,65,2839,130,55,9
Fib1,4+4-,any,40,7618,4936,65,2814,130,55,9
Fib1,4+4-,any,45,7435,4826,65,2744,130,55,9
Fib1,4+4-,any,50,7224,4708,65,2668,130,55,9
Fib1,4+4-,any,75,5495,3672,67,2380,42,21,7
Fib1,4+4-,any,100,3607,2460,68,1947,54,21,7
Fib1,4+4-,any,125,2045,1428,70,1583,48,21,7
Fib1,4+4-,any,150,1059,774,73,1327,20,13,6
Fib1,4+4-,any,200,237,194,82,1102,4,3,3
Fib1,4+4-,any,250,29,24,83,1007,2,2,2
Fib1,4+4-,any,300,2,2,100,1000,0,1,0
Fib1,4+4-,any,350,0,0,0,1000,0,0,0
Fib1,4+4-,any,400,0,0,0,1000,0,0,0
Fib1,4+4-,favorite,5,4357,3287,75,1511,33,21,7
Fib1,4+4-,favorite,10,4343,3278,75,1509,33,21,7
Fib1,4+4-,favorite,15,4334,3273,76,1512,33,21,7
Fib1,4+4-,favorite,20,4314,3258,76,1515,33,21,7
Fib1,4+4-,favorite,25,4294,3246,76,1515,33,21,7
Fib1,4+4-,favorite,30,4259,3223,76,1516,33,21,7
Fib1,4+4-,favorite,35,4208,3189,76,1515,33,21,7
Fib1,4+4-,favorite,40,4148,3146,76,1512,33,21,7
Fib1,4+4-,favorite,45,4049,3074,76,1497,33,21,7
Fib1,4+4-,favorite,50,3944,3006,76,1507,33,21,7
Fib1,4+4-,favorite,75,3024,2357,78,1443,60,34,8
Fib1,4+4-,favorite,100,2013,1582,79,1303,55,34,8
Fib1,4+4-,favorite,125,1146,916,80,1206,15,8,5
Fib1,4+4-,favorite,150,631,521,83,1139,6,3,3
Fib1,4+4-,favorite,200,152,135,89,1035,4,2,2
Fib1,4+4-,favorite,250,20,17,85,1002,2,1,1
Fib1,4+4-,favorite,300,2,2,100,1000,0,1,0
Fib1,4+4-,favorite,350,0,0,0,1000,0,0,0
Fib1,4+4-,favorite,400,0,0,0,1000,0,0,0
Fib1,4+4-,underdog,5,1538,785,51,0,3041,987,16
Fib1,4+4-,underdog,10,1534,782,51,0,3037,987,16
Fib1,4+4-,underdog,15,1529,781,51,0,3034,987,16
Fib1,4+4-,underdog,20,1526,780,51,0,3011,987,16
Fib1,4+4-,underdog,25,1521,780,51,0,2767,987,16
Fib1,4+4-,underdog,30,1506,773,51,0,2751,987,16
Fib1,4+4-,underdog,35,1487,767,52,0,2674,987,16
Fib1,4+4-,underdog,40,1465,757,52,0,2662,987,16
Fib1,4+4-,underdog,45,1434,744,52,0,2433,838,15
Fib1,4+4-,underdog,50,1408,728,52,0,2276,680,15
Fib1,4+4-,underdog,75,2266,1184,52,3081,1542,610,15
Fib1,4+4-,underdog,100,1446,777,54,2232,88,55,9
Fib1,4+4-,underdog,125,804,447,56,1557,82,55,9
Fib1,4+4-,underdog,150,386,222,58,1232,54,34,8
Fib1,4+4-,underdog,200,70,50,71,1071,4,3,3
Fib1,4+4-,underdog,250,5,4,80,1003,1,1,1
Fib1,4+4-,underdog,300,0,0,0,1000,0,0,0
Fib1,4+4-,underdog,350,0,0,0,1000,0,0,0
Fib1,4+4-,underdog,400,0,0,0,1000,0,0,0
Fib1,5+5-,any,5,1322,910,69,1352,21,13,6
Fib1,5+5-,any,10,1322,910,69,1352,21,13,6
Fib1,5+5-,any,15,1322,910,69,1352,21,13,6
Fib1,5+5-,any,20,1322,910,69,1352,21,13,6
Fib1,5+5-,any,25,1322,910,69,1352,21,13,6
Fib1,5+5-,any,30,1322,910,69,1352,21,13,6
Fib1,5+5-,any,35,1322,910,69,1352,21,13,6
Fib1,5+5-,any,40,1322,910,69,1352,21,13,6
Fib1,5+5-,any,45,1321,909,69,1352,21,13,6
Fib1,5+5-,any,50,1321,909,69,1352,21,13,6
Fib1,5+5-,any,75,1265,875,69,1345,13,8,5
Fib1,5+5-,any,100,1096,771,70,1326,9,5,4
Fib1,5+5-,any,125,822,603,73,1282,10,5,4
Fib1,5+5-,any,150,516,393,76,1187,8,5,4
Fib1,5+5-,any,200,144,120,83,1062,4,3,3
Fib1,5+5-,any,250,24,19,79,1003,2,2,2
Fib1,5+5-,any,300,1,1,100,1000,0,1,0
Fib1,5+5-,any,350,0,0,0,1000,0,0,0
Fib1,5+5-,any,400,0,0,0,1000,0,0,0
Fib1,5+5-,favorite,5,738,592,80,1140,7,5,4
Fib1,5+5-,favorite,10,738,592,80,1140,7,5,4
Fib1,5+5-,favorite,15,738,592,80,1140,7,5,4
Fib1,5+5-,favorite,20,738,592,80,1140,7,5,4
Fib1,5+5-,favorite,25,738,592,80,1140,7,5,4
Fib1,5+5-,favorite,30,738,592,80,1140,7,5,4
