strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,136,79,58,2018,767,100,0
Flat100,none,any,10,122,72,59,1951,667,100,0
Flat100,none,any,15,114,67,59,1922,667,100,0
Flat100,none,any,20,108,64,59,2033,667,100,0
Flat100,none,any,25,96,57,59,2039,723,100,0
Flat100,none,any,30,88,55,63,2469,623,100,0
Flat100,none,any,35,83,53,64,2609,623,100,0
Flat100,none,any,40,78,49,63,2346,543,100,0
Flat100,none,any,45,72,46,64,2420,543,100,0
Flat100,none,any,50,67,42,63,2220,633,100,0
Flat100,none,any,75,46,29,63,2003,500,100,0
Flat100,none,any,100,21,15,71,2129,300,100,0
Flat100,none,any,125,9,6,67,1724,200,100,0
Flat100,none,any,150,2,1,50,1063,100,100,0
Flat100,none,any,200,0,0,0,1000,0,0,0
Flat100,none,any,250,0,0,0,1000,0,0,0
Flat100,none,any,300,0,0,0,1000,0,0,0
Flat100,none,any,350,0,0,0,1000,0,0,0
Flat100,none,any,400,0,0,0,1000,0,0,0
Flat100,none,underdog,5,59,29,49,1977,600,100,0
Flat100,none,underdog,10,52,25,48,1711,600,100,0
Flat100,none,underdog,15,50,24,48,1666,600,100,0
Flat100,none,underdog,20,49,24,49,1766,600,100,0
Flat100,none,underdog,25,45,23,51,1941,600,100,0
Flat100,none,underdog,30,40,22,55,2229,500,100,0
Flat100,none,underdog,35,36,21,58,2414,500,100,0
Flat100,none,underdog,40,34,19,56,2169,500,100,0
Flat100,none,underdog,45,31,18,58,2264,500,100,0
Flat100,none,underdog,50,30,17,57,2132,500,100,0
Flat100,none,underdog,75,23,13,57,1986,300,100,0
Flat100,none,underdog,100,13,9,69,2108,200,100,0
Flat100,none,underdog,125,6,5,83,1858,100,100,0
Flat100,none,underdog,150,1,1,100,1163,0,100,0
Flat100,none,underdog,200,0,0,0,1000,0,0,0
Flat100,none,underdog,250,0,0,0,1000,0,0,0
Flat100,none,underdog,300,0,0,0,1000,0,0,0
Flat100,none,underdog,350,0,0,0,1000,0,0,0
Flat100,none,underdog,400,0,0,0,1000,0,0,0
Flat100,none,favorite,5,71,47,66,1077,364,100,0
Flat100,none,favorite,10,64,44,69,1276,314,100,0
Flat100,none,favorite,15,58,40,69,1292,314,100,0
Flat100,none,favorite,20,53,37,70,1303,300,100,0
Flat100,none,favorite,25,46,32,70,1221,300,100,0
Flat100,none,favorite,30,43,31,72,1363,300,100,0
Flat100,none,favorite,35,42,30,71,1318,300,100,0
Flat100,none,favorite,40,39,28,72,1300,205,100,0
Flat100,none,favorite,45,36,26,72,1279,217,100,0
Flat100,none,favorite,50,33,24,73,1301,217,100,0
Flat100,none,favorite,75,20,16,80,1317,117,100,0
Flat100,none,favorite,100,8,6,75,1021,100,100,0
Flat100,none,favorite,125,3,1,33,866,134,100,0
Flat100,none,favorite,150,1,0,0,900,100,100,0
Flat100,none,favorite,200,0,0,0,1000,0,0,0
Flat100,none,favorite,250,0,0,0,1000,0,0,0
Flat100,none,favorite,300,0,0,0,1000,0,0,0
Flat100,none,favorite,350,0,0,0,1000,0,0,0
Flat100,none,favorite,400,0,0,0,1000,0,0,0
Bankroll5pct,none,any,5,136,79,58,1412,666,101,0
Bankroll5pct,none,any,10,122,72,59,1391,557,95,0
Bankroll5pct,none,any,15,114,67,59,1378,552,94,0
Bankroll5pct,none,any,20,108,64,59,1470,588,100,0
Bankroll5pct,none,any,25,96,57,59,1496,656,105,0
Bankroll5pct,none,any,30,88,55,63,1871,689,125,0
Bankroll5pct,none,any,35,83,53,64,2015,741,134,0
Bankroll5pct,none,any,40,78,49,63,1774,585,118,0
Bankroll5pct,none,any,45,72,46,64,1849,610,123,0
Bankroll5pct,none,any,50,67,42,63,1687,656,117,0
Bankroll5pct,none,any,75,46,29,63,1542,451,100,0
Bankroll5pct,none,any,100,21,15,71,1687,281,98,0
Bankroll5pct,none,any,125,9,6,67,1396,151,77,0
Bankroll5pct,none,any,150,2,1,50,1028,54,54,0
Bankroll5pct,none,any,200,0,0,0,1000,0,0,0
Bankroll5pct,none,any,250,0,0,0,1000,0,0,0
Bankroll5pct,none,any,300,0,0,0,1000,0,0,0
Bankroll5pct,none,any,350,0,0,0,1000,0,0,0
Bankroll5pct,none,any,400,0,0,0,1000,0,0,0
Bankroll5pct,none,underdog,5,59,29,49,1451,499,94,0
Bankroll5pct,none,underdog,10,52,25,48,1303,446,84,0
Bankroll5pct,none,underdog,15,50,24,48,1275,436,82,0
Bankroll5pct,none,underdog,20,49,24,49,1346,462,87,0
Bankroll5pct,none,underdog,25,45,23,51,1474,506,95,0
Bankroll5pct,none,underdog,30,40,22,55,1721,478,106,0
Bankroll5pct,none,underdog,35,36,21,58,1888,526,116,0
Bankroll5pct,none,underdog,40,34,19,56,1679,490,108,0
Bankroll5pct,none,underdog,45,31,18,58,1764,516,114,0
Bankroll5pct,none,underdog,50,30,17,57,1657,485,107,0
Bankroll5pct,none,underdog,75,23,13,57,1556,259,91,0
Bankroll5pct,none,underdog,100,13,9,69,1674,181,93,0
Bankroll5pct,none,underdog,125,6,5,83,1496,79,79,0
Bankroll5pct,none,underdog,150,1,1,100,1082,0,50,0
Bankroll5pct,none,underdog,200,0,0,0,1000,0,0,0
Bankroll5pct,none,underdog,250,0,0,0,1000,0,0,0
Bankroll5pct,none,underdog,300,0,0,0,1000,0,0,0
Bankroll5pct,none,underdog,350,0,0,0,1000,0,0,0
Bankroll5pct,none,underdog,400,0,0,0,1000,0,0,0
Bankroll5pct,none,favorite,5,71,47,66,988,186,57,0
Bankroll5pct,none,favorite,10,64,44,69,1097,177,62,0
Bankroll5pct,none,favorite,15,58,40,69,1113,177,62,0
Bankroll5pct,none,favorite,20,53,37,70,1125,180,63,0
Bankroll5pct,none,favorite,25,46,32,70,1087,174,61,0
Bankroll5pct,none,favorite,30,43,31,72,1171,187,66,0
Bankroll5pct,none,favorite,35,42,30,71,1146,183,64,0
Bankroll5pct,none,favorite,40,39,28,72,1137,119,61,0
Bankroll5pct,none,favorite,45,36,26,72,1126,117,60,0
Bankroll5pct,none,favorite,50,33,24,73,1139,119,61,0
Bankroll5pct,none,favorite,75,20,16,80,1160,61,61,0
Bankroll5pct,none,favorite,100,8,6,75,1007,53,53,0
Bankroll5pct,none,favorite,125,3,1,33,933,67,50,0
Bankroll5pct,none,favorite,150,1,0,0,950,50,50,0
Bankroll5pct,none,favorite,200,0,0,0,1000,0,0,0
Bankroll5pct,none,favorite,250,0,0,0,1000,0,0,0
Bankroll5pct,none,favorite,300,0,0,0,1000,0,0,0
Bankroll5pct,none,favorite,350,0,0,0,1000,0,0,0
Bankroll5pct,none,favorite,400,0,0,0,1000,0,0,0
Flat100,4+4-,any,5,41,26,63,1923,290,100,0
Flat100,4+4-,any,10,41,26,63,1923,290,100,0
Flat100,4+4-,any,15,41,26,63,1923,290,100,0
Flat100,4+4-,any,20,41,26,63,1923,290,100,0
Flat100,4+4-,any,25,41,26,63,1923,290,100,0
Flat100,4+4-,any,30,41,26,63,1923,290,100,0
Flat100,4+4-,any,35,39,26,67,2123,290,100,0
Flat100,4+4-,any,40,39,26,67,2123,290,100,0
Flat100,4+4-,any,45,37,25,68,2179,290,100,0
