strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,30,11,37,0,1118,100,0
Flat100,none,any,10,36,15,42,0,1330,100,0
Flat100,none,any,15,29,12,41,0,1020,100,0
Flat100,none,any,20,26,10,38,0,1050,100,0
Flat100,none,any,25,39,18,46,326,756,100,0
Flat100,none,any,30,18,9,50,931,335,100,0
Flat100,none,any,35,8,5,62,1155,100,100,0
Flat100,none,any,40,4,3,75,1062,100,100,0
Flat100,none,any,45,3,3,100,1162,0,100,0
Flat100,none,any,50,2,2,100,1127,0,100,0
Flat100,none,any,75,0,0,0,1000,0,0,0
Flat100,none,underdog,5,23,5,22,0,1307,100,0
Flat100,none,underdog,10,22,5,23,0,1407,100,0
Flat100,none,underdog,15,14,2,14,0,1092,100,0
Flat100,none,underdog,20,30,11,37,803,804,100,0
Flat100,none,underdog,25,15,6,40,872,500,100,0
Flat100,none,underdog,30,7,4,57,1255,200,100,0
Flat100,none,underdog,35,4,2,50,1093,100,100,0
Flat100,none,underdog,40,1,0,0,900,100,100,0
Flat100,none,underdog,45,0,0,0,1000,0,0,0
Flat100,none,underdog,50,0,0,0,1000,0,0,0
Flat100,none,underdog,75,0,0,0,1000,0,0,0
Flat100,none,favorite,5,50,29,58,0,1000,100,0
Flat100,none,favorite,10,35,18,51,0,1059,100,0
Flat100,none,favorite,15,61,36,59,158,971,100,0
Flat100,none,favorite,20,37,20,54,222,944,100,0
Flat100,none,favorite,25,22,11,50,464,721,100,0
Flat100,none,favorite,30,10,5,50,776,377,100,0
Flat100,none,favorite,35,4,3,75,1062,100,100,0
Flat100,none,favorite,40,3,3,100,1162,0,100,0
Flat100,none,favorite,45,3,3,100,1162,0,100,0
Flat100,none,favorite,50,2,2,100,1127,0,100,0
Flat100,none,favorite,75,0,0,0,1000,0,0,0
Flat100,4+4-,any,5,28,11,39,0,1000,100,0
Flat100,4+4-,any,10,54,29,54,1247,726,100,0
Flat100,4+4-,any,15,37,22,59,1657,765,100,0
Flat100,4+4-,any,20,19,9,47,946,565,100,0
Flat100,4+4-,any,25,12,5,42,725,457,100,0
Flat100,4+4-,any,30,5,2,40,905,200,100,0
Flat100,4+4-,any,35,2,1,50,935,100,100,0
Flat100,4+4-,any,40,1,1,100,1035,0,100,0
Flat100,4+4-,any,45,1,1,100,1035,0,100,0
Flat100,4+4-,any,50,0,0,0,1000,0,0,0
Flat100,4+4-,any,75,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,5,43,19,44,1507,955,100,0
Flat100,4+4-,underdog,10,28,13,46,1598,500,100,0
Flat100,4+4-,underdog,15,18,10,56,1850,500,100,0
Flat100,4+4-,underdog,20,9,4,44,1244,400,100,0
Flat100,4+4-,underdog,25,4,2,50,1072,200,100,0
Flat100,4+4-,underdog,30,1,1,100,1170,0,100,0
Flat100,4+4-,underdog,35,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,40,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,45,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,50,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,75,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,5,37,24,65,621,675,100,0
Flat100,4+4-,favorite,10,25,16,64,749,522,100,0
Flat100,4+4-,favorite,15,19,12,63,807,403,100,0
Flat100,4+4-,favorite,20,10,5,50,702,413,100,0
Flat100,4+4-,favorite,25,8,3,38,653,462,100,0
Flat100,4+4-,favorite,30,4,1,25,735,300,100,0
Flat100,4+4-,favorite,35,2,1,50,935,100,100,0
Flat100,4+4-,favorite,40,1,1,100,1035,0,100,0
Flat100,4+4-,favorite,45,1,1,100,1035,0,100,0
Flat100,4+4-,favorite,50,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,75,0,0,0,1000,0,0,0
Flat100,5+5-,any,5,10,2,20,473,700,100,0
Flat100,5+5-,any,10,6,1,17,615,500,100,0
Flat100,5+5-,any,15,2,1,50,1015,100,100,0
Flat100,5+5-,any,20,1,0,0,900,100,100,0
Flat100,5+5-,any,25,0,0,0,1000,0,0,0
Flat100,5+5-,any,30,0,0,0,1000,0,0,0
Flat100,5+5-,any,35,0,0,0,1000,0,0,0
Flat100,5+5-,any,40,0,0,0,1000,0,0,0
Flat100,5+5-,any,45,0,0,0,1000,0,0,0
Flat100,5+5-,any,50,0,0,0,1000,0,0,0
Flat100,5+5-,any,75,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,5,8,2,25,673,500,100,0
Flat100,5+5-,underdog,10,5,1,20,715,400,100,0
Flat100,5+5-,underdog,15,2,1,50,1015,100,100,0
Flat100,5+5-,underdog,20,1,0,0,900,100,100,0
Flat100,5+5-,underdog,25,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,30,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,35,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,40,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,45,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,50,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,75,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,5,2,0,0,800,200,100,0
Flat100,5+5-,favorite,10,1,0,0,900,100,100,0
Flat100,5+5-,favorite,15,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,20,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,25,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,30,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,35,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,40,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,45,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,50,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,75,0,0,0,1000,0,0,0
Percent5,none,any,5,270,138,51,405,846,52,0
Percent5,none,any,10,173,89,51,794,859,58,0
Percent5,none,any,15,118,62,53,799,652,51,0
Percent5,none,any,20,69,32,46,557,486,51,0
Percent5,none,any,25,39,18,46,683,343,50,0
Percent5,none,any,30,18,9,50,944,175,54,0
Percent5,none,any,35,8,5,62,1069,53,53,0
Percent5,none,any,40,4,3,75,1029,50,50,0
Percent5,none,any,45,3,3,100,1083,0,53,0
Percent5,none,any,50,2,2,100,1065,0,52,0
Percent5,none,any,75,0,0,0,1000,0,0,0
Percent5,none,underdog,5,127,54,43,1243,756,81,0
Percent5,none,underdog,10,85,40,47,1852,723,118,0
Percent5,none,underdog,15,55,25,45,1275,561,79,0
Percent5,none,underdog,20,30,11,37,852,360,52,0
Percent5,none,underdog,25,15,6,40,915,237,52,0
Percent5,none,underdog,30,7,4,57,1120,115,59,0
Percent5,none,underdog,35,4,2,50,1039,52,52,0
Percent5,none,underdog,40,1,0,0,950,50,50,0
Percent5,none,underdog,45,0,0,0,1000,0,0,0
Percent5,none,underdog,50,0,0,0,1000,0,0,0
Percent5,none,underdog,75,0,0,0,1000,0,0,0
Percent5,none,favorite,5,137,82,60,367,654,50,0
Percent5,none,favorite,10,85,48,56,454,570,51,0
Percent5,none,favorite,15,61,36,59,631,417,51,0
Percent5,none,favorite,20,37,20,54,659,406,52,0
Percent5,none,favorite,25,22,11,50,751,329,53,0
Percent5,none,favorite,30,10,5,50,887,192,54,0
Percent5,none,favorite,35,4,3,75,1029,53,53,0
Percent5,none,favorite,40,3,3,100,1083,0,53,0
Percent5,none,favorite,45,3,3,100,1083,0,53,0
Percent5,none,favorite,50,2,2,100,1065,0,52,0
Percent5,none,favorite,75,0,0,0,1000,0,0,0
Percent5,4+4-,any,5,82,44,54,970,511,50,0
Percent5,4+4-,any,10,54,29,54,1040,325,57,0
Percent5,4+4-,any,15,37,22,59,1307,359,67,0
Percent5,4+4-,any,20,19,9,47,940,266,53,0
Percent5,4+4-,any,25,12,5,42,859,214,50,0
Percent5,4+4-,any,30,5,2,40,947,99,51,0
Percent5,4+4-,any,35,2,1,50,967,51,51,0
Percent5,4+4-,any,40,1,1,100,1018,0,50,0
Percent5,4+4-,any,45,1,1,100,1018,0,50,0
Percent5,4+4-,any,50,0,0,0,1000,0,0,0
Percent5,4+4-,any,75,0,0,0,1000,0,0,0
Percent5,4+4-,underdog,5,43,19,44,1210,395,64,0
Percent5,4+4-,underdog,10,28,13,46,1261,227,66,0
Percent5,4+4-,underdog,15,18,10,56,1457,238,73,0
Percent5,4+4-,underdog,20,9,4,44,1099,196,55,0
Percent5,4+4-,underdog,25,4,2,50,1029,98,50,0
Percent5,4+4-,underdog,30,1,1,100,1085,0,50,0
Percent5,4+4-,underdog,35,0,0,0,1000,0,0,0
Percent5,4+4-,underdog,40,0,0,0,1000,0,0,0
Percent5,4+4-,underdog,45,0,0,0,1000,0,0,0
Percent5,4+4-,underdog,50,0,0,0,1000,0,0,0
Percent5,4+4-,underdog,75,0,0,0,1000,0,0,0
Percent5,4+4-,favorite,5,37,24,65,809,312,53,0
Percent5,4+4-,favorite,10,25,16,64,868,257,54,0
Percent5,4+4-,favorite,15,19,12,63,897,204,53,0
Percent5,4+4-,favorite,20,10,5,50,855,196,51,0
Percent5,4+4-,favorite,25,8,3,38,834,215,51,0
Percent5,4+4-,favorite,30,4,1,25,872,145,51,0
Percent5,4+4-,favorite,35,2,1,50,967,51,51,0
Percent5,4+4-,favorite,40,1,1,100,1018,0,50,0
Percent5,4+4-,favorite,45,1,1,100,1018,0,50,0
Percent5,4+4-,favorite,50,0,0,0,1000,0,0,0
Percent5,4+4-,favorite,75,0,0,0,1000,0,0,0
Percent5,5+5-,any,5,10,2,20,757,302,50,0
Percent5,5+5-,any,10,6,1,17,818,226,50,0
Percent5,5+5-,any,15,2,1,50,1005,50,50,0
Percent5,5+5-,any,20,1,0,0,950,50,50,0
Percent5,5+5-,any,25,0,0,0,1000,0,0,0
Percent5,5+5-,any,30,0,0,0,1000,0,0,0
Percent5,5+5-,any,35,0,0,0,1000,0,0,0
Percent5,5+5-,any,40,0,0,0,1000,0,0,0
Percent5,5+5-,any,45,0,0,0,1000,0,0,0
Percent5,5+5-,any,50,0,0,0,1000,0,0,0
Percent5,5+5-,any,75,0,0,0,1000,0,0,0
Percent5,5+5-,underdog,5,8,2,25,839,226,50,0
Percent5,5+5-,underdog,10,5,1,20,861,185,50,0
Percent5,5+5-,underdog,15,2,1,50,1005,50,50,0
Percent5,5+5-,underdog,20,1,0,0,950,50,50,0
Percent5,5+5-,underdog,25,0,0,0,1000,0,0,0
Percent5,5+5-,underdog,30,0,0,0,1000,0,0,0
Percent5,5+5-,underdog,35,0,0,0,1000,0,0,0
Percent5,5+5-,underdog,40,0,0,0,1000,0,0,0
Percent5,5+5-,underdog,45,0,0,0,1000,0,0,0
Percent5,5+5-,underdog,50,0,0,0,1000,0,0,0
Percent5,5+5-,underdog,75,0,0,0,1000,0,0,0
Percent5,5+5-,favorite,5,2,0,0,902,98,50,0
