strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,none,any,5,64,30,47,0,1000,100,0
Flat100,none,any,10,63,29,46,0,1000,100,0
Flat100,none,any,15,67,32,48,0,1000,100,0
Flat100,none,any,20,50,24,48,0,1000,100,0
Flat100,none,any,25,50,24,48,0,1000,100,0
Flat100,none,any,30,89,45,51,0,1004,100,0
Flat100,none,any,35,72,37,51,0,1000,100,0
Flat100,none,any,40,46,22,48,0,1000,100,0
Flat100,none,any,45,65,35,54,0,1000,100,0
Flat100,none,any,50,60,32,53,0,1000,100,0
Flat100,none,any,75,57,29,51,0,1000,100,0
Flat100,none,any,100,53,27,51,0,1000,100,0
Flat100,none,any,125,33,15,45,0,1000,100,0
Flat100,none,any,150,51,30,59,1838,357,100,0
Flat100,none,any,200,21,14,67,1837,200,100,0
Flat100,none,any,250,5,4,80,1140,100,100,0
Flat100,none,any,300,2,2,100,1093,0,100,0
Flat100,none,any,350,0,0,0,1000,0,0,0
Flat100,none,any,400,0,0,0,1000,0,0,0
Flat100,none,underdog,5,43,13,30,0,1123,100,0
Flat100,none,underdog,10,43,13,30,0,1123,100,0
Flat100,none,underdog,15,43,13,30,0,1123,100,0
Flat100,none,underdog,20,39,12,31,0,1060,100,0
Flat100,none,underdog,25,39,12,31,0,1060,100,0
Flat100,none,underdog,30,39,12,31,0,1060,100,0
Flat100,none,underdog,35,34,10,29,0,1060,100,0
Flat100,none,underdog,40,23,6,26,0,1000,100,0
Flat100,none,underdog,45,28,8,29,0,1000,100,0
Flat100,none,underdog,50,26,7,27,0,1000,100,0
Flat100,none,underdog,75,21,5,24,0,1000,100,0
Flat100,none,underdog,100,66,29,44,1701,908,100,0
Flat100,none,underdog,125,45,21,47,1464,910,100,0
Flat100,none,underdog,150,30,16,53,1829,340,100,0
Flat100,none,underdog,200,13,7,54,1597,240,100,0
Flat100,none,underdog,250,2,1,50,995,100,100,0
Flat100,none,underdog,300,0,0,0,1000,0,0,0
Flat100,none,underdog,350,0,0,0,1000,0,0,0
Flat100,none,underdog,400,0,0,0,1000,0,0,0
Flat100,none,favorite,5,158,99,63,0,1159,100,0
Flat100,none,favorite,10,155,98,63,160,1156,100,0
Flat100,none,favorite,15,142,88,62,0,1152,100,0
Flat100,none,favorite,20,134,83,62,0,1103,100,0
Flat100,none,favorite,25,136,86,63,275,1026,100,0
Flat100,none,favorite,30,126,82,65,697,991,100,0
Flat100,none,favorite,35,120,77,64,516,989,100,0
Flat100,none,favorite,40,115,75,65,666,1014,100,0
Flat100,none,favorite,45,109,70,64,556,1084,100,0
Flat100,none,favorite,50,103,67,65,694,884,100,0
Flat100,none,favorite,75,80,52,65,717,695,100,0
Flat100,none,favorite,100,62,39,63,550,654,100,0
Flat100,none,favorite,125,43,26,60,570,509,100,0
Flat100,none,favorite,150,21,14,67,1009,311,100,0
Flat100,none,favorite,200,8,7,88,1240,100,100,0
Flat100,none,favorite,250,3,3,100,1145,0,100,0
Flat100,none,favorite,300,2,2,100,1093,0,100,0
Flat100,none,favorite,350,0,0,0,1000,0,0,0
Flat100,none,favorite,400,0,0,0,1000,0,0,0
Flat100,4+4-,any,5,0,0,0,1000,0,0,0
Flat100,4+4-,any,10,0,0,0,1000,0,0,0
Flat100,4+4-,any,15,0,0,0,1000,0,0,0
Flat100,4+4-,any,20,0,0,0,1000,0,0,0
Flat100,4+4-,any,25,0,0,0,1000,0,0,0
Flat100,4+4-,any,30,0,0,0,1000,0,0,0
Flat100,4+4-,any,35,0,0,0,1000,0,0,0
Flat100,4+4-,any,40,0,0,0,1000,0,0,0
Flat100,4+4-,any,45,0,0,0,1000,0,0,0
Flat100,4+4-,any,50,0,0,0,1000,0,0,0
Flat100,4+4-,any,75,0,0,0,1000,0,0,0
Flat100,4+4-,any,100,0,0,0,1000,0,0,0
Flat100,4+4-,any,125,0,0,0,1000,0,0,0
Flat100,4+4-,any,150,0,0,0,1000,0,0,0
Flat100,4+4-,any,200,0,0,0,1000,0,0,0
Flat100,4+4-,any,250,0,0,0,1000,0,0,0
Flat100,4+4-,any,300,0,0,0,1000,0,0,0
Flat100,4+4-,any,350,0,0,0,1000,0,0,0
Flat100,4+4-,any,400,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,5,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,10,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,15,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,20,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,25,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,30,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,35,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,40,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,45,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,50,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,75,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,100,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,125,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,150,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,200,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,250,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,300,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,350,0,0,0,1000,0,0,0
Flat100,4+4-,underdog,400,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,5,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,10,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,15,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,20,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,25,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,30,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,35,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,40,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,45,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,50,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,75,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,100,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,125,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,150,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,200,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,250,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,300,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,350,0,0,0,1000,0,0,0
Flat100,4+4-,favorite,400,0,0,0,1000,0,0,0
Flat100,5+5-,any,5,0,0,0,1000,0,0,0
Flat100,5+5-,any,10,0,0,0,1000,0,0,0
Flat100,5+5-,any,15,0,0,0,1000,0,0,0
Flat100,5+5-,any,20,0,0,0,1000,0,0,0
Flat100,5+5-,any,25,0,0,0,1000,0,0,0
Flat100,5+5-,any,30,0,0,0,1000,0,0,0
Flat100,5+5-,any,35,0,0,0,1000,0,0,0
Flat100,5+5-,any,40,0,0,0,1000,0,0,0
Flat100,5+5-,any,45,0,0,0,1000,0,0,0
Flat100,5+5-,any,50,0,0,0,1000,0,0,0
Flat100,5+5-,any,75,0,0,0,1000,0,0,0
Flat100,5+5-,any,100,0,0,0,1000,0,0,0
Flat100,5+5-,any,125,0,0,0,1000,0,0,0
Flat100,5+5-,any,150,0,0,0,1000,0,0,0
Flat100,5+5-,any,200,0,0,0,1000,0,0,0
Flat100,5+5-,any,250,0,0,0,1000,0,0,0
Flat100,5+5-,any,300,0,0,0,1000,0,0,0
Flat100,5+5-,any,350,0,0,0,1000,0,0,0
Flat100,5+5-,any,400,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,5,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,10,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,15,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,20,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,25,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,30,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,35,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,40,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,45,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,50,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,75,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,100,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,125,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,150,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,200,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,250,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,300,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,350,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,400,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,5,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,10,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,15,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,20,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,25,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,30,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,35,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,40,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,45,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,50,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,75,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,100,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,125,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,150,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,200,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,250,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,300,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,350,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,400,0,0,0,1000,0,0,0
Pct5,none,any,5,347,178,51,418,716,50,0
Pct5,none,any,10,337,172,51,444,715,50,0
Pct5,none,any,15,321,164,51,438,686,50,0
Pct5,none,any,20,305,154,50,364,717,50,0
Pct5,none,any,25,295,150,51,415,670,50,0
Pct5,none,any,30,276,146,53,821,526,67,0
Pct5,none,any,35,259,134,52,558,560,50,0
Pct5,none,any,40,247,128,52,533,570,50,0
Pct5,none,any,45,234,122,52,651,547,50,0
Pct5,none,any,50,224,116,52,616,595,50,0
Pct5,none,any,75,177,92,52,714,541,50,0
Pct5,none,any,100,131,69,53,893,514,50,0
Pct5,none,any,125,91,48,53,857,465,50,0
Pct5,none,any,150,51,30,59,1409,180,78,0
Pct5,none,any,200,21,14,67,1459,99,77,0
Pct5,none,any,250,5,4,80,1069,50,51,0
Pct5,none,any,300,2,2,100,1047,0,51,0
Pct5,none,any,350,0,0,0,1000,0,0,0
Pct5,none,any,400,0,0,0,1000,0,0,0
Pct5,none,underdog,5,174,72,41,937,708,60,0
Pct5,none,underdog,10,173,71,41,893,708,58,0
Pct5,none,underdog,15,164,69,42,974,671,60,0
Pct5,none,underdog,20,155,64,41,839,693,52,0
Pct5,none,underdog,25,150,61,41,785,675,51,0
Pct5,none,underdog,30,141,61,43,1246,524,77,0
Pct5,none,underdog,35,130,54,42,924,563,61,0
Pct5,none,underdog,40,123,50,41,814,591,54,0
Pct5,none,underdog,45,116,49,42,1048,570,64,0
Pct5,none,underdog,50,112,46,41,922,603,57,0
Pct5,none,underdog,75,90,38,42,1030,437,60,0
Pct5,none,underdog,100,66,29,44,1239,379,69,0
Pct5,none,underdog,125,45,21,47,1164,383,64,0
Pct5,none,underdog,150,30,16,53,1423,164,79,0
Pct5,none,underdog,200,13,7,54,1299,120,69,0
Pct5,none,underdog,250,2,1,50,995,50,50,0
Pct5,none,underdog,300,0,0,0,1000,0,0,0
Pct5,none,underdog,350,0,0,0,1000,0,0,0
Pct5,none,underdog,400,0,0,0,1000,0,0,0
Pct5,none,favorite,5,164,103,63,535,522,53,0
Pct5,none,favorite,10,155,98,63,596,525,54,0
Pct5,none,favorite,15,148,92,62,539,543,53,0
Pct5,none,favorite,20,141,87,62,520,550,52,0
Pct5,none,favorite,25,136,86,63,633,474,54,0
Pct5,none,favorite,30,126,82,65,789,517,61,0
Pct5,none,favorite,35,120,77,64,723,486,57,0
Pct5,none,favorite,40,115,75,65,784,522,61,0
Pct5,none,favorite,45,109,70,64,744,534,60,0
Pct5,none,favorite,50,103,67,65,801,449,58,0
Pct5,none,favorite,75,80,52,65,823,357,56,0
Pct5,none,favorite,100,62,39,63,765,308,51,0
Pct5,none,favorite,125,43,26,60,782,241,50,0
Pct5,none,favorite,150,21,14,67,990,160,53,0
Pct5,none,favorite,200,8,7,88,1123,53,54,0
Pct5,none,favorite,250,3,3,100,1074,0,52,0
Pct5,none,favorite,300,2,2,100,1047,0,51,0
Pct5,none,favorite,350,0,0,0,1000,0,0,0
Pct5,none,favorite,400,0,0,0,1000,0,0,0
Pct5,4+4-,any,5,0,0,0,1000,0,0,0
Pct5,4+4-,any,10,0,0,0,1000,0,0,0
Pct5,4+4-,any,15,0,0,0,1000,0,0,0
Pct5,4+4-,any,20,0,0,0,1000,0,0,0
Pct5,4+4-,any,25,0,0,0,1000,0,0,0
Pct5,4+4-,any,30,0,0,0,1000,0,0,0
Pct5,4+4-,any,35,0,0,0,1000,0,0,0
Pct5,4+4-,any,40,0,0,0,1000,0,0,0
Pct5,4+4-,any,45,0,0,0,1000,0,0,0
Pct5,4+4-,any,50,0,0,0,1000,0,0,0
Pct5,4+4-,any,75,0,0,0,1000,0,0,0
Pct5,4+4-,any,100,0,0,0,1000,0,0,0
Pct5,4+4-,any,125,0,0,0,1000,0,0,0
Pct5,4+4-,any,150,0,0,0,1000,0,0,0
Pct5,4+4-,any,200,0,0,0,1000,0,0,0
Pct5,4+4-,any,250,0,0,0,1000,0,0,0
Pct5,4+4-,any,300,0,0,0,1000,0,0,0
Pct5,4+4-,any,350,0,0,0,1000,0,0,0
Pct5,4+4-,any,400,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,5,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,10,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,15,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,20,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,25,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,30,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,35,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,40,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,45,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,50,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,75,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,100,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,125,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,150,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,200,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,250,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,300,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,350,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,400,0,0,0,1000,0,0,0
Pct5,4+4-,favorite,5,0,0,0,1000,0,0,0
Pct5,4+4-,favorite,10,0,0,0,1000,0,0,0
Pct5,4+4-,favorite,15,0,0,0,1000,0,0,0
Pct5,4+4-,favorite,20,0,0,0,1000,0,0,0
Pct5,4+4-,favorite,25,0,0,0,1000,0,0,0
Pct5,4+4-,favorite,30,0,0,0,1000,0,0,0
Pct5,4+4-,favorite,35,0,0,0,1000,0,0,0
Pct5,4+4-,favorite,40,0,0,0,1000,0,0,0
Pct5,4+4-,favorite,45,0,0,0,1000,0,0,0
Pct5,4+4-,favorite,50,0,0,0,1000,0,0,0
